Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Julien Le Cardinal,0.08,2.15,2.69,0.0,1.92,0.0,1.15,0.15,41.15,81.12,54.24,0.92,53.66,51.33,1.77,13,2,2,Francia Liga 2,3
Joffrey Cuffaut,0.15,1.5,1.23,0.0,3.04,0.0,0.62,0.08,48.12,85.69,50.68,0.81,42.86,55.4,0.88,26,3,2,Francia Liga 2,3
Adrien Monfray,0.0,2.21,1.76,0.06,3.82,0.03,1.15,0.0,63.0,87.07,68.38,0.88,64.96,60.13,0.82,34,3,2,Francia Liga 2,3
Saad Agouzoul,0.03,1.54,1.84,0.03,3.78,0.03,0.46,0.05,61.08,87.12,50.31,0.92,54.81,57.88,0.86,37,2,2,Francia Liga 2,3
Eric Vandenabeele,0.04,1.46,1.18,0.04,4.61,0.04,0.39,0.0,37.46,84.37,48.03,0.82,62.83,62.44,1.14,28,3,2,Francia Liga 2,3
Ali Abdi,0.09,2.38,1.63,0.0,0.94,0.0,0.66,0.38,41.59,74.83,38.28,0.81,56.63,49.73,1.72,32,2,2,Francia Liga 2,3
Julien Faussurier,0.0,2.17,0.96,0.0,1.42,0.0,1.08,0.29,45.75,80.33,51.83,0.92,60.0,54.14,0.79,24,3,2,Francia Liga 2,3
Oualid El Hajjam,0.03,1.75,1.97,0.0,1.44,0.0,0.5,0.0,53.81,81.57,36.4,0.47,46.58,56.92,1.25,36,3,2,Francia Liga 2,3
Loïc Mbe Soh,0.07,1.79,0.86,0.0,4.0,0.0,0.07,0.0,44.86,81.37,47.42,1.0,62.96,65.22,0.64,14,1,2,Francia Liga 2,3
Mamadou Diarra,0.04,1.65,1.15,0.0,2.15,0.04,0.69,0.12,51.77,87.44,57.48,0.81,59.57,60.09,0.96,26,2,2,Francia Liga 2,3
Jordan Lefort,0.0,1.44,1.63,0.0,2.22,0.03,0.63,0.06,62.63,84.98,50.79,0.94,70.37,66.5,0.5,32,2,2,Francia Liga 2,3
Bradley Danger,0.11,1.36,1.17,0.0,1.64,0.0,0.83,0.11,44.72,81.93,52.29,1.08,46.27,53.21,0.75,36,2,2,Francia Liga 2,3
Daniel Congré,0.0,1.33,1.48,0.0,2.74,0.0,0.44,0.04,59.04,88.46,61.05,0.96,64.86,65.53,0.59,27,3,2,Francia Liga 2,3
Fali Candé,0.03,1.0,1.34,0.03,3.37,0.0,0.29,0.03,54.61,84.1,51.7,0.68,55.93,55.27,1.08,38,2,2,Francia Liga 2,3
Ibrahim Cissé,0.0,0.97,1.42,0.03,3.0,0.0,0.1,0.0,54.23,88.88,55.5,0.77,54.55,61.43,0.71,31,2,2,Francia Liga 2,3
Bryan Passi,0.05,1.21,1.16,0.05,4.53,0.0,0.21,0.0,45.47,83.56,53.89,1.26,70.51,68.71,0.79,19,2,2,Francia Liga 2,3
Koffi Kouao,0.03,2.06,1.27,0.03,1.82,0.0,0.79,0.12,43.0,82.24,42.05,0.55,57.38,54.36,1.48,33,2,2,Francia Liga 2,3
Maël Durand de Gevigney,0.0,1.39,2.0,0.0,4.55,0.06,0.42,0.03,56.48,84.35,52.59,1.39,66.4,64.64,1.0,31,1,2,Francia Liga 2,3
Pape Djibril Diaw,0.25,0.92,0.83,0.0,1.25,0.08,0.17,0.0,23.5,83.69,53.57,0.67,59.09,65.31,0.58,12,2,2,Francia Liga 2,3
Kevin Mouanga,0.1,1.27,1.77,0.0,3.7,0.03,0.53,0.03,35.23,79.28,48.09,1.27,65.55,60.61,0.93,30,1,2,Francia Liga 2,3
Mathieu Debuchy,0.04,1.04,1.46,0.0,4.67,0.04,0.21,0.04,38.42,81.13,42.61,0.96,57.78,59.91,0.88,24,3,2,Francia Liga 2,3
Syam Ben Youssef,0.04,1.81,1.81,0.04,3.41,0.04,0.3,0.0,46.33,75.62,45.45,1.0,79.45,69.23,1.19,27,3,2,Francia Liga 2,3
Christophe Diedhiou,0.18,0.91,1.27,0.0,4.64,0.0,0.55,0.0,36.18,83.17,40.0,1.36,60.0,63.16,0.45,11,3,2,Francia Liga 2,3
Florent Hanin,0.0,1.04,0.92,0.0,1.44,0.0,0.68,0.16,37.88,83.21,47.14,0.8,45.1,58.39,0.36,25,3,2,Francia Liga 2,3
Xavier Kouassi,0.0,1.58,1.42,0.06,3.97,0.06,0.28,0.06,51.69,89.25,55.6,1.22,52.38,63.2,0.89,36,3,2,Francia Liga 2,3
Maxime Sivis,0.05,2.27,1.27,0.05,1.59,0.0,0.86,0.09,36.59,74.66,32.05,0.86,58.62,60.68,1.23,22,2,2,Francia Liga 2,3
Marvin Baudry,0.07,1.43,1.37,0.0,2.3,0.0,0.27,0.07,40.33,80.66,51.81,0.97,64.65,61.39,1.0,30,3,2,Francia Liga 2,3
Dennis Appiah,0.0,3.0,1.21,0.05,1.79,0.0,1.32,0.05,45.16,81.24,37.14,0.95,54.55,54.15,1.53,19,3,2,Francia Liga 2,3
Serge-Philippe Raux-Yao,0.03,1.7,1.6,0.0,3.13,0.0,0.43,0.0,41.97,81.97,52.38,1.0,57.32,60.78,0.9,30,1,2,Francia Liga 2,3
Leo Petrot,0.03,2.21,1.14,0.0,2.45,0.0,0.83,0.1,47.97,83.11,43.41,1.07,52.22,61.09,0.48,29,2,2,Francia Liga 2,3
Benoît Poulain,0.05,0.6,1.3,0.15,4.2,0.0,0.25,0.05,46.65,83.82,50.39,1.15,71.05,68.1,0.6,20,3,2,Francia Liga 2,3
Zargo Touré,0.06,1.19,1.35,0.03,2.61,0.0,0.45,0.06,50.13,85.26,51.74,0.87,48.1,57.23,0.39,31,3,2,Francia Liga 2,3
Ismaël Traoré,0.0,0.9,1.43,0.0,2.7,0.0,0.4,0.03,47.53,91.23,53.79,0.63,39.06,46.77,0.37,30,3,2,Francia Liga 2,3
Ousmane Kanté,0.0,1.5,1.17,0.0,3.33,0.0,0.42,0.08,41.08,88.03,52.94,1.08,51.72,63.16,0.58,12,3,2,Francia Liga 2,3
Allan Tchaptchet,0.04,0.83,0.96,0.04,3.17,0.0,0.58,0.04,44.46,81.26,33.56,0.67,59.15,52.86,0.83,24,1,2,Francia Liga 2,3
Senou Coulibaly,0.0,1.63,1.04,0.0,2.67,0.0,0.33,0.04,40.93,85.43,49.61,0.7,56.79,59.67,0.89,27,2,2,Francia Liga 2,3
Saïdou Sow,0.0,1.96,2.0,0.12,3.32,0.0,0.56,0.04,45.44,83.71,51.55,1.08,57.75,57.29,1.24,25,1,2,Francia Liga 2,3
Jean Ruiz,0.0,1.58,1.06,0.0,3.53,0.0,0.44,0.03,53.03,81.25,43.49,1.0,61.6,58.89,1.03,36,2,2,Francia Liga 2,3
Quentin Lecoeuche,0.0,1.39,1.29,0.0,2.35,0.0,0.68,0.23,38.42,73.3,30.77,0.97,37.14,50.78,0.94,31,2,2,Francia Liga 2,3
Jules Gaudin,0.07,2.03,1.24,0.0,0.97,0.0,1.34,0.07,29.14,73.49,43.7,0.62,65.0,53.93,1.34,29,1,2,Francia Liga 2,3
Hugo Vandermersch,0.03,1.91,1.24,0.0,1.32,0.0,0.71,0.18,38.82,78.26,45.39,0.85,36.07,52.78,1.24,34,1,2,Francia Liga 2,3
Dominique Guidi,0.07,1.82,1.39,0.07,3.36,0.07,0.75,0.04,39.89,75.56,44.86,1.04,64.03,63.1,0.96,28,2,2,Francia Liga 2,3
Bissenty Mendy,0.0,1.61,1.61,0.04,4.48,0.04,0.39,0.04,41.74,79.06,38.0,0.96,56.32,55.85,1.52,23,3,2,Francia Liga 2,3
Emmanuel Ntim,0.09,1.04,1.74,0.0,2.57,0.09,0.43,0.0,49.48,81.9,45.76,0.87,62.79,59.55,0.83,23,2,2,Francia Liga 2,3
Clément Michelin,0.0,0.87,0.61,0.04,1.39,0.0,0.04,0.09,20.57,78.86,38.71,0.43,66.67,69.23,0.7,23,2,2,Francia Liga 2,3
Nicholas Opoku,0.0,1.21,1.15,0.06,2.68,0.03,0.53,0.09,45.21,84.19,48.52,1.24,59.34,59.15,0.91,34,2,2,Francia Liga 2,3
Jonathan Buatu-Mananga,0.08,1.83,0.58,0.0,3.54,0.0,0.21,0.0,43.5,87.93,39.22,1.33,56.58,63.25,0.67,24,2,2,Francia Liga 2,3
Terence Kongolo,0.0,0.64,0.64,0.0,2.5,0.0,0.43,0.07,46.79,86.26,34.72,0.5,59.46,57.33,0.71,14,2,2,Francia Liga 2,3
Yvann Maçon,0.1,2.03,0.97,0.03,0.83,0.0,1.17,0.27,42.63,80.45,57.69,1.1,45.0,45.6,1.53,30,2,2,Francia Liga 2,3
Donatien Gomis,0.05,1.0,1.14,0.05,3.09,0.05,0.5,0.0,47.36,83.11,43.41,1.05,66.07,59.9,1.09,22,2,2,Francia Liga 2,3
Adolphe Teikeu,0.0,1.64,0.91,0.0,1.45,0.0,1.0,0.09,46.82,80.39,41.77,0.55,66.67,58.24,0.91,11,3,2,Francia Liga 2,3
Jordy Gaspar,0.04,1.81,1.38,0.04,2.27,0.0,0.5,0.08,35.81,76.15,29.7,0.62,64.52,57.32,1.12,26,2,2,Francia Liga 2,3
Adama Fofana,0.0,2.46,1.63,0.04,1.13,0.0,0.63,0.04,42.5,77.06,33.1,0.92,33.33,58.13,1.0,24,1,2,Francia Liga 2,3
Guy-Marcelin Kilama,0.0,1.97,1.53,0.09,3.69,0.0,0.34,0.0,42.63,86.29,48.13,1.47,55.17,64.22,0.78,32,1,2,Francia Liga 2,3
Lloyd Palun,0.06,1.65,2.0,0.06,2.35,0.0,0.76,0.0,35.47,77.61,38.1,1.0,55.77,52.9,1.41,17,3,2,Francia Liga 2,3
Bryan Goncalves,0.0,2.04,1.42,0.0,3.81,0.0,0.62,0.0,46.54,76.45,44.03,1.04,60.0,64.68,0.85,26,2,2,Francia Liga 2,3
Allan Linguet,0.03,2.21,0.97,0.0,1.61,0.0,0.48,0.0,31.0,77.52,36.67,0.88,42.11,58.96,0.61,33,1,2,Francia Liga 2,3
Yohan Tavares,0.0,1.06,1.18,0.0,4.26,0.0,0.41,0.0,38.59,86.28,49.65,0.91,67.59,58.17,0.94,34,3,2,Francia Liga 2,3
Loïc Nestor,0.0,0.93,0.93,0.0,2.07,0.0,0.36,0.07,35.0,85.51,54.43,0.71,62.5,61.11,0.5,14,3,2,Francia Liga 2,3
Till Cissokho,0.03,1.11,1.11,0.06,2.56,0.0,0.25,0.0,43.42,84.64,57.87,1.19,67.37,64.06,0.72,36,1,2,Francia Liga 2,3
Mathis Riou,0.0,1.47,0.84,0.0,1.63,0.0,0.32,0.0,46.74,84.8,47.68,0.68,36.59,55.24,0.58,19,1,2,Francia Liga 2,3
Christopher Rocchia,0.0,2.25,1.17,0.17,1.75,0.0,0.17,0.08,43.92,80.46,33.96,0.83,56.25,68.69,1.0,12,2,2,Francia Liga 2,3
Ibrahima Sory Conté,0.05,0.9,1.1,0.0,3.95,0.05,0.52,0.0,40.48,82.82,37.5,1.43,75.38,67.42,0.67,21,2,2,Francia Liga 2,3
Jimmy Giraudon,0.0,1.0,1.63,0.0,2.56,0.0,0.38,0.0,53.06,90.93,67.35,1.31,45.16,51.9,0.88,16,3,2,Francia Liga 2,3
Yasser Balde,0.06,1.24,0.94,0.0,3.0,0.0,0.35,0.06,38.35,80.21,42.61,0.59,52.17,50.43,1.53,17,2,2,Francia Liga 2,3
Anthony Gonçalves,0.03,1.91,1.03,0.0,1.5,0.0,0.94,0.06,31.06,70.02,29.74,0.88,43.33,46.29,1.75,32,3,2,Francia Liga 2,3
Abdallah Ndour,0.04,1.11,0.63,0.04,1.81,0.0,0.67,0.07,43.52,84.51,34.15,0.67,60.0,50.25,1.26,27,2,2,Francia Liga 2,3
Valentin Henry,0.0,1.06,0.88,0.0,1.35,0.0,0.76,0.29,35.82,76.35,43.22,0.82,52.17,57.98,0.59,17,2,2,Francia Liga 2,3
Nasser Djiga,0.0,0.52,1.1,0.0,4.05,0.0,0.19,0.0,50.29,90.34,63.87,1.19,54.39,57.94,0.71,21,1,2,Francia Liga 2,3
Ronny Labonne,0.0,2.13,0.59,0.0,1.34,0.0,0.75,0.09,29.59,75.61,40.0,0.94,26.32,50.86,0.91,32,2,2,Francia Liga 2,3
Stephen Quemper,0.05,1.64,1.23,0.0,1.23,0.0,0.91,0.0,42.59,79.72,47.87,1.05,55.56,45.93,1.09,22,2,2,Francia Liga 2,3
Johann Obiang,0.0,1.46,0.54,0.0,0.85,0.0,0.46,0.23,24.54,76.18,43.24,0.54,30.0,46.43,0.62,13,2,2,Francia Liga 2,3
Mathys Tourraine,0.0,4.38,1.46,0.0,1.38,0.0,2.62,0.0,41.62,77.45,42.86,1.0,37.5,52.78,1.0,13,1,2,Francia Liga 2,3
Nadjib Cisse,0.08,1.77,1.15,0.0,1.92,0.0,1.23,0.0,39.15,81.53,39.06,1.23,63.64,62.1,0.69,13,1,2,Francia Liga 2,3
Lenny Vallier,0.04,2.26,1.15,0.0,1.48,0.0,0.78,0.04,33.07,81.19,45.68,1.44,42.86,56.57,0.85,27,1,2,Francia Liga 2,3
Scotty Sadzoute,0.0,1.43,1.21,0.0,0.93,0.0,0.21,0.0,23.0,81.99,33.33,0.93,36.36,64.71,0.5,14,2,2,Francia Liga 2,3
Thibault Vargas,0.04,0.92,0.52,0.0,0.88,0.0,0.64,0.2,27.44,77.99,42.86,1.16,36.11,47.71,0.6,25,1,2,Francia Liga 2,3
Patrick Burner,0.0,1.36,1.67,0.03,1.79,0.0,0.7,0.06,30.21,80.34,43.97,1.0,40.0,51.77,0.58,33,2,2,Francia Liga 2,3
Jaouen Hadjam,0.0,1.36,0.27,0.0,0.18,0.0,0.18,0.0,15.45,80.0,36.36,0.45,40.0,56.06,0.55,11,1,2,Francia Liga 2,3
Vincent Manceau,0.0,1.64,0.76,0.0,1.2,0.04,0.44,0.04,36.88,83.19,49.02,0.92,34.38,52.14,0.68,25,3,2,Francia Liga 2,3
Abdourahmane Barry,0.0,1.1,0.85,0.0,1.45,0.05,0.35,0.0,26.2,77.1,46.25,0.8,60.87,53.41,1.05,20,1,2,Francia Liga 2,3
Quentin Bernard,0.0,1.88,1.65,0.06,3.24,0.0,1.41,0.12,49.0,78.87,44.59,1.82,62.5,55.91,0.59,17,3,2,Francia Liga 2,3
Erwin Koffi,0.03,0.68,1.34,0.0,1.61,0.0,0.45,0.16,43.03,77.61,44.05,1.21,44.19,47.69,0.18,38,2,2,Francia Liga 2,3
Samir Sophian Chergui,0.03,1.17,0.86,0.14,1.38,0.0,0.45,0.03,49.14,91.02,76.76,0.93,60.27,54.64,1.34,29,1,2,Francia Liga 2,3
Joris Chougrani,0.0,0.72,0.89,0.0,1.72,0.0,0.5,0.0,34.72,76.64,43.48,0.67,48.0,45.45,1.06,18,3,2,Francia Liga 2,3
Jean Lambert Evan's Allan,0.04,2.35,1.12,0.0,1.12,0.0,0.62,0.19,26.5,74.89,30.77,0.81,50.0,46.74,1.35,26,2,2,Francia Liga 2,3
Maxime Bastian,0.0,3.25,0.96,0.0,1.08,0.0,1.25,0.21,35.08,68.05,28.21,1.08,50.0,55.73,1.04,24,1,2,Francia Liga 2,3
Loris Mouyokolo,0.0,1.56,0.69,0.06,2.94,0.0,0.31,0.0,30.13,84.02,44.78,0.94,53.33,50.94,1.38,16,1,2,Francia Liga 2,3
Alpha Sissoko,0.0,0.97,1.88,0.0,1.0,0.03,0.38,0.15,34.12,77.59,45.18,0.79,54.55,54.35,0.65,34,2,2,Francia Liga 2,3
Noé Sow,0.0,1.35,1.26,0.0,1.39,0.0,0.52,0.0,34.57,80.0,36.92,0.57,52.0,54.4,0.83,23,2,2,Francia Liga 2,3
Gaby Jean,0.0,1.41,1.08,0.0,2.41,0.03,0.65,0.05,47.68,72.96,27.95,1.16,68.71,60.96,0.65,37,1,2,Francia Liga 2,3
Mickael Nade,0.06,1.63,0.88,0.0,1.44,0.06,0.13,0.0,31.19,86.37,50.0,1.25,75.0,65.93,1.19,16,1,2,Francia Liga 2,3
Lucas Buades,0.06,0.65,0.35,0.0,0.59,0.06,0.35,0.0,7.47,72.44,80.0,0.35,36.36,56.25,0.41,17,2,2,Francia Liga 2,3
Edson Seidou,0.03,2.05,0.82,0.03,0.79,0.03,0.71,0.08,29.03,78.97,44.17,0.92,45.21,52.17,1.29,38,3,2,Francia Liga 2,3
Kelyan Guessoum,0.03,1.28,1.59,0.0,1.79,0.0,0.55,0.03,32.86,82.9,39.6,1.17,52.0,53.27,1.07,29,1,2,Francia Liga 2,3
Joris Sainati,0.0,1.18,1.36,0.09,2.27,0.05,0.45,0.0,38.73,75.7,35.14,1.0,58.67,51.46,1.86,22,3,2,Francia Liga 2,3
Dembo Sylla,0.0,1.07,0.6,0.0,0.8,0.0,0.4,0.0,16.67,77.0,52.94,0.73,38.89,50.51,0.7,30,1,2,Francia Liga 2,3
Youssouf Assogba,0.08,1.0,1.42,0.0,1.33,0.08,1.08,0.0,25.08,82.72,37.14,0.83,45.71,41.11,1.0,12,1,2,Francia Liga 2,3
Dylan Durivaux,0.0,1.32,1.11,0.0,1.68,0.0,0.37,0.0,39.53,81.36,38.6,1.58,43.75,50.81,1.0,19,1,2,Francia Liga 2,3
Joris Moutachy,0.0,1.33,1.56,0.04,1.26,0.0,0.59,0.11,34.3,80.56,42.57,1.07,47.22,52.78,0.96,27,2,2,Francia Liga 2,3
Jason Pendant,0.0,1.25,1.38,0.0,1.63,0.0,0.78,0.06,34.75,76.35,37.13,0.91,53.19,50.54,0.41,32,2,2,Francia Liga 2,3
Francois Lajugie,0.0,1.71,1.17,0.03,1.83,0.0,0.37,0.0,37.51,70.22,27.1,1.06,69.03,62.19,1.0,35,2,2,Francia Liga 2,3
Anthony Roncaglia,0.0,1.0,0.67,0.0,0.2,0.0,0.67,0.0,11.73,76.7,72.22,0.13,54.17,51.67,0.4,15,1,2,Francia Liga 2,3
Gaëtan Paquiez,0.0,1.64,1.55,0.05,1.5,0.0,0.77,0.05,30.0,74.55,33.33,0.82,48.78,51.32,1.05,22,2,2,Francia Liga 2,3
Yoël Armougom,0.0,0.75,0.85,0.0,0.75,0.0,0.55,0.1,28.7,81.53,46.15,0.85,41.67,42.86,0.65,20,2,2,Francia Liga 2,3
Abzi Diyaeddine,0.03,1.24,1.28,0.0,1.0,0.0,0.79,0.07,20.66,69.28,35.63,0.9,44.83,45.16,0.9,29,2,2,Francia Liga 2,3
Kassoum Ouattara,0.0,2.09,1.73,0.0,2.0,0.0,1.64,0.0,33.64,75.14,35.9,1.18,38.89,40.46,1.36,11,1,2,Francia Liga 2,3
Sebastian Ring,0.0,1.15,0.58,0.0,0.46,0.0,1.04,0.04,20.19,82.29,46.34,0.88,40.0,46.9,0.69,26,2,2,Francia Liga 2,3
Rémy Duterte,0.0,1.0,0.45,0.09,0.09,0.0,0.64,0.0,12.36,75.0,41.18,0.82,37.5,51.67,0.73,11,2,2,Francia Liga 2,3
Arnold Temanfo,0.03,0.82,0.79,0.0,0.91,0.0,0.56,0.03,22.12,71.14,34.62,1.0,50.79,47.31,0.97,34,2,2,Francia Liga 2,3
Bradley Matufueni M'bondo,0.0,1.14,0.71,0.14,2.29,0.0,0.07,0.0,29.71,87.98,38.46,1.5,42.31,50.88,0.79,14,1,2,Francia Liga 2,3
Antoine Batisse,0.0,0.73,0.64,0.0,1.91,0.09,0.0,0.0,31.82,79.43,29.63,1.55,54.55,54.29,1.18,11,2,2,Francia Liga 2,3
Cheick Traoré,0.0,0.79,0.79,0.0,0.9,0.0,0.31,0.03,28.55,75.72,29.91,0.69,34.29,42.86,0.93,29,2,2,Francia Liga 2,3
Ehsan Haji Safi,0.0,1.48,1.21,0.03,0.76,0.0,0.45,0.1,46.72,79.26,54.75,0.45,63.33,61.64,0.72,29,3,2,Grecia Stoiximan Super League,3
Harold Moukoudi,0.07,1.11,1.81,0.0,1.48,0.0,0.33,0.0,55.11,90.46,74.87,0.41,63.41,56.62,1.22,27,2,2,Grecia Stoiximan Super League,3
Giannis Kotsiras,0.0,1.88,1.32,0.0,0.8,0.0,0.2,0.0,47.08,83.94,60.32,0.44,46.15,69.05,0.56,25,3,2,Grecia Stoiximan Super League,3
Domagoj Vida,0.03,0.84,1.52,0.0,1.71,0.0,0.19,0.03,58.0,86.37,62.41,0.45,59.21,56.5,1.03,31,3,2,Grecia Stoiximan Super League,3
Hörður Magnússon,0.04,1.08,1.25,0.04,1.88,0.0,0.38,0.0,56.17,83.38,50.21,0.38,62.86,57.8,0.92,24,2,2,Grecia Stoiximan Super League,3
Zvonimir Šarlija,0.0,0.67,0.86,0.0,1.67,0.0,0.05,0.05,53.1,90.49,57.55,0.29,68.18,65.93,1.0,21,2,2,Grecia Stoiximan Super League,3
Praxitelis Vouros,0.0,1.24,2.34,0.0,3.21,0.0,0.21,0.0,54.21,89.63,65.87,1.03,62.86,54.92,1.14,29,2,2,Grecia Stoiximan Super League,3
Dimitris Chatziisaias,0.03,1.13,1.55,0.1,3.42,0.0,0.06,0.0,49.74,84.24,50.66,0.87,67.27,73.58,0.61,31,3,2,Grecia Stoiximan Super League,3
Sverrir Ingi Ingason,0.1,1.0,0.53,0.0,3.33,0.0,0.17,0.03,64.8,85.55,48.02,0.73,67.16,61.96,1.03,30,2,2,Grecia Stoiximan Super League,3
Bart Schenkeveld,0.0,0.56,0.74,0.07,1.85,0.0,0.04,0.0,61.07,90.18,67.43,0.41,76.74,63.81,0.85,27,3,2,Grecia Stoiximan Super League,3
Djibril Sidibé,0.0,1.17,0.83,0.0,0.5,0.0,0.0,0.17,31.25,78.67,62.26,0.17,54.55,56.0,0.92,12,3,2,Grecia Stoiximan Super League,3
Rodinei,0.0,1.89,1.21,0.0,1.32,0.0,0.42,0.11,37.47,80.9,59.62,0.53,50.0,53.05,1.32,19,3,2,Grecia Stoiximan Super League,3
Jakub Brabec,0.04,1.22,1.61,0.04,2.52,0.0,0.39,0.0,65.22,88.73,57.89,0.83,62.07,56.92,0.96,23,3,2,Grecia Stoiximan Super League,3
Sokratis,0.07,0.93,0.78,0.0,1.96,0.04,0.11,0.0,51.22,87.42,58.54,0.52,73.85,62.84,1.41,27,3,2,Grecia Stoiximan Super League,3
Andreas Ndoj,0.05,0.67,0.76,0.0,2.0,0.0,0.05,0.05,48.95,89.4,50.47,0.19,70.59,62.5,0.67,21,1,2,Grecia Stoiximan Super League,3
Pichu Atienza,0.05,0.59,0.86,0.0,3.09,0.0,0.14,0.0,60.68,87.87,64.6,0.86,36.84,38.27,0.91,22,3,2,Grecia Stoiximan Super League,3
Apostolos Diamantis,0.07,0.57,1.97,0.03,3.47,0.0,0.13,0.0,50.03,85.74,56.6,0.93,55.56,46.79,1.13,30,1,2,Grecia Stoiximan Super League,3
Konstantinos Koulierakis,0.08,0.88,0.88,0.08,3.48,0.08,0.24,0.0,58.12,85.07,46.78,0.56,74.0,66.67,1.0,25,1,2,Grecia Stoiximan Super League,3
Laurens De Bock,0.0,2.0,1.86,0.0,1.79,0.0,0.55,0.07,41.69,83.29,60.22,1.07,57.14,56.82,1.07,29,3,2,Grecia Stoiximan Super League,3
Lazaros Rota,0.0,1.77,0.94,0.03,0.71,0.0,0.48,0.06,40.29,86.23,59.35,0.42,46.43,55.34,1.06,31,2,2,Grecia Stoiximan Super League,3
Dmytro Chygrynskiy,0.04,1.0,1.69,0.04,4.04,0.0,0.19,0.04,39.35,83.48,66.19,1.23,62.69,56.16,1.42,26,3,2,Grecia Stoiximan Super League,3
Georgios Tzavellas,0.0,0.08,1.23,0.0,2.85,0.0,0.08,0.08,45.62,84.99,53.13,0.31,57.89,58.7,0.62,13,3,2,Grecia Stoiximan Super League,3
Fabiano,0.09,0.78,0.91,0.0,3.13,0.0,0.41,0.0,58.78,86.5,53.54,0.97,66.13,56.86,0.88,32,3,2,Grecia Stoiximan Super League,3
Oleg Reabciuk,0.03,1.3,1.1,0.03,0.93,0.0,0.33,0.07,35.03,81.64,45.71,0.63,55.88,57.0,1.63,30,2,2,Grecia Stoiximan Super League,3
Vieirinha,0.0,0.73,0.53,0.0,0.33,0.0,0.07,0.07,24.8,84.41,60.61,0.33,33.33,66.67,0.27,15,3,2,Grecia Stoiximan Super League,3
Juankar,0.0,1.27,1.21,0.0,0.85,0.0,0.48,0.06,30.3,80.4,48.48,0.39,52.17,55.11,0.97,33,3,2,Grecia Stoiximan Super League,3
Rodrigo Erramuspe,0.29,1.0,1.23,0.0,3.23,0.0,0.35,0.03,44.71,82.61,50.55,1.16,52.27,48.53,1.19,31,3,2,Grecia Stoiximan Super League,3
Alexandros Malis,0.09,0.91,0.91,0.0,2.45,0.0,0.45,0.0,45.27,85.14,46.97,0.91,65.0,56.6,0.91,11,2,2,Grecia Stoiximan Super League,3
Carles Soria,0.0,1.65,0.87,0.03,1.42,0.0,0.23,0.06,36.74,76.82,48.39,1.16,42.11,49.7,1.16,31,2,2,Grecia Stoiximan Super League,3
Federico Álvarez,0.03,1.62,1.07,0.03,1.31,0.0,0.48,0.03,37.72,79.8,43.83,0.83,78.26,59.28,0.93,29,2,2,Grecia Stoiximan Super League,3
Stefanos Stroungis,0.0,0.83,0.67,0.0,5.17,0.0,0.17,0.0,47.5,83.86,47.56,0.92,65.91,59.49,1.17,12,2,2,Grecia Stoiximan Super League,3
Pepe Castaño,0.03,0.73,0.9,0.0,3.73,0.03,0.2,0.0,54.7,92.81,59.46,0.87,57.45,53.15,1.27,30,2,2,Grecia Stoiximan Super League,3
Milad Mohammadi,0.0,1.0,0.31,0.0,0.38,0.0,0.15,0.0,24.77,80.43,50.0,0.15,45.45,45.0,1.31,13,2,2,Grecia Stoiximan Super League,3
Ervin Zukanović,0.06,0.39,1.5,0.0,2.39,0.0,0.39,0.0,40.39,88.86,62.83,0.94,61.9,52.27,0.33,18,3,2,Grecia Stoiximan Super League,3
Triantafyllos Pasalidis,0.0,1.14,1.41,0.0,3.14,0.0,0.18,0.05,39.14,84.2,43.2,0.73,61.29,55.74,1.68,22,2,2,Grecia Stoiximan Super League,3
Georgios Kornezos,0.05,1.14,1.95,0.0,2.91,0.0,0.18,0.0,33.41,80.41,46.3,1.55,62.07,58.04,0.77,22,2,2,Grecia Stoiximan Super League,3
Rafa Soares,0.0,0.92,0.88,0.0,1.46,0.0,0.35,0.19,40.42,81.26,47.75,0.69,44.44,36.36,0.92,26,2,2,Grecia Stoiximan Super League,3
Derek Cornelius,0.0,1.31,1.69,0.0,5.08,0.0,0.15,0.0,37.08,75.31,34.13,0.85,60.0,61.9,1.08,13,2,2,Grecia Stoiximan Super League,3
Rodrigo Escoval,0.0,0.86,1.59,0.0,3.55,0.0,0.24,0.0,42.38,79.9,52.4,1.07,57.63,56.49,0.9,29,2,2,Grecia Stoiximan Super League,3
Theofanis Mavromatis,0.0,0.39,1.5,0.11,3.72,0.0,0.06,0.06,34.94,80.29,38.66,0.72,67.74,58.06,0.67,18,2,2,Grecia Stoiximan Super League,3
Georgios Mygas,0.0,1.97,1.41,0.03,1.52,0.03,0.28,0.21,25.97,66.67,37.74,1.24,62.07,54.76,1.86,29,2,2,Grecia Stoiximan Super League,3
Bradley Mazikou,0.0,1.29,1.21,0.07,0.96,0.0,0.29,0.11,34.11,85.03,57.14,0.89,46.43,62.58,0.75,28,2,2,Grecia Stoiximan Super League,3
David Carmona,0.0,2.39,1.3,0.04,1.96,0.0,0.74,0.0,31.22,75.63,46.39,0.83,56.0,56.47,1.22,23,2,2,Grecia Stoiximan Super League,3
Wajdi Kechrida,0.03,1.1,1.2,0.0,1.43,0.0,0.27,0.13,40.67,79.59,51.55,0.9,73.68,47.92,1.23,30,2,2,Grecia Stoiximan Super League,3
