Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Aníbal Leguizamón,0.08,1.46,1.15,0.04,3.31,0.0,0.62,0.0,44.31,81.16,47.39,0.81,60.0,54.36,0.96,26,3,2,Ecuador Serie A,3
Jhonnier Chala,0.11,1.67,1.48,0.04,4.0,0.04,0.67,0.0,19.3,66.79,44.62,1.33,66.67,61.84,1.74,27,1,2,Ecuador Serie A,3
Franklin Guerra,0.03,0.86,1.03,0.0,4.31,0.03,0.17,0.03,44.9,85.87,56.92,1.07,57.73,55.74,1.21,29,3,2,Ecuador Serie A,3
Caín Fara,0.0,2.25,1.67,0.0,2.92,0.0,0.75,0.0,34.33,74.51,39.47,0.75,54.17,53.21,2.0,12,2,2,Ecuador Serie A,3
Tomás Oneto,0.07,1.14,1.0,0.0,2.79,0.0,0.21,0.0,35.36,85.45,60.19,1.5,69.23,66.67,0.71,14,2,2,Ecuador Serie A,3
Jerry Parrales,0.04,1.48,1.76,0.08,3.2,0.04,1.08,0.08,26.2,64.73,37.91,1.32,62.0,53.93,1.32,25,2,2,Ecuador Serie A,3
Jhon Ontaneda,0.0,1.67,1.48,0.0,4.3,0.0,0.7,0.04,39.04,79.13,46.63,1.41,64.18,59.89,0.78,27,2,2,Ecuador Serie A,3
Gabriel Achilier,0.07,1.07,0.9,0.07,2.66,0.0,0.28,0.0,37.14,78.92,44.44,0.9,72.37,67.44,0.93,29,3,2,Ecuador Serie A,3
Joao Quinones,0.0,0.91,0.55,0.0,4.91,0.0,0.45,0.0,25.27,76.26,46.67,0.91,51.72,50.0,1.27,11,1,2,Ecuador Serie A,3
Bryan Ramirez,0.0,0.68,0.8,0.04,0.8,0.0,0.12,0.16,29.6,87.3,70.69,0.24,56.52,48.7,0.76,25,1,2,Ecuador Serie A,3
Luca Sosa,0.07,0.97,0.76,0.03,3.34,0.0,0.14,0.14,42.14,77.74,45.03,1.0,57.81,60.9,0.69,29,2,2,Ecuador Serie A,3
Luis Castillo,0.0,1.09,0.91,0.0,0.91,0.0,0.55,0.18,12.55,73.19,28.0,0.0,66.67,54.24,0.91,11,1,2,Ecuador Serie A,3
Dennis Quintero,0.0,0.8,1.36,0.08,4.44,0.0,0.4,0.04,28.08,74.22,43.59,1.0,59.65,59.73,0.92,25,2,2,Ecuador Serie A,3
Leonel Quiñónez,0.04,0.57,0.74,0.0,1.04,0.0,0.3,0.04,33.0,82.35,50.39,0.52,71.43,53.09,0.65,23,2,2,Ecuador Serie A,3
Facundo Rivero,0.14,1.57,1.38,0.1,2.67,0.0,0.62,0.05,27.52,71.11,50.63,1.14,77.78,58.41,1.1,21,2,2,Ecuador Serie A,3
Arián Pucheta,0.0,1.61,1.7,0.0,3.83,0.0,0.52,0.04,27.26,73.21,47.49,0.83,56.76,62.61,0.61,23,2,2,Ecuador Serie A,3
Marcos Andrés López,0.03,1.57,0.9,0.0,1.37,0.0,0.73,0.07,35.23,79.47,43.75,0.9,38.89,54.17,0.6,30,2,2,Ecuador Serie A,3
Maikel Reyes,0.05,1.59,1.0,0.0,1.36,0.0,0.32,0.0,16.27,68.99,34.38,0.55,55.0,60.5,0.91,22,1,2,Ecuador Serie A,3
Pedro Velasco,0.0,0.69,0.54,0.0,1.38,0.0,0.23,0.23,24.62,75.31,47.37,0.92,53.33,60.42,0.15,13,2,2,Ecuador Serie A,3
Guillermo Fratta,0.0,0.73,0.45,0.0,3.73,0.0,0.55,0.0,30.18,75.9,46.07,0.82,66.67,56.72,1.27,11,2,2,Ecuador Serie A,3
Darío Aimar,0.0,0.61,0.5,0.0,3.94,0.06,0.28,0.0,41.72,86.15,52.27,1.0,56.67,58.44,0.67,18,2,2,Ecuador Serie A,3
Mateo Carabajal,0.0,1.48,0.57,0.0,2.0,0.0,0.39,0.0,51.48,88.94,48.28,0.65,53.33,63.27,0.87,23,2,2,Ecuador Serie A,3
