Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Jake Clarke-Salter,0.0,0.0,2.13,1.5,0.0,2.88,0.0,0.19,0.0,46.94,77.1,3.13,34.23,0.94,70.73,64.86,1.0,16.0,2.0,2.0,Inglaterra Championship,2.0
Francisco Sierralta,0.06,0.06,1.11,1.11,0.0,5.78,0.0,0.39,0.0,40.28,83.59,1.17,40.96,0.72,80.56,66.17,1.11,18.0,2.0,2.0,Inglaterra Championship,2.0
Callum Doyle,0.0,0.0,1.73,1.24,0.0,2.95,0.0,0.76,0.0,40.22,74.29,4.17,39.06,0.9,53.45,54.15,0.73,41.0,1.0,2.0,Inglaterra Championship,2.0
Gabriel Osho,0.07,0.0,1.3,1.19,0.07,2.67,0.0,0.26,0.07,27.22,71.84,4.48,37.95,0.67,68.24,63.3,0.93,27.0,2.0,2.0,Inglaterra Championship,2.0
Andrew Hughes,0.07,0.0,1.7,0.97,0.0,2.63,0.03,0.47,0.07,39.8,73.95,5.1,37.09,1.17,64.38,63.0,0.83,30.0,3.0,2.0,Inglaterra Championship,2.0
Kyle Bartley,0.15,0.15,0.38,0.62,0.0,3.15,0.0,0.08,0.0,31.23,77.59,1.31,21.15,0.62,73.13,67.78,0.62,13.0,3.0,2.0,Inglaterra Championship,2.0
Harlee Dean,0.06,0.06,0.63,1.19,0.0,4.25,0.0,0.19,0.0,26.38,68.48,2.13,34.12,0.81,71.43,67.39,0.56,16.0,3.0,2.0,Inglaterra Championship,2.0
Yuta Nakayama,0.14,0.07,1.14,0.93,0.0,2.5,0.0,0.5,0.07,40.57,79.4,4.14,45.07,0.93,65.52,54.39,1.0,14.0,2.0,2.0,Inglaterra Championship,2.0
Jimmy Dunne,0.05,0.0,1.03,1.25,0.03,4.4,0.03,0.28,0.03,47.95,74.5,3.3,32.36,1.38,68.63,68.31,0.58,40.0,2.0,2.0,Inglaterra Championship,2.0
Connor Taylor,0.0,0.0,1.0,1.5,0.07,2.29,0.0,0.36,0.0,40.14,81.49,3.21,43.08,0.86,68.42,64.08,0.57,14.0,1.0,2.0,Inglaterra Championship,2.0
Jacob Lungi Sørensen,0.05,0.0,1.84,0.68,0.0,1.63,0.0,0.68,0.05,38.53,82.1,4.05,41.3,0.84,56.0,59.85,0.63,19.0,2.0,2.0,Inglaterra Championship,2.0
Sam Byram,0.07,0.0,2.07,0.73,0.0,1.87,0.0,0.27,0.0,46.07,77.28,8.13,33.78,0.67,48.98,58.54,0.73,15.0,2.0,2.0,Inglaterra Championship,2.0
Grant Hall,0.0,0.0,1.4,1.15,0.05,3.8,0.05,0.25,0.0,30.05,72.71,2.9,38.37,0.7,69.32,68.24,0.5,20.0,3.0,2.0,Inglaterra Championship,2.0
William Troost-Ekong,0.07,0.0,0.73,1.0,0.0,2.33,0.0,0.2,0.0,44.0,81.06,1.33,49.21,0.93,58.89,57.39,0.47,15.0,2.0,2.0,Inglaterra Championship,2.0
Dion Sanderson,0.06,0.0,1.58,1.19,0.03,2.65,0.0,0.23,0.06,30.77,77.57,2.71,45.02,1.1,51.0,53.68,1.0,31.0,1.0,2.0,Inglaterra Championship,2.0
Harry Darling,0.13,0.06,0.55,0.32,0.03,2.32,0.06,0.42,0.1,62.94,90.67,7.48,39.2,0.94,47.66,50.67,0.74,31.0,1.0,2.0,Inglaterra Championship,2.0
Callum Elder,0.0,0.0,0.93,0.9,0.03,1.79,0.0,0.34,0.1,26.45,71.58,4.55,31.75,0.79,60.61,54.37,0.9,29.0,2.0,2.0,Inglaterra Championship,2.0
Charlie Hughes,0.05,0.05,0.8,1.25,0.0,3.4,0.0,0.25,0.0,41.95,73.66,3.7,36.04,1.0,59.09,59.23,0.7,20.0,1.0,2.0,Inglaterra Championship,2.0
Danny Batth,0.0,0.0,0.7,0.85,0.03,3.95,0.0,0.23,0.03,45.83,80.91,0.93,40.98,0.93,65.6,62.58,0.73,40.0,3.0,2.0,Inglaterra Championship,2.0
Semi Ajayi,0.09,0.0,1.05,1.09,0.05,2.14,0.05,0.45,0.0,39.86,84.15,2.64,48.74,0.73,66.23,62.96,0.5,22.0,2.0,2.0,Inglaterra Championship,2.0
Thomas Holmes,0.0,0.0,1.2,1.53,0.0,4.43,0.0,0.53,0.03,37.43,77.02,2.93,46.75,1.15,58.02,55.66,0.7,40.0,1.0,2.0,Inglaterra Championship,2.0
Erik Pieters,0.0,0.0,0.67,1.28,0.03,3.31,0.0,0.17,0.0,49.17,82.82,3.94,44.4,0.78,57.97,56.68,0.64,36.0,3.0,2.0,Inglaterra Championship,2.0
Andrew Omobamidele,0.03,0.0,1.21,0.79,0.0,2.71,0.0,0.5,0.0,54.12,87.93,4.26,46.15,1.0,58.88,60.27,0.59,34.0,1.0,2.0,Inglaterra Championship,2.0
James Morris,0.0,0.0,2.17,0.58,0.0,0.58,0.0,0.42,0.08,21.08,74.7,4.33,29.41,0.58,38.89,61.76,0.5,12.0,1.0,2.0,Inglaterra Championship,2.0
Tommy Smith,0.0,0.0,1.78,1.14,0.0,1.53,0.0,0.75,0.06,53.06,83.4,11.64,42.08,0.81,53.7,53.85,1.0,36.0,3.0,2.0,Inglaterra Championship,2.0
Darnell Furlong,0.05,0.03,0.78,0.88,0.0,1.75,0.0,0.43,0.08,42.0,75.48,8.25,27.05,0.7,58.67,54.15,1.18,40.0,2.0,2.0,Inglaterra Championship,2.0
Lee Peltier,0.03,0.03,1.59,0.88,0.0,3.26,0.0,0.32,0.0,26.97,63.36,5.38,29.41,1.06,59.71,59.14,0.82,34.0,3.0,2.0,Inglaterra Championship,2.0
Luke O'Nien,0.05,0.0,1.39,1.66,0.02,2.61,0.0,0.78,0.02,50.85,84.03,4.8,46.75,0.83,54.76,53.44,1.05,41.0,2.0,2.0,Inglaterra Championship,2.0
Murray Wallace,0.0,0.0,1.7,1.08,0.0,2.0,0.0,0.81,0.11,38.95,63.71,6.81,29.07,0.86,71.59,62.11,0.95,37.0,2.0,2.0,Inglaterra Championship,2.0
Harry Pickering,0.03,0.0,1.55,0.68,0.0,1.95,0.03,0.5,0.05,46.05,78.88,7.45,38.74,0.8,42.45,53.21,0.63,40.0,1.0,2.0,Inglaterra Championship,2.0
Jordan Thorniley,0.03,0.03,1.0,1.1,0.0,3.87,0.0,0.5,0.13,31.57,73.92,2.07,36.36,1.0,63.64,60.83,0.67,30.0,2.0,2.0,Inglaterra Championship,2.0
Cyrus Christie,0.11,0.0,1.57,1.25,0.04,1.61,0.0,0.54,0.04,41.57,76.63,7.43,30.3,0.79,51.38,46.32,1.11,28.0,3.0,2.0,Inglaterra Championship,2.0
Sonny Bradley,0.0,0.0,0.47,0.63,0.0,3.79,0.0,0.42,0.0,29.63,74.25,1.79,39.58,0.58,62.34,58.97,0.47,19.0,3.0,2.0,Inglaterra Championship,2.0
Maxime Colin,0.05,0.02,1.82,1.2,0.0,2.64,0.0,0.55,0.02,30.68,68.3,6.16,33.99,1.07,52.48,54.66,0.73,44.0,3.0,2.0,Inglaterra Championship,2.0
Amadou Salif Mbengue,0.04,0.04,1.65,1.35,0.0,2.27,0.08,1.0,0.0,23.04,75.13,2.19,41.44,0.85,47.83,50.0,0.81,26.0,1.0,2.0,Inglaterra Championship,2.0
Matthew Pearson,0.28,0.11,1.22,1.39,0.06,2.44,0.0,0.72,0.0,25.17,56.95,2.06,17.76,0.89,57.75,52.0,1.28,18.0,2.0,2.0,Inglaterra Championship,2.0
Paddy McNair,0.03,0.0,1.27,0.67,0.0,2.1,0.03,0.6,0.07,51.3,83.37,6.7,35.86,0.9,55.81,59.41,0.6,30.0,2.0,2.0,Inglaterra Championship,2.0
Nathan Wood,0.0,0.0,1.03,0.98,0.0,2.68,0.0,0.43,0.0,67.05,91.8,5.03,53.52,1.3,59.23,57.49,0.58,40.0,1.0,2.0,Inglaterra Championship,2.0
Marvin Ekpiteta,0.04,0.0,1.28,1.4,0.04,4.64,0.0,0.08,0.04,30.92,71.67,2.28,34.88,1.2,67.83,65.15,0.88,25.0,2.0,2.0,Inglaterra Championship,2.0
Max Aarons,0.02,0.0,1.87,1.04,0.0,1.44,0.02,0.47,0.02,44.76,81.48,10.53,34.98,0.93,37.04,55.3,0.51,45.0,1.0,2.0,Inglaterra Championship,2.0
Dennis Cirkin,0.18,0.11,1.29,1.14,0.0,2.0,0.0,0.43,0.04,26.86,78.19,4.29,29.69,0.75,44.59,51.95,1.0,28.0,1.0,2.0,Inglaterra Championship,2.0
Joe Rankin-Costello,0.08,0.0,1.83,1.25,0.0,1.63,0.0,0.79,0.04,37.29,68.04,5.88,34.76,0.83,61.36,56.25,0.54,24.0,1.0,2.0,Inglaterra Championship,2.0
Robert Dickie,0.0,0.0,1.42,1.76,0.05,3.5,0.03,0.24,0.0,41.08,79.95,2.76,33.04,1.39,76.83,68.61,1.11,38.0,2.0,2.0,Inglaterra Championship,2.0
Jeremy Ngakia,0.0,0.0,2.29,0.86,0.0,1.79,0.0,0.5,0.0,20.36,70.88,4.93,29.03,0.71,30.43,52.94,1.29,14.0,1.0,2.0,Inglaterra Championship,2.0
Josh Ruffels,0.09,0.0,0.97,1.58,0.03,2.45,0.0,0.27,0.03,27.45,62.69,4.7,28.4,0.88,51.54,50.95,0.36,33.0,2.0,2.0,Inglaterra Championship,2.0
Bailey Wright,0.0,0.0,0.57,0.38,0.0,2.43,0.0,0.14,0.0,26.43,76.94,2.1,41.67,0.52,54.65,55.93,0.38,21.0,3.0,2.0,Inglaterra Championship,2.0
Tom McIntyre,0.05,0.05,1.16,1.0,0.03,2.42,0.0,0.61,0.05,36.16,75.69,4.32,39.9,1.29,64.43,57.81,0.76,38.0,2.0,2.0,Inglaterra Championship,2.0
Curtis Nelson,0.04,0.0,0.85,1.26,0.07,5.11,0.04,0.19,0.0,31.96,71.61,2.15,34.67,1.3,59.54,59.03,0.63,27.0,2.0,2.0,Inglaterra Championship,2.0
Jason Kerr,0.0,0.0,1.63,1.06,0.06,2.75,0.0,0.31,0.06,37.69,70.65,3.5,31.97,1.06,67.82,67.83,0.56,16.0,2.0,2.0,Inglaterra Championship,2.0
Cameron Humphreys,0.0,0.0,1.29,0.82,0.03,4.03,0.0,0.29,0.03,28.05,69.89,2.95,39.27,0.84,55.88,57.14,0.66,38.0,2.0,2.0,Inglaterra Championship,2.0
Enda Stevens,0.0,0.0,2.33,0.67,0.0,1.08,0.08,0.83,0.17,22.75,70.7,6.33,50.0,0.42,45.45,48.0,1.33,12.0,3.0,2.0,Inglaterra Championship,2.0
Jordan Lawrence-Gabriel,0.0,0.0,1.6,1.3,0.0,2.05,0.0,0.5,0.1,21.6,64.12,3.55,32.88,1.15,54.76,57.37,0.85,20.0,2.0,2.0,Inglaterra Championship,2.0
Michael Rose,0.0,0.0,0.96,1.42,0.0,2.96,0.0,0.33,0.0,34.88,76.46,2.29,50.34,1.08,57.95,60.29,0.25,24.0,2.0,2.0,Inglaterra Championship,2.0
Dujon Sterling,0.0,0.0,1.69,1.31,0.0,1.38,0.0,0.77,0.04,32.62,75.0,7.65,38.58,0.69,50.65,53.39,0.58,26.0,1.0,2.0,Inglaterra Championship,2.0
Lynden Gooch,0.03,0.0,1.53,0.63,0.0,1.43,0.0,0.73,0.07,36.47,75.59,7.8,34.19,0.87,50.0,50.22,1.0,30.0,2.0,2.0,Inglaterra Championship,2.0
Rhys Norrington-Davies,0.0,0.0,1.4,0.53,0.0,1.73,0.07,0.6,0.0,42.47,75.98,9.4,39.29,0.8,53.33,50.98,1.33,15.0,1.0,2.0,Inglaterra Championship,2.0
Lewie Coyle,0.0,0.0,1.24,0.49,0.02,1.76,0.0,0.56,0.15,29.15,73.97,5.24,31.07,0.73,48.0,56.1,0.54,41.0,2.0,2.0,Inglaterra Championship,2.0
Danny McNamara,0.0,0.0,1.64,1.29,0.0,1.64,0.0,0.5,0.02,32.64,68.85,7.4,28.02,0.83,47.71,54.87,0.67,42.0,1.0,2.0,Inglaterra Championship,2.0
Nesta Guinness-Walker,0.0,0.0,1.04,0.71,0.0,1.14,0.0,0.57,0.0,15.93,69.96,3.0,28.77,0.82,44.44,54.95,0.46,28.0,1.0,2.0,Inglaterra Championship,2.0
Josh Tymon,0.04,0.0,0.89,0.57,0.0,0.93,0.0,0.36,0.18,23.46,73.82,6.11,41.49,0.86,26.47,40.0,0.5,28.0,1.0,2.0,Inglaterra Championship,2.0
Wes Harding,0.02,0.0,1.14,1.26,0.05,2.47,0.0,0.49,0.12,24.67,65.88,4.33,31.64,1.09,48.51,48.6,0.77,43.0,2.0,2.0,Inglaterra Championship,2.0
Callum Brittain,0.0,0.0,2.04,0.52,0.0,1.37,0.0,0.52,0.07,26.7,79.06,3.78,48.57,0.48,53.13,53.09,0.48,27.0,2.0,2.0,Inglaterra Championship,2.0
Taylor Gardner-Hickman,0.06,0.0,1.26,0.42,0.0,0.65,0.03,0.35,0.0,19.81,80.94,3.42,57.55,0.55,50.0,51.37,0.74,31.0,1.0,2.0,Inglaterra Championship,2.0
Sam McCallum,0.0,0.0,1.43,1.17,0.0,1.26,0.0,0.74,0.04,25.35,69.13,4.35,40.5,0.52,58.0,55.56,0.57,23.0,1.0,2.0,Inglaterra Championship,2.0
Dominic Thompson,0.0,0.0,1.5,1.39,0.0,2.11,0.04,0.36,0.04,29.54,63.36,4.39,33.71,1.11,60.0,57.0,0.71,28.0,1.0,2.0,Inglaterra Championship,2.0
Tobias Figueiredo,0.0,0.0,0.73,1.36,0.05,4.45,0.09,0.23,0.0,48.68,82.73,2.32,44.52,1.14,66.29,61.7,0.64,22.0,2.0,2.0,Inglaterra Championship,2.0
Cohen Bramall,0.03,0.0,1.51,0.85,0.0,1.38,0.0,0.69,0.08,19.08,69.62,5.1,27.18,0.74,55.17,49.02,0.77,39.0,2.0,2.0,Inglaterra Championship,2.0
Kyle Naughton,0.0,0.0,0.68,0.6,0.0,1.92,0.0,0.44,0.08,48.04,88.01,7.08,45.68,0.96,63.33,53.92,0.4,25.0,3.0,2.0,Inglaterra Championship,2.0
Ethan Laird,0.03,0.0,1.63,1.28,0.0,1.38,0.0,0.56,0.03,29.44,75.27,6.63,39.71,0.94,51.02,52.79,0.69,32.0,1.0,2.0,Inglaterra Championship,2.0
Vitinho,0.09,0.09,1.49,0.46,0.0,0.71,0.03,0.83,0.03,23.06,78.81,5.37,44.78,0.54,44.68,45.67,0.63,35.0,1.0,2.0,Inglaterra Championship,2.0
Marc Bola,0.0,0.0,0.44,0.68,0.0,1.4,0.0,0.24,0.04,28.4,80.14,6.92,37.18,0.4,73.08,45.56,0.56,25.0,2.0,2.0,Inglaterra Championship,2.0
Andy Yiadom,0.0,0.0,2.37,0.88,0.02,1.98,0.02,0.83,0.02,32.95,76.09,6.29,36.07,1.32,51.94,56.1,1.44,41.0,3.0,2.0,Inglaterra Championship,2.0
James Husband,0.0,0.0,1.03,1.0,0.0,3.1,0.07,0.62,0.1,32.28,68.38,4.59,36.27,1.21,56.52,55.06,0.62,29.0,2.0,2.0,Inglaterra Championship,2.0
Harry Clarke,0.11,0.11,0.89,0.94,0.0,1.78,0.0,0.39,0.06,18.72,61.13,4.39,34.48,0.89,53.85,48.32,1.11,18.0,1.0,2.0,Inglaterra Championship,2.0
Richard Wood,0.14,0.11,0.68,0.68,0.04,3.57,0.04,0.32,0.04,20.25,63.32,1.11,32.74,1.07,63.11,58.01,0.68,28.0,3.0,2.0,Inglaterra Championship,2.0
Mario Gaspar,0.0,0.0,1.55,0.84,0.0,0.97,0.0,0.55,0.1,24.23,69.64,4.03,23.48,0.61,39.29,45.59,0.84,31.0,3.0,2.0,Inglaterra Championship,2.0
Oliver Turton,0.0,0.0,1.0,1.06,0.0,1.11,0.0,0.11,0.06,27.17,69.94,3.28,22.22,0.78,49.02,61.29,0.17,18.0,3.0,2.0,Inglaterra Championship,2.0
William Boyle,0.0,0.0,0.63,0.5,0.0,2.75,0.0,0.19,0.0,26.94,73.55,1.38,30.65,0.69,65.08,60.64,0.88,16.0,2.0,2.0,Inglaterra Championship,2.0
Callum Connolly,0.02,0.0,1.32,1.05,0.0,2.93,0.0,0.61,0.0,26.78,64.03,5.02,37.5,1.2,60.11,54.17,1.41,41.0,2.0,2.0,Inglaterra Championship,2.0
Curtis Tilt,0.04,0.04,1.46,1.04,0.0,2.62,0.08,0.19,0.0,35.23,76.53,1.77,31.14,1.42,65.38,63.38,1.19,26.0,3.0,2.0,Inglaterra Championship,2.0
George Tanner,0.0,0.0,1.77,0.85,0.0,1.42,0.0,0.88,0.08,36.81,70.95,6.5,27.74,0.77,55.84,54.88,0.62,26.0,1.0,2.0,Inglaterra Championship,2.0
Ryan Nyambe,0.0,0.0,1.97,1.03,0.03,1.71,0.0,0.35,0.0,27.45,75.21,4.52,40.38,1.03,52.11,57.08,0.39,31.0,2.0,2.0,Inglaterra Championship,2.0
Bambo Diaby,0.0,0.0,0.53,1.47,0.0,2.53,0.0,0.35,0.0,20.94,76.69,1.24,42.31,0.76,62.9,56.88,0.65,17.0,2.0,2.0,Inglaterra Championship,2.0
Rarmani Edmonds-Green,0.0,0.0,1.53,0.27,0.0,2.87,0.0,0.4,0.0,24.53,69.02,2.73,30.77,1.07,51.85,59.79,0.27,15.0,1.0,2.0,Inglaterra Championship,2.0
Emmanuel Longelo,0.04,0.0,1.17,0.65,0.04,1.09,0.0,0.52,0.17,20.74,71.07,5.09,38.1,0.91,32.43,44.63,0.65,23.0,1.0,2.0,Inglaterra Championship,2.0
Rhys Williams,0.0,0.0,0.76,1.0,0.0,3.24,0.0,0.29,0.0,28.65,79.47,1.18,46.59,0.88,53.85,53.75,0.41,17.0,1.0,2.0,Inglaterra Championship,2.0
Mahlon Romeo,0.0,0.0,1.58,1.09,0.0,1.12,0.03,0.52,0.06,29.94,73.18,7.15,30.77,1.0,56.86,54.12,0.79,33.0,2.0,2.0,Inglaterra Championship,2.0
Abdul Baba Rahman,0.0,0.0,2.17,0.89,0.0,1.11,0.0,0.44,0.0,23.28,69.69,4.56,34.62,0.89,57.89,55.07,0.61,18.0,2.0,2.0,Inglaterra Championship,2.0
Andy Lyons,0.24,0.12,1.29,0.82,0.0,1.94,0.0,0.94,0.06,15.94,63.47,2.82,17.65,1.47,41.56,46.51,0.65,17.0,1.0,2.0,Inglaterra Championship,2.0
Kaine Kesler-Hayden,0.07,0.0,0.79,0.43,0.0,1.07,0.07,0.43,0.14,19.5,67.03,3.57,31.91,0.86,38.71,50.55,0.21,14.0,1.0,2.0,Inglaterra Championship,2.0
Jaheim Headley,0.09,0.0,1.09,0.91,0.0,0.73,0.0,0.55,0.09,13.64,67.33,2.27,15.38,1.09,44.83,48.94,0.73,11.0,1.0,2.0,Inglaterra Championship,2.0
Anfernee Dijksteel,0.0,0.0,1.1,0.4,0.0,1.1,0.0,0.2,0.0,23.85,80.5,5.1,29.09,0.6,51.85,57.52,0.45,20.0,2.0,2.0,Inglaterra Championship,2.0
Josh Wilson-Esbrand,0.0,0.0,1.07,0.21,0.0,0.43,0.0,0.79,0.07,15.36,75.35,4.93,44.44,0.43,37.5,45.95,0.93,14.0,1.0,2.0,Inglaterra Championship,2.0
Tom Pearce,0.0,0.0,0.31,0.46,0.0,0.92,0.0,0.38,0.0,11.62,64.9,1.62,29.55,0.15,44.44,55.88,0.15,13.0,2.0,2.0,Inglaterra Championship,2.0
Dan Gosling,0.0,0.0,1.29,0.35,0.0,0.53,0.0,0.76,0.0,24.29,77.72,4.94,36.59,0.53,36.11,42.2,0.41,17.0,3.0,2.0,Inglaterra Championship,2.0
Leo Fuhr Hjelde,0.0,0.0,1.31,1.38,0.0,2.15,0.0,1.15,0.08,18.85,60.0,3.62,22.22,0.69,50.0,48.75,0.92,13.0,1.0,2.0,Inglaterra Championship,2.0
Scott Dann,0.0,0.0,0.46,0.38,0.0,2.46,0.0,0.38,0.0,21.54,82.5,1.31,43.75,0.92,50.0,45.24,0.38,13.0,3.0,2.0,Inglaterra Championship,2.0
Omar Rekik,0.0,0.0,0.36,1.09,0.0,2.82,0.0,0.55,0.0,41.55,79.65,3.36,36.36,0.55,69.23,53.25,1.09,11.0,1.0,2.0,Inglaterra Championship,2.0
Jack Simpson,0.0,0.0,1.0,0.63,0.05,2.47,0.0,0.32,0.05,25.16,73.85,2.63,35.29,0.74,55.26,53.03,0.74,19.0,2.0,2.0,Inglaterra Championship,2.0
Osman Kakay,0.0,0.0,1.14,0.38,0.0,1.14,0.0,0.52,0.0,17.19,72.85,4.48,28.85,1.43,37.5,44.27,0.57,21.0,2.0,2.0,Inglaterra Championship,2.0
Joe Bennett,0.0,0.0,0.87,0.6,0.0,1.0,0.0,0.07,0.0,26.8,79.1,3.53,31.67,0.67,65.0,60.66,0.4,15.0,3.0,2.0,Inglaterra Championship,2.0
Kieran Trippier,0.03,0.0,1.87,1.13,0.03,1.97,0.03,1.16,0.63,54.32,75.97,14.89,45.54,0.74,58.33,53.5,1.26,38.0,3.0,2.0,Inglaterra Premier League,1.0
Trent Alexander-Arnold,0.05,0.0,1.54,1.16,0.0,0.97,0.0,1.03,0.68,62.41,78.69,12.81,48.74,1.11,60.61,51.6,0.59,37.0,2.0,2.0,Inglaterra Premier League,1.0
Thiago Silva,0.0,0.0,1.52,1.26,0.0,4.04,0.0,0.37,0.04,75.22,91.29,5.37,56.04,1.11,72.94,73.29,0.37,27.0,3.0,2.0,Inglaterra Premier League,1.0
James Tarkowski,0.03,0.03,1.34,1.34,0.03,5.16,0.0,0.47,0.16,42.63,81.23,3.24,47.29,1.34,71.01,64.86,1.05,38.0,3.0,2.0,Inglaterra Premier League,1.0
Reece James,0.06,0.0,1.94,0.75,0.0,1.25,0.0,0.25,0.19,53.25,90.73,14.38,73.58,0.75,58.97,63.95,0.56,16.0,1.0,2.0,Inglaterra Premier League,1.0
Ethan Pinnock,0.1,0.0,1.73,1.17,0.0,7.13,0.07,0.2,0.0,36.4,80.22,2.6,37.8,0.93,66.04,70.42,0.2,30.0,2.0,2.0,Inglaterra Premier League,1.0
Fabian Schär,0.03,0.0,1.31,1.44,0.0,3.81,0.0,0.42,0.08,50.42,77.74,5.89,45.09,0.69,66.67,64.63,0.56,36.0,3.0,2.0,Inglaterra Premier League,1.0
Lisandro Martínez,0.04,0.04,2.0,1.22,0.0,3.59,0.0,0.48,0.0,56.22,87.29,4.56,41.21,1.0,50.79,60.11,0.78,27.0,2.0,2.0,Inglaterra Premier League,1.0
Benoît Badiashile,0.09,0.0,1.27,1.45,0.0,3.0,0.0,0.45,0.09,77.73,89.71,4.82,58.21,0.64,71.43,63.64,0.82,11.0,1.0,2.0,Inglaterra Premier League,1.0
Virgil van Dijk,0.09,0.06,0.84,0.97,0.03,4.22,0.03,0.34,0.03,80.66,90.51,6.25,59.36,1.06,73.68,69.52,0.41,32.0,3.0,2.0,Inglaterra Premier League,1.0
Luke Shaw,0.03,0.0,1.77,1.16,0.03,1.71,0.0,0.45,0.23,58.23,85.98,12.45,49.19,0.9,61.33,55.69,1.48,31.0,2.0,2.0,Inglaterra Premier League,1.0
Ben Mee,0.08,0.05,1.22,1.3,0.0,3.14,0.0,0.46,0.08,44.81,77.08,3.62,42.58,0.81,57.39,60.78,0.38,37.0,3.0,2.0,Inglaterra Premier League,1.0
Kenny Tete,0.03,0.03,2.68,1.68,0.0,2.35,0.0,0.39,0.1,35.97,76.05,7.16,45.63,1.0,53.23,62.21,1.35,31.0,2.0,2.0,Inglaterra Premier League,1.0
Kalidou Koulibaly,0.09,0.0,1.96,1.26,0.0,3.13,0.0,0.61,0.0,63.04,87.1,4.7,44.3,0.65,54.1,57.23,0.96,23.0,3.0,2.0,Inglaterra Premier League,1.0
Diogo Dalot,0.04,0.0,2.08,1.42,0.0,2.0,0.0,0.46,0.04,45.73,80.49,9.08,51.47,1.15,68.42,65.0,0.81,26.0,1.0,2.0,Inglaterra Premier League,1.0
Mohammed Salisu,0.0,0.0,2.32,1.41,0.0,5.41,0.0,0.45,0.05,49.55,76.79,4.73,36.87,1.68,67.07,61.38,1.18,22.0,1.0,2.0,Inglaterra Premier League,1.0
John Stones,0.09,0.04,1.0,0.39,0.0,1.65,0.0,0.13,0.09,65.7,93.25,9.57,77.11,0.65,67.35,67.31,0.43,23.0,2.0,2.0,Inglaterra Premier League,1.0
Gabriel Magalhães,0.08,0.03,1.26,0.84,0.05,3.16,0.03,0.24,0.0,63.03,89.69,7.42,45.95,0.95,56.18,62.5,0.66,38.0,2.0,2.0,Inglaterra Premier League,1.0
Nathan Aké,0.04,0.04,1.0,0.77,0.0,1.81,0.0,0.15,0.08,65.58,91.14,11.46,47.22,0.46,61.02,66.95,0.46,26.0,2.0,2.0,Inglaterra Premier League,1.0
Sven Botman,0.0,0.0,1.06,0.94,0.03,3.33,0.03,0.17,0.03,48.72,86.77,2.61,54.26,0.75,65.81,66.67,0.42,36.0,1.0,2.0,Inglaterra Premier League,1.0
Felipe,0.0,0.0,2.63,2.25,0.0,5.56,0.0,1.06,0.13,34.75,73.02,2.19,31.87,1.81,63.41,63.3,0.94,16.0,3.0,2.0,Inglaterra Premier League,1.0
Aaron Wan-Bissaka,0.0,0.0,2.11,1.16,0.0,1.84,0.0,0.11,0.05,37.11,83.55,10.0,53.13,0.32,43.33,55.38,0.58,19.0,2.0,2.0,Inglaterra Premier League,1.0
Rúben Dias,0.0,0.0,0.81,0.69,0.0,2.08,0.0,0.27,0.04,79.65,92.71,6.88,52.31,0.54,61.11,57.97,0.73,26.0,2.0,2.0,Inglaterra Premier League,1.0
Cristian Romero,0.0,0.0,2.52,1.63,0.04,3.59,0.04,0.63,0.07,58.67,87.69,5.44,57.75,1.3,68.67,59.29,1.56,27.0,2.0,2.0,Inglaterra Premier League,1.0
Joachim Andersen,0.03,0.03,1.31,0.75,0.0,5.84,0.0,0.5,0.06,60.63,79.74,6.31,43.86,1.06,71.9,64.1,0.84,32.0,2.0,2.0,Inglaterra Premier League,1.0
William Saliba,0.07,0.04,1.26,0.7,0.07,3.04,0.04,0.11,0.04,69.04,91.04,5.7,56.14,0.78,55.21,60.56,0.7,27.0,1.0,2.0,Inglaterra Premier League,1.0
Harry Maguire,0.0,0.0,0.5,0.81,0.0,2.56,0.0,0.06,0.0,35.88,85.37,3.06,48.68,0.38,53.19,54.93,0.5,16.0,2.0,2.0,Inglaterra Premier League,1.0
Andrew Robertson,0.0,0.0,1.12,0.53,0.0,1.26,0.0,0.59,0.32,53.94,84.24,10.35,38.57,0.94,47.83,48.07,0.65,34.0,2.0,2.0,Inglaterra Premier League,1.0
Aymeric Laporte,0.0,0.0,0.92,0.25,0.0,2.5,0.0,0.33,0.0,78.92,93.14,17.0,54.17,0.83,55.81,60.27,0.42,12.0,2.0,2.0,Inglaterra Premier League,1.0
Wout Faes,0.03,0.03,1.81,1.32,0.0,3.58,0.0,0.52,0.03,59.42,85.78,2.84,40.96,1.19,58.59,61.67,0.74,31.0,2.0,2.0,Inglaterra Premier League,1.0
Marc Guéhi,0.03,0.0,1.41,1.22,0.0,3.57,0.03,0.43,0.03,59.49,85.46,4.92,45.51,1.14,55.67,63.24,0.65,37.0,1.0,2.0,Inglaterra Premier League,1.0
Jan Bednarek,0.0,0.0,1.3,2.22,0.0,3.96,0.0,0.17,0.0,41.48,84.7,2.0,48.25,1.7,71.93,67.52,0.7,23.0,2.0,2.0,Inglaterra Premier League,1.0
Oleksandr Zinchenko,0.04,0.0,1.48,0.81,0.0,1.15,0.0,0.67,0.07,63.56,87.76,19.44,62.0,0.81,71.83,63.24,0.22,27.0,2.0,2.0,Inglaterra Premier League,1.0
