Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Facundo Rivero,0.14,0.0,1.57,1.38,0.1,2.67,0.0,0.62,0.05,27.52,71.11,2.9,50.63,1.14,77.78,58.41,1.1,21.0,2.0,2.0,Ecuador Serie A,3.0
Arián Pucheta,0.0,0.0,1.61,1.7,0.0,3.83,0.0,0.52,0.04,27.26,73.21,2.3,47.49,0.83,56.76,62.61,0.61,23.0,2.0,2.0,Ecuador Serie A,3.0
Marcos Andrés López,0.03,0.0,1.57,0.9,0.0,1.37,0.0,0.73,0.07,35.23,79.47,7.03,43.75,0.9,38.89,54.17,0.6,30.0,2.0,2.0,Ecuador Serie A,3.0
Maikel Reyes,0.05,0.0,1.59,1.0,0.0,1.36,0.0,0.32,0.0,16.27,68.99,3.41,34.38,0.55,55.0,60.5,0.91,22.0,1.0,2.0,Ecuador Serie A,3.0
Pedro Velasco,0.0,0.0,0.69,0.54,0.0,1.38,0.0,0.23,0.23,24.62,75.31,7.23,47.37,0.92,53.33,60.42,0.15,13.0,2.0,2.0,Ecuador Serie A,3.0
Guillermo Fratta,0.0,0.0,0.73,0.45,0.0,3.73,0.0,0.55,0.0,30.18,75.9,2.55,46.07,0.82,66.67,56.72,1.27,11.0,2.0,2.0,Ecuador Serie A,3.0
Darío Aimar,0.0,0.0,0.61,0.5,0.0,3.94,0.06,0.28,0.0,41.72,86.15,1.56,52.27,1.0,56.67,58.44,0.67,18.0,2.0,2.0,Ecuador Serie A,3.0
Mateo Carabajal,0.0,0.0,1.48,0.57,0.0,2.0,0.0,0.39,0.0,51.48,88.94,4.04,48.28,0.65,53.33,63.27,0.87,23.0,2.0,2.0,Ecuador Serie A,3.0
Layan Loor,0.0,0.0,1.42,0.92,0.0,1.42,0.0,0.46,0.12,42.77,84.8,10.04,63.1,1.19,35.29,44.21,1.15,26.0,1.0,2.0,Ecuador Serie A,3.0
Edison Carcelen,0.0,0.0,0.95,1.27,0.0,2.36,0.0,0.27,0.0,20.55,75.0,1.86,46.55,0.68,72.22,65.05,0.86,22.0,3.0,2.0,Ecuador Serie A,3.0
Jimmy Mina,0.0,0.0,2.0,1.08,0.0,3.42,0.0,0.42,0.0,20.92,73.31,1.58,52.5,1.58,56.67,57.63,1.75,12.0,1.0,2.0,Ecuador Serie A,3.0
Nicolás Goitea,0.07,0.0,0.54,0.96,0.04,4.07,0.0,0.18,0.0,22.04,66.45,1.68,29.09,0.86,56.6,56.45,0.57,28.0,2.0,2.0,Ecuador Serie A,3.0
Gustavo Cortez,0.0,0.0,0.5,0.81,0.06,0.31,0.0,0.25,0.13,18.63,83.56,4.75,63.16,0.38,37.5,46.03,1.0,16.0,2.0,2.0,Ecuador Serie A,3.0
Ousmane N’Dong,0.05,0.0,1.0,1.1,0.2,4.25,0.0,0.25,0.05,25.8,75.0,1.95,46.4,1.1,74.47,63.73,0.8,20.0,1.0,2.0,Ecuador Serie A,3.0
Kevin Becerra,0.0,0.0,0.93,1.0,0.0,2.9,0.0,0.31,0.03,40.0,81.29,1.86,46.19,1.1,50.0,56.25,0.62,29.0,2.0,2.0,Ecuador Serie A,3.0
