Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Luca Sosa,0.07,0.03,0.97,0.76,0.03,3.34,0.0,0.14,0.14,0.4214,0.7774,0.00262,0.45030000000000003,1.0,0.5781000000000001,0.609,0.69,29.0,2.0,2.0,Ecuador Serie A,3.0
Luis Castillo,0.0,0.0,1.09,0.91,0.0,0.91,0.0,0.55,0.18,0.1255,0.7319,0.0023599999999999997,0.28,0.0,0.6667000000000001,0.5424,0.91,11.0,1.0,2.0,Ecuador Serie A,3.0
Dennis Quintero,0.0,0.0,0.8,1.36,0.08,4.44,0.0,0.4,0.04,0.2808,0.7422,0.0016,0.4359,1.0,0.5965,0.5972999999999999,0.92,25.0,2.0,2.0,Ecuador Serie A,3.0
Leonel Quiñónez,0.04,0.0,0.57,0.74,0.0,1.04,0.0,0.3,0.04,0.33,0.8234999999999999,0.00578,0.5039,0.52,0.7143,0.5309,0.65,23.0,2.0,2.0,Ecuador Serie A,3.0
Facundo Rivero,0.14,0.0,1.57,1.38,0.1,2.67,0.0,0.62,0.05,0.27519999999999994,0.7111,0.0029,0.5063000000000001,1.14,0.7778,0.5841,1.1,21.0,2.0,2.0,Ecuador Serie A,3.0
Arián Pucheta,0.0,0.0,1.61,1.7,0.0,3.83,0.0,0.52,0.04,0.27259999999999995,0.7321,0.002299999999999999,0.4749000000000001,0.83,0.5676000000000001,0.6261,0.61,23.0,2.0,2.0,Ecuador Serie A,3.0
Marcos Andrés López,0.03,0.0,1.57,0.9,0.0,1.37,0.0,0.73,0.07,0.35230000000000006,0.7947,0.007030000000000001,0.4375,0.9,0.3889,0.5417000000000001,0.6,30.0,2.0,2.0,Ecuador Serie A,3.0
Maikel Reyes,0.05,0.0,1.59,1.0,0.0,1.36,0.0,0.32,0.0,0.16269999999999998,0.6899,0.0034100000000000003,0.34380000000000005,0.55,0.55,0.605,0.91,22.0,1.0,2.0,Ecuador Serie A,3.0
Pedro Velasco,0.0,0.0,0.69,0.54,0.0,1.38,0.0,0.23,0.23,0.2462,0.7531,0.007230000000000001,0.47370000000000007,0.92,0.5333,0.6042000000000001,0.15,13.0,2.0,2.0,Ecuador Serie A,3.0
Guillermo Fratta,0.0,0.0,0.73,0.45,0.0,3.73,0.0,0.55,0.0,0.3018,0.759,0.00255,0.4607,0.82,0.6667000000000001,0.5672,1.27,11.0,2.0,2.0,Ecuador Serie A,3.0
Darío Aimar,0.0,0.0,0.61,0.5,0.0,3.94,0.06,0.28,0.0,0.4172,0.8615,0.00156,0.5227,1.0,0.5667,0.5844,0.67,18.0,2.0,2.0,Ecuador Serie A,3.0
Mateo Carabajal,0.0,0.0,1.48,0.57,0.0,2.0,0.0,0.39,0.0,0.5147999999999999,0.8894,0.00404,0.4828,0.65,0.5333,0.6326999999999999,0.87,23.0,2.0,2.0,Ecuador Serie A,3.0
Layan Loor,0.0,0.0,1.42,0.92,0.0,1.42,0.0,0.46,0.12,0.4277,0.8480000000000001,0.01004,0.6310000000000001,1.19,0.3529,0.4421,1.15,26.0,1.0,2.0,Ecuador Serie A,3.0
Edison Carcelen,0.0,0.0,0.95,1.27,0.0,2.36,0.0,0.27,0.0,0.20550000000000002,0.75,0.0018599999999999999,0.46549999999999997,0.68,0.7221999999999998,0.6505,0.86,22.0,3.0,2.0,Ecuador Serie A,3.0
Jimmy Mina,0.0,0.0,2.0,1.08,0.0,3.42,0.0,0.42,0.0,0.20920000000000002,0.7331,0.00158,0.525,1.58,0.5667,0.5762999999999999,1.75,12.0,1.0,2.0,Ecuador Serie A,3.0
Nicolás Goitea,0.07,0.0,0.54,0.96,0.04,4.07,0.0,0.18,0.0,0.22040000000000004,0.6645,0.001679999999999999,0.29089999999999994,0.86,0.5660000000000001,0.5645,0.57,28.0,2.0,2.0,Ecuador Serie A,3.0
Gustavo Cortez,0.0,0.0,0.5,0.81,0.06,0.31,0.0,0.25,0.13,0.1863,0.8356,0.00475,0.6315999999999999,0.38,0.375,0.4603,1.0,16.0,2.0,2.0,Ecuador Serie A,3.0
Ousmane N’Dong,0.05,0.0,1.0,1.1,0.2,4.25,0.0,0.25,0.05,0.258,0.75,0.0019500000000000001,0.46399999999999997,1.1,0.7447,0.6372999999999999,0.8,20.0,1.0,2.0,Ecuador Serie A,3.0
