Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Interceptions,Big chances created,Assists,Accurate passes %,Aerial duels won %,Total duels won %,Was fouled,Appearances,Age Range,Position,League,Level
Jefferson Caicedo,0.16,0.05,50.0,0.74,0.0,0.0,0.42,0.05,0.05,65.79,38.89,53.19,1.37,19.0,2.0,4.0,Ecuador Serie A,3.0
Wilter Ayovi,0.07,0.14,73.33,1.57,0.0,0.0,0.14,0.0,0.0,69.54,30.77,51.95,1.29,14.0,2.0,4.0,Ecuador Serie A,3.0
Marcelo Moreno,0.2,0.25,75.0,1.8,0.1,0.0,0.2,0.1,0.0,77.52,33.33,34.43,0.2,20.0,3.0,4.0,Ecuador Serie A,3.0
Yilmar Filigrana,0.0,0.07,55.56,1.21,0.0,0.0,0.0,0.29,0.07,64.66,43.24,41.79,0.36,14.0,3.0,4.0,Ecuador Serie A,3.0
Enzo López,0.15,0.12,100.0,0.88,0.0,0.0,0.15,0.0,0.04,65.95,41.3,39.29,0.27,26.0,2.0,4.0,Ecuador Serie A,3.0
Diego Hurtado,0.07,0.07,100.0,0.36,0.07,0.0,0.0,0.0,0.0,76.74,46.67,56.67,0.43,14.0,2.0,4.0,Ecuador Serie A,3.0
Cristian Martínez,0.12,0.04,31.58,0.92,0.08,0.0,0.04,0.08,0.12,81.64,29.17,31.93,0.46,26.0,3.0,4.0,Ecuador Serie A,3.0
Rodrigo Rivas González,0.13,0.17,35.29,1.52,0.04,0.0,0.04,0.13,0.09,75.27,41.67,35.42,0.87,23.0,2.0,4.0,Ecuador Serie A,3.0
Erick Castillo,0.13,0.17,58.33,1.57,0.0,0.0,0.0,0.04,0.0,75.57,35.0,46.02,0.57,23.0,2.0,4.0,Ecuador Serie A,3.0
Diego Ávila,0.14,0.07,0.0,1.0,0.07,0.0,0.0,0.0,0.0,71.93,37.5,29.73,0.29,14.0,2.0,4.0,Ecuador Serie A,3.0
Dany Coronel,0.12,0.2,28.57,1.28,0.0,0.0,0.16,0.0,0.0,73.8,28.3,34.85,0.8,25.0,1.0,4.0,Ecuador Serie A,3.0
Jhon Sánchez,0.09,0.09,62.5,1.0,0.0,0.0,0.27,0.09,0.14,76.6,25.0,40.0,0.59,22.0,1.0,4.0,Ecuador Serie A,3.0
Jonathan Bauman,0.08,0.12,57.14,0.72,0.04,0.0,0.04,0.0,0.04,69.62,41.18,57.14,1.08,25.0,3.0,4.0,Ecuador Serie A,3.0
Jostin Alman,0.14,0.33,21.05,1.38,0.0,0.0,0.14,0.14,0.0,72.73,40.0,39.58,1.29,21.0,2.0,4.0,Ecuador Serie A,3.0
Juan Diego Rojas Caicedo,0.06,0.0,60.0,0.81,0.0,0.0,0.13,0.0,0.0,77.69,50.0,49.3,1.0,16.0,2.0,4.0,Ecuador Serie A,3.0
Gustavo Asprilla,0.1,0.3,23.81,1.55,0.0,0.0,0.1,0.15,0.15,66.17,29.82,36.29,0.95,20.0,2.0,4.0,Ecuador Serie A,3.0
Roberto Ordóñez,0.07,0.33,50.0,0.87,0.07,0.0,0.07,0.0,0.0,72.88,45.45,46.81,0.47,15.0,3.0,4.0,Ecuador Serie A,3.0
Ignacio Valsagiácomo,0.0,0.0,60.0,0.33,0.0,0.0,0.07,0.0,0.0,76.25,23.08,35.71,0.33,15.0,2.0,4.0,Ecuador Serie A,3.0
Walter Chalá,0.0,0.08,28.57,0.58,0.0,0.0,0.25,0.08,0.08,83.33,33.33,45.16,0.75,12.0,3.0,4.0,Ecuador Serie A,3.0
Santiago Ramirez,0.0,0.09,46.15,0.64,0.0,0.0,0.18,0.0,0.0,78.1,20.0,48.39,1.45,11.0,2.0,4.0,Ecuador Serie A,3.0
Brayan Angulo,0.0,0.29,50.0,0.79,0.0,0.0,0.21,0.0,0.0,71.79,33.33,52.27,0.86,14.0,2.0,4.0,Ecuador Serie A,3.0
Ruyery Blanco,0.0,0.09,0.0,0.45,0.0,0.0,0.0,0.09,0.0,80.95,42.86,16.0,0.0,11.0,2.0,4.0,Ecuador Serie A,3.0
Jaime Ortiz,0.0,0.09,100.0,0.45,0.0,0.0,0.09,0.0,0.0,62.22,20.0,22.22,0.45,11.0,1.0,4.0,Ecuador Serie A,3.0
Lucas Zelarayán,0.34,0.03,55.48,2.93,0.0,0.31,0.52,0.41,0.24,78.87,33.33,52.65,2.69,29.0,3.0,4.0,EEUU MLS,4.0
Hany Mukhtar,0.68,0.41,41.18,3.74,0.09,0.18,0.18,0.26,0.21,79.48,36.36,43.21,2.15,34.0,2.0,4.0,EEUU MLS,4.0
Lorenzo Insigne,0.55,0.45,46.15,4.45,0.0,0.0,0.82,0.45,0.18,80.96,50.0,46.34,0.91,11.0,3.0,4.0,EEUU MLS,4.0
Federico Bernardeschi,0.62,0.15,48.28,3.08,0.0,0.0,0.0,0.31,0.15,72.5,33.33,44.76,1.54,13.0,2.0,4.0,EEUU MLS,4.0
Cucho Hernández,0.56,0.19,50.0,5.5,0.19,0.0,0.06,0.06,0.13,72.06,37.5,44.76,1.5,16.0,1.0,4.0,EEUU MLS,4.0
Valentin Castellanos,0.76,0.71,48.39,4.76,0.06,0.0,0.35,0.35,0.12,64.23,49.48,41.1,1.18,17.0,2.0,4.0,EEUU MLS,4.0
Ryan Gauld,0.29,0.11,61.22,2.68,0.0,0.0,0.86,0.25,0.18,79.3,41.67,51.49,1.32,28.0,2.0,4.0,EEUU MLS,4.0
Carlos Vela,0.34,0.2,41.94,2.03,0.0,0.0,0.23,0.34,0.34,78.54,34.0,43.12,1.54,35.0,3.0,4.0,EEUU MLS,4.0
Luciano Acosta,0.34,0.31,49.64,2.09,0.0,0.0,0.28,0.59,0.41,73.6,14.29,43.56,2.06,32.0,2.0,4.0,EEUU MLS,4.0
Jesús Ferreira,0.51,0.4,56.1,2.57,0.06,1.14,0.46,0.29,0.17,76.05,8.57,37.87,0.34,35.0,1.0,4.0,EEUU MLS,4.0
Diego Rubio,0.53,0.23,65.22,3.1,0.1,0.74,0.3,0.27,0.17,72.09,55.88,56.16,2.53,30.0,2.0,4.0,EEUU MLS,4.0
Alan Velasco,0.25,0.04,42.99,2.21,0.0,0.79,0.68,0.25,0.18,78.46,23.81,45.66,2.11,28.0,1.0,4.0,EEUU MLS,4.0
Romell Quioto,0.48,0.23,55.36,2.45,0.03,0.65,0.06,0.39,0.16,73.81,32.56,40.0,1.0,31.0,3.0,4.0,EEUU MLS,4.0
Gustavo Bou,0.42,0.42,61.9,3.84,0.05,1.75,0.42,0.16,0.11,70.47,33.33,45.13,0.53,19.0,3.0,4.0,EEUU MLS,4.0
Brenner,0.58,0.39,48.84,2.58,0.03,0.0,0.13,0.1,0.19,84.02,27.91,41.5,0.87,31.0,1.0,4.0,EEUU MLS,4.0
William Agada,0.67,0.75,42.86,3.42,0.08,0.0,0.08,0.0,0.17,78.08,37.5,39.8,1.25,12.0,1.0,4.0,EEUU MLS,4.0
Gonzalo Higuaín,0.55,0.14,53.06,1.83,0.0,0.86,0.0,0.28,0.1,78.11,39.29,42.48,0.72,29.0,3.0,4.0,EEUU MLS,4.0
Brandon Vazquez,0.54,0.4,38.78,2.54,0.17,0.0,0.06,0.2,0.23,66.98,45.05,41.99,1.66,35.0,2.0,4.0,EEUU MLS,4.0
Taxiarchis Fountas,0.57,0.38,37.84,3.81,0.0,0.0,0.14,0.14,0.05,72.62,23.81,39.07,1.19,21.0,2.0,4.0,EEUU MLS,4.0
Mikael Uhre,0.43,0.27,56.67,1.73,0.03,0.0,0.07,0.2,0.13,61.73,35.0,45.37,1.27,30.0,2.0,4.0,EEUU MLS,4.0
Karol Świderski,0.33,0.2,48.21,2.4,0.03,0.48,0.1,0.17,0.13,73.12,37.33,50.73,2.0,30.0,2.0,4.0,EEUU MLS,4.0
