Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Matt Crooks,0.19,41.18,1.08,0.0,1.14,0.35,0.32,0.14,0.16,18.57,77.73,6.22,64.0,58.76,51.6,0.43,0.86,37,2,3,Inglaterra Championship,2
Joe Williams,0.06,60.0,0.58,0.0,2.09,0.61,0.73,0.18,0.06,33.73,77.54,7.64,50.31,42.86,50.75,0.58,0.91,33,2,3,Inglaterra Championship,2
Olivier Ntcham,0.2,70.59,1.44,0.0,0.68,0.22,0.27,0.07,0.07,32.2,87.88,10.73,61.54,31.25,47.75,0.27,0.49,41,2,3,Inglaterra Championship,2
Josh Laurent,0.13,50.7,0.94,0.0,1.69,1.31,0.47,0.09,0.09,34.56,76.94,8.75,55.0,49.07,48.62,1.03,1.59,32,2,3,Inglaterra Championship,2
Kenny McLean,0.03,59.26,1.09,0.0,1.4,1.17,0.74,0.14,0.09,58.97,80.28,12.57,47.51,57.84,55.87,1.49,1.03,35,3,3,Inglaterra Championship,2
Marcelino Núñez,0.08,47.17,1.68,0.21,1.54,0.62,1.05,0.05,0.05,28.92,80.0,8.59,61.29,28.3,41.02,0.65,1.0,37,1,3,Inglaterra Championship,2
Josh Eccles,0.03,47.83,0.71,0.0,2.82,1.18,1.24,0.12,0.06,30.53,74.57,6.26,35.07,51.79,55.36,1.15,0.85,34,1,3,Inglaterra Championship,2
Juninho Bacuna,0.05,50.52,1.53,0.29,1.56,0.86,0.79,0.21,0.14,21.0,68.99,6.67,43.21,53.25,46.03,0.93,1.7,43,2,3,Inglaterra Championship,2
James McAtee,0.24,57.35,1.16,0.0,0.81,0.32,0.59,0.16,0.08,18.46,77.45,7.14,36.17,19.05,44.18,0.89,0.59,37,1,3,Inglaterra Championship,2
Krystian Bielik,0.03,75.0,0.51,0.0,1.89,1.34,1.2,0.09,0.03,35.03,79.93,6.57,63.16,55.83,54.1,1.09,1.37,35,2,3,Inglaterra Championship,2
Hayden Hackney,0.09,63.04,1.0,0.0,1.97,0.76,1.09,0.09,0.12,59.0,88.98,13.09,55.0,39.13,47.44,1.03,1.76,34,1,3,Inglaterra Championship,2
Theo Corbeanu,0.18,59.68,1.53,0.0,1.06,0.29,0.24,0.06,0.06,10.59,73.89,3.94,30.0,9.09,56.49,1.06,0.35,17,1,3,Inglaterra Championship,2
Tyler Morton,0.0,54.84,0.43,0.0,1.5,0.48,0.83,0.18,0.05,44.7,82.44,7.13,53.67,58.33,51.08,0.5,0.83,40,1,3,Inglaterra Championship,2
Stefan Johansen,0.07,100.0,0.48,0.0,1.24,0.86,0.9,0.21,0.21,31.31,79.96,6.03,41.53,33.33,46.43,0.45,0.66,29,3,3,Inglaterra Championship,2
Kenny Dougall,0.08,40.0,0.5,0.0,2.08,0.69,0.89,0.11,0.06,26.97,72.71,5.56,42.22,40.51,49.21,1.14,1.17,36,2,3,Inglaterra Championship,2
Kieran Dowell,0.22,76.19,0.91,0.0,0.74,0.35,0.96,0.26,0.13,22.22,75.93,7.48,50.0,33.33,40.44,0.48,0.65,23,2,3,Inglaterra Championship,2
Brad Potts,0.1,60.0,0.82,0.0,1.77,0.64,0.62,0.08,0.05,32.67,73.47,7.05,36.88,61.31,59.82,0.79,0.51,39,2,3,Inglaterra Championship,2
Ryan Hedges,0.09,45.16,0.86,0.0,1.44,0.6,0.74,0.14,0.09,25.49,74.0,6.53,40.34,39.22,48.59,1.05,0.74,43,2,3,Inglaterra Championship,2
Alan Browne,0.03,44.83,0.83,0.0,2.03,0.67,0.94,0.11,0.06,28.33,71.57,6.11,50.0,49.07,50.12,0.89,0.83,36,2,3,Inglaterra Championship,2
Jed Wallace,0.13,42.18,1.85,0.0,1.37,0.33,1.2,0.28,0.17,27.46,75.61,9.0,45.1,25.3,39.48,0.83,0.65,46,2,3,Inglaterra Championship,2
Callum O'Dowda,0.08,53.23,0.82,0.0,1.72,0.92,0.69,0.13,0.08,28.77,72.37,6.0,39.53,46.34,52.56,1.05,0.62,39,2,3,Inglaterra Championship,2
Isaac Hayden,0.0,75.0,0.64,0.0,1.57,1.07,0.36,0.0,0.0,33.93,80.84,3.0,59.57,60.42,57.94,0.57,1.0,14,2,3,Inglaterra Championship,2
Edo Kayembe,0.0,83.87,0.95,0.0,1.62,0.9,0.48,0.0,0.0,47.1,84.43,8.81,58.25,40.63,51.85,0.52,1.19,21,2,3,Inglaterra Championship,2
Christ Junior Tiehi,0.0,63.33,0.53,0.0,1.68,0.79,0.47,0.0,0.0,32.21,86.11,5.74,66.67,41.67,53.55,0.95,1.05,19,2,3,Inglaterra Championship,2
Lewis Fiorini,0.08,61.54,1.38,0.0,1.85,0.92,0.92,0.15,0.15,30.38,65.57,6.23,38.82,44.44,49.46,0.77,0.92,13,1,3,Inglaterra Championship,2
Ryan Leonard,0.0,55.56,0.47,0.0,1.59,1.06,0.53,0.18,0.06,19.88,66.86,2.88,36.21,56.0,59.52,0.88,0.59,17,3,3,Inglaterra Championship,2
Jordan Thompson,0.0,50.0,0.26,0.0,1.24,0.56,0.5,0.09,0.0,23.15,75.22,4.85,38.17,56.41,56.11,0.97,1.03,34,2,3,Inglaterra Championship,2
George Honeyman,0.03,32.0,0.39,0.0,1.87,0.47,1.13,0.11,0.08,16.95,75.62,3.82,37.5,31.48,45.61,1.03,0.95,38,2,3,Inglaterra Championship,2
Ken Sema,0.1,41.57,0.68,0.0,1.18,0.53,0.8,0.2,0.23,23.48,74.23,6.23,31.68,35.9,42.31,1.08,0.93,40,2,3,Inglaterra Championship,2
Tyler Roberts,0.17,62.5,2.06,0.0,0.72,0.5,0.33,0.11,0.0,20.22,72.8,6.39,25.0,51.11,52.55,1.44,1.0,18,1,3,Inglaterra Championship,2
Marvelous Nakamba,0.0,54.55,0.35,0.0,3.76,0.88,1.41,0.0,0.0,33.35,80.78,7.41,46.55,40.91,52.74,0.71,1.06,17,2,3,Inglaterra Championship,2
Patrick Roberts,0.12,46.98,1.31,0.0,1.1,0.55,0.9,0.24,0.17,30.48,82.27,11.31,51.81,12.5,44.42,0.81,0.5,42,2,3,Inglaterra Championship,2
Grady Diangana,0.13,39.53,1.26,0.0,1.32,0.32,0.55,0.19,0.1,26.03,80.17,10.16,42.31,23.81,44.48,1.77,0.74,31,2,3,Inglaterra Championship,2
Jordan Clark,0.05,45.78,1.53,0.0,1.61,1.0,1.42,0.11,0.11,28.5,71.65,8.37,48.61,44.57,43.78,0.95,1.13,38,2,3,Inglaterra Championship,2
Riley McGree,0.14,47.62,1.74,0.0,0.81,0.53,0.65,0.19,0.07,35.58,82.68,13.23,53.23,55.0,42.76,0.79,0.88,43,2,3,Inglaterra Championship,2
Charlie Patino,0.06,61.76,0.44,0.0,1.91,1.53,0.94,0.09,0.12,33.59,71.45,6.94,43.37,46.99,52.59,1.74,1.32,34,1,3,Inglaterra Championship,2
Lewis Travis,0.05,55.56,0.29,0.0,2.76,1.19,1.36,0.05,0.05,41.69,81.04,7.76,50.68,38.33,51.13,1.62,1.5,42,2,3,Inglaterra Championship,2
Matty James,0.0,64.0,0.29,0.0,1.88,0.68,1.0,0.06,0.0,39.21,83.35,6.44,48.89,42.39,48.38,0.44,0.97,34,3,3,Inglaterra Championship,2
Tahith Chong,0.11,40.86,1.53,0.0,1.37,0.34,0.61,0.13,0.13,17.79,75.3,6.63,35.09,21.62,49.85,1.92,0.47,38,1,3,Inglaterra Championship,2
Alex Scott,0.02,50.0,0.83,0.0,1.83,0.88,1.1,0.1,0.1,33.55,79.35,8.5,56.69,37.6,50.19,2.29,1.19,42,1,3,Inglaterra Championship,2
Nathan Tella,0.44,39.77,1.85,0.0,0.59,0.26,0.44,0.1,0.13,15.67,79.38,6.05,53.13,22.64,39.13,1.9,1.1,39,1,3,Inglaterra Championship,2
Joe Ralls,0.02,56.25,0.83,0.0,1.34,0.68,0.54,0.1,0.05,27.68,77.53,7.44,39.57,54.39,47.68,0.44,1.22,41,2,3,Inglaterra Championship,2
Oliver Rathbone,0.11,78.05,0.95,0.0,2.37,0.45,1.11,0.05,0.05,25.42,70.29,7.26,40.41,36.26,49.74,0.92,1.26,38,2,3,Inglaterra Championship,2
Jay Fulton,0.08,57.69,0.79,0.0,1.21,0.74,0.61,0.11,0.03,52.53,88.98,8.82,43.75,47.3,49.42,0.82,1.03,38,2,3,Inglaterra Championship,2
Billy Mitchell,0.0,60.0,0.64,0.0,1.58,1.19,0.61,0.03,0.03,40.44,81.11,9.39,57.22,43.59,48.85,0.58,0.92,36,1,3,Inglaterra Championship,2
Andreas Weimann,0.14,59.46,0.93,0.0,0.4,0.47,0.21,0.21,0.12,19.51,72.11,5.05,36.11,37.5,42.86,0.42,0.53,43,3,3,Inglaterra Championship,2
Corry Evans,0.0,71.43,0.71,0.0,1.96,1.33,0.58,0.0,0.0,35.21,81.18,4.88,53.68,46.88,54.17,0.46,1.13,24,3,3,Inglaterra Championship,2
Scott Twine,0.21,28.57,1.86,2.86,0.64,0.0,0.93,0.07,0.07,14.71,83.98,5.14,54.55,28.57,41.07,0.71,0.5,14,1,3,Inglaterra Championship,2
Cesare Casadei,0.07,33.33,0.93,0.0,1.8,0.6,1.0,0.0,0.0,27.33,75.61,4.8,58.33,73.53,59.12,1.47,0.87,15,1,3,Inglaterra Championship,2
Oliver Cooper,0.12,46.81,0.95,0.0,1.59,0.29,0.56,0.1,0.05,19.27,85.7,6.02,28.57,26.32,54.14,1.59,0.83,41,1,3,Inglaterra Championship,2
Jayson Molumby,0.09,41.94,0.95,0.0,1.37,0.51,0.65,0.09,0.09,36.44,86.02,7.67,55.0,47.56,48.03,0.53,0.88,43,1,3,Inglaterra Championship,2
Jay Dasilva,0.0,58.93,0.41,0.0,1.24,0.65,0.5,0.06,0.03,29.09,80.18,8.29,40.21,33.33,48.1,0.26,0.35,34,2,3,Inglaterra Championship,2
Jake Bidwell,0.02,16.67,0.56,0.0,1.38,0.53,0.29,0.0,0.09,24.73,71.97,6.42,27.64,57.14,54.38,0.44,0.87,45,2,3,Inglaterra Championship,2
Dan Neil,0.04,44.83,0.71,0.0,2.27,1.04,0.91,0.11,0.09,42.38,82.91,9.09,55.63,48.75,51.44,1.07,0.98,45,1,3,Inglaterra Championship,2
Junior Hoilett,0.03,48.98,0.97,0.0,2.0,0.85,0.71,0.03,0.0,22.09,73.77,6.0,26.83,45.0,47.06,0.74,1.21,34,3,3,Inglaterra Championship,2
Ismaïla Sarr,0.26,42.74,2.08,0.0,0.44,0.38,0.41,0.18,0.18,19.97,79.08,7.46,52.0,30.49,45.48,1.82,0.44,39,2,3,Inglaterra Championship,2
Jonathan Howson,0.0,52.63,0.23,0.0,1.48,1.0,0.7,0.09,0.07,57.02,83.62,11.98,39.57,60.81,53.0,0.45,0.64,44,3,3,Inglaterra Championship,2
Alistair McCann,0.0,41.67,0.71,0.0,2.48,0.74,1.13,0.03,0.0,24.94,77.1,5.26,43.1,36.62,51.32,0.9,0.81,31,1,3,Inglaterra Championship,2
Ryan Ledson,0.03,50.0,0.25,0.0,1.08,1.25,0.55,0.05,0.0,22.73,66.12,3.73,40.74,65.67,58.13,0.7,0.8,40,2,3,Inglaterra Championship,2
Andreas Voglsammer,0.07,23.81,1.12,0.0,0.83,0.32,0.12,0.07,0.12,12.44,62.16,2.76,34.69,48.15,47.75,0.68,0.56,41,3,3,Inglaterra Championship,2
Ben Osborn,0.05,69.23,0.8,0.0,1.0,0.65,0.25,0.1,0.0,25.75,75.73,8.3,22.81,48.0,52.17,0.35,0.4,20,2,3,Inglaterra Championship,2
Ben Pearson,0.0,58.33,0.57,0.0,1.71,1.57,1.36,0.07,0.07,47.14,84.24,7.29,52.63,43.48,43.75,0.57,1.5,14,2,3,Inglaterra Championship,2
Alex Mowatt,0.0,57.14,0.55,0.0,0.55,0.34,0.41,0.07,0.07,26.97,87.47,6.07,48.21,57.58,57.58,0.62,0.38,29,2,3,Inglaterra Championship,2
Jordan Graham,0.0,42.31,0.48,0.0,0.52,0.64,0.48,0.16,0.08,15.48,68.99,3.6,48.15,52.38,57.27,1.12,0.2,25,2,3,Inglaterra Championship,2
Luke Cundle,0.09,25.0,0.59,0.0,0.63,0.25,0.31,0.09,0.13,31.22,88.59,9.09,59.26,15.38,38.68,0.5,0.5,32,1,3,Inglaterra Championship,2
Regan Slater,0.11,41.27,1.02,0.0,0.93,0.55,0.52,0.09,0.09,30.8,84.13,7.09,51.92,41.03,44.98,0.73,0.61,44,1,3,Inglaterra Championship,2
George Baldock,0.03,51.61,0.42,0.0,1.44,0.69,0.69,0.17,0.08,28.94,74.28,9.94,26.92,56.25,50.0,0.78,1.11,36,2,3,Inglaterra Championship,2
Sam Hutchinson,0.0,25.0,0.09,0.0,1.18,1.36,0.36,0.09,0.09,31.09,81.29,2.45,47.69,57.58,46.58,0.09,1.45,11,3,3,Inglaterra Championship,2
Sorba Thomas,0.0,28.95,0.68,0.0,0.55,0.4,0.35,0.2,0.2,17.68,63.65,4.6,38.79,23.91,36.75,1.23,0.83,40,1,3,Inglaterra Championship,2
Jack Cork,0.0,60.87,0.23,0.0,1.44,1.1,0.72,0.03,0.05,41.87,86.96,7.23,50.0,51.64,51.29,0.69,0.97,39,3,3,Inglaterra Championship,2
Joe Allen,0.04,61.54,0.52,0.0,1.28,1.0,0.52,0.0,0.04,29.96,87.85,6.08,34.38,44.44,47.86,0.6,0.76,25,3,3,Inglaterra Championship,2
Álvaro Fernández,0.0,65.38,0.72,0.0,1.74,1.1,1.0,0.15,0.1,25.44,69.15,5.69,39.52,57.75,54.44,0.79,0.67,39,1,3,Inglaterra Championship,2
Ismael Koné,0.0,88.0,0.75,0.0,1.13,0.25,0.63,0.06,0.06,25.13,83.33,7.13,75.0,28.57,59.63,1.19,0.5,16,1,3,Inglaterra Championship,2
Mark Sykes,0.14,32.86,0.81,0.0,1.39,0.72,0.69,0.11,0.0,23.25,69.77,5.69,28.83,43.42,47.78,1.25,0.61,36,2,3,Inglaterra Championship,2
John Buckley,0.0,59.09,0.19,0.0,2.48,0.86,1.19,0.0,0.05,41.1,78.68,7.24,47.33,33.33,53.72,1.38,1.14,21,1,3,Inglaterra Championship,2
Pelly Ruddock Mpanzu,0.1,56.82,0.67,0.0,1.1,0.67,0.43,0.07,0.03,26.8,76.37,7.2,50.0,33.33,48.66,1.07,0.67,30,2,3,Inglaterra Championship,2
Romaine Sawyers,0.08,48.28,0.49,0.0,0.86,0.49,0.32,0.08,0.0,27.11,80.46,7.08,64.0,39.02,45.81,0.54,0.54,37,3,3,Inglaterra Championship,2
Jack Rudoni,0.04,46.08,1.24,0.0,1.46,0.72,0.89,0.11,0.11,28.91,73.68,6.85,34.97,34.36,39.48,0.91,1.3,46,1,3,Inglaterra Championship,2
Daniel Johnson,0.03,46.43,0.59,0.0,1.26,0.59,0.85,0.09,0.09,27.59,77.51,8.79,40.23,43.48,45.21,0.56,0.47,34,3,3,Inglaterra Championship,2
Ozan Tufan,0.19,45.45,1.29,0.0,1.0,0.38,0.33,0.05,0.0,21.48,79.27,5.02,58.11,49.02,42.02,0.52,1.1,42,2,3,Inglaterra Championship,2
Sammie Szmodics,0.15,39.39,1.29,0.0,1.09,0.5,0.85,0.09,0.06,20.38,80.95,5.12,68.09,29.41,40.45,0.5,0.53,34,2,3,Inglaterra Championship,2
Tim Iroegbunam,0.06,45.31,1.22,0.0,2.03,0.78,0.91,0.03,0.0,26.44,78.84,6.28,55.36,44.93,49.11,1.28,1.44,32,1,3,Inglaterra Championship,2
Andy King,0.0,75.0,0.35,0.0,0.96,0.54,0.62,0.0,0.04,27.35,76.79,4.0,34.62,42.0,50.0,0.31,0.38,26,3,3,Inglaterra Championship,2
Marcus Forss,0.26,39.39,1.16,0.0,0.63,0.08,0.34,0.05,0.13,10.03,78.48,2.79,30.0,18.18,32.49,0.5,0.92,38,1,3,Inglaterra Championship,2
Tyrhys Dolan,0.1,41.67,1.1,0.0,1.1,0.2,0.58,0.13,0.15,16.65,79.43,5.45,37.04,20.51,43.07,1.03,0.75,40,1,3,Inglaterra Championship,2
Mamadou Loum,0.03,61.7,0.83,0.0,2.0,0.93,0.86,0.0,0.03,27.72,75.75,3.48,38.55,64.77,56.11,0.9,1.55,29,2,3,Inglaterra Championship,2
Jaden Philogene-Bidace,0.11,54.95,1.84,0.0,1.73,0.49,0.7,0.05,0.03,14.65,73.99,4.11,37.78,31.58,48.0,1.16,0.65,37,1,3,Inglaterra Championship,2
Luke Berry,0.14,30.0,0.86,0.0,0.57,0.38,0.24,0.0,0.0,8.05,64.5,2.1,54.55,55.36,47.75,0.33,0.86,21,3,3,Inglaterra Championship,2
Etienne Camara,0.0,70.0,0.15,0.0,1.85,0.7,0.65,0.1,0.0,29.1,78.01,3.4,45.71,60.0,55.86,0.35,0.75,20,1,3,Inglaterra Championship,2
Callum Styles,0.05,56.25,0.73,0.0,1.32,0.5,0.59,0.09,0.05,20.77,78.12,5.14,41.67,32.56,47.59,0.82,0.82,22,1,3,Inglaterra Championship,2
Oliver Burke,0.12,31.82,1.29,0.0,0.47,0.24,0.41,0.0,0.12,15.65,69.17,4.65,55.56,66.18,50.4,0.18,0.47,17,2,3,Inglaterra Championship,2
Elliot Embleton,0.09,56.52,1.04,0.0,0.78,0.22,0.35,0.04,0.09,20.57,80.34,6.17,33.33,16.67,41.49,0.3,0.78,23,1,3,Inglaterra Championship,2
Josh Bowler,0.16,53.57,2.12,0.0,0.6,0.28,0.44,0.04,0.04,14.12,76.2,5.92,61.54,27.27,45.58,1.0,0.8,25,1,3,Inglaterra Championship,2
John Fleck,0.04,47.06,0.27,0.0,0.85,0.27,0.73,0.15,0.04,17.46,79.96,5.54,48.65,47.06,46.0,0.31,0.38,26,3,3,Inglaterra Championship,2
Shane Ferguson,0.1,50.0,0.39,0.0,0.65,0.35,0.19,0.06,0.16,10.29,74.61,3.61,46.0,20.0,41.38,0.19,0.42,31,3,3,Inglaterra Championship,2
Jonathan Hogg,0.0,71.43,0.27,0.0,1.9,0.97,1.1,0.03,0.03,37.57,81.46,5.2,44.09,54.17,52.92,0.87,1.17,30,3,3,Inglaterra Championship,2
Hakeem Odofin,0.17,50.0,1.0,0.0,1.35,1.13,0.57,0.0,0.0,14.7,48.82,2.83,16.33,43.26,45.89,0.48,0.96,23,2,3,Inglaterra Championship,2
Isaiah Jones,0.09,36.89,0.68,0.0,1.41,0.62,0.71,0.18,0.15,26.09,80.27,9.26,36.84,24.14,46.17,2.03,1.09,34,1,3,Inglaterra Championship,2
Nathaniel Chalobah,0.0,66.67,0.54,0.0,0.46,0.85,0.23,0.0,0.0,20.46,75.19,2.92,50.0,52.78,52.5,0.85,0.77,13,2,3,Inglaterra Championship,2
Tom Naylor,0.06,57.14,0.81,0.0,0.92,1.14,0.78,0.06,0.03,22.42,76.95,3.25,40.63,57.97,52.71,0.86,0.72,36,3,3,Inglaterra Championship,2
Matt Phillips,0.08,45.45,0.72,0.0,0.56,0.56,0.36,0.12,0.08,17.72,72.69,4.48,48.48,33.33,36.21,0.12,0.6,25,3,3,Inglaterra Championship,2
Marc Albrighton,0.0,61.11,0.29,0.0,0.88,0.29,0.59,0.24,0.0,14.12,69.58,4.12,42.86,50.0,57.35,0.41,0.24,17,3,3,Inglaterra Championship,2
Jayden Bogle,0.1,42.86,1.05,0.0,1.25,0.65,0.5,0.25,0.05,24.65,66.33,6.8,20.29,48.94,45.83,0.8,1.0,20,1,3,Inglaterra Championship,2
Hannibal Mejbri,0.03,37.5,0.37,0.66,1.32,0.71,0.61,0.16,0.13,17.16,71.93,5.76,43.37,23.68,43.52,1.42,1.21,38,1,3,Inglaterra Championship,2
Ben Jackson,0.05,36.36,0.74,0.0,1.16,0.53,0.58,0.16,0.05,16.68,53.63,2.47,20.48,28.57,50.5,0.95,0.32,19,1,3,Inglaterra Championship,2
Jake Livermore,0.06,0.0,0.41,0.0,0.76,0.82,0.35,0.06,0.0,18.94,80.43,4.12,60.61,30.77,35.94,0.12,0.76,17,3,3,Inglaterra Championship,2
Nathan Broadhead,0.23,50.0,0.91,0.0,0.55,0.14,0.27,0.0,0.0,9.95,82.65,2.82,55.56,19.35,35.78,0.27,0.41,22,2,3,Inglaterra Championship,2
Nick Powell,0.16,38.46,1.2,0.0,0.48,0.24,0.4,0.0,0.0,15.56,68.64,5.04,54.84,45.22,43.72,1.0,1.16,25,2,3,Inglaterra Championship,2
Xavier Simons,0.0,75.0,0.42,0.0,0.67,0.92,0.17,0.0,0.0,17.0,81.37,1.33,43.48,50.0,52.94,0.17,0.33,12,1,3,Inglaterra Championship,2
Onel Hernández,0.05,51.33,0.92,0.0,1.18,0.28,0.36,0.08,0.13,13.77,76.35,4.9,40.63,33.33,47.0,0.87,0.79,39,2,3,Inglaterra Championship,2
Tyrese Fornah,0.06,47.62,0.63,0.0,1.11,0.51,0.34,0.09,0.06,17.71,81.77,3.63,54.55,51.43,47.49,0.23,0.43,35,1,3,Inglaterra Championship,2
Tendayi Darikwa,0.0,70.27,0.38,0.0,1.65,0.97,0.84,0.08,0.03,34.19,71.86,6.03,33.7,50.0,58.37,0.51,0.35,37,3,3,Inglaterra Championship,2
Jacob Brown,0.18,29.41,1.66,0.0,1.29,0.34,0.66,0.11,0.03,17.63,62.69,4.5,19.51,38.27,40.26,1.55,1.47,38,2,3,Inglaterra Championship,2
Liam Gibbs,0.03,71.43,0.41,0.0,0.88,0.47,0.38,0.06,0.0,27.38,82.71,5.88,51.72,40.0,45.14,0.15,0.56,34,1,3,Inglaterra Championship,2
Allan Campbell,0.07,47.37,0.74,0.0,1.67,0.83,0.98,0.0,0.05,18.26,73.4,5.67,33.33,30.77,40.0,0.52,1.12,42,2,3,Inglaterra Championship,2
Jack Burroughs,0.0,45.45,0.17,0.0,1.17,0.33,0.67,0.0,0.0,9.42,70.8,1.42,45.45,27.27,51.72,0.67,0.25,12,1,3,Inglaterra Championship,2
Matthew Sorinola,0.07,42.11,0.48,0.0,1.1,0.41,0.52,0.17,0.1,19.93,78.03,4.69,40.0,26.09,43.0,1.17,1.21,29,1,3,Inglaterra Championship,2
Fankaty Dabo,0.0,41.86,0.3,0.0,1.44,1.0,0.48,0.07,0.07,25.04,74.11,5.3,37.23,60.0,52.49,0.63,0.52,27,2,3,Inglaterra Championship,2
Jamie Lindsay,0.06,30.0,0.39,0.0,1.33,0.42,0.72,0.03,0.0,17.11,76.79,4.53,36.73,41.67,47.78,0.61,0.78,36,2,3,Inglaterra Championship,2
Bradley Dack,0.15,50.0,0.85,0.0,0.37,0.11,0.33,0.07,0.04,16.7,75.83,3.48,65.91,25.0,35.0,0.22,0.33,27,2,3,Inglaterra Championship,2
Dimitrios Pelkas,0.08,44.83,1.12,0.0,1.0,0.27,0.58,0.04,0.04,15.54,75.99,4.31,39.13,23.08,42.31,0.5,0.92,26,2,3,Inglaterra Championship,2
Gavin Whyte,0.07,57.14,0.29,0.0,0.43,0.14,0.43,0.0,0.07,7.93,79.28,2.36,50.0,28.57,48.72,0.5,0.21,14,2,3,Inglaterra Championship,2
Tariqe Fosu-Henry,0.03,51.88,1.08,0.0,1.54,0.82,0.72,0.13,0.08,21.49,72.67,6.77,35.96,40.23,45.25,1.05,0.72,39,2,3,Inglaterra Championship,2
Ryan Woods,0.0,66.67,0.11,0.0,0.82,0.29,0.61,0.11,0.07,33.36,85.55,6.39,58.33,38.89,40.77,0.43,0.93,28,2,3,Inglaterra Championship,2
Ben Woodburn,0.03,56.25,0.89,0.0,0.92,0.45,0.82,0.03,0.05,11.29,74.83,3.11,53.33,35.9,46.6,0.58,0.66,38,1,3,Inglaterra Championship,2
Niels Nkounkou,0.0,51.02,0.56,0.0,2.22,0.56,0.67,0.11,0.06,29.33,67.42,5.89,40.95,45.95,50.28,0.39,1.06,18,1,3,Inglaterra Championship,2
Ben Wiles,0.07,50.0,1.15,0.0,0.7,0.81,0.52,0.04,0.04,21.44,75.82,5.59,51.28,35.71,43.3,0.93,0.44,27,1,3,Inglaterra Championship,2
Andy Rinomhota,0.0,42.86,0.26,0.0,1.56,0.59,0.44,0.03,0.08,19.69,76.69,5.0,44.68,34.72,53.02,1.31,0.82,39,2,3,Inglaterra Championship,2
Édouard Michut,0.04,51.52,0.33,0.0,1.67,0.42,0.92,0.0,0.0,21.38,87.72,3.13,52.5,35.29,55.29,1.29,0.63,24,1,3,Inglaterra Championship,2
Jeff Hendrick,0.09,46.67,1.13,0.0,0.69,0.71,0.29,0.07,0.02,26.96,77.66,4.78,35.0,58.46,48.88,0.42,0.44,45,3,3,Inglaterra Championship,2
Thelo Aasgaard,0.07,44.44,0.98,0.0,0.54,0.56,0.32,0.02,0.02,11.78,81.37,3.1,62.0,48.33,50.26,0.71,0.37,41,1,3,Inglaterra Championship,2
Tom Rogić,0.05,38.46,0.5,0.0,0.9,0.0,0.25,0.05,0.15,9.35,76.47,3.2,77.78,20.0,45.83,0.4,0.25,20,3,3,Inglaterra Championship,2
Sam Clucas,0.0,20.0,0.42,0.0,1.33,0.67,0.33,0.0,0.0,12.0,71.53,3.0,28.57,33.33,41.54,0.17,0.58,12,3,3,Inglaterra Championship,2
Luke Freeman,0.08,57.5,0.81,0.0,0.85,0.38,0.42,0.08,0.04,10.54,80.29,4.31,32.0,20.83,38.73,0.65,0.62,26,3,3,Inglaterra Championship,2
Adam Reach,0.0,42.86,0.67,0.0,0.22,0.22,0.28,0.0,0.0,12.39,79.37,2.61,27.27,75.0,56.1,0.39,0.11,18,2,3,Inglaterra Championship,2
CJ Hamilton,0.03,32.43,0.59,0.0,0.92,0.28,0.41,0.15,0.1,9.82,56.14,2.41,12.9,33.33,43.4,0.49,0.15,39,2,3,Inglaterra Championship,2
Albert Adomah,0.05,47.06,0.61,0.0,0.68,0.29,0.37,0.13,0.0,7.92,67.44,2.71,20.0,24.44,42.04,0.34,0.34,38,3,3,Inglaterra Championship,2
Graeme Shinnie,0.0,57.14,0.21,0.0,1.42,0.58,0.53,0.0,0.0,21.68,81.07,4.0,50.0,57.89,56.74,1.0,1.05,19,3,3,Inglaterra Championship,2
Sonny Carey,0.08,35.71,1.19,0.0,1.05,0.3,0.65,0.11,0.03,19.35,71.93,4.65,37.11,21.35,38.26,0.76,0.43,37,1,3,Inglaterra Championship,2
Ryan Longman,0.05,55.56,1.11,0.0,0.59,0.27,0.54,0.05,0.03,14.81,75.18,3.95,63.64,46.43,41.96,0.35,0.81,37,1,3,Inglaterra Championship,2
Greg Docherty,0.03,35.19,0.86,0.0,1.26,0.46,0.74,0.03,0.06,26.57,79.57,4.69,40.26,43.33,41.94,0.43,0.54,35,2,3,Inglaterra Championship,2
Samuel Bastien,0.06,33.33,0.39,0.0,0.5,0.06,0.28,0.06,0.06,14.33,88.76,3.78,75.0,36.84,40.82,0.11,0.22,18,2,3,Inglaterra Championship,2
Jamie Shackleton,0.0,51.72,0.28,0.0,0.86,0.28,0.42,0.0,0.0,16.17,80.76,3.78,42.0,17.65,46.76,0.36,0.39,36,1,3,Inglaterra Championship,2
Jobe Bellingham,0.0,80.0,0.45,0.0,0.59,0.09,0.41,0.0,0.0,8.5,79.68,2.55,37.5,41.18,48.96,0.36,0.27,22,1,3,Inglaterra Championship,2
Alfie Chang,0.0,71.43,0.38,0.0,0.46,0.31,0.54,0.0,0.0,16.69,75.12,2.54,38.89,57.14,46.51,0.08,0.38,13,1,3,Inglaterra Championship,2
Joseph Hungbo,0.14,39.39,0.76,0.0,0.33,0.19,0.29,0.1,0.05,5.67,71.43,1.86,12.5,20.83,39.13,0.95,0.29,21,1,3,Inglaterra Championship,2
