Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Janner Corozo,0.15,2.6670000000000003,1.26,0.0,1.15,0.22,0.3,0.11,0.11,1.481,6.65,0.393,3.929,5.306,4.781000000000001,1.48,1.07,27.0,2.0,3.0,Ecuador Serie A,3.0
Carlos Arboleda,0.08,5.789,1.12,0.0,0.65,0.46,0.35,0.08,0.12,1.765,6.731999999999999,0.41500000000000004,4.022,3.3329999999999997,4.08,0.62,1.38,26.0,3.0,3.0,Ecuador Serie A,3.0
Richard Calderón,0.12,4.167,1.76,0.020999999999999998,0.64,0.44,0.56,0.0,0.08,2.04,7.765000000000001,0.488,6.770999999999999,7.0,5.327,0.88,0.64,25.0,2.0,3.0,Ecuador Serie A,3.0
Eddy Mejía,0.0,8.0,0.67,0.0,0.5,0.17,0.08,0.25,0.25,0.8,6.979000000000001,0.233,4.615,2.0,5.122,0.42,0.5,12.0,1.0,3.0,Ecuador Serie A,3.0
Diego Armas,0.09,4.444,1.55,0.0,0.18,0.09,0.09,0.09,0.09,1.3820000000000001,7.961,0.45499999999999996,3.636,3.75,4.333,0.36,0.27,11.0,3.0,3.0,Ecuador Serie A,3.0
Jean Carlos Montaño,0.0,6.087,0.0,0.0,1.64,0.64,0.5,0.0,0.0,3.5,9.041,0.271,6.923,8.889,6.075,1.43,1.07,14.0,1.0,3.0,Ecuador Serie A,3.0
Steven Tapiero,0.13,4.545,1.13,0.0,1.42,0.96,0.71,0.08,0.0,2.629,7.876,0.4,5.604,4.242,4.7829999999999995,1.46,1.88,24.0,3.0,3.0,Ecuador Serie A,3.0
José Alberti,0.0,5.0,0.55,0.0,0.91,0.45,0.45,0.09,0.09,2.727,8.033,0.618,5.0,6.25,5.0,0.73,0.73,11.0,2.0,3.0,Ecuador Serie A,3.0
Madison Julio,0.05,6.667,0.76,0.0,1.19,0.76,0.48,0.0,0.05,1.9100000000000001,6.9079999999999995,0.471,5.417,5.0,5.039,0.67,1.1,21.0,2.0,3.0,Ecuador Serie A,3.0
Edison Vega,0.0,5.0,0.44,0.0,0.72,0.88,0.16,0.08,0.04,2.712,8.392,0.44000000000000006,6.286,3.684,5.625,1.28,0.68,25.0,3.0,3.0,Ecuador Serie A,3.0
Cristian Penilla,0.06,4.667,1.11,0.0,0.17,0.11,0.0,0.06,0.06,0.589,7.736,0.244,6.0,0.0,3.8299999999999996,0.44,0.39,18.0,3.0,3.0,Ecuador Serie A,3.0
Vilinton Branda,0.13,6.25,1.73,0.0,0.33,0.13,0.2,0.07,0.07,1.4869999999999999,7.981999999999999,0.393,5.0,3.125,4.359,0.6,0.73,15.0,1.0,3.0,Ecuador Serie A,3.0
Manu Balda,0.12,7.273000000000001,1.18,0.0,0.59,0.24,0.41,0.06,0.06,2.282,8.273,0.741,4.634,3.0,4.4159999999999995,0.76,0.94,17.0,3.0,3.0,Ecuador Serie A,3.0
Jhonny Quiñónez,0.05,6.0,0.81,0.0,0.57,0.52,0.38,0.0,0.05,2.648,7.68,0.6,6.627,6.429,4.622,0.48,1.14,21.0,2.0,3.0,Ecuador Serie A,3.0
Sebastián Assis,0.07,4.667,0.77,0.0,1.33,0.43,0.7,0.03,0.03,3.4829999999999997,8.181999999999999,0.807,5.49,3.81,5.286,1.9,1.07,30.0,2.0,3.0,Ecuador Serie A,3.0
Fernando Gaibor,0.04,5.714,1.04,0.0,0.71,0.5,0.86,0.04,0.07,3.3289999999999997,8.122,0.857,6.748,3.636,4.101,0.61,0.61,28.0,3.0,3.0,Ecuador Serie A,3.0
Joao Ortíz,0.0,6.470999999999999,0.5,0.0,0.65,0.5,0.12,0.0,0.04,4.515,9.157,0.773,6.822,4.583,5.446,0.85,0.81,26.0,2.0,3.0,Ecuador Serie A,3.0
Danny Luna,0.08,0.0,0.92,0.0,0.15,0.08,0.08,0.31,0.15,1.223,8.931000000000001,0.5,5.714,2.5,5.667,1.08,0.23,13.0,3.0,3.0,Ecuador Serie A,3.0
Daniel Clavijo,0.11,4.090999999999999,0.84,0.0,1.0,0.63,0.53,0.0,0.05,2.379,7.699,0.663,3.415,5.0,4.712,0.68,0.84,19.0,1.0,3.0,Ecuador Serie A,3.0
Yaimar Medina,0.06,3.846,1.67,0.0,0.39,0.33,0.11,0.06,0.06,1.433,8.333,0.461,5.2170000000000005,2.5,4.225,0.89,0.94,18.0,1.0,3.0,Ecuador Serie A,3.0
Tommy Chamba,0.0,3.3329999999999997,0.65,0.0,0.35,0.12,0.06,0.06,0.06,0.982,7.784000000000001,0.294,6.875,5.0,6.2,1.18,0.53,17.0,1.0,3.0,Ecuador Serie A,3.0
José Andrade,0.04,2.5,0.83,0.0,0.57,0.17,0.35,0.04,0.13,1.143,6.9959999999999996,0.313,5.429,2.34,4.206,1.17,0.57,23.0,2.0,3.0,Ecuador Serie A,3.0
Francisco Mera,0.04,5.1850000000000005,0.96,0.0,0.68,0.5,0.64,0.07,0.07,2.0789999999999997,7.662999999999999,0.48600000000000004,5.4670000000000005,3.571,5.0840000000000005,1.71,0.68,28.0,3.0,3.0,Ecuador Serie A,3.0
Adolfo Muñoz,0.09,2.143,0.74,0.0,0.87,0.48,0.3,0.13,0.17,1.2349999999999999,7.43,0.357,6.8180000000000005,4.375,4.706,0.78,0.7,23.0,2.0,3.0,Ecuador Serie A,3.0
Jean Humanante,0.0,5.0,0.58,0.0,1.08,0.69,0.69,0.0,0.0,3.592,8.49,0.515,6.824,8.0,5.478,0.65,0.77,26.0,2.0,3.0,Ecuador Serie A,3.0
Jalmar Almeida,0.0,4.286,0.47,0.0,0.32,0.32,0.42,0.16,0.05,1.174,7.354000000000001,0.195,4.074,2.5,3.8299999999999996,0.32,0.32,19.0,1.0,3.0,Ecuador Serie A,3.0
Onofre Mejia,0.04,8.0,0.65,0.0,1.09,0.61,0.57,0.09,0.0,2.4699999999999998,7.5,0.635,5.366,4.118,4.7829999999999995,0.65,1.0,23.0,3.0,3.0,Ecuador Serie A,3.0
Steven Gomez,0.08,10.0,1.17,0.0,0.17,0.42,0.08,0.08,0.08,0.758,7.912000000000001,0.267,4.615,2.5,2.692,0.08,0.5,12.0,2.0,3.0,Ecuador Serie A,3.0
Nicolás Previtali,0.0,7.7780000000000005,1.09,0.0,0.91,0.27,0.36,0.0,0.09,2.382,8.397,0.545,7.037000000000001,5.0,5.0,0.18,0.73,11.0,2.0,3.0,Ecuador Serie A,3.0
Jimmy Evans,0.07,3.571,1.15,0.0,0.63,0.22,0.26,0.11,0.15,0.974,7.718999999999999,0.29300000000000004,6.0,3.75,4.856,2.11,1.37,27.0,1.0,3.0,Ecuador Serie A,3.0
Jean Carlos Estacio,0.0,4.375,1.0,0.0,0.91,0.52,0.48,0.0,0.0,3.0,8.129999999999999,0.6,6.1450000000000005,3.571,4.173,0.87,1.22,23.0,2.0,3.0,Ecuador Serie A,3.0
Henry Patta,0.04,5.5,1.3,0.0,0.81,0.37,0.33,0.07,0.0,1.748,7.8180000000000005,0.433,5.872999999999999,2.0,4.706,0.74,0.78,27.0,3.0,3.0,Ecuador Serie A,3.0
Ariel Almagro,0.06,3.0,0.94,0.0,1.82,0.76,0.82,0.0,0.0,1.8530000000000002,7.492,0.335,4.828,1.818,5.039,1.47,0.94,17.0,1.0,3.0,Ecuador Serie A,3.0
Adonis Preciado,0.14,4.146,0.95,0.0,0.86,0.45,0.09,0.09,0.14,1.218,7.2010000000000005,0.323,6.364,7.143000000000001,5.5969999999999995,1.5,1.27,22.0,2.0,3.0,Ecuador Serie A,3.0
Maikel Valencia,0.0,7.0,0.95,0.0,0.91,0.41,0.23,0.05,0.0,2.132,8.081,0.518,5.577,3.077,5.135,1.18,1.05,22.0,1.0,3.0,Ecuador Serie A,3.0
Mauricio Alonso,0.03,5.556,1.17,0.0,0.62,0.21,0.48,0.03,0.0,1.8210000000000002,8.125,0.462,6.8,4.375,4.925,1.31,1.0,29.0,2.0,3.0,Ecuador Serie A,3.0
