#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
105,,Vasilios Mantzis,0,0.13,0,0,0.97,0.19
106,,Alexandros Malis,0,0.09,0,0,0.91,0.18
107,,Iker Bilbao,0,0,0,0,1.44,0.38
108,,Carles Soria,0,0.16,0,0,1.16,0.35
109,,Mateo García,0,0.12,0,0,0.7,0.09
110,,Dávid Gróf,3.18,0.27,0.27,0.09,1.27,0.27
111,,Giannis Gianniotas,0,0,0,0,0.69,0.06
112,,Kyriakos Papadopoulos,0,0.3,0,0,0.8,0.3
113,,Oghenekaro Etebo,0,0.2,0,0,0.72,0.12
114,,Federico Álvarez,0,0.31,0,0,0.83,0.14
115,,Andraž Šporar,0,0.03,0,0,0.22,0
116,,Viktor Klonaridis,0,0.04,0,0,0.64,0.08
117,,Stefanos Stroungis,0,0.17,0,0,0.92,0.08
118,,Miguel Mellado,0,0.15,0,0,1,0.07
119,,Dominik Kotarski,1.94,0.44,0.21,0.03,0.71,0.18
120,,Pepe Castaño,0,0.37,0,0,0.87,0.17
121,,Milad Mohammadi,0,0.38,0,0,0.15,0
122,,Ervin Zukanović,0,0.22,0,0,0.94,0.17
123,,Fotis Ioannidis,0,0.06,0,0,0.25,0.03
124,,Aboubakar Kamara,0,0,0,0,0.73,0.07
125,,Dimitrios Kourbelis,0,0.17,0,0,0.33,0.03
126,,Triantafyllos Pasalidis,0,0.27,0,0,0.73,0.05
127,,Lukas Rupp,0,0,0,0,0.5,0
128,,Georgios Kornezos,0,0.23,0,0,1.55,0.18
129,,Rafa Soares,0,0.42,0,0,0.69,0.19
130,,Derek Cornelius,0,0.15,0,0,0.85,0.31
131,,Dani Suarez,0,0.11,0,0,1.22,0.11
132,,Rodrigo Escoval,0,0.34,0,0,1.07,0.38
133,,Julián Bartolo,0,0,0,0,0.32,0.14
134,,Theofanis Mavromatis,0,0.22,0,0,0.72,0.06
135,,Alexei Koşelev,1.75,0.5,0.25,0,0.5,0.25
136,,Jean Barrientos,0,0.26,0,0,1.17,0.39
137,,Pajtim Kasami,0,0.17,0,0,0.33,0.08
138,,Nikolaos Karelis,0,0.03,0,0,0.97,0.21
139,,Nouha Dicko,0,0.03,0,0,0.9,0.1
140,,Giannis Konstantelias,0,0.13,0,0,0.37,0.13
141,,Georgios Mygas,0,0.24,0,0,1.24,0.21
142,,José Alberto Cañas,0,0.22,0,0,1.04,0.22
143,,Andreas Bouchalakis,0,0,0,0,0,0.33
144,,Petros Mantalos,0,0.03,0,0,0.03,0.03
145,,Diadié Samassékou,0,0.3,0,0,0.05,0.05
146,,Tasos Tsokanis,0,0.19,0,0,1.26,0.3
147,,Juan Iturbe,0,0,0,0,0.7,0.03
148,,Rubén Martínez,0,0,0,0,0.82,0.29
149,,Nélson Oliveira,0,0.09,0,0,0.47,0.13
150,,Theofanis Tzandaris,0,0.17,0,0,0.97,0.17
151,,Bradley Mazikou,0,0.18,0,0,0.89,0.11
152,,David Carmona,0,0.3,0,0,0.83,0.17
153,,Frederico Duarte,0,0.04,0,0,0.84,0.2
154,,Levan Shengelia,0,0.1,0,0,0.58,0.16
155,,Harold Mosquera,0,0,0,0,0.42,0
156,,Wajdi Kechrida,0,0.27,0,0,0.9,0.13
157,,Federico Gino,0,0.19,0,0,0.69,0.25
158,,Juan Muñiz,0,0,0,0,0.36,0.09
159,,Ivan Näsberg,0,0.33,0,0,0.67,0.17
160,,Guðmundur Þórarinsson,0,0.11,0,0,1,0.04
161,,Ahmed Hassan,0,0,0,0,0,0
162,,Christos Albanis,0,0,0,0,0,0
163,,Dereck Kutesa,0,1,0,0,0,0
164,,Konstantinos Doumtsios,0,1,0,0,0,0
165,,Zymer Bytyqi,0,0,0,0,0,0
166,,Régis,0,0,0,0,0,0
167,,Michalis Bakakis,0,0.4,0,0,0.8,0.2
168,,Sotiris Ninis,0,0,0,0,0.22,0
169,,Ousseynou Ba,0,0.26,0,0,0.63,0.16
170,,Assane Dioussé,0,0.15,0,0,1,0.09
171,,Jerónimo Barrales,0,0.14,0,0,0.64,0.07
172,,Facundo Sánchez,0,0.36,0,0,0.21,0
173,,Dorin Rotariu,0,0.07,0,0,0.59,0.07
174,,Paulo Vinícius,0,0.18,0,0,1.05,0.27
175,,Javier Mendoza,0,0,0,0,0.7,0.2
176,,Gerasimos Bakadimas,0,0.25,0,0,0.88,0
177,,Epameinondas Pantelakis,0,0.04,0,0,0.92,0.36
178,,Asier Benito,0,0,0,0,0.38,0.08
179,,Christos Tasoulis,0,0.17,0,0,0.58,0.25
180,,Stefan Schwab,0,0.13,0,0,0.45,0.13
181,,Alexander Jeremejeff,0,0,0,0,0.5,0.2
182,,Moses Odubajo,0,0.16,0,0,0.72,0.04
183,,Rubén García,0,0.18,0,0,0.36,0.09
184,,Panagiotis Liagas,0,0.2,0,0,0.75,0.2
185,,Adam Tzanetopoulos,0,0.22,0,0,1.17,0.33
186,,Adam Gnezda Čerin,0,0.29,0,0,0.35,0.03
187,,Jeison Medina,0,0.13,0,0,0.75,0.13
188,,Marvin Peersman,0,0.21,0,0,0.93,0.14
189,,Matej Marković,2.64,0.14,0.07,0,1.07,0.21
190,,Nicolas N'Koulou,0,0.18,0,0,0.88,0
191,,Claudiu Balan,0,0.11,0,0,0.7,0.19
192,,Youssef El Arabi,0,0.03,0,0,0.15,0.06
193,,Tomás De Vincenti,0,0,0,0,0.96,0.21
194,,Manssou Fofana,0,0,0,0,0.6,0
195,,Giannis Anestis,3.19,0.1,0.24,0.05,1.33,0.29
196,,Joan Sastre,0,0.42,0,0,0.46,0.17
197,,Alfredo Mejía,0,0.1,0,0,0.97,0.21
198,,Georgios Liavas,0,0.2,0,0,1.2,0.13
199,,Kevin Rosero,0,0,0,0,1,0.36
200,,Salem M'Bakata,0,0.17,0,0,0.74,0.17
201,,Nadrey Dago,0,0,0,0,0.56,0.25
202,,Stephen Kwabena Hammond,0,0.15,0,0,0.88,0.23
203,,Leroy Abanda,0,0.2,0,0,1,0.33
204,,Nikolaos Tsoukalos,0,0,0,0,0,0
