#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Vieirinha,0.07,0,33.33,66.67,0.93,0.27
98,,Panagiotis Retsos,0,0,80,54.55,0.29,1.43
99,,Juankar,0.15,0,52.17,55.11,1.12,0.97
100,,Eric Larsson,0.23,0.03,54.29,53.94,1.81,1.29
101,,Nikos Vergos,0.06,0,42.11,47.62,2,1.44
102,,Deybi Flores,0.25,0,75,67.03,1.25,1.06
103,,Rodrigo Erramuspe,0.26,0,52.27,48.53,0.35,1.19
104,,Julián Cuesta,0.06,0,100,60,0.1,0.03
105,,Vasilios Mantzis,0.16,0,41.58,44.33,1.94,1.19
106,,Alexandros Malis,0.09,0,65,56.6,0.55,0.91
107,,Iker Bilbao,0.13,0,69.23,61.17,1.06,1.13
108,,Carles Soria,0.23,0,42.11,49.7,0.74,1.16
109,,Mateo García,0.09,0.03,38.89,53.59,1.58,0.79
110,,Dávid Gróf,0.18,0,0,75,0.27,0
111,,Giannis Gianniotas,0.13,0,25,51.38,1.88,1.06
112,,Kyriakos Papadopoulos,0.1,0,75,75.47,1.7,0.6
113,,Oghenekaro Etebo,0.2,0.04,38.24,55.36,1,1.4
114,,Federico Álvarez,0.03,0,78.26,59.28,0.76,0.93
115,,Andraž Šporar,0.09,0,37.78,44.2,1.09,0.66
116,,Viktor Klonaridis,0.08,0,46.15,45.19,0.48,0.44
117,,Stefanos Stroungis,0.17,0,65.91,59.49,0.67,1.17
118,,Miguel Mellado,0.41,0,34.15,53.68,2.81,2.07
119,,Dominik Kotarski,0.12,0,50,73.33,0.26,0.06
120,,Pepe Castaño,0.27,0,57.45,53.15,0.93,1.27
121,,Milad Mohammadi,0,0,45.45,45,0.54,1.31
122,,Ervin Zukanović,0.11,0.06,61.9,52.27,0.17,0.33
123,,Fotis Ioannidis,0.06,0,33.33,47.42,1.36,0.83
124,,Aboubakar Kamara,0.27,0.13,43.59,42.86,1.93,2.33
125,,Dimitrios Kourbelis,0.27,0.03,53.66,48.28,1.5,1.97
126,,Triantafyllos Pasalidis,0.36,0.05,61.29,55.74,1.05,1.68
127,,Lukas Rupp,0,0,50,56.76,0.88,0.75
128,,Georgios Kornezos,0.18,0,62.07,58.04,0.18,0.77
129,,Rafa Soares,0.12,0,44.44,36.36,0.12,0.92
130,,Derek Cornelius,0.08,0,60,61.9,0.92,1.08
131,,Dani Suarez,0.22,0,55.56,65.31,0.67,0.67
132,,Rodrigo Escoval,0.21,0,57.63,56.49,0.48,0.9
133,,Julián Bartolo,0.09,0,18.18,46.9,1.05,1
134,,Theofanis Mavromatis,0.22,0,67.74,58.06,0.5,0.67
135,,Alexei Koşelev,0.25,0,100,100,0,0
136,,Jean Barrientos,0.3,0,41.67,51.23,1.48,1.43
137,,Pajtim Kasami,0.08,0,33.33,43.9,0.25,1
138,,Nikolaos Karelis,0.07,0.03,24.36,31.5,1.07,1.45
139,,Nouha Dicko,0.2,0,24.44,37.82,1.17,1.27
