#,Team,Name
1,,James Rodríguez
2,,Vladimír Darida
3,,Mijat Gaćinović
4,,Douglas Augusto
5,,Daniel Mancini
6,,Andrija Živković
7,,Kostas Fortounis
8,,Jasmin Kurtić
9,,Mathieu Valbuena
10,,Luis Palma
11,,Khaled Narey
12,,Nordin Amrabat
13,,Lazar Ranđelović
14,,In-Beom Hwang
15,,Manu García
16,,Sergi Canós
17,,Zisis Karachalios
18,,Aias Aosman
19,,Eder González
20,,Damian Szymański
21,,Yann M'Vila
22,,Bernard
23,,Christos Ioannidis
24,,Pierre Kunde
25,,Orbelín Pineda
26,,Rubén Pérez
27,,Aguibou Camara
28,,Tiago Dantas
29,,Niclas Eliasson
30,,Zoran Tošić
31,,Pep Biel
32,,Thierry Moutinho
33,,Jens Jønsson
34,,Taison
35,,Juanpi Añor
36,,Steven Zuber
37,,Andreas Kuen
38,,Eric Larsson
39,,Deybi Flores
40,,Iker Bilbao
41,,Mateo García
42,,Oghenekaro Etebo
43,,Miguel Mellado
44,,Dimitrios Kourbelis
45,,Lukas Rupp
46,,Julián Bartolo
47,,Jean Barrientos
48,,Pajtim Kasami
49,,Giannis Konstantelias
50,,José Alberto Cañas
51,,Andreas Bouchalakis
52,,Petros Mantalos
53,,Diadié Samassékou
54,,Tasos Tsokanis
55,,Juan Iturbe
56,,Rubén Martínez
57,,Theofanis Tzandaris
58,,Frederico Duarte
59,,Federico Gino
60,,Juan Muñiz
61,,Guðmundur Þórarinsson
62,,Dereck Kutesa
63,,Zymer Bytyqi
64,,Régis
65,,Sotiris Ninis
66,,Assane Dioussé
67,,Javier Mendoza
68,,Christos Tasoulis
69,,Stefan Schwab
70,,Adam Gnezda Čerin
71,,Tomás De Vincenti
72,,Manssou Fofana
73,,Alfredo Mejía
74,,Kevin Rosero
75,,Stephen Kwabena Hammond
76,,Nikolaos Tsoukalos
77,,Paolo Fernandes
78,,André Ricardo
79,,László Kleinheisler
80,,Juan Munafo
81,,Sebá
82,,Walter Iglesias
83,,Giorgos Masouras
84,,Giorgos Nikas
85,,Marios Vrousai
86,,Maximiliano Lovera
87,,Lazar Romanić
88,,Miloš Deletić
89,,Georgios Vrakas
90,,Sito
91,,Garry Rodrigues
92,,Francesc Regis
93,,Panagiotis Tzimas
94,,August Erlingmark
95,,Edwin Rodríguez
96,,Dimitrios Metaxas
97,,Bryan Dabo
98,,Giannis Bouzoukis
99,,Cristopher Nunez
100,,Angelos Liasos
101,,Bandiougou Fadiga
102,,Jorge Díaz
103,,Benjamin Verbič
104,,Cheick Doukouré
105,,Luis Perea
106,,Facundo Bertoglio
107,,Johan Martensson
108,,Vykintas Slivka
109,,Nicolás Mezquida
110,,Christos Eleftheriadis
111,,Paschalis Staikos
112,,Samúel Kári Friðjónsson
113,,Caleb Stanko
114,,Adrián Riera
115,,Michaell Chirinos
116,,Thievy Bifouma
117,,Fabien Antunes
118,,Dani Santafé
119,,Apostolos Stamatelopoulos
120,,Danny Bejarano
121,,Abdoulaye Dabo
122,,Dimitrios Kolovos
123,,Konstantinos Galanopoulos
124,,Kazenga LuaLua
125,,Zinédine Machach
126,,Michal Škvarka
127,,Alexandros Kartalis
128,,Mattheos Mountes
129,,Giannis Apostolakis
130,,Josh Bowler
131,,Daan Rienstra
132,,Enzo Gaggi
133,,Tymoteusz Puchacz
134,,Enis Çokaj
135,,Giorgos Xenidis
136,,Lazaros Christodoulopoulos
137,,Cristian Battocchio
138,,Giorgos Prountzos
139,,Filipe Soares
140,,Nicolás Quagliata
141,,Javier Matilla
142,,Omar El Kaddouri
143,,Anthony Belmonte
144,,Pape Cheikh
145,,Diego Biseswar
146,,Angelos Tsingaras
147,,Anthony Knockaert
148,,Sotiris Tsiloulis
149,,Stefan Aškovski
150,,Thomas Murg
151,,Giannis Ikonomidis
152,,Alexis Trouillet
153,,José Luis Valiente
154,,Savvas Gentsoglou
155,,Ilias Tselios
156,,Eneko Capilla
157,,Felipe Pires
158,,Ergys Kaçe
159,,Oluwatobiloba Alagbe
160,,Mesaque Dju
161,,Paris Babis
162,,Christos Voutsas
163,,Juan Domínguez
164,,Ivan Varone
165,,Theodoros Vasilakakis
166,,Alexander Fransson
167,,Iason Kyrkos
168,,Filip Sachpekidis
169,,Rafail Sgouros
170,,Ismahila Ouédraogo
171,,Afeez Nosiru
172,,Vasilios Poghosyan
173,,Vangelis Nikolaou
174,,Raman Chibsah
175,,Sotiris Alexandropoulos
176,,Leandro Frroku
177,,Sotirios Kokkinis
178,,Nikolaos Lolis
179,,Angelos Tsiris
