#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
93,,Tom van Weert,0.13,0,6.31,77.23,2.13,66.67
94,,Gaëtan Robail,0.3,0.06,23.7,69.44,6.42,47.89
95,,Andreas Kuen,0.17,0.13,31.7,74.76,7.48,54.55
96,,Ramon,0,0.11,28.44,87.11,6.44,90
97,,Vieirinha,0.07,0.07,24.8,84.41,6.07,60.61
98,,Panagiotis Retsos,0,0,39.71,89.57,3.14,75
99,,Juankar,0.06,0,30.3,80.4,7.3,48.48
100,,Eric Larsson,0.1,0.19,38.06,77.97,9.45,47.97
101,,Nikos Vergos,0.13,0,15.63,68.8,4,71.43
102,,Deybi Flores,0.06,0.13,30.94,79.39,5.06,56.63
103,,Rodrigo Erramuspe,0.03,0.03,44.71,82.61,3.94,50.55
104,,Julián Cuesta,0,0,28.84,69.02,0.81,43.7
105,,Vasilios Mantzis,0.13,0.06,15.75,65.48,4.09,60
106,,Alexandros Malis,0,0,45.27,85.14,2.73,46.97
107,,Iker Bilbao,0.06,0.13,32.88,75.29,6.5,53.39
108,,Carles Soria,0.06,0.19,36.74,76.82,7.52,48.39
109,,Mateo García,0.06,0.06,36.58,86.16,9.94,69.7
110,,Dávid Gróf,0,0,21.45,38.14,1.82,32.06
111,,Giannis Gianniotas,0.06,0.13,13.25,62.26,4.44,37.5
112,,Kyriakos Papadopoulos,0,0,26,73.85,2.6,38.98
113,,Oghenekaro Etebo,0,0,50.48,90.02,7.36,66.02
114,,Federico Álvarez,0.03,0.03,37.72,79.8,5.62,43.83
115,,Andraž Šporar,0.06,0.13,10,75.31,3.19,60
116,,Viktor Klonaridis,0.16,0.2,18.36,74.29,5.6,73.08
117,,Stefanos Stroungis,0,0,47.5,83.86,1.33,47.56
118,,Miguel Mellado,0,0,49.37,84.32,9.33,61.87
119,,Dominik Kotarski,0,0,28.68,77.23,0.79,41.29
120,,Pepe Castaño,0,0,54.7,92.81,2.4,59.46
121,,Milad Mohammadi,0,0.08,24.77,80.43,5.38,50
122,,Ervin Zukanović,0,0,40.39,88.86,3.11,62.83
123,,Fotis Ioannidis,0.06,0.06,10.25,79.95,4,58.33
124,,Aboubakar Kamara,0,0,16,76.67,3.93,63.64
125,,Dimitrios Kourbelis,0.1,0.03,42.1,87.02,10.7,69.35
126,,Triantafyllos Pasalidis,0.05,0.05,39.14,84.2,1.82,43.2
127,,Lukas Rupp,0.13,0.13,16.25,86.15,4.88,80
128,,Georgios Kornezos,0,0,33.41,80.41,1.82,46.3
129,,Rafa Soares,0.19,0.19,40.42,81.26,9.54,47.75
130,,Derek Cornelius,0,0.08,37.08,75.31,2.38,34.13
131,,Dani Suarez,0,0.11,52.44,85.38,3.22,52.54
132,,Rodrigo Escoval,0,0,42.38,79.9,3.38,52.4
133,,Julián Bartolo,0.18,0.18,14.5,75.24,3.86,70.37
134,,Theofanis Mavromatis,0.06,0.11,34.94,80.29,1.83,38.66
135,,Alexei Koşelev,0,0,20.75,40.96,2,30.99
136,,Jean Barrientos,0.04,0,46.87,84.97,9.78,68.83
137,,Pajtim Kasami,0,0,25.17,87.09,4.5,63.89
138,,Nikolaos Karelis,0.03,0.03,13.24,74.22,3.07,61.9
139,,Nouha Dicko,0,0.03,16.33,75.51,5.33,50
140,,Giannis Konstantelias,0.17,0.13,22.43,79.64,8.77,64.58
141,,Georgios Mygas,0.21,0.03,25.97,66.67,4.62,37.74
142,,José Alberto Cañas,0.04,0.04,33.41,80.71,5.3,61.11
143,,Andreas Bouchalakis,0,0,33,88.89,8.33,72.73
144,,Petros Mantalos,0.13,0.2,14.57,78.95,4.83,62.07
145,,Diadié Samassékou,0,0,21.05,82.9,3.6,57.78
146,,Tasos Tsokanis,0.04,0.11,28.85,77.41,4.3,46.67
147,,Juan Iturbe,0.03,0.03,15.3,72.87,4.91,54.29
148,,Rubén Martínez,0.06,0,15.53,74.62,5,55.56
149,,Nélson Oliveira,0.03,0.03,14.28,78.12,4.53,64.29
150,,Theofanis Tzandaris,0,0.07,31.72,79.02,5.66,59.8
151,,Bradley Mazikou,0.11,0.07,34.11,85.03,6.18,57.14
152,,David Carmona,0,0.04,31.22,75.63,7.35,46.39
153,,Frederico Duarte,0,0.04,16.92,66.67,4.2,43.86
154,,Levan Shengelia,0.1,0.1,18.35,82.07,4.74,67.12
155,,Harold Mosquera,0.17,0.08,11.17,81.34,5.25,57.14
156,,Wajdi Kechrida,0.13,0.07,40.67,79.59,8.1,51.55
157,,Federico Gino,0.06,0,43.31,81.39,8.13,54.9
158,,Juan Muñiz,0.09,0,17.64,73.2,5.55,56.67
159,,Ivan Näsberg,0,0,46.83,90.21,3.25,48.33
160,,Guðmundur Þórarinsson,0.04,0.15,36.41,80.67,8.52,55.56
161,,Ahmed Hassan,0,0,11,81.82,0,100
162,,Christos Albanis,0,0,4,100,3,0
163,,Dereck Kutesa,0,0,15,66.67,5,0
164,,Konstantinos Doumtsios,0,0,15,66.67,5,0
165,,Zymer Bytyqi,0,0,5,80,1.5,0
166,,Régis,0,0,5.5,72.73,1.5,50
167,,Michalis Bakakis,0,0,32.4,73.46,5.8,24
168,,Sotiris Ninis,0.22,0,23.44,74.41,7.89,47.5
169,,Ousseynou Ba,0.05,0,41.47,89.09,1.79,57.14
170,,Assane Dioussé,0,0.03,41.76,86.43,8.48,70.71
171,,Jerónimo Barrales,0.04,0,17.04,60.17,3.32,35.71
172,,Facundo Sánchez,0,0,34.43,78.63,5.71,43.08
173,,Dorin Rotariu,0.15,0,16.04,76.91,4.52,65.79
174,,Paulo Vinícius,0.05,0,30.36,75.3,2.36,42.86
175,,Javier Mendoza,0,0,22.4,78.57,6.4,76
176,,Gerasimos Bakadimas,0,0,39,85.26,2.75,50
177,,Epameinondas Pantelakis,0,0,39.08,78.4,3.28,47.32
178,,Asier Benito,0,0,6.77,68.18,2.15,0
179,,Christos Tasoulis,0.08,0.08,20.58,79.35,2.92,58.33
180,,Stefan Schwab,0.1,0.03,33.06,81.85,7.61,63.31
181,,Alexander Jeremejeff,0.2,0.2,11.9,63.87,3.2,100
182,,Moses Odubajo,0.08,0.04,34.68,84.08,6.16,49.06
183,,Rubén García,0,0,27.45,81.79,5.36,57.78
184,,Panagiotis Liagas,0,0,23.65,56.45,2.1,34.6
185,,Adam Tzanetopoulos,0,0,33.39,76.21,2.06,52.78
186,,Adam Gnezda Čerin,0.12,0.03,38.65,86.68,11.47,74.04
187,,Jeison Medina,0,0,16.75,70.15,4.75,53.33
188,,Marvin Peersman,0.07,0.1,46.17,84.02,6.62,50.42
189,,Matej Marković,0,0,22.21,50.16,0.29,30.05
190,,Nicolas N'Koulou,0,0,40.29,90.51,1.41,58.82
191,,Claudiu Balan,0,0,9.74,74.9,2.15,77.78
192,,Youssef El Arabi,0.09,0.18,8.18,77.34,2.65,64.29
193,,Tomás De Vincenti,0,0.04,19.04,73.09,4.92,48.98
194,,Manssou Fofana,0,0,4.2,71.43,1.2,0
195,,Giannis Anestis,0,0,25.05,61.6,1,36.54
196,,Joan Sastre,0.08,0,29.04,79.34,5.71,52.44
