Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Zvonimir Šarlija,0,0.1,50,0.62,0,0,0.67,0.86,0,1.67,0,0.05,0.05,0.1,53.1,90.49,4.33,57.55,0,0.43,0,0,0.29,0.05,0.29,0,68.18,65.93,1.38,1,21
Lazar Ranđelović,0.33,0.33,100,1.33,0,0,0.33,0,0,0,0,0.33,0,0,19,87.72,8.33,100,0,0.33,0,0,0,0,0,0,100,55.56,0.67,0.67,3
In-Beom Hwang,0.09,0,66.67,1.16,0,0,1.44,1.16,0,0.44,0,0.56,0.13,0.13,62.63,87.87,15.59,65.83,0,0.34,0,0,0.53,0.09,0.16,0,52.17,51.71,1.28,1.38,32
Alberto Brignoli,0,0,50,0,0,0,0.03,0,0,0.21,0,0,0,0.03,26.59,68.58,0.88,37.81,1.91,0.62,0.06,0.03,0.41,0.03,0.12,0,66.67,80,0.15,0,34
Manu García,0.24,0.12,19.05,1.12,0,0,1.12,0.41,0,0.24,0,0.18,0.18,0.18,34.65,80.65,13.06,70.15,0,0.12,0,0,0.53,0,0.06,0,60,49.58,2.06,1.29,17
Jon Toral,0.33,0.04,35.71,1.13,0,0,0.75,0.29,0,0.13,0,0.25,0.04,0.08,25.63,75.12,10.17,56.76,0,0.13,0,0,0.63,0.04,0.08,0,30.77,36.36,1.04,1.54,24
Sergi Canós,0.5,0.25,50,2,0,0,1,0.25,0,0.38,0,0.75,0,0.25,15.5,76.61,5.63,55.56,0,0,0,0,0,0.13,0.13,0,50,43.9,0.63,1.13,8
Zisis Karachalios,0,0.04,70,0.61,0,0,2,1.74,0,2.17,0,0.61,0,0.04,39.26,83.06,6.13,60.26,0,0.09,0,0,0.87,0.43,0.3,0,48.72,58.62,2.17,1.57,23
Pape Abou Cissé,0,0,100,0.5,0,0,0.83,0.67,0,2.5,0,0.33,0.17,0,41.33,83.47,6,55.56,0,0.5,0,0,0.5,0,0,0,73.33,74.19,1,0.5,6
Cédric Bakambu,0.56,0.25,33.33,1.88,0.16,0,0.5,0.13,0,0.28,0,0.06,0.16,0.06,9.19,73.81,3.41,40,0,0,0,0,0.41,0.03,0.13,0,38.03,39.01,0.81,1.56,32
Marios Tsaousis,0,0,0,0.33,0,0,1.78,1.33,0,0.67,0,0,0.11,0,31.33,81.21,3.56,43.75,0,0.11,0,0,0.33,0,0.11,0,100,65.71,0.44,0.67,9
Aias Aosman,0.15,0.08,46.15,1.62,0,2.56,1.38,0.69,0,0.31,0,0.08,0.08,0.15,27.62,75.77,7.92,58.7,0,0.08,0,0,1.31,0.15,0.31,0,57.14,54.55,1.08,1.08,13
Eder González,0,0,58.33,0.91,0,0,1.88,1.5,0,1,0,0.84,0.09,0.06,56.84,87.91,8.56,68.38,0,0.19,0,0,0.94,0.13,0.22,0,46.67,56.72,2.25,1.41,32
Praxitelis Vouros,0,0,75,0.14,0,0,1.24,2.34,0,3.21,0,0.21,0,0,54.21,89.63,5.38,65.87,0,0.31,0,0,1.03,0.1,0.31,0,62.86,54.92,0.21,1.14,29
Nikolaos Athanasiou,0,0,50,0.6,0,0,1.2,1,0,1.4,0,0,0,0,48,80.83,8.8,64.71,0,0.6,0,0,0.6,0,0,0,60,53.85,0.2,0.6,5
Damian Szymański,0.07,0,66.67,0.6,0.07,0,1.93,1.47,0.03,0.57,0,0.43,0,0.03,51.63,86.64,9.57,65.6,0,0.4,0,0,0.43,0.07,0.3,0,50,50.24,0.87,1.97,30
Dimitris Chatziisaias,0.03,0.1,87.5,0.26,0,0,1.13,1.55,0.1,3.42,0,0.06,0,0.03,49.74,84.24,1.84,50.66,0,0.26,0,0,0.87,0.13,0.23,0,67.27,73.58,1.35,0.61,31
Marko Bakić,0.2,0.07,71.43,1.67,0,3.33,0.73,0.2,0,0.33,0,0.27,0.13,0.13,33.33,83.2,11.47,68.18,0,0.13,0,0,1.07,0,0.2,0,36.36,45.24,1.27,1.07,15
Yann M'Vila,0,0,100,0.61,0,0,1.74,1.19,0,0.84,0,0.29,0.06,0.03,59.29,88.79,11.42,63.16,0,0.35,0,0,0.61,0.06,0.13,0,62.96,63.29,0.9,0.9,31
Bernard,0.06,0.03,48.08,1.13,0,0,0.87,0.48,0,0.13,0,0.61,0.19,0.16,32.13,79.12,12.26,65.52,0,0.23,0,0,0.39,0.03,0.13,0,50,43.81,1,0.84,31
Sverrir Ingi Ingason,0.1,0.07,60,0.5,0.07,0,1,0.53,0,3.33,0,0.17,0.03,0,64.8,85.55,4.8,48.02,0,0.5,0,0,0.73,0.07,0.1,0,67.16,61.96,0.87,1.03,30
Georgios Antzoulas,0,0,0,0,0,0,1,1,0,7,0,0,0,0,29,75.86,3,71.43,0,0,0,0,1,0,0,0,50,50,0,1,1
Christos Ioannidis,0,0,0,1,0,0,1,1,0,1,0,0,0,0,5,80,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1
Pierre Kunde,0,0,100,0.5,0,0,0,0.5,0,0,0,0,0,0,40.5,86.42,16,75,0,0,0,0,0.5,0,0.5,0,0,42.86,0.5,1,2
Šime Vrsaljko,0,0,0,0,0,0,1.67,2.67,0,2,0,0,0,0,30.33,86.81,3.33,70,0,0.33,0,0,0.33,0,0.33,0,100,53.85,0.33,1.67,3
Bart Schenkeveld,0,0,100,0.33,0,0,0.56,0.74,0.07,1.85,0,0.04,0,0,61.07,90.18,3.07,67.43,0,0.59,0,0,0.41,0.04,0.19,0.07,76.74,63.81,0.67,0.85,27
Djibril Sidibé,0,0.08,66.67,0.75,0,0,1.17,0.83,0,0.5,0,0,0.17,0.08,31.25,78.67,8.83,62.26,0,0.33,0,0,0.17,0,0.08,0,54.55,56,0.5,0.92,12
Rodinei,0,0.05,69.57,0.47,0,0,1.89,1.21,0,1.32,0,0.42,0.11,0.16,37.47,80.9,10.53,59.62,0,0.58,0,0,0.53,0.05,0.32,0,50,53.05,0.79,1.32,19
Orbelín Pineda,0.25,0.14,45.24,1.58,0.03,0,0.89,0.53,0.03,0.19,0,0.47,0.08,0.06,34.22,80.44,12.08,68.07,0,0.11,0,0,0.33,0.06,0.14,0,47.62,45.11,1.25,1.22,36
Athanasios Androutsos,0.14,0,50,0.29,0,0,0.86,1.29,0,0.14,0,0.29,0.14,0.14,43.57,89.51,9.14,76,0,0.29,0,0,0.43,0.29,0.43,0,66.67,58.33,1,0.86,7
Rubén Pérez,0,0,75,0.37,0,0,1.49,0.94,0,0.57,0,0.46,0.03,0.06,66.94,86.98,12.03,67.94,0,0.49,0,0,0.37,0.03,0.23,0,48.39,59.26,1.6,1.14,35
Jakub Brabec,0.04,0,66.67,0.22,0.04,0,1.22,1.61,0.04,2.52,0,0.39,0,0,65.22,88.73,3.39,57.89,0,0.3,0,0,0.83,0.09,0.09,0,62.07,56.92,0.39,0.96,23
Sokratis,0.07,0.04,0,0.7,0.07,0,0.93,0.78,0,1.96,0.04,0.11,0,0,51.22,87.42,3.74,58.54,0,0.41,0,0,0.52,0.04,0.22,0.04,73.85,62.84,0.78,1.41,27
Aguibou Camara,0.17,0.17,84.62,1.39,0,0,1.83,0.78,0,0.11,0,0.5,0,0,33.5,87.73,8.67,72.55,0,0.11,0,0,0.83,0.06,0.17,0,40,57.04,1.61,1.33,18
Andreas Ndoj,0.05,0,100,0.29,0,0,0.67,0.76,0,2,0,0.05,0.05,0.05,48.95,89.4,1.95,50.47,0,0.62,0,0,0.19,0.1,0.14,0,70.59,62.5,0.29,0.67,21
Alexandros Paschalakis,0,0,0,0,0,0,0,0.04,0,0.46,0,0.04,0,0,21.42,67.32,0.67,32.92,2.13,0.54,0.08,0,0.58,0.13,0,0,100,83.33,0.13,0,24
Tiago Dantas,0.13,0.03,50,0.75,0,0,0.56,0.69,0,0.25,0,0.22,0.03,0.03,41.69,90.48,10.41,73.5,0,0.13,0,0,0.59,0.06,0.09,0,41.67,55.17,0.75,0.56,32
Boris Kleiman,0,0,100,0,0,0,0,0.03,0,0.55,0,0.07,0,0,29.66,61.51,0.83,41.03,3.31,0.34,0.14,0.03,1.14,0.34,0.14,0,100,75,0.17,0,29
Pichu Atienza,0.05,0.05,66.67,0.41,0.05,0,0.59,0.86,0,3.09,0,0.14,0,0.05,60.68,87.87,4.59,64.6,0,0.32,0,0,0.86,0.09,0.18,0,36.84,38.27,0.09,0.91,22
Niclas Eliasson,0,0.04,46.67,0.35,0,0,0.42,0.08,0,0.08,0,0.04,0.35,0.27,12.96,76.26,4.31,55.17,0,0,0,0,0.15,0,0.12,0,61.54,57.28,1.31,0.85,26
Zoran Tošić,0.5,0,0,1.25,0,25,0.25,0,0,0,0,0,0,0,13.75,72.73,4.25,50,0,0,0,0,0.75,0,0,0,0,40,0.75,0.25,4
Živko Živković,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,77.19,0,29.41,2.33,0.33,0,0,0.67,0,0.33,0,0,0,0,0,3
