#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
106,,Alexandros Malis,0.09,0,100,0.18,0,0
107,,Iker Bilbao,0,0,33.33,1.19,0,0
108,,Carles Soria,0,0,25,0.45,0,0
109,,Mateo García,0.09,0.09,50,0.91,0.03,0
110,,Dávid Gróf,0,0,0,0,0,0
111,,Giannis Gianniotas,0.13,0.06,57.14,1.56,0,0
112,,Kyriakos Papadopoulos,0,0,0,0.4,0,0
113,,Oghenekaro Etebo,0,0,60,0.28,0,0
114,,Federico Álvarez,0.03,0,75,0.79,0,0
115,,Andraž Šporar,0.34,0.25,41.67,2.38,0.13,0
116,,Viktor Klonaridis,0.04,0.04,55,0.92,0,0
117,,Stefanos Stroungis,0,0.08,0,0.58,0,0
118,,Miguel Mellado,0.07,0,0,0.85,0,0
119,,Dominik Kotarski,0,0,100,0.03,0,0
120,,Pepe Castaño,0.03,0.03,0,0.27,0,0
121,,Milad Mohammadi,0,0,25,0.46,0,0
122,,Ervin Zukanović,0.06,0,0,0.33,0.06,0
123,,Fotis Ioannidis,0.19,0.06,51.11,1.36,0,0
124,,Aboubakar Kamara,0.27,0.2,66.67,1.67,0,0
125,,Dimitrios Kourbelis,0.03,0.1,72.73,0.83,0,0
126,,Triantafyllos Pasalidis,0,0,100,0.27,0,0
127,,Lukas Rupp,0.13,0,71.43,0.88,0,0
128,,Georgios Kornezos,0.05,0,0,0.36,0.05,0
129,,Rafa Soares,0,0,33.33,0.31,0,0
130,,Derek Cornelius,0,0.08,0,0.54,0,0
131,,Dani Suarez,0,0,0,0.67,0,0
132,,Rodrigo Escoval,0,0,100,0.24,0,0
133,,Julián Bartolo,0.09,0.05,38.89,1.14,0,0
134,,Theofanis Mavromatis,0,0.06,0,0.22,0,0
135,,Alexei Koşelev,0,0,0,0,0,0
136,,Jean Barrientos,0.09,0.09,56.25,1.17,0,0
137,,Pajtim Kasami,0.17,0.17,66.67,1.83,0,0
138,,Nikolaos Karelis,0.45,0.17,37.5,1.66,0.07,0
139,,Nouha Dicko,0.2,0.13,40.74,1.97,0.07,0
140,,Giannis Konstantelias,0.07,0.23,48.08,1.4,0,0
141,,Georgios Mygas,0,0.03,50,1.24,0,0
142,,José Alberto Cañas,0.04,0,33.33,0.74,0,0
143,,Andreas Bouchalakis,0.33,0.33,0,1.33,0,0
144,,Petros Mantalos,0.07,0.07,50,0.73,0.03,0
145,,Diadié Samassékou,0.1,0,40,0.3,0.05,0
146,,Tasos Tsokanis,0.15,0.04,66.67,0.52,0.07,0
147,,Juan Iturbe,0.12,0,54.35,1.06,0,0
148,,Rubén Martínez,0.18,0,50,2.06,0,0
149,,Nélson Oliveira,0.22,0.16,55.56,2.09,0.03,0
150,,Theofanis Tzandaris,0,0.03,64.29,0.86,0,0
151,,Bradley Mazikou,0,0,35,0.21,0,0
152,,David Carmona,0,0,50,0.22,0,0
153,,Frederico Duarte,0.04,0.04,38.46,1.04,0,0
154,,Levan Shengelia,0.1,0,51.16,0.97,0,0
155,,Harold Mosquera,0.08,0.08,33.33,1.08,0,0
156,,Wajdi Kechrida,0.03,0,25,0.33,0,0
157,,Federico Gino,0,0,66.67,1.31,0,0
158,,Juan Muñiz,0.09,0.09,40,1.18,0,0
159,,Ivan Näsberg,0.08,0,0,0.58,0,0
160,,Guðmundur Þórarinsson,0,0,80,0.07,0,0
161,,Ahmed Hassan,0,0,0,1,0,0
162,,Christos Albanis,0,0,0,1,0,0
163,,Dereck Kutesa,0,0,0,2,0,0
164,,Konstantinos Doumtsios,0,0,0,2,0,0
165,,Zymer Bytyqi,0,0,100,0.5,0,0
166,,Régis,0,0,0,0,0,0
167,,Michalis Bakakis,0,0,0,0.6,0,0
168,,Sotiris Ninis,0,0.11,80,1.56,0,0
169,,Ousseynou Ba,0,0,100,0.26,0,0
170,,Assane Dioussé,0.09,0.03,50,0.52,0,0
171,,Jerónimo Barrales,0.07,0.07,0,1.18,0,0
172,,Facundo Sánchez,0.07,0,30,0.36,0,0
173,,Dorin Rotariu,0.15,0.07,38.89,0.78,0.04,0
174,,Paulo Vinícius,0.05,0,0,0.41,0.05,0
175,,Javier Mendoza,0.2,0,12.5,1.3,0,5
176,,Gerasimos Bakadimas,0,0,0,0.5,0,0
177,,Epameinondas Pantelakis,0.04,0,50,0.32,0.04,0
178,,Asier Benito,0.08,0,66.67,1.46,0,0
179,,Christos Tasoulis,0,0.08,50,0.58,0,0
180,,Stefan Schwab,0.1,0.03,60,0.65,0,0
181,,Alexander Jeremejeff,0.1,0.1,40,1.6,0,0
182,,Moses Odubajo,0.04,0,61.29,0.44,0,0
183,,Rubén García,0,0,50,0.18,0,0
184,,Panagiotis Liagas,0.05,0.05,0,0.4,0.05,0
185,,Adam Tzanetopoulos,0,0,66.67,0.28,0,0
186,,Adam Gnezda Čerin,0.03,0.09,56.52,1.06,0,0
187,,Jeison Medina,0.13,0.13,71.43,0.88,0.13,0
188,,Marvin Peersman,0,0,30,0.41,0,0
189,,Matej Marković,0,0,100,0,0,0
190,,Nicolas N'Koulou,0.06,0,100,0.12,0.06,0
191,,Claudiu Balan,0.22,0.11,75,1,0.04,0
192,,Youssef El Arabi,0.18,0.15,37.5,1.03,0,0
193,,Tomás De Vincenti,0.17,0.13,33.33,1.17,0,0.69
194,,Manssou Fofana,0.2,0,66.67,0.2,0,0
195,,Giannis Anestis,0,0,0,0,0,0
196,,Joan Sastre,0,0.04,61.54,0.54,0,0
197,,Alfredo Mejía,0.03,0,100,0.28,0,0
198,,Georgios Liavas,0.07,0.07,28.57,0.2,0,0
199,,Kevin Rosero,0.18,0.09,48.39,1.36,0.05,0
200,,Salem M'Bakata,0.04,0.04,50,0.35,0,0
201,,Nadrey Dago,0.13,0,42.11,0.75,0.06,0
202,,Stephen Kwabena Hammond,0.04,0,75,0.5,0,0
203,,Leroy Abanda,0,0,60,0.2,0,0
204,,Nikolaos Tsoukalos,0,0,100,0.43,0,0
205,,Lefteris Lyratzis,0,0,57.14,0.64,0,0
206,,Paolo Fernandes,0.15,0,33.33,1.07,0,0
207,,Brandon Thomas,0.21,0.21,25,1.14,0.03,0
208,,Triantafyllos Tsapras,0.08,0,40,0.5,0,0
209,,Pedro Conde,0.2,0,0,1,0.2,0
210,,André Ricardo,0,0,0,0,0,0
211,,Andre Gray,0.25,0.19,20,1.41,0.03,0
212,,Stavros Pilios,0,0,26.09,0.26,0,0
213,,Cristian Ganea,0,0,100,0,0,0
214,,Ognjen Ožegović,0.24,0.04,33.33,1.4,0.04,0
215,,László Kleinheisler,0.13,0,50,1.07,0.07,0
216,,Konstantinos Apostolakis,0,0.05,66.67,0.33,0,0
217,,Juan Munafo,0.04,0,57.14,0.38,0,0
218,,Sebá,0.09,0.18,61.9,1.36,0,0
219,,Jacques-Alaixys Romao,0,0.03,88.89,0.13,0,0
220,,Bojan Šaranov,0,0,0,0,0,0
221,,Walter Iglesias,0,0,100,1,0,0
222,,Giorgos Masouras,0.12,0.15,70,1.12,0.09,0
223,,Diamantis Chouchoumis,0.04,0,66.67,0.37,0.04,0
224,,Giorgos Nikas,0.2,0.1,50,0.73,0.1,0
225,,Marios Vrousai,0,0,40,0.53,0,0
226,,Maximiliano Lovera,0.08,0.04,74.19,1.04,0,0
227,,Lazar Romanić,0,0,52.94,0.67,0,0
228,,Kosmas Tsilianidis,0.09,0.09,0,0.45,0,0
229,,Joel Graterol,0,0,0,0,0,0
230,,Panagiotis Symelidis,0,0,75,0.73,0,0
231,,Miloš Deletić,0.19,0,46.88,1.34,0.06,0
232,,Georgios Vrakas,0.04,0.07,53.85,1.26,0,0.93
233,,Sito,0.08,0.08,43.33,1.04,0,0
234,,Richmond Boakye,0.13,0,0,1,0.13,0
235,,Juan Angel Neira,0.13,0.07,28.57,1.13,0.07,0
236,,Giannis Kiakos,0,0,50,0.75,0,0
237,,Alexandros Lolis,0,0,60,0.82,0,0
238,,Giorgos Pamlidis,0.21,0.11,64.71,1.21,0.04,0
239,,Jacob Une Larsson,0,0,0,0.19,0,0
240,,Garry Rodrigues,0.11,0.11,60,0.78,0,0
241,,Francesc Regis,0.13,0.17,42.31,1.35,0,0
242,,Panagiotis Tzimas,0,0,44.44,0.71,0,0
243,,August Erlingmark,0.08,0.04,66.67,0.29,0.04,0
244,,Luiz Phellype,0.11,0,0,1.11,0,0
245,,Miguel Ángel Guerrero,0,0.09,66.67,2,0,0
246,,Pipa,0,0,0,0.45,0,0
247,,Philip Zinckernagel,0,0,0,2,0,0
248,,Edwin Rodríguez,0,0,0,0,0,0
249,,Michalis Kosidis,0,0,0,0.5,0,0
250,,Vasilios Gordeziani,0,0,0,0.5,0,0
251,,Sarantis Tselebakis,0,0,0,0,0,0
252,,Tomáš Vaclík,0,0,0,0,0,0
253,,Kaiyne Woolery,0,0,60,0.89,0,0
254,,Patrick Bahanack,0,0,0,0.2,0,0
255,,Giorgos Vagiannidis,0,0,47.06,0.37,0,0
256,,Rafael Camacho,0.08,0.16,80,1.04,0,0
257,,Dimitrios Metaxas,0,0,100,0.38,0,0
258,,Hugo Sousa,0,0.06,0,0.39,0,0
