#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
94,,Josh Sargent,0.13,0.05,18.33,73.94,6.05,44
95,,Kyle McFadzean,0.06,0,37.6,78.04,1.77,45.55
96,,Ki-Jana Hoever,0.2,0.07,26.13,68.11,5.47,44.9
97,,Auston Trusty,0.07,0.05,32.02,68.7,3.7,29.66
98,,Viktor Gyökeres,0.2,0.22,21.67,68.71,8.33,60
99,,Aaron Ramsey,0.21,0.14,25.45,80.76,9.52,68.29
100,,Phil Jagielka,0.04,0.04,59.3,83.26,1.89,43.12
101,,Ryan Porteous,0,0.06,49.35,78.19,2.59,36.81
102,,Hamza Choudhury,0.06,0,40.53,84.03,6.06,52.63
103,,Kasey Palmer,0.28,0.07,19.97,68.91,6.38,38.46
104,,Christian Kabasele,0.04,0,40.96,81.93,2.2,42.97
105,,Jean Michaël Seri,0.22,0.05,53.7,89.28,9.51,73.08
106,,Alex Pritchard,0.28,0.15,26.45,79.21,9.08,44.74
107,,Conor Coventry,0.06,0.13,33.44,72.34,8.94,32.39
108,,Jordan Storey,0.02,0,37.36,76.7,3.61,36.76
109,,Ajibola-Joshua Alese,0,0,30.65,79.61,4.8,31.11
110,,Cédric Kipré,0.07,0,37.52,77.79,2.14,39.53
111,,Thomas Kaminski,0,0,31.75,72.67,0.43,35.46
112,,Ryan Wintle,0.07,0.07,42.44,82.15,8.29,55.11
113,,Hayden Carter,0.07,0,47.17,83.67,2.67,51.61
114,,Robbie Brady,0.24,0.18,29.88,69.29,8.09,39.08
115,,Max Power,0.16,0.07,52.29,80.66,12.89,48.1
116,,Hassane Kamara,0.13,0.06,41.75,78.14,7.03,38.33
117,,Daniel Ballard,0.05,0.05,45.26,81.51,3.53,33.98
118,,Adam Wharton,0.11,0.06,34.33,83.66,7.61,54.72
119,,Kevin Long,0,0,30.47,67.95,1.71,40.5
120,,Jacob Greaves,0.05,0.05,48.57,80.72,6.27,34.78
121,,Adam Davies,0,0,21,52.38,1.29,35.78
122,,Anass Zaroury,0.21,0.18,22.12,72.61,6.26,40.63
123,,Lewis Baker,0.07,0.11,23.66,83.38,5.57,43.14
124,,Jake Cooper,0.07,0.07,36.83,71.72,3.04,39.33
125,,Manuel Benson,0.12,0.09,18.39,86.66,7.18,66.67
126,,Jóhann Guðmundsson,0.19,0.16,19.57,83.56,6.76,58.93
127,,Daniel Potts,0.04,0,29.76,68.28,3.52,39.87
128,,Greg Cunningham,0.05,0.09,37.5,72.73,4.82,41.38
129,,Henri Lansbury,0,0,20.2,72.28,6,46.97
130,,Callum O'Hare,0.36,0.27,27,81.82,12.55,35.71
131,,Jay Rodriguez,0.11,0.07,15.61,75.97,4.54,56.41
132,,Todd Cantwell,0.06,0,24.33,82.65,7.17,65.38
133,,Trai Hume,0.07,0.07,44.07,82.33,6.46,43.96
134,,Jack Whatmough,0.03,0.03,46.7,78.13,2.35,46.4
135,,Matt Crooks,0.14,0.16,18.57,77.73,6.22,64
136,,Naby Sarr,0.04,0.04,32.88,79.09,1.71,46.97
