#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
102,,Hamza Choudhury,3,2.28,0,1.11,0.03,0.92
103,,Kasey Palmer,1.76,0.31,0,0.41,0,0.72
104,,Christian Kabasele,1.04,1.48,0,4.24,0,0.2
105,,Jean Michaël Seri,1.3,0.68,0,0.86,0.05,1.11
106,,Alex Pritchard,0.95,0.4,0,0.43,0,0.63
107,,Conor Coventry,1.88,1.13,0.06,1.44,0,0.56
108,,Jordan Storey,1,2.05,0,3.48,0,0.34
109,,Ajibola-Joshua Alese,1.7,1.45,0.05,2.65,0,0.35
110,,Cédric Kipré,1.14,1.55,0.02,4.02,0.02,0.31
111,,Thomas Kaminski,0,0,0,0.64,0,0
112,,Ryan Wintle,1.04,0.76,0,1.33,0,0.49
113,,Hayden Carter,1.97,1.1,0,3.03,0,0.5
114,,Robbie Brady,2.06,0.79,0.03,1.03,0.06,0.71
115,,Max Power,1.13,0.53,0,0.73,0,0.82
116,,Hassane Kamara,2.56,1.88,0,1.75,0,0.28
117,,Daniel Ballard,1.58,1.53,0.05,4.63,0,0.37
118,,Adam Wharton,1.72,0.83,0,0.67,0.06,1
119,,Kevin Long,1.35,1.29,0,6.94,0.06,0.29
120,,Jacob Greaves,2.14,1.02,0.02,3.43,0.02,0.48
121,,Adam Davies,0,0,0,1,0.14,0
122,,Anass Zaroury,0.68,0.21,0,0.18,0,0.62
123,,Lewis Baker,0.68,0.5,0,0.55,0,0.55
124,,Jake Cooper,0.78,1.22,0.04,3.13,0,0.33
125,,Manuel Benson,0.36,0.03,0,0.09,0.03,0.15
126,,Jóhann Guðmundsson,0.38,0.35,0,0.19,0,0.27
127,,Daniel Potts,0.76,1.04,0.04,4.04,0,0.12
128,,Greg Cunningham,1.59,1.14,0,2.68,0,0.82
129,,Henri Lansbury,1.1,1,0,0.4,0,0.6
130,,Callum O'Hare,0.73,0.09,0,0.09,0,0.45
131,,Jay Rodriguez,0.79,0.07,0,0.96,0,0.29
132,,Todd Cantwell,0.89,0.56,0,0.39,0,0.56
133,,Trai Hume,2.36,1.32,0.04,3.25,0.04,0.82
134,,Jack Whatmough,1.27,0.97,0,3.81,0.03,0.22
135,,Matt Crooks,1.14,0.35,0,0.35,0.03,0.32
136,,Naby Sarr,1.5,1.54,0.04,4.5,0,0.33
137,,Tom Bradshaw,0.34,0.1,0,0.63,0,0.39
138,,Bartosz Białkowski,0,0,0,0.2,0,0.2
139,,Joe Williams,2.09,0.61,0,0.94,0,0.73
140,,Alex Palmer,0,0.09,0,0.87,0,0.04
141,,Tomáš Vaclík,0,0,0,0.92,0,0
142,,Olivier Ntcham,0.68,0.22,0,0.27,0,0.27
143,,Craig Cathcart,0.96,1.07,0.04,3.32,0,0.46
144,,Ameen Al-Dakhil,1,1.38,0,3.5,0,1
145,,Luke Garbutt,1.5,1.38,0,1.25,0,0.63
146,,Thomas Cannon,0.6,0.25,0,0.05,0,0.6
147,,Josh Laurent,1.69,1.31,0,0.56,0,0.47
148,,Kenny McLean,1.4,1.17,0,1.31,0,0.74
149,,Tom Lees,1.12,1.17,0.02,4.69,0,0.26
150,,Perry Ng,1.67,1.02,0,2.84,0,0.44
151,,Dimitrios Giannoulis,2.58,0.85,0,0.92,0,0.77
152,,Cameron Pring,2.34,1,0.03,2.75,0,0.63
153,,Marcelino Núñez,1.54,0.62,0,0.32,0.03,1.05
154,,Tobi Adeyemo,0.25,0,0,0,0,0
155,,Chris Basham,1.38,1.1,0.03,2.76,0,0.52
156,,Ben Gibson,0.48,0.91,0,5.22,0.04,0.09
157,,Aaron Rowe,5,0,0,0,0,1
158,,Axel Tuanzebe,1.25,0.25,0,4,0,0.5
159,,Dael Fry,1,1.47,0.03,3.53,0,0.13
160,,Freddie Woodman,0.02,0.02,0,0.91,0,0.02
161,,Kenneth Paal,2.33,1.43,0,2.95,0,0.6
162,,Josh Eccles,2.82,1.18,0,1.18,0,1.24
163,,Juninho Bacuna,1.56,0.86,0,0.49,0,0.79
164,,James McAtee,0.81,0.32,0,0.16,0,0.59
165,,Krystian Bielik,1.89,1.34,0,1.83,0,1.2
166,,Hayden Hackney,1.97,0.76,0,0.44,0,1.09
167,,Theo Corbeanu,1.06,0.29,0,0.24,0,0.24
168,,Charlie Taylor,0.91,0.94,0,1.82,0,0.24
169,,Alfie Jones,0.83,1.25,0.03,4.05,0,0.2
170,,Aynsley Pears,0,0,0,1.17,0,0
171,,Joel Latibeaudiere,1.29,0.65,0.03,0.88,0,0.35
172,,Tyler Morton,1.5,0.48,0,1.03,0.03,0.83
173,,Stefan Johansen,1.24,0.86,0,0.28,0,0.9
174,,Scott Wharton,1.09,1,0,3.18,0,0.32
175,,Lukas Jutkiewicz,0.44,0.16,0,0.58,0,0.42
176,,Martin Kelly,0.67,0.5,0,3.17,0,0.17
177,,Ben Cabango,1.26,1,0,3.58,0.02,0.58
178,,Leon Balogun,1.63,1.81,0.06,4.25,0,0.25
179,,Kenny Dougall,2.08,0.69,0,1.08,0,0.89
180,,Anthony Patterson,0.02,0.02,0,1.07,0,0
181,,Zak Vyner,1.58,1.51,0.02,3.16,0.02,0.33
182,,Lyndon Dykes,0.56,0.15,0,1.26,0,0.33
183,,Daryl Dike,0.22,0.04,0,0.65,0,0.17
184,,Reece Burke,1.1,0.6,0,3.3,0,0.35
185,,Amari'i Bell,1.77,1.07,0.02,1.86,0,0.55
186,,Jake Clarke-Salter,2.13,1.5,0,2.88,0,0.19
187,,Kieran Dowell,0.74,0.35,0.04,0.04,0,0.96
188,,Francisco Sierralta,1.11,1.11,0,5.78,0,0.39
189,,Callum Doyle,1.73,1.24,0,2.95,0,0.76
190,,Chris Willock,0.5,0.07,0,0.04,0,0.18
191,,Brad Potts,1.77,0.64,0,1.51,0,0.62
192,,Gabriel Osho,1.3,1.19,0.07,2.67,0,0.26
193,,Jerry Yates,0.66,0.49,0.02,0.76,0,0.66
194,,Ethan Horvath,0,0,0,0.77,0.09,0.02
195,,Ryan Hedges,1.44,0.6,0,0.72,0,0.74
196,,Andrew Hughes,1.7,0.97,0,2.63,0.03,0.47
197,,Kyle Bartley,0.38,0.62,0,3.15,0,0.08
198,,Harlee Dean,0.63,1.19,0,4.25,0,0.19
199,,Alan Browne,2.03,0.67,0,1.19,0,0.94
200,,Max O'Leary,0,0,0,1.55,0.06,0
201,,Jed Wallace,1.37,0.33,0,0.28,0,1.2
202,,Callum O'Dowda,1.72,0.92,0,1.59,0,0.69
203,,Yuta Nakayama,1.14,0.93,0,2.5,0,0.5
204,,Halil Dervişoğlu,0.13,0,0,0.13,0,0.13
205,,Jimmy Dunne,1.03,1.25,0.03,4.4,0.03,0.28
206,,Isaac Hayden,1.57,1.07,0,1.07,0,0.36
207,,Connor Taylor,1,1.5,0.07,2.29,0,0.36
208,,Jacob Lungi Sørensen,1.84,0.68,0,1.63,0,0.68
209,,Edo Kayembe,1.62,0.9,0,1.62,0,0.48
210,,Sean Morrison,1,0,0,4,0,0
211,,Duane Holmes,1.33,0.44,0,0.19,0,0.67
212,,Christ Junior Tiehi,1.68,0.79,0,0.84,0,0.47
213,,Sam Byram,2.07,0.73,0,1.87,0,0.27
214,,Lewis Fiorini,1.85,0.92,0.08,0.62,0,0.92
215,,Danel Sinani,0.46,0.35,0,0.19,0,0.73
216,,Grant Hall,1.4,1.15,0.05,3.8,0.05,0.25
217,,Ryan Leonard,1.59,1.06,0,2.24,0,0.53
218,,Jordan Thompson,1.24,0.56,0,0.79,0,0.5
219,,George Honeyman,1.87,0.47,0,0.26,0,1.13
220,,Zack Steffen,0.05,0.02,0.02,1,0.07,0
221,,Ken Sema,1.18,0.53,0,0.65,0,0.8
222,,João Ferreira,2,0.4,0,1.8,0,0.6
223,,William Troost-Ekong,0.73,1,0,2.33,0,0.2
224,,Tyler Roberts,0.72,0.5,0,0.78,0,0.33
225,,Dion Sanderson,1.58,1.19,0.03,2.65,0,0.23
226,,John Ruddy,0.02,0.02,0,0.49,0.02,0.05
227,,Ashley Barnes,0.41,0.15,0,0.56,0,0.23
228,,Harry Darling,0.55,0.32,0.03,2.32,0.06,0.42
229,,Marvelous Nakamba,3.76,0.88,0,0.53,0,1.41
230,,Patrick Roberts,1.1,0.55,0,0.19,0,0.9
231,,Grady Diangana,1.32,0.32,0,0.29,0,0.55
232,,Callum Elder,0.93,0.9,0.03,1.79,0,0.34
233,,Tom Trybull,2.33,0.67,0,0.67,0,0.67
