#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
106,,Alex Pritchard,0.1,0.08,47.22,1.28,0,0
107,,Conor Coventry,0,0,72.73,0.44,0,0
108,,Jordan Storey,0.05,0,87.5,0.25,0.05,0
109,,Ajibola-Joshua Alese,0.05,0,62.5,0.55,0,0
110,,Cédric Kipré,0.07,0.02,69.57,0.43,0.02,0
111,,Thomas Kaminski,0,0,0,0,0,0
112,,Ryan Wintle,0.04,0.04,66.67,0.84,0,1.11
113,,Hayden Carter,0.03,0,46.67,0.27,0.03,0
114,,Robbie Brady,0,0,41.67,0.82,0,0
115,,Max Power,0.02,0,53.85,0.76,0,0
116,,Hassane Kamara,0,0.03,54.1,0.5,0,0
117,,Daniel Ballard,0,0.16,75,0.53,0,0
118,,Adam Wharton,0.11,0,42.11,0.5,0,0
119,,Kevin Long,0.06,0.06,100,0.47,0,0
120,,Jacob Greaves,0.09,0,52.63,0.52,0.02,0
121,,Adam Davies,0,0,0,0,0,0
122,,Anass Zaroury,0.18,0.06,52.43,1.53,0.03,0
123,,Lewis Baker,0.16,0.05,46.15,1.39,0,0.19
124,,Jake Cooper,0.07,0.04,0,0.83,0.04,0
125,,Manuel Benson,0.33,0.21,50,1.82,0,0
126,,Jóhann Guðmundsson,0.11,0.05,42.5,1.19,0,0.3
127,,Daniel Potts,0.04,0.08,100,0.64,0,0
128,,Greg Cunningham,0.09,0,25,0.32,0.09,0
129,,Henri Lansbury,0.1,0,0,0.6,0,0
130,,Callum O'Hare,0,0,23.08,1.64,0,0
131,,Jay Rodriguez,0.36,0.18,33.33,1.71,0.07,0
132,,Todd Cantwell,0,0,47.06,0.72,0,0
133,,Trai Hume,0.04,0.11,53.85,0.75,0.04,0
134,,Jack Whatmough,0.03,0.03,60,0.41,0.03,0
135,,Matt Crooks,0.19,0.08,41.18,1.08,0.05,0
136,,Naby Sarr,0.04,0,50,0.42,0.04,0
137,,Tom Bradshaw,0.41,0.39,42.31,2.12,0.07,0
138,,Bartosz Białkowski,0,0,0,0,0,0
139,,Joe Williams,0.06,0,60,0.58,0,0
140,,Alex Palmer,0,0,0,0,0,0
141,,Tomáš Vaclík,0,0,0,0,0,0
142,,Olivier Ntcham,0.2,0.05,70.59,1.44,0,0
143,,Craig Cathcart,0,0.04,33.33,0.18,0,0
144,,Ameen Al-Dakhil,0,0.13,100,0.63,0,0
145,,Luke Garbutt,0,0,57.14,0.75,0,0
146,,Thomas Cannon,0.4,0.1,53.49,2.25,0.05,0
147,,Josh Laurent,0.13,0,50.7,0.94,0.03,0
148,,Kenny McLean,0.03,0.06,59.26,1.09,0.03,0
149,,Tom Lees,0.05,0.12,50,0.57,0.02,0
150,,Perry Ng,0.05,0.02,53.57,0.53,0,0.33
151,,Dimitrios Giannoulis,0,0,80.85,0.31,0,0
152,,Cameron Pring,0.03,0.03,61.25,0.44,0.03,0
153,,Marcelino Núñez,0.08,0,47.17,1.68,0,0.21
154,,Tobi Adeyemo,0.25,0,0,1,0,0
155,,Chris Basham,0,0.03,63.64,0.34,0,0
156,,Ben Gibson,0,0,0,0.3,0,0
157,,Aaron Rowe,0,0,0,0,0,0
158,,Axel Tuanzebe,0,0,100,0.25,0,0
159,,Dael Fry,0,0,0,0.37,0,0
160,,Freddie Woodman,0,0,0,0,0,0
