#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
102,,Michiel Kramer,0.44,0.3,50,1.59,0.15,0
103,,Gerónimo Rulli,0,0,100,0,0,0
104,,Patrik Wålemark,0.13,0.07,39.13,1.67,0,0
105,,Anwar El Ghazi,0.35,0.13,44,1.7,0.04,0
106,,Jarrad Branthwaite,0.07,0.04,25,0.67,0.04,0
107,,Manfred Ugalde,0.33,0.13,44.44,1.79,0.13,0
108,,Jordan Teze,0,0.04,62.5,0.56,0,0
109,,Myron Van Brederode,0.16,0,59.7,0.56,0,0
110,,Ricky van Wolfswinkel,0.29,0.44,53.57,2.21,0,0
111,,Sean Klaiber,0.04,0,52.38,0.79,0,0
112,,Wouter Goes,0.13,0,100,0.25,0,0
113,,Calvin Verdonk,0,0.06,85.71,0.24,0,0
114,,Dirk Abels,0.04,0,50,0.38,0,0
115,,Robin Maulun,0,0,75,1.14,0,0
116,,Redouan El Yaakoubi,0.09,0.06,85.71,0.85,0.09,0
117,,Amin Sarr,0.26,0.32,45.76,2.84,0.05,0
118,,Armando Obispo,0.09,0,60,0.82,0.09,0
119,,Jeroen Veldmate,0.12,0,100,0.48,0.04,0.8
120,,Mike van der Hoorn,0.04,0.08,83.33,0.92,0.04,0
121,,Quinten Timber,0.08,0.13,62.9,1,0,0
122,,Nicolas Isimat-Mirin,0,0.06,100,0.56,0,0
123,,Navarone Foor,0.13,0.07,50,1.8,0,0
124,,Dirk Proper,0.03,0.09,71.05,0.59,0,0
125,,Julian Baas,0.09,0.03,64.29,0.7,0,0
126,,Landry Dimata,0.33,0.2,41.18,1.93,0.03,0
127,,Iliass Bel Hassani,0.24,0.1,63.04,1.9,0,1.19
128,,Joshua Kitolano,0.12,0.06,57.14,1.09,0.09,0
129,,Virgil Misidjan,0.23,0.19,44.09,2.29,0,0
130,,Iñigo Cordoba,0.16,0.13,50.65,1.65,0,0
131,,Modibo Sagnan,0.04,0,60,0.3,0,0
132,,Jeff Hardeveld,0,0,50,0.5,0,0
133,,Dario Van Den Buijs,0.12,0,100,0.69,0,0
134,,Isac Lidberg,0.21,0.3,45.83,2.36,0.09,0
135,,Shawn Adewoye,0.03,0.06,71.43,0.33,0.03,0
136,,Julio Pleguezuelo,0.09,0,77.78,0.48,0.04,0
137,,Adil Auassar,0,0.03,50,0.14,0,0
138,,Mats Köhlert,0.03,0,51.52,0.48,0,0
139,,Miguel Araujo,0.03,0.06,71.43,0.42,0,0
140,,Danilo,0.29,0.21,46.15,1.88,0.09,0
141,,Sondre Tronstad,0.07,0,53.33,0.68,0,0
142,,Carlens Arcus,0.03,0,39.47,0.7,0,0
143,,Santiago Giménez,0.47,0.47,26.42,2.69,0.13,0
144,,Jorge Sánchez,0.12,0.06,37.93,0.88,0,0
145,,Jens Odgaard,0.31,0.45,39.74,3.17,0.03,0
146,,Siebe Horemans,0.09,0.03,71.11,0.74,0.06,0
147,,Dario Serra,0.25,0,100,0.5,0,0
148,,Romano Postema,0,0,0,0.5,0,0
149,,Ramon Hendriks,0,0,100,0.25,0,0
150,,Filip Stanković,0,0,0,0,0,0
151,,Vasilis Barkas,0,0,0,0,0,0
152,,Jay Idzes,0.03,0.06,71.43,0.69,0,0
153,,Osame Sahraoui,0.07,0.07,57.89,1.27,0,0
154,,Ryan Flamingo,0.09,0,43.48,0.97,0.03,0
155,,Marco Tol,0.04,0,50,0.25,0.04,0
156,,Burak Yılmaz,0.35,0.38,32.5,2.88,0,0.38
157,,Dimitrios Siovas,0.04,0.08,28.57,0.54,0.04,0
158,,Håkon Evjen,0,0.25,45.45,1.75,0,0
159,,Paul Gladon,0.26,0.11,15.38,1.7,0.11,0
160,,Devyne Rensch,0.12,0.04,47.62,0.5,0,0
161,,Daryl van Mieghem,0.27,0.13,53.57,1.4,0,0
162,,Patrick van Aanholt,0.07,0,44.44,0.73,0,0
163,,Bart van Rooij,0,0.03,46.15,0.48,0,0
164,,Davy Klaassen,0.24,0.21,50,1.15,0.06,0
165,,Érick Gutiérrez,0.07,0.03,66.67,0.6,0,0
166,,Sávio,0,0,58.33,0.17,0,0
167,,Luuk Brouwers,0,0.04,37.5,0.38,0,0
168,,Michel Vlap,0.09,0.28,62.96,1.97,0,0.78
169,,Radinio Balker,0.03,0,61.9,0.26,0.03,0
170,,Brian Brobbey,0.41,0.59,38.1,2.03,0.06,0
171,,Koki Saito,0.27,0.04,46.25,1.27,0,0
172,,Dani de Wit,0.28,0.11,60,1.22,0.11,0
173,,Taylor Booth,0.08,0.13,41.67,1.13,0,0
174,,Arianit Ferati,0.04,0,66.67,0.59,0,0
175,,Willum Thor Willumsson,0.3,0.26,43.48,1.63,0,0
176,,Sem Steijn,0.22,0.07,50,1.48,0.04,0
177,,Robbin Ruiter,0,0,100,0,0,0
178,,Mimoun Mahi,0.07,0,41.67,0.79,0,0
179,,Mees Hilgers,0.04,0.04,68.75,0.25,0,0
180,,Mika Biereth,0.17,0,66.67,1.17,0,0
181,,Mees Hoedemakers,0.1,0.03,60,1.07,0,0
182,,Jeffrey de Lange,0,0,100,0,0,0
183,,Đorđe Mihailović,0.07,0.13,42.86,0.67,0.07,0
184,,Younes Namli,0.04,0.08,51.22,1.04,0,0
185,,George Cox,0,0,42.86,0.67,0,0
186,,Tijjani Noslin,0.16,0.03,57.14,1.26,0,0
187,,André Ramalho,0,0.04,0,0.5,0,0
188,,Nick Viergever,0.11,0,12.5,0.16,0.05,0
189,,Joris Kramer,0,0,100,0.23,0,0
