#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
104,,Patrik Wålemark,0,0,0,0,0.33,0
105,,Anwar El Ghazi,0,0.09,0,0,0.35,0.09
106,,Jarrad Branthwaite,0,0.26,0,0,0.63,0.33
107,,Manfred Ugalde,0,0.17,0,0,0.17,0
108,,Jordan Teze,0,0.3,0,0,0.81,0.33
109,,Myron Van Brederode,0,0.12,0,0,0.36,0.12
110,,Ricky van Wolfswinkel,0,0.18,0,0,0.65,0.09
111,,Sean Klaiber,0,0.21,0,0,1.25,0.14
112,,Wouter Goes,0,0.38,0,0,0.75,0.13
113,,Calvin Verdonk,0,0.06,0,0,0.59,0.18
114,,Dirk Abels,0,0.19,0,0,0.46,0.15
115,,Robin Maulun,0,0.14,0,0,0.43,0.14
116,,Redouan El Yaakoubi,0,0.24,0,0,1.82,0.18
117,,Amin Sarr,0,0.32,0,0,0.84,0.05
118,,Armando Obispo,0,0.23,0,0,0.73,0.27
119,,Jeroen Veldmate,0,0.12,0,0,1.4,0.24
120,,Mike van der Hoorn,0,0.32,0,0,1.16,0.12
121,,Quinten Timber,0,0.17,0,0,0.71,0.04
122,,Nicolas Isimat-Mirin,0,0.38,0,0,0.63,0
123,,Navarone Foor,0,0,0,0,2.07,0.4
124,,Dirk Proper,0,0.19,0,0,0.91,0.28
125,,Julian Baas,0,0.18,0,0,1.42,0.09
126,,Landry Dimata,0,0.13,0,0,0.8,0.2
127,,Iliass Bel Hassani,0,0,0,0,0.9,0.14
128,,Joshua Kitolano,0,0.32,0,0,0.71,0.21
129,,Virgil Misidjan,0,0.16,0,0,0.52,0.1
130,,Iñigo Cordoba,0,0.1,0,0,1.03,0.13
131,,Modibo Sagnan,0,0.22,0,0,1.04,0.13
132,,Jeff Hardeveld,0,0,0,0,1.17,0
133,,Dario Van Den Buijs,0,0.08,0,0,1.23,0.19
134,,Isac Lidberg,0,0.15,0,0,1.27,0.24
135,,Shawn Adewoye,0,0.18,0,0,1.61,0.24
136,,Julio Pleguezuelo,0,0.3,0,0,0.39,0.04
137,,Adil Auassar,0,0.28,0,0,0.66,0.14
138,,Mats Köhlert,0,0.26,0,0,1.1,0.13
139,,Miguel Araujo,0,0.23,0,0,1.48,0.19
140,,Danilo,0,0,0,0,0.41,0.03
141,,Sondre Tronstad,0,0.11,0,0,0.89,0.29
142,,Carlens Arcus,0,0.17,0,0,1.07,0.3
143,,Santiago Giménez,0,0.06,0,0,0.38,0.13
144,,Jorge Sánchez,0,0.06,0,0,0.71,0.06
145,,Jens Odgaard,0,0.03,0,0,0.76,0.07
146,,Siebe Horemans,0,0.24,0,0,1.76,0.18
147,,Dario Serra,0,0,0,0,0,0
148,,Romano Postema,0,0,0,0,0,0
149,,Ramon Hendriks,0,0.25,0,0,1,0
150,,Filip Stanković,4.24,0.12,0.12,0.06,1.94,0.21
151,,Vasilis Barkas,3.25,0.31,0.03,0,1.38,0.19
152,,Jay Idzes,0,0.22,0,0,1.31,0.25
153,,Osame Sahraoui,0,0.13,0,0,1.27,0.2
154,,Ryan Flamingo,0,0.27,0,0,0.85,0.27
155,,Marco Tol,0,0.08,0,0,1.42,0.33
156,,Burak Yılmaz,0,0.23,0,0,1.31,0.27
157,,Dimitrios Siovas,0,0.08,0,0,1.38,0.33
158,,Håkon Evjen,0,0.13,0,0,0.5,0
159,,Paul Gladon,0,0.04,0,0,1.04,0.19
160,,Devyne Rensch,0,0.15,0,0,0.77,0.15
161,,Daryl van Mieghem,0,0.07,0,0,1.2,0.17
162,,Patrick van Aanholt,0,0.27,0,0,0.6,0.4
163,,Bart van Rooij,0,0.24,0,0,1.09,0.27
164,,Davy Klaassen,0,0.15,0,0,0.58,0.15
165,,Érick Gutiérrez,0,0.13,0,0,0.4,0.13
166,,Sávio,0,0,0,0,0.33,0
167,,Luuk Brouwers,0,0.21,0,0,0.83,0.17
168,,Michel Vlap,0,0.16,0,0,0.59,0.06
169,,Radinio Balker,0,0.13,0,0,1.65,0.23
170,,Brian Brobbey,0,0.03,0,0,0.5,0.06
171,,Koki Saito,0,0.04,0,0,0.69,0.12
172,,Dani de Wit,0,0.17,0,0,0.5,0.11
173,,Taylor Booth,0,0,0,0,0.83,0.17
174,,Arianit Ferati,0,0.07,0,0,0.85,0.22
175,,Willum Thor Willumsson,0,0.22,0,0,1.04,0.22
176,,Sem Steijn,0,0.04,0,0,0.22,0.07
177,,Robbin Ruiter,4,0.19,0.25,0,2,0.31
178,,Mimoun Mahi,0,0,0,0,1.07,0.21
179,,Mees Hilgers,0,0.14,0,0,0.57,0.07
180,,Mika Biereth,0,0,0,0,0.42,0
181,,Mees Hoedemakers,0,0.14,0,0,1.14,0.24
182,,Jeffrey de Lange,3.44,0.24,0.06,0,1.38,0.26
183,,Đorđe Mihailović,0,0,0,0,0.33,0.07
184,,Younes Namli,0,0,0,0,0.62,0.08
185,,George Cox,0,0.15,0,0,1.22,0.22
186,,Tijjani Noslin,0,0,0,0,1.19,0.19
187,,André Ramalho,0,0.18,0,0,0.64,0.25
188,,Nick Viergever,0,0.37,0,0,1.32,0.16
189,,Joris Kramer,0,0.09,0,0,0.55,0.23
190,,Florian Grillitsch,0,0,0,0,0.6,0.1
191,,Joost van Aken,0,0.27,0,0,1,0.07
192,,Kjell Scherpen,2.58,0.23,0.04,0.04,1,0.19
193,,Liam van Gelderen,0,0,0,0,0.88,0.18
194,,Phillipp Mwene,0,0.12,0,0,0.52,0.12
195,,Joey Pelupessy,0,0.16,0,0,1.84,0.16
196,,Syb van Ottele,0,0.15,0,0,0.9,0.05
197,,Guus Til,0,0.03,0,0,0.73,0.3
198,,Bobby Adekanye,0,0.03,0,0,0.9,0.23
199,,Moussa Sylla,0,0.1,0,0,1,0.1
200,,Othman Boussaid,0,0.09,0,0,0.91,0.06
201,,Oğuzhan Özyakup,0,0,0,0,0.95,0.14
202,,Peer Koopmeiners,0,0.16,0,0,1.12,0.12
203,,Anass Salah-Eddine,0,0.07,0,0,0.57,0.07
204,,Marcus Pedersen,0,0.14,0,0,0.69,0.14
205,,Mike te Wierik,0,0.17,0,0,1.76,0.1
206,,Remko Pasveer,2.13,0.27,0,0,1,0.2
207,,Million Manhoef,0,0.03,0,0,1.06,0.18
208,,Fábio Silva,0,0.14,0,0,0.21,0.36
209,,Calvin Twigt,0,0.13,0,0,1.31,0.13
210,,Norbert Alblas,2,0,0,0,0,0
211,,Youri Regeer,0,0,0,0,0,0
212,,Leon Bergsma,0,0.17,0,0,1.25,0.38
213,,Walter Benítez,2.37,0.33,0.07,0,0.87,0.3
214,,Mickey van der Hart,3.2,0.24,0.08,0,1.52,0.24
215,,Ximo Navarro,0,0.13,0,0,1.4,0.13
216,,Benaissa Benamar,0,0.17,0,0,1.31,0.17
217,,Evert Linthorst,0,0.04,0,0,1.09,0.17
218,,Jorrel Hato,0,0.09,0,0,0.73,0.18
219,,Shurandy Sambo,0,0.23,0,0,0.8,0.2
220,,Amin Younes,0,0,0,0,0.7,0.1
221,,Lucas Bernadou,0,0.03,0,0,1.1,0.1
222,,Ivo Pinto,0,0.21,0,0,1.21,0.21
223,,Zakaria Bakkali,0,0,0,0,0.94,0
224,,Antoine Colassin,0,0,0,0,0.59,0
225,,Andri Fannar Baldursson,0,0,0,0,0.27,0
226,,Damon Mirani,0,0.1,0,0,1.87,0.23
227,,Lequincio Zeefuik,0,0,0,0,0.43,0.07
228,,Julian Lelieveld,0,0.06,0,0,1.32,0.21
229,,Mats Deijl,0,0.25,0,0,1.28,0.28
230,,Rami Al Hajj,0,0,0,0,0.47,0.12
231,,Dominik Oroz,0,0.13,0,0,0.88,0.06
232,,Miliano Jonathans,0,0,0,0,0.25,0
233,,Ibrahim El Kadiri,0,0,0,0,1.41,0.18
234,,Oliver Antman,0,0,0,0,1.45,0.27
235,,Florian Jozefzoon,0,0,0,0,0.73,0.08
236,,Robert Mühren,0,0,0,0,1.29,0.18
237,,Olivier Boscagli,0,0.14,0,0,0.14,0.29
238,,Deron Payne,0,0,0,0,0.33,0.33
239,,Federico Mattiello,0,0,0,0,0.5,0.17
240,,Jeffrey Bruma,0,0.1,0,0,1.4,0.3
241,,Oliver Valaker Edvardsen,0,0,0,0,1.11,0.25
242,,Ole Romeny,0,0.06,0,0,1.52,0.18
243,,Jose Fontán,0.05,0.1,0,0,1.14,0.1
