#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
99,,Ricardo Pepi,1.1,0.52,0,1.28,0,0.9
100,,Marcos López,1.37,1.21,0,1.32,0,0.21
101,,Bruno Martins Indi,0.5,0.25,0,2.75,0,0.25
102,,Michiel Kramer,0.19,0.37,0,0.74,0,0.37
103,,Gerónimo Rulli,0.05,0.05,0.05,0.79,0,0.11
104,,Patrik Wålemark,1.13,0.07,0,0.13,0,0.07
105,,Anwar El Ghazi,0.48,0.17,0,0.17,0,0.22
106,,Jarrad Branthwaite,0.85,1.37,0,3.41,0.04,0.33
107,,Manfred Ugalde,0.38,0.04,0,0.08,0,0.33
108,,Jordan Teze,1.78,0.85,0,1.37,0,0.59
109,,Myron Van Brederode,0.88,0.48,0,0.16,0,0.32
110,,Ricky van Wolfswinkel,0.97,0.29,0,0.91,0,0.65
111,,Sean Klaiber,2.61,1.68,0,1.75,0,1.07
112,,Wouter Goes,0.63,0.88,0,2.88,0,0.25
113,,Calvin Verdonk,1.35,0.82,0,1.71,0,0.24
114,,Dirk Abels,0.88,0.62,0,2.23,0,0.38
115,,Robin Maulun,0.57,0.14,0,0.57,0,0.14
116,,Redouan El Yaakoubi,1.58,1.67,0,5.76,0.09,0.24
117,,Amin Sarr,0.74,0.32,0,0.32,0,0.37
118,,Armando Obispo,1.05,1.77,0,2.86,0.09,0.5
119,,Jeroen Veldmate,1,1.04,0,4.8,0,0.08
120,,Mike van der Hoorn,0.84,0.76,0,3.88,0,0.28
121,,Quinten Timber,1.83,0.88,0,0.08,0,0.5
122,,Nicolas Isimat-Mirin,1.25,0.44,0,4.25,0,0.38
123,,Navarone Foor,1.53,0.4,0,0.47,0,1.13
124,,Dirk Proper,2.06,0.91,0,0.94,0,0.63
125,,Julian Baas,1.48,0.97,0,1.58,0,1.24
126,,Landry Dimata,0.27,0,0,0.33,0,0.23
127,,Iliass Bel Hassani,0.76,0.24,0,0.52,0,0.86
128,,Joshua Kitolano,1.97,0.76,0,0.74,0,0.65
129,,Virgil Misidjan,1.1,0.32,0,0.1,0,0.84
130,,Iñigo Cordoba,2.48,1.23,0,0.55,0,1.81
131,,Modibo Sagnan,1.78,1,0,4.43,0,0.35
132,,Jeff Hardeveld,2.5,2,0,1.67,0,0.83
133,,Dario Van Den Buijs,1.19,0.92,0,3.19,0,0.38
134,,Isac Lidberg,0.58,0.18,0,0.88,0,0.24
135,,Shawn Adewoye,1.91,1.39,0.06,4.94,0,0.7
136,,Julio Pleguezuelo,1.04,0.74,0,2.96,0.04,0.43
137,,Adil Auassar,1.17,1.17,0,3.83,0.03,0.34
138,,Mats Köhlert,1.74,1.19,0,1.32,0,1.23
139,,Miguel Araujo,2.06,1.16,0,3.81,0,0.32
140,,Danilo,0.24,0.24,0,0.18,0,0.24
141,,Sondre Tronstad,1.93,0.75,0,0.79,0,0.68
142,,Carlens Arcus,1.9,2.4,0,2,0,0.7
143,,Santiago Giménez,0.34,0.13,0,0.13,0,0.31
144,,Jorge Sánchez,2.65,1.06,0,1.29,0,1
145,,Jens Odgaard,1.52,0.38,0,0.93,0,1.1
146,,Siebe Horemans,1.97,1.91,0,3.24,0,1.24
147,,Dario Serra,0.25,0,0,0,0,0.25
148,,Romano Postema,1,0,0,0,0,0
149,,Ramon Hendriks,1.75,0.5,0,3.75,0,0.25
150,,Filip Stanković,0.15,0.03,0,1.09,0.06,0.12
151,,Vasilis Barkas,0,0,0,0.41,0,0.03
152,,Jay Idzes,1.47,1.31,0,4.28,0.03,0.5
153,,Osame Sahraoui,0.8,0.4,0,0.27,0,0.47
154,,Ryan Flamingo,1.24,1.7,0,3.45,0,0.52
155,,Marco Tol,0.96,1.5,0,4.67,0.08,0.17
156,,Burak Yılmaz,0.31,0.08,0,1.08,0,0.38
157,,Dimitrios Siovas,0.88,1.83,0,4.79,0,0.33
158,,Håkon Evjen,1.25,0.38,0,0.38,0,0.38
159,,Paul Gladon,0.3,0,0,0.81,0,0.3
160,,Devyne Rensch,2.12,1.42,0,0.58,0.08,0.42
161,,Daryl van Mieghem,0.5,0.27,0,0.3,0,0.63
162,,Patrick van Aanholt,1.73,1.13,0,0.93,0,1.07
163,,Bart van Rooij,2.12,1.06,0.03,2.09,0,1.24
164,,Davy Klaassen,1,0.24,0,0.55,0,0.52
165,,Érick Gutiérrez,1.73,0.8,0,0.37,0,0.93
166,,Sávio,0.67,0,0,0,0,0.33
167,,Luuk Brouwers,1.25,1.08,0,1.21,0,0.54
168,,Michel Vlap,1.06,0.44,0,0.5,0,0.63
169,,Radinio Balker,1.52,1.23,0.03,3.71,0,0.35
170,,Brian Brobbey,0.28,0.09,0,0.31,0,0.03
171,,Koki Saito,0.88,0.15,0,0.12,0,0.62
172,,Dani de Wit,1.5,0.61,0,0.72,0,0.44
173,,Taylor Booth,1.25,0.38,0,0.29,0,0.63
174,,Arianit Ferati,1.7,0.78,0,0.74,0.04,0.89
175,,Willum Thor Willumsson,1.04,0.3,0,1.07,0,0.59
176,,Sem Steijn,0.67,0.26,0,0.33,0,0.74
177,,Robbin Ruiter,0,0.06,0.06,1.25,0,0.06
178,,Mimoun Mahi,0.5,0.57,0,0.5,0,0.43
179,,Mees Hilgers,1.89,1.46,0,1.96,0,0.82
180,,Mika Biereth,0.17,0.08,0,0.17,0,0.08
181,,Mees Hoedemakers,2.31,1.21,0.03,1.76,0,1.07
182,,Jeffrey de Lange,0,0,0,0.5,0.03,0
183,,Đorđe Mihailović,1.67,0.2,0,0.2,0,0.2
184,,Younes Namli,0.73,0.62,0,0.27,0,0.81
185,,George Cox,1.41,1.67,0,1.44,0,0.81
186,,Tijjani Noslin,1.55,0.68,0,0.84,0,0.84
