#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
96,,Jetro Willems,0,0,85.71,75,1.43,0.14
97,,Melle Meulensteen,0,0,48.08,54.33,0.63,0.59
98,,Philippe Sandler,0.14,0,64.91,63.48,0.43,0.57
99,,Ricardo Pepi,0.07,0,37.65,39.94,0.24,0.66
100,,Marcos López,0.05,0,82.76,73.47,1,0.37
101,,Bruno Martins Indi,0.25,0,47.83,44.83,0,1
102,,Michiel Kramer,0.22,0,51.65,44.57,0.81,1.07
103,,Gerónimo Rulli,0.05,0,92.31,80,0.05,0.05
104,,Patrik Wålemark,0.07,0,62.5,58.67,0.87,0.33
105,,Anwar El Ghazi,0.09,0.04,57.5,48.97,0.65,0.43
106,,Jarrad Branthwaite,0.07,0,56.88,55.83,0.19,0.44
107,,Manfred Ugalde,0.04,0,35.62,40.29,0.71,0.33
108,,Jordan Teze,0.07,0,68,59.4,0.33,0.7
109,,Myron Van Brederode,0.04,0,20,52.8,0.84,0.4
110,,Ricky van Wolfswinkel,0.12,0,46.4,46.18,0.62,0.85
111,,Sean Klaiber,0.14,0,56.52,51.87,0.14,1.07
112,,Wouter Goes,0.13,0,39.13,47.83,0.38,0.75
113,,Calvin Verdonk,0.24,0,50,56.1,0.24,0.53
114,,Dirk Abels,0.08,0,50,60.44,0.46,0.19
115,,Robin Maulun,0,0,42.86,51.61,0.43,0.86
116,,Redouan El Yaakoubi,0.09,0.03,58.82,60.95,0.39,0.97
117,,Amin Sarr,0.05,0,37.78,40.1,1.05,1
118,,Armando Obispo,0.05,0.05,65.06,61.15,0.23,0.45
119,,Jeroen Veldmate,0.04,0,72.46,70.25,0.36,0.64
120,,Mike van der Hoorn,0.12,0.04,67.16,65.69,0.72,0.6
121,,Quinten Timber,0.08,0,33.33,56.86,1.08,0.88
122,,Nicolas Isimat-Mirin,0.06,0,61.4,57.94,0.31,0.81
123,,Navarone Foor,0.13,0,21.05,44.03,0.8,0.6
124,,Dirk Proper,0.09,0.03,42.62,54.1,0.81,1.41
125,,Julian Baas,0.12,0,38.18,48.95,1.15,0.79
126,,Landry Dimata,0.03,0,54.55,52.25,2.87,1.03
127,,Iliass Bel Hassani,0.14,0.1,31.82,45.52,0.67,0.43
128,,Joshua Kitolano,0.06,0,46.77,56.98,0.91,0.56
129,,Virgil Misidjan,0.13,0,48.28,42.7,1.74,1.35
130,,Iñigo Cordoba,0.1,0,46.38,49.73,1.19,0.58
131,,Modibo Sagnan,0.13,0,55.06,59.17,0.3,0.74
132,,Jeff Hardeveld,0,0,42.86,55.56,0.17,0.67
133,,Dario Van Den Buijs,0.12,0,49.21,52.24,0.27,0.81
134,,Isac Lidberg,0.06,0,46.2,43.51,1.09,1.03
135,,Shawn Adewoye,0.21,0,60,57.96,0.3,1.15
136,,Julio Pleguezuelo,0.04,0,50.5,58.29,0.87,0.43
137,,Adil Auassar,0,0.03,50.82,52.9,0.24,0.72
