#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Aaron Wan-Bissaka,0.05,0,37.11,83.55,10,53.13
93,,Rúben Dias,0.04,0,79.65,92.71,6.88,52.31
94,,Tyler Adams,0.04,0,55.21,82.42,10.08,44.57
95,,Sam Johnstone,0,0,26.44,69.75,0.56,36.04
96,,Cheick Doucouré,0.09,0.09,36.44,83.62,6.97,55.06
97,,Cristian Romero,0.07,0.04,58.67,87.69,5.44,57.75
98,,Alex Iwobi,0.21,0.18,36.63,78.81,11.66,51.41
99,,Joachim Andersen,0.06,0,60.63,79.74,6.31,43.86
100,,William Saliba,0.04,0.04,69.04,91.04,5.7,56.14
101,,Vicente Guaita,0,0,25.96,67.48,0.37,40.05
102,,Harry Maguire,0,0,35.88,85.37,3.06,48.68
103,,Rodrigo,0.1,0.03,16.68,72.53,3.81,56.1
104,,Lucas Paquetá,0.11,0.11,40.14,80.16,10.04,73.44
105,,Christian Eriksen,0.21,0.29,49.68,84.62,13.29,54.7
106,,Christian Nørgaard,0.18,0.14,36.05,76.29,5.86,41.67
107,,Andrew Robertson,0.32,0.24,53.94,84.24,10.35,38.57
108,,Aymeric Laporte,0,0,78.92,93.14,17,54.17
109,,Wout Faes,0.03,0.06,59.42,85.78,2.84,40.96
110,,Danilo,0.08,0.15,17.46,64.32,3.62,42.42
111,,Marc Guéhi,0.03,0,59.49,85.46,4.92,45.51
112,,David De Gea,0,0,28.5,68.33,0.47,35.96
113,,Jacob Ramsey,0.23,0.2,24.69,83.68,6.91,54.29
114,,Jan Bednarek,0,0,41.48,84.7,2,48.25
115,,Luis Díaz,0.12,0.12,26.24,82.74,9.65,94.44
116,,Çağlar Söyüncü,0,0,43.71,78.76,1.71,36.73
117,,Oleksandr Zinchenko,0.07,0.07,63.56,87.76,19.44,62
118,,Armel Bella-Kotchap,0.08,0.08,38.63,80.26,1.83,31.33
119,,Serge Aurier,0.04,0,30.58,72.75,5.04,40.38
120,,Nick Pope,0,0,17.78,58.81,0.73,34.58
