#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
107,,Andrew Robertson,0,0.21,0,0,0.94,0.06
108,,Aymeric Laporte,0,0.25,0,0,0.83,0
109,,Wout Faes,0,0.23,0,0,1.19,0.45
110,,Danilo,0,0,0,0,1.15,0.15
111,,Marc Guéhi,0,0.22,0,0,1.14,0.11
112,,David De Gea,2.66,0.45,0.08,0.03,0.92,0.21
113,,Jacob Ramsey,0,0.14,0,0,0.86,0.09
114,,Jan Bednarek,0,0.13,0,0,1.7,0.04
115,,Luis Díaz,0,0.12,0,0,0.65,0
116,,Çağlar Söyüncü,0,0,0,0,1,0.86
117,,Oleksandr Zinchenko,0,0.07,0,0,0.81,0.22
118,,Armel Bella-Kotchap,0,0.13,0,0,1.5,0.13
119,,Serge Aurier,0,0.21,0,0,1.08,0.21
120,,Nick Pope,2.35,0.38,0.14,0.05,0.78,0.08
121,,João Cancelo,0,0.24,0,0,0.65,0.24
122,,Ivan Perišić,0,0.06,0,0,1.18,0.12
123,,Nayef Aguerd,0,0.28,0,0,1.22,0.33
124,,Amadou Onana,0,0.15,0,0,1,0.12
125,,Tyrone Mings,0,0.34,0,0,1.06,0.09
126,,Hamed Junior Traorè,0,0,0,0,1.14,0
127,,Lewis Dunk,0,0.31,0,0,1.25,0.14
128,,Marc Cucurella,0,0.17,0,0,0.63,0.21
129,,Philip Billing,0,0.11,0,0,1.36,0.14
130,,Julio Enciso,0,0.05,0,0,0.6,0
131,,Noni Madueke,0,0,0,0,1,0.08
132,,Jefferson Lerma,0,0.16,0,0,1.62,0.19
133,,Benjamin White,0,0.24,0,0,0.79,0.13
134,,Antony,0,0.12,0,0,0.72,0.12
135,,Darwin Núñez,0,0,0,0,0.76,0
136,,Julián Álvarez,0,0.1,0,0,0.52,0
137,,João Moutinho,0,0.06,0,0,0.77,0.13
138,,Idrissa Gueye,0,0.18,0,0,1.21,0.15
139,,Tomáš Souček,0,0.19,0,0,1.08,0.08
140,,Duje Ćaleta-Car,0,0.08,0,0,0.92,0.23
141,,Matt Doherty,0,0.08,0,0,0.58,0.17
142,,Jordan Pickford,3.35,0.22,0.16,0.03,1.38,0.16
143,,Joe Gomez,0,0.38,0,0,0.71,0.05
144,,Matthew Craig,0,0,0,0,0,0
145,,Valentino Livramento,0,0,0,0,0,0
146,,Wayne Hennessey,2.25,0,0,0,1.25,0
147,,Danny Welbeck,0,0.1,0,0,0.81,0.1
148,,Pervis Estupiñán,0,0.2,0,0,1.11,0.11
149,,Bernardo Silva,0,0.09,0,0,0.56,0.15
150,,Tosin Adarabioyo,0,0.12,0,0,1.48,0.08
151,,Marcus Rashford,0,0.17,0,0,0.89,0.23
152,,Craig Dawson,0,0.28,0,0,1.08,0.16
153,,Ezri Konsa,0,0.29,0,0,1.08,0.11
154,,Ollie Watkins,0,0.24,0,0,0.97,0.11
155,,Jordan Henderson,0,0.11,0,0,0.8,0.06
156,,Jorginho,0,0.25,0,0,0.59,0.13
157,,Victor Lindelöf,0,0.25,0,0,0.6,0.2
158,,Aaron Cresswell,0,0.18,0,0,0.96,0.18
159,,Dean Henderson,3.06,0.33,0.28,0.11,1.06,0.67
160,,Joe Willock,0,0.03,0,0,0.66,0.09
161,,Tim Ream,0,0.24,0,0,1.21,0.12
162,,Vitaly Janelt,0,0.17,0,0,0.57,0.23
163,,Fabinho,0,0.25,0,0,0.86,0.08
164,,Hakim Ziyech,0,0.06,0,0,0.22,0.17
165,,Jarrod Bowen,0,0.18,0,0,1.13,0.18
166,,Evan Ferguson,0,0,0,0,0.53,0.11
167,,Adam Webster,0,0.3,0,0,0.85,0.15
168,,Kurt Zouma,0,0.28,0,0,1.04,0.12
169,,Eric Dier,0,0.27,0,0,1.36,0.21
170,,Raheem Sterling,0,0.04,0,0,0.86,0.11
