#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
104,,Lucas Paquetá,0.14,0.11,60,1.89,0.04,0
105,,Christian Eriksen,0.04,0.18,47.06,1.39,0,0
106,,Christian Nørgaard,0.05,0,44.44,0.86,0,0
107,,Andrew Robertson,0,0.03,42.5,0.38,0,0
108,,Aymeric Laporte,0,0.08,66.67,0.83,0,0
109,,Wout Faes,0.03,0,75,0.42,0.03,0
110,,Danilo,0.23,0,77.78,1.15,0,0
111,,Marc Guéhi,0.03,0.03,82.35,0.38,0,0
112,,David De Gea,0,0,0,0,0,0
113,,Jacob Ramsey,0.17,0.11,50,0.94,0,0
114,,Jan Bednarek,0,0,50,0.35,0,0
115,,Luis Díaz,0.24,0.12,56.14,1.59,0.12,0
116,,Çağlar Söyüncü,0.14,0,100,0.71,0,0
117,,Oleksandr Zinchenko,0.04,0.04,62.5,1.04,0,0
118,,Armel Bella-Kotchap,0,0.08,57.14,0.58,0,0
119,,Serge Aurier,0.04,0.04,59.26,0.38,0,0
120,,Nick Pope,0,0,0,0,0,0
121,,João Cancelo,0.12,0,56.6,1,0,0
122,,Ivan Perišić,0.03,0.18,48.65,0.85,0,0
123,,Nayef Aguerd,0.11,0.17,100,0.67,0.11,0
124,,Amadou Onana,0.03,0.12,43.9,1.03,0.03,0
125,,Tyrone Mings,0.03,0.06,66.67,0.2,0.03,0
126,,Hamed Junior Traorè,0,0.14,66.67,0.86,0,0
127,,Lewis Dunk,0.03,0.06,100,0.61,0.03,0
128,,Marc Cucurella,0,0,45.45,0.29,0,0
129,,Philip Billing,0.19,0.08,63.41,1.06,0,0
130,,Julio Enciso,0.2,0.15,55.36,1.9,0.05,0
131,,Noni Madueke,0.08,0,57.89,1,0,0
132,,Jefferson Lerma,0.14,0.08,59.09,0.95,0,0
133,,Benjamin White,0.05,0,34.78,0.26,0,0
134,,Antony,0.16,0.16,45.59,2.88,0,0
135,,Darwin Núñez,0.31,0.69,48.65,2.9,0.1,0
136,,Julián Álvarez,0.29,0.13,60,1.52,0,0
137,,João Moutinho,0,0,53.33,0.52,0,0
138,,Idrissa Gueye,0,0,67.86,0.45,0,0
139,,Tomáš Souček,0.06,0.06,14.29,0.94,0,0
140,,Duje Ćaleta-Car,0.08,0.08,100,0.38,0.08,0
141,,Matt Doherty,0.08,0,60,0.83,0,0
142,,Jordan Pickford,0,0,0,0,0,0
143,,Joe Gomez,0,0,80,0.29,0,0
144,,Matthew Craig,0,0,0,0,0,0
145,,Valentino Livramento,0,0,100,0,0,0
146,,Wayne Hennessey,0,0,0,0,0,0
147,,Danny Welbeck,0.19,0.32,53.66,2,0.1,0
