#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
212,,Wesley Fofana,0.06,0.06,90.91,0.47,0.06,0
213,,Chris Mepham,0,0,42.86,0.31,0,0
214,,José Sá,0,0,100,0,0,0
215,,Konstantinos Tsimikas,0,0.05,33.33,0.35,0,0
216,,César Azpilicueta,0,0,58.33,0.36,0,0
217,,Nathan Collins,0,0,100,0.12,0,0
218,,Harvey Elliott,0.03,0.03,55.88,1.13,0,0
219,,Marc Roca,0.03,0.06,62.96,1.09,0,0
220,,Lloyd Kelly,0,0,16.67,0.13,0,0
221,,Roméo Lavia,0.03,0,68.29,0.41,0,0
222,,Curtis Jones,0.17,0,45.83,0.83,0,0
223,,Michael Keane,0.08,0.17,66.67,1.17,0,0
224,,Harry Souttar,0,0.25,100,0.67,0,0
225,,Jonny Evans,0,0,0,0.08,0,0
226,,Lewis Miley,0,0,0,1,0,0
227,,Oriol Romeu,0,0,100,0,0,0
228,,Samuel Amo-Ameyaw,0,0,75,0,0,0
229,,Hugo Lloris,0,0,0,0,0,0
230,,Tyrell Malacia,0,0,31.58,0.23,0,0
231,,Emiliano Buendía,0.13,0.03,51.85,1.29,0.05,0
232,,Conor Coady,0.04,0.04,0,0.17,0,0
233,,Diogo Jota,0.32,0.45,40,1.59,0.05,0
234,,Anthony Martial,0.29,0.38,60.87,1.29,0.05,0
235,,Yoane Wissa,0.18,0.08,57.14,0.84,0.08,0
236,,Boubacar Kamara,0,0,57.14,0.17,0,0
237,,Jack Stephens,0,0,100,0.12,0,0
238,,Che Adams,0.18,0.39,55.17,1.68,0.07,0
239,,Fred,0.06,0.06,44.44,0.74,0,0
240,,Manor Solomon,0.21,0,55.88,0.58,0.05,0
241,,Dan Burn,0.03,0.05,47.83,0.55,0.03,0
242,,João Gomes,0.09,0,53.33,0.36,0,0
243,,Adam Lallana,0.13,0.06,50,0.5,0.06,0
244,,Cristiano Ronaldo,0.1,0.2,57.14,2.5,0,0
245,,Pablo Fornals,0.09,0,50,0.84,0,0
246,,Tom Cairney,0.06,0,52.94,0.64,0,0
247,,Gianluca Scamacca,0.19,0.19,50,1.88,0,0
248,,Patson Daka,0.13,0.17,46.67,1,0,0
249,,Joel Ward,0.04,0.04,87.5,0.29,0,0
250,,Matheus Nunes,0.03,0.09,61.11,0.82,0,0
251,,Kelechi Iheanacho,0.18,0.21,54.05,1.39,0.04,0
252,,Vitaliy Mykolenko,0,0.03,44,0.29,0,0
253,,Timothy Castagne,0.05,0.05,44,0.51,0.03,0
254,,Matty Cash,0,0,59.26,0.27,0,0
255,,Levi Colwill,0,0.18,100,0.47,0,0
256,,Danny Ward,0,0,0,0,0,0
257,,Dango Ouattara,0.05,0.16,45.59,1.37,0,0
258,,Jan Paul van Hecke,0,0.13,0,0.25,0,0
259,,Daniel Podence,0.19,0.09,41.38,1.34,0,0
260,,Mateo Kovačić,0.04,0.07,65.52,0.85,0,0
261,,Davinson Sánchez,0,0,40,0.33,0,0
262,,Cole Palmer,0,0.07,66.67,0.79,0,0
263,,Pascal Struijk,0.07,0.03,56.25,0.55,0.03,0
264,,Marcos Senesi,0.06,0.03,66.67,0.26,0.03,0
265,,Trevoh Chalobah,0,0.04,88.89,0.36,0,0
266,,Wilfred Ndidi,0,0,71.43,0.26,0,0
267,,Danny Ings,0.23,0.17,47.06,1.2,0,0
268,,Taiwo Awoniyi,0.37,0.3,36.84,1.3,0.11,0
269,,Luis Sinisterra,0.26,0.11,52.78,1.47,0.05,0
270,,Jakub Kiwior,0.14,0,100,0.14,0,0
271,,Kyle Walker,0,0.04,76.47,0.19,0,0
272,,Abdoulaye Doucouré,0.2,0.08,63.33,0.8,0.08,0
273,,Conor Gallagher,0.09,0.06,50,0.8,0.03,0
274,,Dominic Calvert-Lewin,0.12,0.35,60,1.82,0,0
275,,Jordan Ayew,0.11,0,52.42,0.84,0.05,0
276,,Jack Harrison,0.14,0.11,44.86,1.08,0,0
277,,Boubakary Soumaré,0,0,66.67,0.04,0,0
278,,Jacob Murphy,0.11,0.03,40,0.81,0,0
279,,Pedro Neto,0,0.06,37.5,0.94,0,0
280,,Sean Longstaff,0.03,0.15,30.77,1,0,0
281,,Adama Traoré,0.06,0,59.04,0.56,0.03,0
282,,Séamus Coleman,0.04,0,51.61,0.3,0,0
283,,Ryan Yates,0,0.04,62.5,1,0,0
284,,Liam Cooper,0.06,0.11,50,0.56,0.06,0
285,,Harry Wilson,0.07,0.03,46.15,0.62,0,0
286,,Sam Greenwood,0.06,0,42.86,0.67,0,0
287,,Nampalys Mendy,0.05,0,70,0.11,0,0
