#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
100,,William Saliba,1.26,0.7,0.07,3.04,0.04,0.11
101,,Vicente Guaita,0,0,0,0.96,0,0
102,,Harry Maguire,0.5,0.81,0,2.56,0,0.06
103,,Rodrigo,0.77,0.19,0,0.68,0,0.39
104,,Lucas Paquetá,2.54,0.57,0,1.11,0,1.43
105,,Christian Eriksen,0.79,0.39,0,0.71,0.04,0.79
106,,Christian Nørgaard,2.36,1.55,0,1.82,0,1.36
107,,Andrew Robertson,1.12,0.53,0,1.26,0,0.59
108,,Aymeric Laporte,0.92,0.25,0,2.5,0,0.33
109,,Wout Faes,1.81,1.32,0,3.58,0,0.52
110,,Danilo,1.38,0.69,0,1.38,0,1.46
111,,Marc Guéhi,1.41,1.22,0,3.57,0.03,0.43
112,,David De Gea,0,0.03,0,0.71,0.05,0.03
113,,Jacob Ramsey,1.97,0.66,0.03,0.83,0,1.06
114,,Jan Bednarek,1.3,2.22,0,3.96,0,0.17
115,,Luis Díaz,1,0.35,0,0.06,0,0.41
116,,Çağlar Söyüncü,2,1,0,4.14,0,0.43
117,,Oleksandr Zinchenko,1.48,0.81,0,1.15,0,0.67
118,,Armel Bella-Kotchap,1.54,1.83,0,4.5,0,0.21
119,,Serge Aurier,2.67,1.21,0,2.71,0,0.42
120,,Nick Pope,0.03,0,0,1.24,0.03,0.05
121,,João Cancelo,1.71,1.12,0.12,0.35,0.06,0.41
122,,Ivan Perišić,1.21,0.65,0,1.24,0,0.62
123,,Nayef Aguerd,1.5,1,0.06,4.33,0.06,0.39
124,,Amadou Onana,2.18,1.12,0,1.12,0,0.36
125,,Tyrone Mings,0.43,1.54,0,4.51,0.06,0.34
126,,Hamed Junior Traorè,2.43,0.29,0,0.14,0,1.71
127,,Lewis Dunk,0.83,0.94,0.11,2.25,0,0.64
128,,Marc Cucurella,2.75,0.67,0,1.54,0.04,1.25
129,,Philip Billing,1.75,0.86,0,1.39,0.03,0.81
130,,Julio Enciso,0.65,0.2,0,0.05,0,0.25
131,,Noni Madueke,1,0.33,0,0.58,0,0.58
132,,Jefferson Lerma,1.35,1.27,0.05,2.38,0,0.68
133,,Benjamin White,1.58,0.58,0,1.97,0,0.74
134,,Antony,0.88,0.44,0,0.08,0,0.8
135,,Darwin Núñez,0.38,0.1,0,0.41,0,0.45
136,,Julián Álvarez,0.84,0.06,0,0.16,0,0.65
137,,João Moutinho,1.65,0.58,0,0.58,0,0.87
138,,Idrissa Gueye,2.94,1.7,0.03,0.94,0.09,0.88
139,,Tomáš Souček,2.14,1.47,0,1.89,0.03,0.83
140,,Duje Ćaleta-Car,1.08,1.15,0,5,0,0.23
141,,Matt Doherty,1.25,0.67,0,1.08,0,0.25
142,,Jordan Pickford,0,0.11,0.03,0.89,0.05,0.03
143,,Joe Gomez,1.33,1.14,0.05,2.24,0.05,0.38
144,,Matthew Craig,4,0,0,0,0,0
145,,Valentino Livramento,1,1,0,1.5,0,0
146,,Wayne Hennessey,0.25,0,0,0.75,0,0
147,,Danny Welbeck,0.48,0.16,0,0.65,0,0.23
148,,Pervis Estupiñán,1.74,1.06,0.03,1,0,0.71
149,,Bernardo Silva,1.29,0.47,0,0.18,0,0.76
150,,Tosin Adarabioyo,1.2,1.04,0,5.52,0,0.28
151,,Marcus Rashford,0.57,0.2,0,0.37,0,0.43
152,,Craig Dawson,0.76,0.72,0.04,3.96,0,0.2
153,,Ezri Konsa,1.11,0.68,0,3,0,0.21
154,,Ollie Watkins,0.51,0.27,0,1.05,0,0.46
155,,Jordan Henderson,0.91,0.6,0,0.34,0.03,0.6
156,,Jorginho,1.88,0.94,0,0.44,0,1.34
157,,Victor Lindelöf,1.1,1.05,0,3.15,0,0.4
158,,Aaron Cresswell,0.75,0.96,0,1.89,0,0.68
159,,Dean Henderson,0,0,0.06,1.11,0.06,0
160,,Joe Willock,1.46,0.71,0,0.43,0,0.94
161,,Tim Ream,0.91,1.24,0.03,3.39,0,0.39
162,,Vitaly Janelt,1.54,0.83,0,0.66,0,0.8
163,,Fabinho,1.81,1.03,0,1.06,0,1.06
164,,Hakim Ziyech,1.11,0.28,0,0.28,0,0.28
165,,Jarrod Bowen,1.03,0.95,0.03,0.47,0,1.08
166,,Evan Ferguson,0.32,0.11,0,0.32,0,0.32
167,,Adam Webster,0.81,0.7,0,1.89,0.04,0.3
168,,Kurt Zouma,0.36,1.2,0,4.68,0,0.12
169,,Eric Dier,0.91,1.06,0,3.3,0.03,0.3
170,,Raheem Sterling,0.64,0.07,0,0.11,0,0.21
171,,Emerson Royal,2.08,0.69,0,2.5,0,0.5
172,,Kiernan Dewsbury-Hall,1.71,0.9,0,0.68,0,0.9
173,,Andreas Pereira,0.55,0.18,0.03,0.24,0,0.76
174,,Saïd Benrahma,0.71,0.26,0,0.31,0,0.46
175,,Kaoru Mitoma,1.33,0.52,0,0.15,0,0.64
176,,Łukasz Fabiański,0.06,0,0,0.67,0.03,0.03
177,,Aaron Ramsdale,0.03,0,0,0.89,0.05,0
178,,Ashley Young,1.72,0.72,0.03,2.07,0,0.41
179,,Daniel Amartey,0.95,0.4,0.05,3.5,0,0.1
180,,Jason Steele,0,0,0,0.6,0,0.07
181,,Marcus Tavernier,1.43,0.39,0,0.74,0,0.91
182,,Raphaël Varane,1,0.46,0,3.71,0,0.42
183,,Manuel Akanji,1.24,0.55,0,1.03,0,0.45
184,,Max Kilman,0.97,0.51,0,4.41,0.03,0.38
185,,Ibrahima Konaté,2.11,1.44,0.06,3.11,0.11,0.61
186,,Nathaniel Phillips,1,1,0,0.5,0,0
187,,Toti Gomes,0.88,0.65,0,2.59,0,0.24
188,,Jadon Sancho,0.62,0.27,0,0.19,0,0.77
189,,Gonçalo Guedes,0.62,0.08,0,0.15,0,0.23
190,,Ben Chilwell,0.91,0.78,0,1,0,0.52
191,,Maximilian Wöber,1.56,1.69,0.06,4,0,0.5
192,,James Justin,1.43,1.07,0,2.57,0,0.36
193,,Issa Diop,1.12,1.4,0.08,3.44,0,0.6
194,,Vladimír Coufal,2.15,1.41,0,2.37,0,0.52
195,,Kai Havertz,0.97,0.2,0,1.11,0,0.57
196,,Demarai Gray,1,0.39,0,0.45,0,0.42
197,,Dejan Kulusevski,1.27,0.43,0.03,0.23,0,0.93
198,,David Datro Fofana,1,0,0,0,0,0
199,,Pontus Jansson,0.42,0.75,0,3.17,0,0.17
200,,Matheus Cunha,0.41,0.53,0,0.53,0,0.47
201,,Antonee Robinson,1.77,1.51,0.03,2.17,0.03,0.6
202,,Rico Lewis,1.14,0.43,0,0.86,0,0.36
203,,Dominic Solanke,0.45,0.18,0,1.3,0,0.52
204,,Joe Worrall,1.77,0.87,0.07,3.6,0,0.33
205,,Willy Boly,1.18,1.09,0,4.09,0,0.45
206,,Wilfried Zaha,1.19,0.59,0,0.22,0,0.48
207,,Marcel Sabitzer,1.09,0.73,0,1,0,0.82
208,,Marc Albrighton,0.67,0.17,0,0.67,0,1.17
209,,Lyanco,1.14,0.95,0,2.9,0.1,0.29
210,,Ben Davies,0.9,0.58,0,2.16,0,0.39
211,,Joël Veltman,2,0.61,0.03,1.58,0,0.65
212,,Wesley Fofana,2,1.71,0.06,2.18,0.12,0.88
213,,Chris Mepham,1.73,1.15,0,5.62,0,0.42
214,,José Sá,0.03,0,0.03,0.5,0.06,0
215,,Konstantinos Tsimikas,0.7,0.6,0,0.7,0,0.3
216,,César Azpilicueta,1.72,0.76,0,1.84,0,0.6
217,,Nathan Collins,1.04,0.81,0,3.19,0,0.35
218,,Harvey Elliott,0.84,0.47,0,0.19,0,0.84
219,,Marc Roca,2.06,0.72,0,0.72,0.03,1.44
220,,Lloyd Kelly,1.43,1.13,0.04,4.3,0,0.26
221,,Roméo Lavia,2.07,1.14,0,0.79,0.03,1.1
222,,Curtis Jones,1.89,0.17,0,0.5,0,0.72
223,,Michael Keane,0.58,1.17,0.17,4.58,0,0.25
224,,Harry Souttar,1.25,1,0,3.75,0,0.92
225,,Jonny Evans,1,1.38,0,3.77,0,0.31
226,,Lewis Miley,0,0,0,0,0,0
227,,Oriol Romeu,1,1,0,1,0,0
228,,Samuel Amo-Ameyaw,0,0,0,0,0,1
229,,Hugo Lloris,0.04,0.04,0,0.8,0.16,0.08
230,,Tyrell Malacia,2.09,1.14,0,2,0,0.5
231,,Emiliano Buendía,1.34,0.53,0,0.34,0,1.5
232,,Conor Coady,0.58,0.58,0,3.54,0.04,0.33
233,,Diogo Jota,1.05,0.14,0,0.41,0,1.14
234,,Anthony Martial,0.24,0.05,0,0.19,0,0.14
235,,Yoane Wissa,0.45,0.16,0,0.37,0,0.18
236,,Boubacar Kamara,2.42,0.79,0,0.96,0.04,1.17
237,,Jack Stephens,1,1,0,3.24,0,0.24
238,,Che Adams,0.61,0.14,0,0.79,0,0.18
239,,Fred,1.34,0.54,0,0.37,0,0.66
240,,Manor Solomon,1.11,0.26,0,0.11,0,0.37
241,,Dan Burn,1.58,0.84,0.03,2.71,0,0.87
242,,João Gomes,2.64,0.36,0,1,0,0.91
243,,Adam Lallana,0.56,0.13,0,0.06,0,0.44
244,,Cristiano Ronaldo,0.2,0.1,0,0.8,0,0.1
245,,Pablo Fornals,0.94,0.44,0,0.25,0,0.66
246,,Tom Cairney,0.52,0.15,0,0.09,0,0.09
247,,Gianluca Scamacca,0.63,0.25,0,0.31,0,0
248,,Patson Daka,0.47,0.23,0,0.23,0,0.3
249,,Joel Ward,1.79,0.89,0,2.75,0,0.39
250,,Matheus Nunes,1.97,0.47,0.03,0.94,0.03,0.97
251,,Kelechi Iheanacho,0.25,0,0,0.29,0,0.25
252,,Vitaliy Mykolenko,1.71,1.35,0,2.62,0,0.68
253,,Timothy Castagne,2.35,1.16,0.05,2.54,0,1.16
254,,Matty Cash,2.12,1,0.04,1.42,0,0.42
255,,Levi Colwill,0.47,0.88,0,2.18,0,0.29
256,,Danny Ward,0.04,0,0,0.73,0.04,0.08
257,,Dango Ouattara,1.47,0.68,0,1.53,0,1
258,,Jan Paul van Hecke,1,0.75,0,1.13,0,0
259,,Daniel Podence,0.84,0.22,0,0.16,0,0.78
260,,Mateo Kovačić,1.33,0.7,0,0.59,0,0.85
261,,Davinson Sánchez,1.33,0.67,0.06,2.28,0,0.33
262,,Cole Palmer,0.36,0.07,0,0.14,0,0.14
263,,Pascal Struijk,2.9,1.1,0.07,2.21,0.03,0.93
264,,Marcos Senesi,1.61,1.39,0.06,4.52,0,0.65
265,,Trevoh Chalobah,1.24,0.96,0,2.2,0,0.44
266,,Wilfred Ndidi,2.26,1.41,0.07,1.56,0.07,0.96
267,,Danny Ings,0.54,0.11,0,0.43,0,0.4
268,,Taiwo Awoniyi,0.63,0.15,0,0.74,0,0.19
269,,Luis Sinisterra,1.11,0.42,0.05,0.11,0,0.42
270,,Jakub Kiwior,1,0.86,0,1.43,0,0.43
271,,Kyle Walker,0.48,0.67,0,0.81,0,0.74
272,,Abdoulaye Doucouré,1.24,0.52,0.04,0.4,0,1
273,,Conor Gallagher,1.31,0.66,0,0.4,0,0.77
274,,Dominic Calvert-Lewin,0.24,0.18,0,1.06,0,0.24
275,,Jordan Ayew,1.74,0.39,0,0.79,0,0.84
276,,Jack Harrison,1.11,0.61,0,0.61,0,1.11
277,,Boubakary Soumaré,2.19,1.27,0,1,0,0.77
278,,Jacob Murphy,0.42,0.19,0,0.06,0,0.33
279,,Pedro Neto,0.61,0.22,0,0.17,0,0.56
280,,Sean Longstaff,1.27,0.48,0,0.67,0,0.97
281,,Adama Traoré,0.41,0.09,0,0.5,0,0.15
282,,Séamus Coleman,1.52,0.96,0,1.96,0.04,0.43
283,,Ryan Yates,1.46,0.38,0,1.69,0,0.35
284,,Liam Cooper,2.11,1.89,0,3.11,0.06,0.72
285,,Harry Wilson,0.72,0.21,0,0.41,0,0.34
286,,Sam Greenwood,0.83,0.06,0,0,0,0.72
287,,Nampalys Mendy,0.68,0.68,0,0.11,0,0.37
288,,Ruben Loftus-Cheek,1,0.48,0,0.88,0,0.36
289,,Lewis Cook,1.32,0.82,0,1.04,0,0.86
290,,Richarlison,0.78,0.19,0,0.33,0,0.56
291,,João Félix,0.88,0.06,0,0.06,0.06,0.5
292,,Ayoze Pérez,1.38,0.25,0,0.25,0,1.38
293,,Jeffrey Schlupp,1.94,0.68,0,1.03,0,0.62
294,,Kalvin Phillips,0.5,0.42,0,0.67,0,0.58
295,,Daniel James,0.63,0.13,0,0.25,0,0.29
296,,Ederson,0.09,0.03,0.03,0.63,0.03,0.03
297,,Angelo Ogbonna,0.69,1.06,0,4.56,0.06,0.31
298,,Sergio Gómez,0.75,0.17,0,0.67,0,0.25
299,,Carney Chukwuemeka,0.93,0.43,0,0.07,0,0.14
300,,Steve Cook,0.67,1,0.08,4.17,0,0.17
301,,Cédric Soares,1,0.13,0,0.75,0,0.13
302,,Albert Sambi Lokonga,0.93,0.8,0,0.73,0,0.4
303,,Joe Rothwell,1,0.45,0,0.35,0,0.7
304,,Joe Aribo,1.48,0.48,0,0.52,0,0.43
305,,Joël Matip,1,1.5,0,3,0.07,0.86
306,,Bertrand Traoré,0.13,0.25,0,0,0,0.38
307,,Chris Richards,1,0.89,0,3.33,0,0.22
308,,Ryan Fraser,0.25,0,0,0.25,0,0.38
309,,Thilo Kehrer,1.59,1.26,0.04,2.7,0.04,0.85
310,,Lewis O'Brien,1.23,0.38,0,0.62,0,0.46
311,,Neeskens Kebano,1,0.06,0,0.24,0,0.47
312,,Kamaldeen Sulemana,0.83,0.33,0,0.22,0,0.56
313,,Rico Henry,1.54,0.81,0,1.86,0,0.51
314,,Cheikhou Kouyaté,1.38,0.48,0,1.1,0,0.19
315,,Brennan Johnson,0.89,0.13,0,0.11,0,0.53
