#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Cristian Romero,0.33,0.04,68.67,59.29,0.44,1.56
98,,Alex Iwobi,0.05,0,26.32,47.15,0.39,0.5
99,,Joachim Andersen,0.25,0,71.9,64.1,0.5,0.84
100,,William Saliba,0.15,0,55.21,60.56,0.48,0.7
101,,Vicente Guaita,0.04,0,90.91,93.33,0.11,0.04
102,,Harry Maguire,0.25,0,53.19,54.93,0.25,0.5
103,,Rodrigo,0.19,0,34,35.84,0.35,0.94
104,,Lucas Paquetá,0.18,0,52.94,47.75,1.07,1.79
105,,Christian Eriksen,0.11,0,40.91,39.2,0.36,0.46
106,,Christian Nørgaard,0.27,0,47.37,48.28,0.91,1.59
107,,Andrew Robertson,0.09,0,47.83,48.07,0.29,0.65
108,,Aymeric Laporte,0,0,55.81,60.27,0.58,0.42
109,,Wout Faes,0.13,0.03,58.59,61.67,0.55,0.74
110,,Danilo,0.08,0,22.22,44.32,0.23,0.31
111,,Marc Guéhi,0.22,0,55.67,63.24,1.08,0.65
112,,David De Gea,0,0,83.33,83.33,0.13,0
113,,Jacob Ramsey,0.14,0,31.37,48.21,1.29,1
114,,Jan Bednarek,0.22,0,71.93,67.52,0.35,0.7
115,,Luis Díaz,0.12,0,25,42.41,1.41,1.18
116,,Çağlar Söyüncü,0.29,0,60,62.32,0.57,1
117,,Oleksandr Zinchenko,0.11,0,71.83,63.24,0.41,0.22
118,,Armel Bella-Kotchap,0.17,0,58.82,69.09,1.38,0.38
119,,Serge Aurier,0.08,0,58.97,62.23,0.79,0.75
120,,Nick Pope,0.08,0.03,80,72.73,0.05,0.03
121,,João Cancelo,0.18,0.06,71.05,60.82,1.06,0.76
122,,Ivan Perišić,0.18,0,51.52,46.3,0.24,0.88
123,,Nayef Aguerd,0.22,0,50.79,57.26,0.44,0.44
124,,Amadou Onana,0.27,0,52.17,57.02,1.48,1.33
125,,Tyrone Mings,0.2,0,72.09,61.9,0.63,0.51
126,,Hamed Junior Traorè,0,0,60,50.63,0.57,0.57
127,,Lewis Dunk,0.11,0,59.48,58.9,0.75,0.5
128,,Marc Cucurella,0.17,0,55.17,60.34,0.88,0.67
129,,Philip Billing,0.14,0,59.77,55,0.97,0.83
130,,Julio Enciso,0.05,0,42.86,47.79,0.75,0.65
131,,Noni Madueke,0,0,28.57,53.91,1.25,0.33
132,,Jefferson Lerma,0.19,0,60.19,55.44,0.89,1
133,,Benjamin White,0.13,0,45.21,52.61,0.79,0.74
134,,Antony,0.2,0,20.83,44.62,1,0.6
135,,Darwin Núñez,0.03,0.03,41.38,38.32,0.59,0.86
136,,Julián Álvarez,0,0,25.81,40.59,0.45,0.68
137,,João Moutinho,0.1,0,25.81,47.13,0.48,1
138,,Idrissa Gueye,0.21,0,55.1,61.46,1.52,1.3
139,,Tomáš Souček,0.08,0,55.12,51.36,0.44,1.39
140,,Duje Ćaleta-Car,0.15,0,59.38,57.14,0.08,0.69
141,,Matt Doherty,0,0,60.61,56.96,0.33,0.92
142,,Jordan Pickford,0.16,0,72.73,68.42,0.14,0.03
143,,Joe Gomez,0.14,0,54.76,55.78,0.19,0.62
144,,Matthew Craig,0,0,0,100,0,0
145,,Valentino Livramento,0,0,0,85.71,1,0
146,,Wayne Hennessey,0,0,0,100,0.25,0
147,,Danny Welbeck,0,0,53.33,46.52,0.58,0.81
148,,Pervis Estupiñán,0.11,,56.25,50,0.74,1.2
149,,Bernardo Silva,0.15,0,23.53,41.74,0.44,0.91
150,,Tosin Adarabioyo,0.16,0,69.41,64.29,0.2,0.68
151,,Marcus Rashford,0.06,0,33.33,38.74,0.66,0.43
152,,Craig Dawson,0.24,0,52.75,54.25,0.52,0.68
153,,Ezri Konsa,0.16,0,60,71.86,1.68,0.32
154,,Ollie Watkins,0.11,0,41.18,40.11,1.05,0.7
155,,Jordan Henderson,0.06,0,52.38,49.61,0.26,0.51
156,,Jorginho,0.13,0,48.65,54.98,1.28,0.56
157,,Victor Lindelöf,0.05,0,62.26,59.8,0.2,0.5
158,,Aaron Cresswell,0.11,0,50.91,48,0.32,0.32
159,,Dean Henderson,0.11,0,100,66.67,0.06,0.06
160,,Joe Willock,0.03,0,50,45.2,0.66,1
161,,Tim Ream,0.06,0,60.76,57.58,0.21,0.55
162,,Vitaly Janelt,0.09,0,58.93,54.98,0.6,0.63
163,,Fabinho,0.31,0,58.82,49.8,0.67,1.47
164,,Hakim Ziyech,0.06,0,0,48.98,0.78,0.67
165,,Jarrod Bowen,0.05,0,33.33,42.58,1.82,0.68
166,,Evan Ferguson,0.05,0,37.5,38.64,0.58,0.47
167,,Adam Webster,0.07,0,68.97,62.76,0.22,0.37
168,,Kurt Zouma,0,0,79.71,67.92,0.28,0.56
169,,Eric Dier,0.09,0,69.57,62.12,0.3,0.76
170,,Raheem Sterling,0.14,0,27.78,40.87,1.14,0.75
171,,Emerson Royal,0.08,0.04,50.91,59.63,1.27,0.81
172,,Kiernan Dewsbury-Hall,0.1,0.03,53.57,52,1.13,1.19
173,,Andreas Pereira,0.24,0,23.68,30.74,0.94,1.24
174,,Saïd Benrahma,0,0,31.25,41.03,0.43,0.46
175,,Kaoru Mitoma,0,0,48.65,49.5,0.82,0.88
176,,Łukasz Fabiański,0.03,0,94.44,91.3,0.11,0
177,,Aaron Ramsdale,0.03,0,100,100,0.11,0
178,,Ashley Young,0.24,0,56,62.26,0.97,0.83
179,,Daniel Amartey,0.05,0,56.67,58.59,0.15,0.35
180,,Jason Steele,0.07,0,100,75,0.07,0.07
181,,Marcus Tavernier,0.04,0,34.69,43.77,1.22,0.91
182,,Raphaël Varane,0.04,0,72.41,63.56,0.13,0.5
183,,Manuel Akanji,0.07,0,41.38,50,0.41,0.83
184,,Max Kilman,0.08,0,67.19,63.22,0.32,0.49
185,,Ibrahima Konaté,0.28,0,76.67,64.5,0.83,1.61
186,,Nathaniel Phillips,0,0,100,85.71,0,0.5
187,,Toti Gomes,0.35,0,51.52,50.55,0.29,0.94
188,,Jadon Sancho,0,0,14.29,38.27,0.38,0.35
189,,Gonçalo Guedes,0.08,0,38.89,53.66,1.85,0.85
190,,Ben Chilwell,0.13,0,56.52,50.99,1,0.57
191,,Maximilian Wöber,0.19,0,55.1,53,0.06,0.94
192,,James Justin,0,0,41.82,55.07,2.07,0.57
193,,Issa Diop,0.08,0,57.89,56.25,0.32,0.64
194,,Vladimír Coufal,0.19,0,65.08,56.94,0.78,1.11
195,,Kai Havertz,0.14,0,56.43,42.7,0.71,1.71
196,,Demarai Gray,0.09,0,22.41,40.63,1.55,0.73
197,,Dejan Kulusevski,0.07,0,36.36,40.28,0.83,1.2
198,,David Datro Fofana,0,0,0,57.89,1,1
199,,Pontus Jansson,0,0,67.57,66,0.08,0.17
200,,Matheus Cunha,0.06,0,15.91,41.5,1.24,1.18
201,,Antonee Robinson,0.23,0,57.14,55.78,0.66,0.94
202,,Rico Lewis,0.07,0,0,53.16,1.29,0.71
203,,Dominic Solanke,0.06,0,34.44,37.08,1.61,1.21
204,,Joe Worrall,0.2,0,62.5,60.53,0.13,0.9
205,,Willy Boly,0.18,0,62.5,64.15,0.45,0.45
206,,Wilfried Zaha,0.19,0,27.27,44.74,2.85,1.3
207,,Marcel Sabitzer,0.09,0,54.17,51.43,0.91,0.73
208,,Marc Albrighton,0,0,50,42.86,0.33,0.33
209,,Lyanco,0.19,0,56.82,58.77,0.48,0.76
210,,Ben Davies,0.13,0,56.91,52.86,0.55,0.97
211,,Joël Veltman,0.19,0,59.09,61.5,1.23,0.87
212,,Wesley Fofana,0.24,0,60.34,64.2,1.47,0.76
213,,Chris Mepham,0.27,0,62.35,62.43,0.27,0.62
214,,José Sá,0.06,0,87.5,89.47,0.22,0.03
215,,Konstantinos Tsimikas,0.15,0,50,45.33,0.45,0.65
216,,César Azpilicueta,0.12,0,60.42,55.13,0.28,1.08
