Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Yerry Mina,0.29,0.14,100,1.14,0.14,0,2.14,0.86,0,4,0,0.29,0,0,45.86,88.47,4,52.17,0,0.14,0,0,1.14,0.14,0.29,0,55.88,66.18,1.43,0.86,7
James Tarkowski,0.03,0.08,90,0.84,0.03,0,1.34,1.34,0.03,5.16,0,0.47,0.16,0.03,42.63,81.23,3.24,47.29,0,0.24,0,0,1.34,0.16,0.16,0,71.01,64.86,0.61,1.05,38
Declan Rice,0.11,0.03,61.4,0.97,0,0,2.14,1.7,0,1.49,0,0.51,0.08,0.05,56.27,88.04,13.24,67.57,0,0.24,0,0,1.16,0.19,0.14,0,58.73,58.06,0.3,0.62,37
Reece James,0.06,0,68.75,1,0,0,1.94,0.75,0,1.25,0,0.25,0.19,0.06,53.25,90.73,14.38,73.58,0,0.13,0,0,0.75,0.31,0.25,0,58.97,63.95,1.13,0.56,16
David Raya,0,0,100,0.03,0,0,0,0.03,0,0.53,0.03,0.05,0,0,38.82,60.75,3.11,42.09,4.05,0.32,0.05,0,0.95,0.26,0.03,0,86.67,82.61,0.16,0,38
Bernd Leno,0,0,0,0,0,0,0,0,0.03,0.72,0,0.06,0,0,33.42,76.31,1,36.36,4,0.22,0.22,0.03,1.28,0.14,0.08,0,100,82.35,0.08,0.03,36
Enzo Fernández,0,0,56.67,1.11,0,0,2.5,0.89,0,0.61,0,1.94,0.17,0.11,78.94,89.09,17.78,74.72,0,0.11,0,0,1.11,0.28,0.17,0,41.18,52.91,1.22,0.61,18
Gabriel Martinelli,0.42,0.17,51.75,2.19,0.08,0,0.86,0.25,0,0.25,0,0.36,0.31,0.14,27.17,82.31,12.39,72,0,0.17,0,0,0.72,0.19,0.08,0,18.99,38.42,1.03,1.08,36
Bruno Guimarães,0.13,0.09,63.38,0.88,0.03,0,2.44,1.13,0,0.59,0,0.84,0.06,0.16,51,84.56,14.91,59.76,0,0.28,0,0,0.72,0.06,0.22,0,59.38,57.11,2.59,1.41,32
Ethan Pinnock,0.1,0.1,66.67,0.5,0,0,1.73,1.17,0,7.13,0.07,0.2,0,0,36.4,80.22,2.6,37.8,0,0.33,0,0,0.93,0.2,0,0,66.04,70.42,0.33,0.2,30
Mohamed Salah,0.5,0.53,40.98,3.29,0.03,0,0.55,0.16,0,0.11,0,0.42,0.39,0.32,29.47,78.13,11.55,57.5,0,0.24,0,0,1.11,0.08,0.05,0,21.05,34.46,0.87,0.53,38
İlkay Gündoğan,0.26,0.29,45.71,1.74,0,0.65,0.97,0.65,0,0.39,0,0.68,0.19,0.13,49.68,88.25,13.97,75,0,0.19,0,0,0.52,0.13,0,0,62.5,46.88,0.81,0.74,31
Fabian Schär,0.03,0.25,36.36,1.56,0,0,1.31,1.44,0,3.81,0,0.42,0.08,0.08,50.42,77.74,5.89,45.09,0,0.33,0,0,0.69,0.08,0.19,0,66.67,64.63,0.75,0.56,36
Michael Olise,0.05,0.03,47.79,1.38,0,0.39,1.57,0.7,0.03,0.35,0,0.95,0.3,0.3,31.3,78.41,10.19,56.98,0,0.11,0,0,0.97,0.05,0.05,0,31.58,48.89,1.86,0.76,37
Lisandro Martínez,0.04,0.04,100,0.37,0.04,0,2,1.22,0,3.59,0,0.48,0,0,56.22,87.29,4.56,41.21,0,0.3,0,0,1,0.22,0.22,0,50.79,60.11,0.37,0.78,27
Eberechi Eze,0.26,0.03,63.39,1.87,0.05,0,1.11,0.34,0,0.21,0,0.53,0.16,0.11,28.5,82.36,9.53,47.89,0,0.11,0,0,0.84,0.08,0.08,0,37.25,52.07,1.5,0.71,38
Pierre-Emile Højbjerg,0.11,0,72.09,0.94,0,0,1.6,1.4,0,1.66,0,1.17,0.14,0.14,64.46,88.56,12.37,66.95,0,0.29,0,0,1.43,0.2,0.14,0,77.14,53.19,1.03,1.09,35
Thomas Partey,0.09,0.03,81.4,0.85,0,0,2.12,0.85,0,1.18,0,0.82,0.06,0,58.97,87.98,14.94,67.3,0,0.3,0,0,0.76,0.09,0.15,0,59.68,58.93,0.7,1.12,33
Benoît Badiashile,0.09,0.09,33.33,0.55,0,0,1.27,1.45,0,3,0,0.45,0.09,0,77.73,89.71,4.82,58.21,0,0.36,0,0,0.64,0.18,0.18,0,71.43,63.64,0.55,0.82,11
Roberto Firmino,0.44,0.24,56.52,1.56,0.08,0,0.68,0.28,0,0.08,0,0.72,0.16,0.16,21.84,79.85,6.96,53.85,0,0,0,0,0.64,0.04,0,0,32.61,36.43,0.24,0.36,25
Virgil van Dijk,0.09,0.13,100,0.94,0.06,0,0.84,0.97,0.03,4.22,0.03,0.34,0.03,0.03,80.66,90.51,6.25,59.36,0,0.34,0,0,1.06,0.06,0.09,0,73.68,69.52,0.09,0.41,32
Douglas Luiz,0.16,0,61.54,0.92,0,0.39,1.97,1.08,0,0.57,0.03,0.89,0.19,0.16,45.86,86.45,8.68,57.86,0,0.22,0,0,0.81,0.08,0.16,0.03,52.08,52.4,1.14,1.3,37
Luke Shaw,0.03,0,45.16,0.45,0,0,1.77,1.16,0.03,1.71,0,0.45,0.23,0.06,58.23,85.98,12.45,49.19,0,0.35,0,0,0.9,0.23,0.26,0,61.33,55.69,0.87,1.48,31
Ben Mee,0.08,0.05,92.31,0.76,0.05,0,1.22,1.3,0,3.14,0,0.46,0.08,0.05,44.81,77.08,3.62,42.58,0,0.32,0,0,0.81,0.27,0.05,0,57.39,60.78,0.41,0.38,37
Alisson,0,0,100,0,0,0,0,0,0,1,0,0.08,0.03,0.03,33.49,83.37,0.51,45.58,2.92,0.38,0.11,0.03,1.11,0.05,0.03,0,91.67,78.26,0.14,0.03,37
Leandro Trossard,0.22,0.08,53.7,1.53,0,0,0.61,0.33,0,0.06,0.03,0.53,0.25,0.33,23.92,78.86,9.11,64.62,0,0.03,0,0,0.97,0.08,0.03,0,31.82,41.12,0.83,0.53,36
Kenny Tete,0.03,0,63.64,0.42,0.03,0,2.68,1.68,0,2.35,0,0.39,0.1,0.16,35.97,76.05,7.16,45.63,0,0.16,0,0,1,0.16,0.26,0,53.23,62.21,1.74,1.35,31
Bryan Mbeumo,0.24,0.29,54.88,1.87,0,0,0.68,0.34,0,0.45,0,0.89,0.37,0.21,21.29,73.67,8.08,58.82,0,0.03,0,0,0.79,0.24,0.13,0,35.35,37.72,0.61,0.71,38
Kepa Arrizabalaga,0,0,100,0,0,0,0.07,0.03,0,1.07,0,0.03,0,0,30.86,80.67,0.38,42.05,3.14,0.31,0.03,0,0.93,0.21,0.03,0,91.67,91.67,0.28,0,29
Moisés Caicedo,0.03,0,57.14,0.76,0,0,2.7,1.51,0,0.68,0.03,0.76,0.08,0.03,59.7,88.77,13.41,67.97,0,0.24,0,0,1.14,0.14,0.27,0,63.79,58.24,1.46,1.76,37
Aleksandar Mitrović,0.58,0.54,51.11,3.88,0.25,0,0.58,0.13,0,0.83,0,0.29,0.21,0.04,20.38,60.53,4.54,60.53,0,0.13,0,0,1.17,0.08,0.29,0,48.31,44.14,1.67,1.42,24
Heung-min Son,0.28,0.25,45.21,2.25,0,0,0.67,0.36,0,0.11,0,0.58,0.22,0.17,21.81,82.04,8.33,65.22,0,0.06,0,0,1.33,0.19,0.06,0,24.32,39.84,1,0.36,36
Willian,0.19,0.07,62.71,1.52,0,1.23,0.48,0.33,0,0.3,0,0.67,0.3,0.19,31.33,82.27,12.78,67.95,0,0.07,0,0,0.7,0.11,0.07,0,27.27,45.56,0.89,0.41,27
Kalidou Koulibaly,0.09,0,66.67,0.48,0,0,1.96,1.26,0,3.13,0,0.61,0,0.04,63.04,87.1,4.7,44.3,0,0.22,0,0,0.65,0.3,0.22,0.04,54.1,57.23,0.39,0.96,23
Gabriel Jesus,0.42,0.62,47.87,2.96,0.15,0,1.27,0.42,0,0.5,0,0.65,0.23,0.23,25.88,81.58,8.96,55.56,0,0.23,0,0,0.73,0.15,0.23,0,36.59,41.69,2.15,1.65,26
Reiss Nelson,0.27,0.09,77.78,1.09,0,0,0.36,0,0,0.36,0,0.18,0.09,0.18,9.82,90.74,5.64,66.67,0,0,0,0,0.27,0,0,0,28.57,39.53,0.36,0.73,11
Thiago Alcântara,0,0,84,0.56,0,0,2.39,1.17,0.06,0.67,0,0.5,0.06,0,60.28,86.54,10.78,75,0,0.11,0,0,1.28,0,0.11,0,36.84,57.22,1.39,1,18
Dwight McNeil,0.19,0.03,50.96,1.28,0,0,1.78,0.86,0,0.89,0,0.97,0.31,0.08,20.97,76.42,5.86,42.86,0,0.14,0,0,1.17,0.11,0.14,0,43.75,47.06,0.58,0.61,36
Mason Mount,0.13,0,55.17,1.38,0,2.08,1.38,0.33,0,0.25,0,0.58,0.13,0.08,29.38,80.14,10.33,63.16,0,0.13,0,0,0.75,0.13,0.17,0,39.13,46.7,1.13,1.17,24
Mathias Jensen,0.14,0,46.15,0.62,0.03,0,1.89,0.86,0,0.62,0,1.7,0.11,0.16,32.89,75.68,8.68,51.87,0,0.08,0,0,0.84,0.24,0.14,0,39.29,43.05,0.68,0.86,37
Diogo Dalot,0.04,0.08,75,0.85,0,0,2.08,1.42,0,2,0,0.46,0.04,0.08,45.73,80.49,9.08,51.47,0,0.35,0,0,1.15,0.15,0.23,0,68.42,65,0.12,0.81,26
Cody Gakpo,0.33,0.29,63.89,1.86,0,0,1.24,0.19,0,0.1,0,1.19,0.19,0.1,17.67,78.44,6.52,63.64,0,0.1,0,0,0.81,0.1,0,0,52,46.96,1.57,1.24,21
Granit Xhaka,0.19,0.08,61.54,1.08,0.05,0,0.92,0.41,0,1.11,0,0.68,0.16,0.19,42.43,86.5,13.49,71.88,0,0.24,0,0,0.78,0.16,0.14,0,56.06,52.94,1.05,0.7,37
Youri Tielemans,0.1,0.03,83.87,1,0,0,2.13,0.9,0,0.77,0.03,1.23,0.32,0.06,50.19,82.13,10.32,48.18,0,0.1,0,0,1.19,0.39,0.13,0,68.42,58.37,0.81,1.06,31
Mohammed Salisu,0,0.09,70,0.86,0,0,2.32,1.41,0,5.41,0,0.45,0.05,0.05,49.55,76.79,4.73,36.87,0,0.05,0,0,1.68,0.18,0.23,0,67.07,61.38,0.14,1.18,22
Joelinton,0.19,0.13,55.79,1.59,0.06,0,2.19,1.5,0.03,1.19,0,1.13,0.13,0.03,38.44,82.28,10.38,68.63,0,0.34,0,0,0.72,0.09,0.38,0,52.8,46.95,1.06,2.03,32
John Stones,0.09,0.09,85.71,0.48,0.04,0,1,0.39,0,1.65,0,0.13,0.09,0.09,65.7,93.25,9.57,77.11,0,0.22,0,0,0.65,0.09,0.09,0,67.35,67.31,0.35,0.43,23
Pedro Porro,0.2,0,37.84,1.73,0,0,1.67,1,0,1.33,0.07,1.67,0.27,0.2,31.87,75.31,6.6,34.09,0,0.07,0,0,1.53,0.2,0,0,8.33,41.79,1.07,0.8,15
Allan Saint-Maximin,0.04,0,63.33,1.12,0,0,0.4,0.2,0,0,0,0.36,0.32,0.2,16.2,75.06,6.84,90.48,0,0,0,0,0.52,0.04,0.04,0,50,51.83,0.64,0.24,25
Alexander Isak,0.45,0.23,51.61,2.32,0.09,0,0.82,0.18,0.05,0.36,0,0.82,0.09,0.05,16,77.84,7.18,88.24,0,0.05,0,0,0.82,0.09,0.14,0,45.1,42.03,0.68,0.86,22
