#,Team,Name,Appearances
224,,Ronald Perlaza,10
225,,Francisco Mera,28
226,,Adolfo Muñoz,23
227,,David Cabezas,18
228,,Luis Caicedo,29
229,,Jean Humanante,26
230,,Jordan Chillambo,21
231,,Jalmar Almeida,19
232,,Dixon Arroyo,3
233,,Jonnathan Mina,28
234,,Onofre Mejia,23
235,,Steven Gomez,12
236,,Olmes García,10
237,,Lucas Ontivero,7
238,,Nicolás Previtali,11
239,,Yilmar Filigrana,14
240,,Richard Mina,13
241,,Jimmy Evans,27
242,,Kevin Velasco,6
243,,Enzo López,26
244,,Jean Carlos Estacio,23
245,,Jose Caicedo,7
246,,Henry Patta,27
247,,Darwin Torres,14
248,,Michael Rangel,7
249,,José Hernández,14
250,,Jorge Pinos,22
251,,Alejandro Gabriel Quintana,8
252,,John Medina,8
253,,Ariel Almagro,17
254,,Walter Chavez,28
255,,Diego Hurtado,14
256,,Wilker Ángel,11
257,,Cristian Martínez,26
258,,Marco Alexander Carrasco Bonilla,14
259,,Ronny Biojo,17
260,,Darwin Estuardo Quilumba Diaz,18
261,,Marco Montaño,27
262,,Adonis Preciado,22
263,,Alex Rangel,22
264,,Romario Caicedo,26
265,,Patrickson Delgado,6
266,,Bryan Elian Vinan Rodriguez,9
267,,Derlis Mereles,1
268,,Álvaro Preciado,1
269,,Guillermo Rendón,1
270,,Marcos Olmedo,2
271,,Jeremy Mina,2
272,,Ronal de Jesus,3
273,,Ariel Aguas,7
274,,Ivan Becker,9
275,,Keny Arroyo,1
276,,Jairo Reyes,1
277,,Jackson Rodríguez,8
278,,Maikel Valencia,22
279,,Mauricio Alonso,29
280,,Cristian Pellerano,21
281,,Marlon Medranda,22
282,,Bryan Carabalí,17
283,,Ronny Borja,12
284,,Carlos Feraud,14
285,,Rodrigo Rivas González,23
286,,Ariel Garcia,12
287,,Bruno Téliz,21
288,,Andres Campas,10
289,,Mario Pineida,20
290,,Pablo Cifuentes,27
291,,José Luis Angulo,16
292,,Erick Castillo,23
293,,Bryan Tana,19
294,,Enson Rodriguez,14
295,,Henry Mercado,6
296,,Janus Vivar,8
297,,Rodrigo Melo,27
298,,Jonathan Borja,15
299,,Enzo Ariel Fernandez,7
300,,Roberto Garcés,27
301,,Fidel Martínez,10
302,,Leonardo Villagra,9
303,,Patrik Mercado,23
304,,Diego Ávila,14
305,,Rommel Tapia,26
306,,Jhon Narvaez,23
307,,Charles Vélez,26
308,,Óscar Quiñónez,25
309,,Glendys Mina,25
310,,Dany Coronel,25
311,,Angelo Mina,19
312,,Orlin Quinonez,18
313,,Stalin Morocho,26
314,,Bryan Rivera,26
315,,Pedro Perlaza,21
316,,Jhon Sánchez,22
317,,Jhoanner Chávez,15
318,,Allen Obando,6
319,,Jairon Charcopa,3
320,,Kevin Mercado,6
321,,Robinson Requene,17
322,,Daniel Patino,23
323,,Carlos Cuero,24
324,,Ronald Briones,11
325,,Jonathan Bauman,25
326,,Luis Gustavino,19
327,,Rommel Cabezas,4
328,,Gregori Anangonó,22
329,,Jesús Preciado,29
330,,Milton Bolaños,17
331,,Cristian Enciso,22
332,,Eddie Guevara,20
333,,Edwin Mesa,25
334,,José Carabalí,23
335,,Segundo Portocarrero,26
336,,Luis Romero,8
337,,Jostin Alman,21
338,,Bruno Piñatares,18
339,,Carlos Villalba,20
340,,Federico Vietto,10
341,,Yardely Rodriguez,22
342,,Juan Diego Rojas Caicedo,16
343,,Beder Caicedo,15
344,,Juan Alvacete,15
345,,Klebinho,27
346,,Luis Aldair Arroyo Cabeza,4
347,,Jefferson Montero,13
348,,Erick Zambrano,4
349,,Kleber Pinargote Lara,4
350,,Bleiner Agrón,9
351,,Óscar Villalba,10
352,,Gustavo Asprilla,20
353,,Cristhian Valencia,21
354,,Wiston Fernández,30
355,,Sergio Quintero,15
356,,Davis Camacho,10
357,,Andres Arroyo,23
358,,Roberto Ordóñez,15
359,,Walberto Caicedo,9
360,,Franco Costa,7
361,,Jose Klinger,2
362,,Michael Mieles,2
363,,Mathías Solís,3
364,,Silvano Estacio,3
365,,Armando Calle,1
366,,Ariel Fernando Alcivar,1
367,,Adrián Bone,2
368,,Piero Guzmán,2
369,,Ignacio Valsagiácomo,15
370,,Joffré Escobar,9
371,,Walter Chalá,12
372,,Cristian Duma,9
373,,Darwin Suarez,26
374,,Bryan Nazareno,17
375,,Daniel Segura,8
376,,Esnaider Cabezas,9
377,,Jean Carrion,10
378,,Manuel Núñez,6
379,,Richard Farias,11
380,,Ángel González,10
381,,Denis Rodríguez,13
382,,Cristian Sención,5
383,,Eder Cetre,5
384,,Sergio Vasquez,6
