#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
101,,Alan Minda,0,0.33,0,0.17,0,0.33
102,,Tomás Oneto,1.14,1,0,2.79,0,0.21
103,,Thiago Serpa,1.71,1.07,0,0.5,0,0.36
104,,Sergio Gonzalez,0.67,0.17,0,0.33,0,0.5
105,,Edison Caicedo,1.9,0.55,0.1,0.85,0,1.1
106,,Jordan Rezabala,1,0.57,0,0.1,0,0.62
107,,Gabriel Cortez,0.13,0.08,0,0.04,0,0.21
108,,Jhon Cifuente,0.04,0,0,0.25,0,0.14
109,,Jerry Parrales,1.48,1.76,0.08,3.2,0.04,1.08
110,,Jhojan Julio,1.04,0.15,0,0.19,0,0.3
111,,Bryan García,2.57,0.43,0,0.14,0,0.86
112,,Alexis Rodríguez,0.63,0.2,0,0.3,0,0.4
113,,Jan Hurtado,0.3,0,0,0.7,0,0.1
114,,Jhon Ontaneda,1.67,1.48,0,4.3,0,0.7
115,,Dennis Corozo,0.08,0,0,1.15,0,0
116,,Agustín Rodríguez,0.4,0,0,0.1,0,0.1
117,,Juan Ruiz Gómez,1.14,0.93,0.03,0.55,0,0.66
118,,Gabriel Achilier,1.07,0.9,0.07,2.66,0,0.28
119,,Eber Caicedo,0.4,0.1,0,0,0,0.2
120,,Juan Anangonó,0,0,0,0.27,0,0
121,,Joao Quinones,0.91,0.55,0,4.91,0,0.45
122,,Byron Angulo,0.64,0.36,0,0.18,0,0.25
123,,Robert Burbano,0.76,0.72,0.03,0.17,0,0.59
124,,Jorge Ordóñez,0.42,0.04,0,0.08,0,0.08
125,,Bryan Ramirez,0.68,0.8,0.04,0.8,0,0.12
126,,Ángel Gracia,0,0.33,0,1,0,0
127,,Andrés Sánchez,0.13,0,0,0,0,0.13
128,,Jorge Gongora,2.41,1.55,0,0.95,0,1.05
129,,Cristian García,3,1,0.08,2.15,0,0.92
130,,Matías Fernández,0.45,0.4,0.05,0.6,0,0.1
131,,Luca Sosa,0.97,0.76,0.03,3.34,0,0.14
132,,Elian Carabali,0.42,0,0,0.08,0,0
133,,Sebastián González,0.77,0.32,0,0.05,0,0.18
134,,Joseph Espinoza,1,0.47,0,0.47,0,0.42
135,,Luis Castillo,1.09,0.91,0,0.91,0,0.55
136,,Victor Mendoza,0.25,0,0,0.63,0,0
137,,Leonai Souza de Almeida,2.29,1.5,0,0.67,0,0.71
138,,Dennis Quintero,0.8,1.36,0.08,4.44,0,0.4
139,,Kelvin Osorio,0.5,0.3,0,0,0,0.3
140,,Jesús Trindade,1.67,0.6,0,0.73,0,0.47
141,,Juan Nazareno,0.33,0.5,0,0.33,0,0.33
142,,Wilman Pabón,0,0,0,1.4,0,0
143,,Francisco Gatti,0.25,0.08,0,0.17,0,0.25
144,,Rolando David Silva,0.03,0,0.03,1.03,0.03,0
145,,Leonel Quiñónez,0.57,0.74,0,1.04,0,0.3
146,,Facundo Rivero,1.57,1.38,0.1,2.67,0,0.62
147,,Christian Ortíz,1.08,0.72,0.04,0.12,0,0.32
148,,David Noboa,1.47,0.53,0,0.79,0,0.79
149,,Angel Quiñonez,0.18,0.06,0,0.18,0,0.18
150,,Arián Pucheta,1.61,1.7,0,3.83,0,0.52
151,,Esteban Davila,0.96,0.31,0,0.46,0,0.27
152,,Renny Jaramillo,2.07,1.39,0,1.36,0,1.14
153,,Marcos Andrés López,1.57,0.9,0,1.37,0,0.73
