#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
81,,Christian Alemán,0,0,29,89.66,5,100
82,,Alex Capuz,0,0,7,71.43,3,0
83,,Lisandro Alzugaray,0.07,0,20,80.67,7.1,71.19
84,,Juan Carlos Paredes,0.07,0.07,33,74.92,6.14,50.63
85,,Carlos Rodríguez,0,0.04,29.81,77.64,2.15,46.15
86,,Aníbal Leguizamón,0,0,44.31,81.16,3,47.39
87,,Jhonnier Chala,0,0.07,19.3,66.79,2.78,44.62
88,,Alejandro Cabeza,0.07,0.07,15.87,76.05,5.07,60
89,,Arnaldo Zambrano,0,0,37.43,87.4,11.29,75
90,,Paolo Guerrero,0,0,14.62,80,5.85,50
91,,Moisés Ramírez,0,0,30.91,84.67,0.65,48.65
92,,Jose Enrique Angulo,0.14,0.09,10.55,76.72,4.36,80
93,,Alexis Villa,0,0,26.6,75.19,0.8,30.23
94,,Franklin Guerra,0.03,0,44.9,85.87,2.79,56.92
95,,Cristhian Solano,0.1,0.1,19.73,73.14,5.67,51.43
96,,Diego Ledesma,0.04,0.04,8,72.6,2.46,57.14
97,,Nicolas Sottile,0,0,37,68.92,5,52.38
98,,Caín Fara,0,0,34.33,74.51,4.83,39.47
99,,Nixon Molina,0,0,19,76.2,6.78,46.27
100,,Elvis Patta,0.2,0.07,24.63,70.5,7.1,44
101,,Alan Minda,0,0,8.67,82.69,3.17,80
102,,Tomás Oneto,0,0,35.36,85.45,2.79,60.19
103,,Thiago Serpa,0.14,0,34.36,87.94,3.86,53.13
104,,Sergio Gonzalez,0.17,0.1,16.07,71.78,4.6,46.81
105,,Edison Caicedo,0,0,33.1,85.5,4.35,67.33
106,,Jordan Rezabala,0.1,0.05,25.33,82.14,7.29,65.52
107,,Gabriel Cortez,0,0.17,16.04,77.4,5.04,68.97
108,,Jhon Cifuente,0.14,0.07,7.18,69.65,2.21,69.23
109,,Jerry Parrales,0.08,0.08,26.2,64.73,4.8,37.91
110,,Jhojan Julio,0.3,0.11,25.74,82.88,10.37,60.61
111,,Bryan García,0,0,32,84.38,9.71,50
112,,Alexis Rodríguez,0.13,0.17,11.6,73.56,3.53,38.46
113,,Jan Hurtado,0.2,0.1,2.6,76.92,0.8,100
114,,Jhon Ontaneda,0.04,0.04,39.04,79.13,3.67,46.63
115,,Dennis Corozo,0,0,17.38,55.31,0.62,42.44
116,,Agustín Rodríguez,0,0,6.5,63.08,1.3,0
117,,Juan Ruiz Gómez,0.07,0.07,27.69,77.09,8.24,45.45
118,,Gabriel Achilier,0,0,37.14,78.92,3,44.44
119,,Eber Caicedo,0,0,5,60,1.5,33.33
120,,Juan Anangonó,0.18,0,6.27,69.57,1.82,100
121,,Joao Quinones,0,0,25.27,76.26,1.64,46.67
122,,Byron Angulo,0.07,0.07,14.21,73.12,3.86,62.16
123,,Robert Burbano,0.03,0.03,30.24,80.84,9.34,66.67
124,,Jorge Ordóñez,0.13,0.08,11.13,70.04,3.67,40
125,,Bryan Ramirez,0.16,0.04,29.6,87.3,7.96,70.69
126,,Ángel Gracia,0,0,22.67,82.35,4,60
127,,Andrés Sánchez,0,0,7.63,85.25,4.13,80
128,,Jorge Gongora,0,0,38,83.49,6.09,59.48
129,,Cristian García,0.04,0,28.04,71.47,4.92,44.32
130,,Matías Fernández,0.15,0.15,31.7,81.7,9.55,66.13
131,,Luca Sosa,0.14,0.07,42.14,77.74,2.62,45.03
132,,Elian Carabali,0.08,0.08,4.5,72.22,1.17,42.86
133,,Sebastián González,0.23,0.05,25.59,86.32,7.18,72.22
134,,Joseph Espinoza,0.05,0,39.05,85.44,4.26,56.32
135,,Luis Castillo,0.18,0.09,12.55,73.19,2.36,28
136,,Victor Mendoza,0,0,18.75,61.33,1,41.67
137,,Leonai Souza de Almeida,0.04,0,36.46,85.83,5.75,71.43
138,,Dennis Quintero,0.04,0.04,28.08,74.22,1.6,43.59
139,,Kelvin Osorio,0.1,0.2,14.7,77.55,5.1,71.43
140,,Jesús Trindade,0,0.07,33.93,81.14,5.87,60.29
141,,Juan Nazareno,0.17,0,15,83.33,4.5,20
142,,Wilman Pabón,0,0,16.3,74.85,1.1,48.05
143,,Francisco Gatti,0.08,0.08,12.17,76.71,3.17,38.46
144,,Rolando David Silva,0,0,27.8,70.86,1.57,48.21
145,,Leonel Quiñónez,0.04,0,33,82.35,5.78,50.39
146,,Facundo Rivero,0.05,0.05,27.52,71.11,2.9,50.63
147,,Christian Ortíz,0.08,0.08,17.6,72.27,4.32,52.5
148,,David Noboa,0,0,21.84,82.41,3.21,59.02
149,,Angel Quiñonez,0,0,8.53,66.9,3.12,22.22
150,,Arián Pucheta,0.04,0.04,27.26,73.21,2.3,47.49
151,,Esteban Davila,0.04,0.08,12.92,77.08,2.23,36.67
152,,Renny Jaramillo,0.11,0.11,29.39,78.13,5.04,39.02
153,,Marcos Andrés López,0.07,0.03,35.23,79.47,7.03,43.75
154,,Kevin Rodriguez,0.06,0,7.56,81.82,3.31,80
