#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
92,,Jose Enrique Angulo,0,0.05,0,0,0.36,0.05
93,,Alexis Villa,2.4,0.4,0.6,0.2,0.8,0.4
94,,Franklin Guerra,0,0.34,0,0,1.07,0.07
95,,Cristhian Solano,0,0.07,0,0,0.73,0.3
96,,Diego Ledesma,0,0.04,0,0,0.96,0.12
97,,Nicolas Sottile,0,0.25,0,0,0.75,0
98,,Caín Fara,0,0.42,0,0,0.75,0.25
99,,Nixon Molina,0,0.09,0,0,0.39,0
100,,Elvis Patta,0,0.27,0,0,0.8,0.1
101,,Alan Minda,0,0,0,0,0.33,0
102,,Tomás Oneto,0,0.29,0,0,1.5,0.07
103,,Thiago Serpa,0,0.07,0,0,1.21,0.14
104,,Sergio Gonzalez,0,0.1,0,0,1.13,0.17
105,,Edison Caicedo,0,0.3,0,0,0.8,0.2
106,,Jordan Rezabala,0,0.05,0,0,0.81,0.14
107,,Gabriel Cortez,0,0.04,0,0,0.54,0.04
108,,Jhon Cifuente,0,0,0,0,0.54,0.04
109,,Jerry Parrales,0,0.16,0,0,1.32,0.12
110,,Jhojan Julio,0,0.11,0,0,0.41,0.04
111,,Bryan García,0,0.29,0,0,0.43,0
112,,Alexis Rodríguez,0,0,0,0,0.7,0.17
113,,Jan Hurtado,0,0,0,0,0.1,0
114,,Jhon Ontaneda,0,0.19,0,0,1.41,0.19
115,,Dennis Corozo,2.62,0.46,0.15,0,1.23,0.08
116,,Agustín Rodríguez,0,0,0,0,0.3,0
117,,Juan Ruiz Gómez,0,0.21,0,0,0.83,0.17
118,,Gabriel Achilier,0,0.31,0,0,0.9,0.28
119,,Eber Caicedo,0,0,0,0,0.5,0
120,,Juan Anangonó,0,0,0,0,0.45,0.27
121,,Joao Quinones,0,0.36,0,0,0.91,0.09
122,,Byron Angulo,0,0,0,0,0.46,0
123,,Robert Burbano,0,0.21,0,0,0.9,0.28
124,,Jorge Ordóñez,0,0.13,0,0,0.88,0.08
125,,Bryan Ramirez,0,0.28,0,0,0.24,0.08
126,,Ángel Gracia,0,0,0,0,0.67,0
127,,Andrés Sánchez,0,0,0,0,0.25,0
128,,Jorge Gongora,0,0.18,0,0,1.82,0.18
129,,Cristian García,0,0.31,0,0,0.96,0.15
130,,Matías Fernández,0,0.25,0,0,0.8,0.05
131,,Luca Sosa,0,0.34,0,0,1,0.1
132,,Elian Carabali,0,0,0,0,0.5,0
133,,Sebastián González,0,0.14,0,0,0.09,0.14
134,,Joseph Espinoza,0,0.16,0,0,0.47,0
135,,Luis Castillo,0,0.18,0,0,0,0
136,,Victor Mendoza,3.13,0.25,0.5,0.13,1.38,0.25
137,,Leonai Souza de Almeida,0,0.25,0,0,1.08,0.13
