#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
106,,Jordan Rezabala,0.1,0.14,54.35,1.19,0.1,0
107,,Gabriel Cortez,0.21,0.04,40.91,1.5,0,0
108,,Jhon Cifuente,0.39,0.14,40,1.57,0,0
109,,Jerry Parrales,0.04,0,64.29,1.08,0,0
110,,Jhojan Julio,0.15,0.11,50,1.37,0,0
111,,Bryan García,0,0.14,57.14,1.57,0,0
112,,Alexis Rodríguez,0.17,0.23,44,1.63,0,0
113,,Jan Hurtado,0.3,0.2,25,1,0.2,0
114,,Jhon Ontaneda,0,0.07,50,0.41,0,0
115,,Dennis Corozo,0,0,0,0,0,0
116,,Agustín Rodríguez,0.3,0,0,1.1,0,0
117,,Juan Ruiz Gómez,0.14,0,45.45,1.31,0.03,0
118,,Gabriel Achilier,0.07,0,75,0.52,0.03,0
119,,Eber Caicedo,0.2,0.1,25,0.9,0,0
120,,Juan Anangonó,0.27,0.09,66.67,1.27,0,0
121,,Joao Quinones,0,0,50,1.09,0,0
122,,Byron Angulo,0.18,0.04,61.54,1.39,0,0
123,,Robert Burbano,0.14,0.1,48.78,1.1,0,0
124,,Jorge Ordóñez,0.33,0.08,52,2.29,0,0
125,,Bryan Ramirez,0,0.08,60,0.44,0,0
126,,Ángel Gracia,0,0,100,1.67,0,0
127,,Andrés Sánchez,0,0,100,0.25,0,0
128,,Jorge Gongora,0,0.05,50,0.27,0,0
129,,Cristian García,0,0,77.78,0.23,0,0
130,,Matías Fernández,0,0,38.46,0.3,0,0
131,,Luca Sosa,0.07,0,0,0.31,0.03,0
132,,Elian Carabali,0.33,0,0,1.33,0.08,0
133,,Sebastián González,0.05,0.09,40,1.09,0,0
134,,Joseph Espinoza,0,0,88.89,0.53,0,0
135,,Luis Castillo,0,0,50,0.55,0,0
136,,Victor Mendoza,0,0,0,0,0,0
137,,Leonai Souza de Almeida,0,0,57.14,0.21,0,0
138,,Dennis Quintero,0,0,57.14,0.6,0,0
139,,Kelvin Osorio,0,0,71.43,0.6,0,0
140,,Jesús Trindade,0.07,0,60,0.53,0,0
141,,Juan Nazareno,0,0,100,0,0,0
142,,Wilman Pabón,0,0,0,0,0,0
143,,Francisco Gatti,0.08,0,40,1.5,0,0
144,,Rolando David Silva,0,0,0,0,0,0
145,,Leonel Quiñónez,0.04,0,25,0.83,0,0.62
146,,Facundo Rivero,0.14,0,25,0.86,0,1.19
147,,Christian Ortíz,0.04,0,48.15,1.08,0,0
148,,David Noboa,0.05,0.05,83.33,0.68,0,0
149,,Angel Quiñonez,0.29,0.12,50,1.53,0,0
150,,Arián Pucheta,0,0,100,0.13,0,0
151,,Esteban Davila,0.15,0.08,25,0.88,0.04,0
152,,Renny Jaramillo,0.04,0,43.75,0.71,0,0
153,,Marcos Andrés López,0.03,0.03,61.54,0.47,0,0
154,,Kevin Rodriguez,0.25,0.06,51.43,2.06,0,0
155,,Anderson Naula,0.1,0.1,40.91,1.03,0.03,0
156,,David Ribeiro Pereira,0,0,60,1,0,0
157,,Joel Quintero,0,0,0,0,0,0
158,,Byron Mina,0,0.25,33.33,1,0,0
159,,Aubrey David,0,0,0,0.67,0,0
160,,Ethan Minda,0,0,0,0,0,0
161,,Johan Lara,0,0,0,0,0,0
162,,Rooney Troya,0,0,0,0,0,0
163,,Jair Castillo,0,0,75,0.33,0,0
164,,Janner Corozo,0.15,0.11,26.67,1.26,0.07,0
165,,Carlos Arboleda,0.08,0,57.89,1.12,0,0
166,,Richard Calderón,0.12,0,41.67,1.76,0.04,0.21
167,,Maikel Reyes,0.05,0.05,46.15,0.18,0,0
168,,Eddy Mejía,0,0,80,0.67,0,0
169,,Diego Armas,0.09,0.09,44.44,1.55,0,0
170,,Walter Hinostroza,0,0,0,0,0,0
171,,Jean Carlos Montaño,0,0,60.87,0,0,0
172,,Steven Tapiero,0.13,0.08,45.45,1.13,0.04,0
173,,Pedro Velasco,0,0,42.86,0.46,0,0
174,,Vinicio Angulo,0.12,0.06,60,1.18,0,0
175,,José Alberti,0,0,50,0.55,0,0
176,,Guillermo Fratta,0,0,0,1,0,0
177,,Madison Julio,0.05,0,66.67,0.76,0,0
178,,Edison Vega,0,0,50,0.44,0,0
179,,Jefferson Nazareno,0.11,0,50,0.33,0.11,0
180,,Darío Aimar,0,0,0,0.11,0,0
181,,Cristian Colmán,0.15,0.23,28.57,1.92,0.08,0
182,,Darlin Leiton,0,0,50,1,0,0
183,,Davor Montiel,0,0,0,0.75,0,0
184,,Juan Bolado,0,0,0,0,0,0
185,,Carlos Uvilde Sanchez Esmeraldas,0,0,0,0,0,0
186,,Daniel Porozo,0.19,0.11,65,2.07,0,0
187,,Lautaro Díaz,0.17,0,41.67,1.74,0.09,0
188,,Mateo Carabajal,0,0,71.43,0.13,0,0
189,,Bryan Rodriguez,0.08,0,55.56,0.67,0.08,0
190,,Daniel Mejia,0,0,100,0,0,0
191,,Layan Loor,0,0,34.38,0.46,0,0
192,,Edison Carcelen,0,0,66.67,0.41,0,0
193,,Cristian Penilla,0.06,0,46.67,1.11,0,0
194,,Christian Oña,0,0,50,0.75,0,0
195,,Vilinton Branda,0.13,0,62.5,1.73,0.07,0
196,,Bryan Oña,0.2,0.2,50,1.2,0,0
197,,Manu Balda,0.12,0.06,72.73,1.18,0.06,0
198,,Jimmy Mina,0,0.08,53.33,0.5,0,0
199,,Nicolás Goitea,0.07,0,54.55,0.39,0,0
200,,Jhonny Quiñónez,0.05,0.05,60,0.81,0,0
201,,Joshue Quinonez,0,0,0,0.11,0,0
202,,Renny Sinisterra,0.25,0,40.91,1.11,0.07,0
203,,Agustin Maziero,0.2,0.13,40.74,1.7,0.07,0
204,,Sebastián Assis,0.07,0,46.67,0.77,0.03,0
205,,Fernando Gaibor,0.04,0,57.14,1.04,0,0
206,,Sergio Sosa,0,0,75,0.8,0,0
207,,Gustavo Cortez,0,0.06,58.33,0.31,0,0
208,,Manuel Corozo,0,0,0,0,0,0
209,,Mayckel Uriarte,0,0,0,0,0,0
210,,Jefferson Caicedo,0.16,0.05,50,0.74,0,0
211,,Wilter Ayovi,0.07,0.14,73.33,1.57,0,0
212,,Joao Ortíz,0,0,64.71,0.5,0,0
213,,Danny Luna,0.08,0.38,0,0.92,0,0
214,,Marcelo Moreno,0.2,0.25,75,1.8,0.1,0
215,,Ousmane N’Dong,0.05,0.05,50,0.4,0,0
216,,Kevin Becerra,0,0,66.67,0.41,0,0
217,,Roger Arias,0,0,65.38,0.52,0,0
218,,Daniel Clavijo,0.11,0,40.91,0.84,0,0
219,,Yaimar Medina,0.06,0.17,38.46,1.67,0,0
220,,Andrés Felipe Ávila,0.13,0.04,45.45,0.75,0,0
221,,Tommy Chamba,0,0,33.33,0.65,0,0
222,,Luciano Recalde,0,0,100,0.32,0,0
223,,José Andrade,0.04,0.04,25,0.83,0,0
224,,Ronald Perlaza,0.1,0,63.16,1.3,0,0
225,,Francisco Mera,0.04,0,51.85,0.96,0,0
226,,Adolfo Muñoz,0.09,0.04,21.43,0.74,0,0
227,,David Cabezas,0,0,100,0,0,0
228,,Luis Caicedo,0.03,0,60,0.1,0,0
229,,Jean Humanante,0,0,50,0.58,0,0
230,,Jordan Chillambo,0,0,77.27,0.67,0,0
231,,Jalmar Almeida,0,0,42.86,0.47,0,0
232,,Dixon Arroyo,0,0,0,1.33,0,0
233,,Jonnathan Mina,0,0.04,47.06,0.32,0,0
234,,Onofre Mejia,0.04,0,80,0.65,0,0
235,,Steven Gomez,0.08,0.08,100,1.17,0,0
236,,Olmes García,0,0.1,0,1.3,0,0
237,,Lucas Ontivero,0.14,0,33.33,0.86,0,0
238,,Nicolás Previtali,0,0,77.78,1.09,0,0
239,,Yilmar Filigrana,0,0.07,55.56,1.21,0,0
240,,Richard Mina,0,0,0,0.08,0,0
241,,Jimmy Evans,0.07,0.11,35.71,1.15,0,0
242,,Kevin Velasco,0,0,0,0.17,0,0
243,,Enzo López,0.15,0.12,100,0.88,0,0
244,,Jean Carlos Estacio,0,0,43.75,1,0,0
245,,Jose Caicedo,0,0,50,0,0,0
246,,Henry Patta,0.04,0.15,55,1.3,0,0
247,,Darwin Torres,0,0,50,0,0,0
248,,Michael Rangel,0,0.14,50,1.57,0,0
249,,José Hernández,0,0,50,0.07,0,0
250,,Jorge Pinos,0,0,66.67,0.05,0,0
251,,Alejandro Gabriel Quintana,0.13,0,25,0.75,0.13,0
252,,John Medina,0,0,66.67,0.38,0,0
253,,Ariel Almagro,0.06,0.12,30,0.94,0,0
254,,Walter Chavez,0,0,100,0,0,0
255,,Diego Hurtado,0.07,0.07,100,0.36,0.07,0
256,,Wilker Ángel,0,0,0,0.27,0,0
257,,Cristian Martínez,0.12,0.04,31.58,0.92,0.08,0
258,,Marco Alexander Carrasco Bonilla,0.14,0,50,0.29,0,0
259,,Ronny Biojo,0,0,88.89,0.18,0,0
260,,Darwin Estuardo Quilumba Diaz,0,0,25,0.11,0,0
261,,Marco Montaño,0,0,42.86,0.63,0,0
262,,Adonis Preciado,0.14,0.05,41.46,0.95,0,0
263,,Alex Rangel,0.05,0,33.33,0.41,0.05,0
264,,Romario Caicedo,0,0,46.15,0.62,0,0
265,,Patrickson Delgado,0,0.33,33.33,1.33,0,0
266,,Bryan Elian Vinan Rodriguez,0,0,0,0.78,0,0
267,,Derlis Mereles,0,0,100,1,0,0
268,,Álvaro Preciado,0,0,0,0,0,0
