Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Maxime Hautbois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,32.33,56.7,1.0,43.06,2.33,0.67,0.0,0.0,0.33,0.33,0.33,0.0,100.0,100.0,0.0,0.0,3,3,1,Francia Liga 2,3
Morgan Guilavogui,0.47,0.31,49.02,2.34,0.06,1.04,1.19,0.28,0.0,0.69,0.0,0.75,0.28,0.09,24.56,72.65,8.47,58.33,0.0,0.06,0.0,0.0,0.84,0.09,0.25,0.0,52.5,43.26,0.88,2.0,32,2,4,Francia Liga 2,3
Youssef Maziz,0.28,0.1,33.33,1.62,0.1,0.0,0.52,0.34,0.0,0.62,0.0,0.69,0.34,0.17,33.69,78.71,8.97,53.52,0.0,0.1,0.0,0.0,0.38,0.07,0.03,0.0,47.22,38.27,0.9,0.93,29,2,3,Francia Liga 2,3
Niels Nkounkou,0.3,0.05,37.78,2.05,0.1,0.0,2.6,0.8,0.0,1.0,0.0,1.1,0.5,0.35,29.4,69.39,7.1,53.95,0.0,0.2,0.0,0.0,1.05,0.15,0.2,0.0,74.19,47.83,0.6,1.45,20,1,3,Francia Liga 2,3
Stian Gregersen,0.03,0.06,57.14,0.29,0.03,0.0,1.63,1.4,0.0,3.4,0.0,0.17,0.0,0.0,60.83,89.29,3.49,42.92,0.0,0.46,0.0,0.0,0.4,0.2,0.14,0.0,65.42,65.49,1.11,1.17,35,2,2,Francia Liga 2,3
Boubakar Kouyaté,0.0,0.08,50.0,0.83,0.0,0.0,2.08,1.5,0.0,5.33,0.0,0.33,0.17,0.0,44.08,82.99,1.5,45.88,0.0,0.33,0.0,0.0,0.58,0.17,0.42,0.08,57.63,61.82,0.67,1.17,12,2,2,Francia Liga 2,3
Adrian Grbić,0.64,0.14,42.86,2.57,0.0,0.65,0.14,0.29,0.0,1.36,0.0,0.29,0.0,0.0,19.43,62.13,4.71,0.0,0.0,0.07,0.0,0.0,1.14,0.21,0.07,0.0,44.63,40.91,1.0,1.21,14,2,4,Francia Liga 2,3
Gaetan Weissbeck,0.16,0.13,56.25,2.75,0.0,0.42,1.78,0.5,0.03,0.41,0.0,1.16,0.25,0.16,53.5,85.69,15.34,63.8,0.0,0.22,0.0,0.0,1.0,0.0,0.22,0.0,36.92,44.83,1.0,1.28,32,2,3,Francia Liga 2,3
Massamba Ndiaye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.13,0.0,0.0,0.0,27.5,49.09,0.88,32.73,4.13,0.25,0.13,0.0,1.25,0.25,0.0,0.0,50.0,60.0,0.13,0.0,8,1,1,Francia Liga 2,3
Sébastien Salles-Lamonge,0.08,0.05,52.73,0.84,0.0,0.0,1.46,0.68,0.0,0.14,0.0,0.97,0.32,0.19,43.73,80.96,11.14,58.68,0.0,0.11,0.0,0.0,1.05,0.16,0.16,0.0,34.29,46.78,1.16,1.03,37,2,3,Francia Liga 2,3
Victor Lekhal,0.16,0.16,78.95,0.62,0.0,0.0,1.65,2.05,0.0,1.3,0.0,1.03,0.08,0.0,58.7,85.04,9.11,67.27,0.0,0.46,0.0,0.0,0.49,0.03,0.16,0.0,59.5,58.01,0.89,0.95,37,2,3,Francia Liga 2,3
Brice Maubleu,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.66,0.03,0.0,0.0,0.0,25.97,56.64,0.39,34.78,3.32,0.39,0.18,0.05,0.87,0.08,0.03,0.0,92.31,94.12,0.13,0.0,38,3,1,Francia Liga 2,3
Ilan Kebbal,0.16,0.12,53.73,1.44,0.04,0.0,0.96,0.2,0.0,0.08,0.0,0.92,0.32,0.28,31.04,82.47,9.84,66.33,0.0,0.08,0.0,0.0,0.68,0.08,0.0,0.0,12.5,51.94,1.84,0.44,25,2,4,Francia Liga 2,3
Arouna Sangante,0.09,0.03,66.67,0.43,0.0,0.0,0.74,1.2,0.0,2.8,0.03,0.26,0.03,0.03,69.89,88.68,3.77,56.13,0.0,0.57,0.0,0.0,0.43,0.03,0.31,0.0,56.52,54.9,1.29,1.43,35,1,2,Francia Liga 2,3
Ismaël Aaneba,0.0,0.0,100.0,0.27,0.0,0.0,2.17,1.67,0.03,3.9,0.0,0.53,0.03,0.03,67.9,86.65,3.83,57.45,0.0,0.37,0.0,0.0,0.93,0.03,0.23,0.0,60.23,59.91,0.43,1.17,30,1,2,Francia Liga 2,3
Aron van Lare,0.17,0.0,87.5,0.17,0.0,0.0,1.67,1.0,0.0,1.5,0.0,0.33,0.0,0.0,33.83,77.34,2.83,34.21,0.0,0.33,0.0,0.0,0.67,0.17,0.0,0.0,75.0,80.43,2.33,0.33,6,1,1,Francia Liga 2,3
Nabil Alioui,0.21,0.14,44.44,1.54,0.0,0.0,0.89,0.43,0.0,0.39,0.0,0.54,0.21,0.11,18.21,74.71,5.5,43.75,0.0,0.0,0.0,0.0,0.32,0.04,0.07,0.0,37.5,42.67,1.07,0.96,28,1,4,Francia Liga 2,3
Paul Joly,0.0,0.0,54.17,0.58,0.0,0.0,3.05,2.16,0.0,1.42,0.0,1.21,0.05,0.0,44.32,72.92,6.89,42.45,0.0,0.26,0.0,0.0,0.74,0.32,0.11,0.0,60.71,62.62,1.74,1.0,19,1,2,Francia Liga 2,3
Alexandre Mendy,0.51,0.35,50.0,2.54,0.14,0.0,0.41,0.03,0.0,0.76,0.0,0.27,0.08,0.14,19.84,66.89,5.41,77.36,0.0,0.11,0.0,0.0,0.68,0.24,0.19,0.0,54.62,49.0,1.27,1.32,37,2,4,Francia Liga 2,3
Valentine Ozornwafor,0.0,0.67,0.0,0.67,0.0,0.0,1.33,0.0,0.0,1.67,0.0,0.33,0.0,0.0,35.67,84.11,1.33,60.0,0.0,0.33,0.0,0.0,0.33,0.0,0.33,0.0,56.25,56.52,0.0,0.67,3,1,2,Francia Liga 2,3
Antonin Bobichon,0.26,0.0,67.57,1.37,0.05,0.0,1.37,0.74,0.0,0.63,0.0,1.42,0.11,0.05,32.53,78.96,9.84,60.0,0.0,0.0,0.0,0.0,0.74,0.32,0.26,0.0,26.92,45.78,0.95,1.0,19,2,3,Francia Liga 2,3
Malcom Bokele,0.07,0.1,21.43,0.38,0.03,0.0,1.62,2.66,0.0,2.34,0.03,0.48,0.14,0.0,41.21,77.32,4.55,47.77,0.0,0.41,0.0,0.0,0.38,0.14,0.07,0.03,78.08,62.67,1.21,1.17,29,1,2,Francia Liga 2,3
Jordan Poha,0.0,0.0,66.67,0.22,0.0,0.0,1.44,0.67,0.0,4.56,0.0,0.44,0.0,0.11,45.78,86.89,2.67,57.14,0.0,0.44,0.0,0.0,0.78,0.22,0.22,0.0,69.57,66.67,0.11,0.44,9,1,2,Francia Liga 2,3
Mohamed Kaba,0.16,0.13,55.36,0.94,0.03,0.0,2.88,2.09,0.0,1.41,0.0,0.97,0.03,0.03,41.97,81.76,6.66,60.0,0.0,0.22,0.0,0.0,1.09,0.19,0.19,0.0,49.64,54.58,2.03,1.63,32,1,3,Francia Liga 2,3
Gautier Larsonneur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.71,0.03,0.03,0.0,0.0,27.5,63.44,1.16,37.56,3.34,0.34,0.16,0.0,0.92,0.13,0.08,0.0,88.24,84.62,0.24,0.03,38,2,1,Francia Liga 2,3
Issiar Drame,0.17,0.0,0.0,0.33,0.17,0.0,1.0,0.83,0.0,3.0,0.0,0.0,0.0,0.0,28.5,86.55,0.83,36.84,0.0,0.5,0.0,0.0,0.33,0.0,0.17,0.0,70.59,56.1,0.83,2.0,6,1,2,Francia Liga 2,3
Bilal Boutobba,0.31,0.14,47.13,2.23,0.03,0.29,0.8,0.49,0.0,0.14,0.0,0.6,0.49,0.14,34.54,77.58,8.43,57.04,0.0,0.11,0.0,0.0,1.34,0.2,0.17,0.0,23.26,44.3,2.29,0.66,35,2,3,Francia Liga 2,3
Josh Maja,0.43,0.38,51.22,2.05,0.0,0.0,0.57,0.62,0.0,0.27,0.0,0.76,0.22,0.16,21.86,76.02,6.32,55.88,0.0,0.05,0.0,0.0,0.35,0.16,0.08,0.0,47.37,45.42,1.14,0.81,37,1,4,Francia Liga 2,3
Mamadou Fofana,0.0,0.0,50.0,0.09,0.0,0.0,3.26,1.71,0.03,3.63,0.0,1.14,0.0,0.0,51.46,84.23,3.91,53.98,0.0,0.26,0.0,0.0,1.26,0.06,0.11,0.0,42.47,59.27,0.37,0.71,35,1,3,Francia Liga 2,3
Romain Thomas,0.11,0.03,33.33,0.89,0.05,0.0,1.27,1.43,0.05,3.16,0.0,0.54,0.0,0.03,59.81,83.6,5.05,60.73,0.0,0.22,0.0,0.0,0.89,0.22,0.27,0.0,67.36,62.73,0.7,1.0,37,3,2,Francia Liga 2,3
Jessy Benet,0.12,0.06,63.04,1.09,0.0,0.61,2.12,1.3,0.0,0.76,0.0,1.36,0.12,0.12,37.3,82.37,9.0,61.73,0.0,0.15,0.0,0.0,0.85,0.09,0.06,0.0,54.84,51.84,1.12,1.09,33,2,3,Francia Liga 2,3
Maxime Bernauer,0.03,0.0,85.71,0.26,0.03,0.0,0.97,1.97,0.03,2.4,0.0,0.57,0.09,0.09,58.89,86.17,5.57,56.17,0.0,0.31,0.0,0.0,0.89,0.11,0.11,0.0,46.34,56.6,0.71,0.4,35,2,2,Francia Liga 2,3
Vincent Demarconnay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,31.23,76.71,1.14,48.21,2.73,0.41,0.18,0.0,0.82,0.18,0.0,0.0,100.0,100.0,0.32,0.0,22,3,1,Francia Liga 2,3
Simon Elisor,0.38,0.29,55.56,2.29,0.05,0.0,0.62,0.1,0.0,1.14,0.0,0.24,0.1,0.1,17.19,65.1,4.57,75.0,0.0,0.1,0.0,0.0,0.81,0.29,0.05,0.0,42.37,46.65,2.43,1.81,21,1,4,Francia Liga 2,3
Abdoulaye Ndiaye,0.04,0.0,64.29,0.39,0.04,0.0,1.96,1.61,0.04,3.79,0.0,0.43,0.07,0.07,44.5,84.43,1.43,46.85,0.0,0.39,0.0,0.0,0.93,0.11,0.18,0.04,68.91,68.63,1.04,0.89,28,1,2,Francia Liga 2,3
Alexandre Olliero,0.0,0.0,100.0,0.0,0.0,0.0,0.1,0.05,0.0,1.05,0.0,0.05,0.0,0.0,27.25,60.18,1.45,41.0,3.05,0.3,0.1,0.0,1.05,0.15,0.05,0.0,92.31,89.47,0.15,0.0,20,2,1,Francia Liga 2,3
Anthony Briançon,0.04,0.04,75.0,0.67,0.04,0.0,1.13,1.63,0.0,3.67,0.0,0.63,0.04,0.0,60.17,89.54,3.13,69.35,0.0,0.29,0.0,0.0,0.96,0.08,0.21,0.04,62.35,61.36,1.04,0.75,24,2,2,Francia Liga 2,3
Matthieu Udol,0.08,0.03,47.14,0.74,0.0,0.0,1.76,1.92,0.0,2.24,0.0,0.71,0.08,0.13,43.34,81.18,7.53,31.14,0.0,0.42,0.0,0.0,0.68,0.18,0.05,0.0,47.5,52.26,0.74,0.76,38,2,2,Francia Liga 2,3
Julien Le Cardinal,0.08,0.0,52.63,0.31,0.0,0.0,2.15,2.69,0.0,1.92,0.0,1.15,0.15,0.0,41.15,81.12,7.23,54.24,0.0,0.38,0.0,0.0,0.92,0.0,0.23,0.0,53.66,51.33,1.31,1.77,13,2,2,Francia Liga 2,3
Abdoul Kader Bamba,0.29,0.14,50.0,1.29,0.0,0.0,0.5,0.07,0.0,0.07,0.0,0.07,0.0,0.0,22.0,79.87,6.71,50.0,0.0,0.0,0.0,0.0,0.64,0.07,0.21,0.0,50.0,60.98,1.93,0.64,14,2,4,Francia Liga 2,3
