Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Chuba Akpom,0.74,0.45,55.13,2.61,0.18,0.0,0.68,0.18,0.0,0.39,0.0,0.24,0.05,0.05,18.08,81.8,5.76,80.49,0.0,0.11,0.0,0.0,0.84,0.18,0.13,0.0,40.27,50.12,2.24,0.84,38,2,3,Inglaterra Championship,2
Charlie Cresswell,0.14,0.0,73.33,1.21,0.11,0.0,1.5,1.29,0.0,3.11,0.07,0.46,0.07,0.07,39.71,70.77,4.04,41.42,0.0,0.18,0.0,0.0,0.96,0.18,0.14,0.0,60.58,59.83,0.54,0.86,28,1,2,Inglaterra Championship,2
Josh Vickers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,23.0,55.07,6.33,54.41,2.67,0.33,0.33,0.33,1.0,0.0,0.0,0.0,100.0,100.0,0.33,0.0,3,2,1,Inglaterra Championship,2
Anel Ahmedhodžić,0.18,0.09,40.0,1.15,0.09,0.0,2.15,1.82,0.03,2.85,0.0,0.65,0.12,0.06,36.44,75.3,6.38,41.46,0.0,0.47,0.0,0.0,0.53,0.09,0.35,0.0,56.3,54.11,0.62,1.18,34,1,2,Inglaterra Championship,2
Ben Wilmot,0.08,0.08,63.64,0.87,0.03,0.0,1.9,1.74,0.03,3.28,0.0,0.49,0.05,0.0,52.69,75.23,6.26,47.05,0.0,0.31,0.0,0.0,0.9,0.13,0.15,0.0,52.73,59.95,0.64,0.51,39,1,2,Inglaterra Championship,2
Ilias Chair,0.13,0.15,46.67,2.43,0.0,0.5,0.78,0.45,0.0,0.25,0.0,0.55,0.3,0.23,34.53,81.54,13.25,44.68,0.0,0.03,0.0,0.0,1.15,0.13,0.05,0.0,21.05,38.8,0.53,0.55,40,2,3,Inglaterra Championship,2
Viktor Johansson,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,1.02,0.02,0.0,0.0,0.0,29.37,33.49,3.65,29.44,3.72,0.3,0.14,0.02,1.19,0.12,0.07,0.0,72.73,83.78,0.37,0.0,43,2,1,Inglaterra Championship,2
Iliman Ndiaye,0.3,0.22,61.2,1.52,0.04,0.0,1.52,0.46,0.0,0.11,0.0,0.48,0.22,0.22,22.54,82.26,8.72,48.0,0.0,0.17,0.0,0.0,0.65,0.07,0.13,0.0,19.57,47.89,1.59,1.04,46,1,4,Inglaterra Championship,2
Cameron Archer,0.55,0.1,47.73,1.85,0.05,0.0,0.25,0.05,0.0,0.1,0.0,0.35,0.25,0.3,16.2,80.56,5.8,50.0,0.0,0.1,0.0,0.0,0.8,0.05,0.05,0.0,4.35,29.85,0.65,0.9,20,1,4,Inglaterra Championship,2
Adama Traoré,0.08,0.0,70.0,0.83,0.0,0.0,1.0,0.33,0.0,0.17,0.0,0.83,0.5,0.17,24.92,85.95,7.5,100.0,0.0,0.17,0.0,0.0,0.92,0.0,0.0,0.0,41.67,56.0,2.08,0.42,12,2,4,Inglaterra Championship,2
