Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Luis Alberto,0.17,0.11,48.72,1.34,0,0,1.4,0.26,0,0.11,0,1.4,0.2,0.2,52.11,87.55,14.63,58.59,0,0.26,0,0,0.4,0.14,0.11,0,38.1,41.01,0.37,0.43,35
Nicolás Domínguez,0.1,0.03,68.42,1.35,0,0,2.55,0.68,0.03,0.77,0,1.19,0.13,0.06,43.97,83.71,9.48,61.86,0,0.13,0,0,0.94,0.06,0.32,0,57.81,55.95,1.03,1.39,31
Piotr Zieliński,0.08,0.03,43.14,1.43,0,0,0.46,0.38,0,0.16,0,0.35,0.32,0.22,38.7,87.5,13.89,60,0,0.03,0,0,0.49,0.08,0.08,0,23.53,46.43,0.95,0.57,37
Ivan Provedel,0,0,100,0,0,0,0.03,0,0,0.76,0.03,0,0,0,30.34,78.06,0.87,56.05,2.63,0.55,0.05,0,0.61,0.18,0.03,0,85.71,90.91,0.13,0,38
Bremer,0.13,0.2,42.86,1.07,0.13,0,0.97,1.4,0.03,3.83,0,0.23,0.1,0.03,55.43,90.2,1.8,57.69,0,0.4,0,0,1,0.03,0.2,0,61.24,56.22,0.37,0.97,30
Chris Smalling,0.09,0.06,66.67,0.53,0.09,0,0.81,1.34,0,3.84,0,0.25,0.03,0.03,41.84,87.45,1.53,54.89,0,0.38,0,0,0.75,0.09,0.22,0,75,68.48,0.44,0.56,32
Patric,0,0,66.67,0.11,0,0,0.94,0.61,0,2.83,0,0.28,0,0,58.94,89.26,2,61.96,0,0.5,0,0,0.33,0.06,0.06,0,29.03,50,0.22,0.17,18
Răzvan Marin,0.06,0,59.46,1,0,0,1.33,0.42,0.03,0.97,0,0.64,0.15,0.12,43.67,84.46,9.12,61,0,0.12,0,0,1.06,0.12,0.21,0,47.06,49.52,0.64,0.94,33
Felipe Anderson,0.24,0.05,56.25,1.08,0.05,0,2.11,0.82,0,0.61,0,1.45,0.11,0.05,35.08,79.82,9.87,59.62,0,0.39,0,0,0.47,0.16,0.08,0,40,47.63,0.87,1.05,38
Ionuț Radu,0,0,0,0,0,0,0,0,0,0.44,0.11,0,0.11,0,33.11,63.09,1.67,31.45,5.11,0.11,0.33,0,2,0.11,0,0,75,80,0.11,0,9
Rafael Leão,0.43,0.34,50,2.63,0.03,0,0.23,0.43,0,0.2,0,0.23,0.43,0.23,21.2,74.39,8.03,71.21,0,0.09,0,0,0.8,0.09,0.14,0.03,50,45.71,0.86,0.57,35
Romelu Lukaku,0.4,0.16,55.17,2.04,0.04,0,0.12,0,0,0.64,0,0.12,0.28,0.24,15.12,72.49,5.88,87.5,0,0.12,0,0,0.6,0.04,0.04,0,52.7,41.03,0.24,0.64,25
