#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
91,,Nicolás González,0.08,0.04,21.75,69.35,6.46,54.35
92,,Aleksei Miranchuk,0.17,0.17,26.9,81.41,8.62,59.65
93,,Luigi Sepe,0,0,32.94,63.93,0.76,35.48
94,,Olivier Giroud,0.3,0.15,16.76,63.29,3.67,50
95,,Edin Džeko,0.12,0.09,15.15,72,4.42,53.85
96,,Boulaye Dia,0.12,0.18,17.48,77.3,5.15,62.96
97,,Theo Hernández,0.09,0.09,43.22,81.06,8.13,46.92
98,,Stefan de Vrij,0,0,44.52,89.52,1.81,49.46
99,,Nehuén Pérez,0,0,49.03,86.38,5.03,55.85
100,,Antonio Sanabria,0.21,0.12,20.82,76.27,5.82,68.18
101,,Ricardo Rodríguez,0.03,0,45.4,84.08,6.97,45.03
102,,Emil Audero,0,0,32.4,63.58,1.2,41.55
103,,Sandi Lovrić,0.05,0.16,23.73,83.94,6.65,63.41
104,,Daniele Rugani,0,0,29.11,88.17,1.11,32.14
105,,Matías Viña,0,0,6,77.78,1.67,50
106,,Guillermo Ochoa,0,0,35.55,55.56,1.25,33.82
107,,Alex Sandro,0.08,0.04,44.64,87.54,7.44,66.36
108,,Morten Hjulmand,0.09,0.11,37.17,79.32,7.83,52.78
109,,Dušan Vlahović,0.15,0.07,13.81,72.12,3.56,62.07
110,,Lorenzo Montipò,0,0,29,58.17,3.45,45.54
111,,Matteo Politano,0.26,0.11,19.78,81.84,8.07,50
112,,Vanja Milinković-Savić,0.03,0,42.26,57.91,4.29,32.63
113,,Wladimiro Falcone,0,0,26.71,44.83,0.82,29.39
114,,Vlad Chiricheş,0,0,25.63,83.9,1.31,53.23
115,,Manolo Gabbiadini,0.26,0.06,16.91,70.95,4.86,40
116,,Samir Handanović,0,0,36.29,89.96,0.79,59.17
117,,Rafael Tolói,0,0.03,50.97,81.3,8.31,39.29
118,,Marko Arnautović,0.19,0,21.29,72.26,4.9,55.56
119,,Patrick Ciurria,0.25,0.14,30.25,82.46,6.61,46.91
120,,Musa Barrow,0.28,0.25,21.22,79.82,6.19,50.85
121,,Jhon Lucumí,0,0.03,58.94,88.84,3.61,60.66
122,,Davide Calabria,0.12,0.16,42.32,82.51,7.16,30.65
123,,Nikola Vlašić,0.06,0.18,27.24,81.75,10.5,64.29
124,,Norbert Gyömbér,0.04,0.04,27.3,83.72,1.41,42.68
125,,Saša Lukić,0.13,0,43.75,88.14,9.5,70.18
126,,Aleksa Terzić,0.09,0.05,24.14,85.88,4.59,54.9
127,,Rade Krunić,0.09,0.04,41.22,85.86,6.61,67.57
128,,Christian Kouamé,0.18,0.14,21.04,73.34,7.68,48.28
129,,Luis Muriel,0.21,0.1,15.28,72.01,6.14,58.14
130,,Marten de Roon,0.06,0.03,53.66,83.6,10.71,53.45
131,,Hirving Lozano,0.16,0.09,15.84,81.66,5.91,46.67
132,,Federico Baschirotto,0.03,0,37.03,74.09,2.89,41
133,,Brahim Díaz,0.33,0.21,20.76,82.19,7.48,58.62
134,,Ethan Ampadu,0.06,0.03,48.81,81.82,5.25,45.58
135,,Nemanja Matić,0.11,0.06,36.4,86.66,7.49,63.91
136,,Gianluca Mancini,0.06,0.06,45.11,82.08,4,43.19
137,,Łukasz Skorupski,0,0,27.16,74.83,0.62,44.99
138,,Lazar Samardžić,0.14,0.11,21.43,85.37,6.05,70.25
139,,Matteo Darmian,0.13,0.06,39.87,86.97,5.35,48.31
140,,Ruslan Malinovskyi,0.27,0.13,20.13,79.47,6.53,63.41
141,,Jerdy Schouten,0.09,0.06,45.21,87.06,6.91,62.16
142,,Santiago Ascacíbar,0.08,0,32.54,82.51,7,50
143,,Tommaso De Nipoti,0,0,5,60,1,100
144,,Tommaso Cassandro,0,0,3,100,1,100
145,,Denis Zakaria,0,0,17,94.12,2,100
146,,Davide Frattesi,0.08,0,27.67,80.52,7.56,64.52
147,,Stephan El Shaarawy,0,0.07,24.45,80.54,5.86,65.22
148,,Leandro Paredes,0.08,0,28.88,91.41,5.44,72.46
149,,Giacomo Bonaventura,0.1,0.03,28.73,85.61,9.1,65.45
150,,Milan Đurić,0.07,0.07,18.83,50.92,3.76,28.57
151,,Nikola Moro,0.15,0.19,29.88,81.6,6,68.42
152,,Mike Maignan,0,0.05,31.41,80.61,0.91,46.84
153,,Simone Bastoni,0.16,0.21,23.63,69.27,5.42,33.33
154,,Simone Verdi,0.16,0,13.32,75.38,3.92,60.47
155,,Bram Nuytinck,0.04,0.04,31.24,85.02,1.16,48.45
156,,Alessandro Buongiorno,0.09,0.06,45.71,85.2,3.06,34.91
157,,Henrikh Mkhitaryan,0.1,0.06,33.13,88.41,9.58,79.66
158,,Juan Musso,0,0,23,65.94,0.38,40.26
159,,Destiny Udogie,0.06,0.12,29.21,82.99,8.52,75
160,,Nicolò Cambiaghi,0,0.04,13.64,80.63,4.64,64.29
161,,Samuele Ricci,0.11,0.04,40.89,89.52,7.61,64.79
162,,Marin Pongračić,0,0,40.11,81.99,2,54.72
163,,Roberto Pereyra,0.24,0.21,33.68,84.54,9.44,62.07
164,,Samuel Umtiti,0,0,34.32,83.92,2.6,43.59
165,,Arkadiusz Milik,0.15,0.04,16.26,78.59,3.48,62.5
166,,Perr Schuurs,0.03,0.07,39.8,88.19,2.07,59.18
167,,Éderson,0.11,0.03,30.63,81.9,7.14,65.31
168,,Bartłomiej Drągowski,0.03,0.03,29.83,64.37,1.23,35.19
169,,Arthur Cabral,0,0.04,9.36,69.08,2.79,55.56
170,,Davide Zappacosta,0.14,0.1,32.19,87.13,8,45.83
171,,Andrea Colpani,0.19,0.04,13.63,83.15,4.37,64
172,,Georgios Kyriakopoulos,0.13,0.13,26.92,81.73,6.71,50
173,,Pierre Kalulu,0.06,0,50.09,88.67,4.97,54.32
174,,Pablo Marí,0,0,53.53,88.79,3.27,58.22
175,,Pedro,0.14,0.08,24.97,84.32,6.28,48.89
176,,Luca D'Andrea,0,0.2,15.2,76.32,4,100
177,,Sofyan Amrabat,0.03,0.03,50.07,89.81,10.14,79.76
178,,Cristian Volpato,0.14,0.14,13.57,82.11,4.71,66.67
179,,Leonardo Bonucci,0,0,36.13,87.72,2.19,51.85
180,,Junior Messias,0.16,0.08,20.52,79.14,6.76,54.29
181,,Adam Marušić,0.06,0.06,48,87.56,6.52,55.75
182,,Daniele Verde,0.08,0,14.38,77.54,4.62,42.42
183,,Alessandro Florenzi,0,0,21.17,77.17,4.5,22.73
184,,Panagiotis Retsos,0,0,23,84.78,2,71.43
185,,Mouhamadou Sarr,0,0,35.5,71.83,2,50
186,,Martin Erlić,0.04,0,45.96,86.09,1.96,57.81
187,,Federico Chiesa,0.19,0.24,13.1,78.55,4.9,50
188,,Eljif Elmas,0.08,0.08,26.86,88.21,7.69,58.82
189,,Cyril Ngonge,0,0.07,11.07,58.43,2.2,25
190,,Lewis Ferguson,0,0,37.19,86.13,8.09,36.96
191,,Ciprian Tătărușanu,0.06,0.06,30.06,75.47,1,52.05
