#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
96,,Justin Meram,0.12,0,43.64,48.45,1.42,0.58
97,,Bill Tuiloma,0.13,0.03,61.9,56.63,0.47,0.9
98,,Gregore,0.39,0,51.32,52.53,1.13,2.61
99,,Talles Magno,0.09,0,35.29,50.24,2.11,0.8
100,,Alex Roldán,0.19,0.03,47.46,57.31,1.16,0.63
101,,Randall Leal,0.24,0,43.75,46.39,1.86,1.69
102,,Juan Sánchez Purata,0.29,0,61.54,51.15,0.35,1.53
103,,Wyatt Omsberg,0.14,0,64.44,64.44,0.79,0.86
104,,Alex De John,0,0,78.57,66,0,1.2
105,,Nathan Harriel,0.08,0,64.56,59.7,1.24,1.28
106,,Francisco Calvo,0.31,0,49.18,57.82,0.85,1.15
107,,Luis Amarilla,0.09,0,33.85,44.48,1.06,0.56
108,,Gabriel Pereira,0.03,0,21.43,50.3,1.14,0.34
109,,Julio Cascante,0.2,0,62.84,61.56,0.97,1.17
110,,Raúl Ruidíaz,0,0,40,42.65,1.06,0.39
111,,Daniel Lovitz,0.22,0,68,62.71,0.47,0.84
112,,Federico Navarro,0.2,0.03,37.04,54.2,0.5,1.97
113,,Jack Price,0.18,0,42.86,49.25,0.53,0.82
114,,Keaton Parks,0.1,0,51.61,51.54,0.62,0.95
115,,Frankie Amaya,0.16,0.04,35.9,53.21,0.76,1.28
116,,Alan Franco,0.1,0,61.45,61.19,0.48,0.77
117,,Robin Lod,0.23,0,41.67,44.04,0.68,1.48
118,,Kellyn Acosta,0.23,0,40,45.25,0.69,1.11
119,,Oskar Ågren,0.33,0,55.56,50,0.33,1
120,,Ján Greguš,0.04,0,52,59.29,0.67,0.59
121,,Nathan Cardoso,0.31,0,73.2,64.84,1.23,0.85
122,,Graham Zusi,0.05,0,53.57,56.67,1.14,0.81
123,,Jesús Murillo,0.31,0,64.6,60.61,0.88,1.34
124,,Julian Gressel,0.1,0,34.09,43.46,0.5,0.6
125,,Déiber Caicedo,0.13,0,16.67,50,1,0.5
126,,Alexandre Pato,0,0,40.91,47.41,1.18,0.55
127,,Jonathan Mensah,0.23,0,56.62,52.58,0.3,0.87
128,,Matt Hedges,0.1,0,56.99,57.58,0.17,0.43
129,,Aaron Herrera,0.15,0.04,52.63,48.07,0.33,1.63
130,,Michael Bradley,0.15,0,35.71,52.1,0.85,0.62
131,,Robbie Robinson,0,0,66.67,59.18,1,0.38
132,,Andrés Cubas,0.11,0,28.57,45.68,0.28,1.89
133,,Dave Romney,0.06,0,69.42,67.3,0.13,0.28
134,,Justen Glad,0.26,0,61.36,58.02,0.56,1
135,,Henry Kessler,0.23,0,59.77,63.45,0.73,0.68
136,,Antônio Carlos,0.32,0,72.41,65.04,0.55,0.86
137,,Darlington Nagbe,0.12,0,63.41,65.02,1.44,0.68
138,,Johnny Russell,0.12,0,54.26,51.27,1.91,0.67
139,,Santiago Sosa,0.24,0,63.01,53.63,0.67,1.43
140,,Jamiro Monteiro,0.1,0.03,0,47.01,2.35,1.55
141,,Dayne St. Clair,0.03,0,81.82,77.78,0.12,0
142,,Marcelo Silva,0.16,0,63.3,61.66,0.31,0.63
143,,Dániel Sallói,0.07,0.03,21.74,42.13,1.34,0.66
144,,Pedro Santos,0.21,0,50.98,57.49,1.9,1.1
145,,Yimmi Chará,0.15,0,35.48,49.81,1.26,0.76
146,,Eloy Room,0.03,0,100,85.71,0.09,0.03
147,,Shaq Moore,0.08,0,72.22,65.31,0.75,0.83
148,,Giorgio Chiellini,0.08,0,64.29,68.33,0.77,0.62
149,,Andrew Brody,0.06,0,45.1,53.39,0.6,0.31
150,,Olivier Mbaizo,0.14,0,36.36,48.7,0.55,0.91
151,,Lalas Abubakar,0.28,0,67.89,57.69,0.25,1.31
152,,Victor Wanyama,0.24,0,64.29,58.67,2.06,1.56
153,,Jordan Morris,0.07,0,56.82,50,0.45,0.48
154,,João Moutinho,0.31,0,65.57,58.57,0.41,1.38
155,,Maarten Paes,0.09,0,100,90,0.09,0.03
156,,Daniel Steres,0.33,0,58.62,56.31,0.28,1
157,,Daniel Edelman,0.24,0,58.82,58.41,0.76,1.06
158,,Diego Chará,0.32,0,52,53.99,1.93,2.11
159,,Maxime Chanot,0.21,0,64.15,64.15,0.54,0.5
160,,Víctor Vázquez,0.15,0,50,39.53,0.44,0.52
161,,Robin Jansson,0.36,0.05,48.78,61.47,0.45,0.59
162,,Guzmán Corujo,0.16,0,49.28,55.25,0.72,0.84
163,,Damion Lowe,0.31,0.03,63.38,58.7,0.76,1.41
164,,Adilson Malanda,0,0,50,52.94,0.5,1.33
165,,Marlon Hairston,0,0,100,75,0.33,0.33
166,,Charles Sapong,0.15,0,55.22,51.11,1.56,1.32
167,,Alistair Johnston,0.14,0,48.08,50.21,0.8,1.37
168,,Albert Rusnák,0.09,0,33.33,47.15,0.81,0.53
169,,Aljaž Ivačič,0.03,0,90,83.33,0.06,0
170,,Josef Martínez,0,0,36.36,39.73,0.54,0.27
171,,Gabriele Corbo,0.21,0,56.52,58.46,0.21,0.79
172,,Gyasi Zardes,0.03,0,42.96,50.4,1.21,0.42
173,,Sean Johnson,0.05,0,71.43,80,0.05,0
174,,Daniel Rios,0.04,0,43.14,45.02,0.89,0.59
175,,Damir Kreilach,0.2,0,62.07,61.36,1.2,0.4
176,,Sean Zawadzki,0,0,75,57.69,0.6,0.4
177,,Douglas Costa,0.1,0.07,33.33,42.95,0.55,0.86
178,,Kacper Przybyłko,0.12,0,50,46.85,1.12,0.92
179,,Carlos Teran,0.27,0,61.22,56.67,0.36,0.91
180,,Kei Kamara,0.06,0,64,49.61,0.5,0.68
181,,Leonardo Campana,0.08,0,37.04,34.41,0.62,1.12
182,,Jhon Durán,0.19,0.04,48.48,47.01,1.81,1.44
183,,Matt Polster,0.21,0,60.87,52.83,0.61,1.36
184,,Thiago Martins,0.1,0.03,70,63.72,0.1,0.38
185,,Bill Hamid,0,0,0,0,0,0
186,,Steve Clark,0.06,0,90.91,70,0.18,0.06
187,,Rémi Walter,0.09,0,54.55,52.02,0.59,0.53
188,,Andrew Gutman,0.2,0,58.18,57.69,1.44,1.36
189,,Facundo Quignon,0.22,0,39.53,49.25,0.59,1.41
190,,Júnior Moreno,0.17,0,31.25,50,0.55,1.14
191,,José Martínez,0.3,0.03,48.53,51.67,1.36,1.52
192,,Lassi Lappalainen,0.03,0,54.17,53.65,0.7,0.3
193,,Ranko Veselinović,0.16,0,52.63,55.8,0.32,0.71
194,,Ilie Sánchez,0.17,0.03,71.58,57.64,0.78,1.06
195,,Bernard Kamungo,0,0,0,66.67,2,0
196,,Harvey Neville,0,0,0,0,0,0
197,,James Pantemis,0,0,100,88.89,0.08,0.08
198,,Joe Willis,0.03,0,100,90.91,0.09,0.03
199,,Andreu Fontàs,0.21,0.04,56.72,57.96,0.36,0.71
200,,Sean Davis,0.11,0,63.33,57.6,0.69,0.74
201,,Nicolás Acevedo,0.26,0,60.38,53.29,0.85,1.35
202,,Steve Birnbaum,0.19,0.03,79.56,67.63,0.63,1.41
203,,Mamadou Fall,0.38,0,65.85,53.57,0.13,1.13
204,,Rayan Raveloson,0.18,0,45.16,50.86,1.32,0.91
205,,Emiliano Rigoni,0.2,0,75,63.64,0.5,1
206,,Zac MacMath,0.09,0,87.5,81.25,0.11,0.03
207,,Mark-Anthony Kaye,0.12,0,46.15,50,1.24,1.16
208,,Sebastián Ferreira,0.06,0,35.38,39,0.9,1.23
209,,Aimé Mabika,0.06,0,61.54,61.19,0.31,0.5
210,,Zachary Brault Guillard,0.05,0,33.33,32.26,0.16,0.21
211,,Dylan Borrero,0.08,0,12.5,51.22,1.08,0.17
212,,Ismael Tajouri-Shradi,0,0,0,57.89,0.5,0.33
213,,Alfredo Morales,0.29,0.04,53.23,52.13,0.71,1.46
214,,Sergio Córdova,0.06,0,41.4,46.67,1.35,0.88
215,,Yuya Kubo,0.18,0,52.94,52.66,0.64,1.07
216,,Luquinhas,0.03,0,33.33,49.81,1.65,0.58
217,,Kamal Miller,0.1,0.03,61.97,59.63,0.72,0.62
218,,Kervin Arriaga,0.32,0,61.63,54.66,1.44,1.08
219,,Derrick Etienne Junior,0.15,0,23.53,44.83,1.09,0.48
220,,Franco Fragapane,0.19,0.03,50,49.47,0.81,0.71
221,,Adalberto Carrasquilla,0.23,0.03,52.38,50.76,1.32,1.52
