#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
100,,Alex Roldán,2.03,1.06,0,1.81,0,0.91
101,,Randall Leal,1.55,0.48,0,0.52,0,1.38
102,,Juan Sánchez Purata,1.06,1.18,0.12,5.24,0,0.41
103,,Wyatt Omsberg,1.29,1.93,0,5.36,0.07,0.21
104,,Alex De John,1.8,1.2,0,5,0.2,0.8
105,,Nathan Harriel,2.84,1.68,0,3.08,0,1.16
106,,Francisco Calvo,1.92,2.69,0,1.85,0.08,0.46
107,,Luis Amarilla,0.59,0.09,0,0.79,0,0.29
108,,Gabriel Pereira,0.72,0.45,0,0.24,0,0.28
109,,Julio Cascante,1.17,0.83,0,3.29,0.03,0.26
110,,Raúl Ruidíaz,0.11,0.06,0,0,0,0.39
111,,Daniel Lovitz,1.53,0.88,0.06,1.84,0,0.41
112,,Federico Navarro,4.47,1.73,0.07,0.8,0,2.03
113,,Jack Price,1,0.71,0,0.53,0,0.76
114,,Keaton Parks,1.33,0.48,0,0.81,0,0.76
115,,Frankie Amaya,2.4,1.04,0,1,0.04,1.08
116,,Alan Franco,1.48,1.23,0,3.26,0,0.65
117,,Robin Lod,2.06,0.87,0,1,0,1.03
118,,Kellyn Acosta,1.29,0.57,0,0.46,0,0.74
119,,Oskar Ågren,1.33,1.33,0,2.67,0,0.67
120,,Ján Greguš,1.07,0.63,0.04,0.63,0,0.33
121,,Nathan Cardoso,2.35,2.15,0.08,3.46,0.04,1
122,,Graham Zusi,1.52,1.29,0,1.76,0,0.76
123,,Jesús Murillo,1.53,1.31,0,4.16,0,0.47
124,,Julian Gressel,1.53,1.03,0,1.13,0.03,1.17
125,,Déiber Caicedo,0.63,0,0,0.06,0,0.19
126,,Alexandre Pato,0.36,0.27,0,0.45,0,0.14
127,,Jonathan Mensah,0.7,0.97,0,3.97,0,0.33
128,,Matt Hedges,1.07,0.97,0.03,4.53,0,0.47
129,,Aaron Herrera,1.3,1.44,0.07,2.41,0,0.3
130,,Michael Bradley,1.85,1.21,0,1.38,0,1.06
131,,Robbie Robinson,0.75,0.38,0,0.13,0,0.38
132,,Andrés Cubas,3.17,1.89,0,0.39,0,1.78
133,,Dave Romney,0.56,0.81,0,3.47,0.03,0.09
134,,Justen Glad,0.81,1.33,0.04,4.07,0,0.41
135,,Henry Kessler,0.95,0.73,0.14,3.86,0,0.23
136,,Antônio Carlos,1.14,1.59,0,4.45,0,0.27
137,,Darlington Nagbe,1.18,0.85,0,0.56,0.03,0.38
138,,Johnny Russell,0.67,0.48,0,1.03,0,0.39
139,,Santiago Sosa,1.48,1.48,0.05,1.52,0,0.81
140,,Jamiro Monteiro,1.55,0.45,0,0.13,0,1.03
141,,Dayne St. Clair,0.03,0,0,0.91,0.09,0.06
142,,Marcelo Silva,1.25,1.66,0.06,3.5,0,0.22
143,,Dániel Sallói,0.38,0.45,0,0.52,0,0.17
144,,Pedro Santos,2.97,1.45,0,1.31,0,1.66
145,,Yimmi Chará,1.26,0.68,0,0.18,0,0.79
146,,Eloy Room,0.03,0,0.03,0.53,0.03,0.03
147,,Shaq Moore,2.67,1,0.08,1.25,0,0.42
148,,Giorgio Chiellini,0.85,1.08,0,3.15,0,0.08
149,,Andrew Brody,1.31,1.43,0,2.03,0,0.49
150,,Olivier Mbaizo,1.27,0.77,0,1,0,0.55
151,,Lalas Abubakar,1.03,1.53,0.06,2.97,0.06,0.28
152,,Victor Wanyama,1.68,0.88,0,1,0.03,0.68
153,,Jordan Morris,0.69,0.28,0.03,0.48,0,0.28
154,,João Moutinho,2.45,1.07,0.03,1.52,0,0.38
155,,Maarten Paes,0,0,0.03,0.82,0,0
156,,Daniel Steres,1,1.11,0.06,4,0,0.11
157,,Daniel Edelman,1.82,0.88,0,1.12,0,0.41
158,,Diego Chará,2.61,1.25,0,1.57,0,1.43
159,,Maxime Chanot,0.88,0.88,0,3.21,0,0.25
160,,Víctor Vázquez,0.33,0.3,0,0.3,0,0.37
161,,Robin Jansson,1.09,1.09,0,3.05,0,0.23
162,,Guzmán Corujo,1.76,1.6,0,4.36,0.04,0.8
163,,Damion Lowe,2.1,1.93,0.07,3.76,0.03,0.55
164,,Adilson Malanda,0.83,1.33,0,3.67,0,0
165,,Marlon Hairston,1.33,0.67,0,1,0,0
166,,Charles Sapong,0.32,0.26,0,0.47,0,0.24
167,,Alistair Johnston,1.49,0.94,0,1.2,0,0.6
168,,Albert Rusnák,0.91,0.75,0,0.19,0,0.84
169,,Aljaž Ivačič,0,0,0,1,0,0.03
170,,Josef Martínez,0.04,0.04,0,0.42,0,0.19
171,,Gabriele Corbo,1.5,0.93,0,2,0,0.36
172,,Gyasi Zardes,0.36,0,0,0.48,0,0.21
173,,Sean Johnson,0.03,0,0,0.62,0.05,0
174,,Daniel Rios,0.52,0.04,0,0.33,0,0.19
175,,Damir Kreilach,0.4,0.2,0,1.6,0,0.4
176,,Sean Zawadzki,1.6,1.8,0,0.4,0,0.8
177,,Douglas Costa,0.52,0.17,0,0.07,0,0.45
178,,Kacper Przybyłko,0.28,0.2,0,0.6,0,0.44
179,,Carlos Teran,1.27,1.73,0,2.73,0,0.36
180,,Kei Kamara,0.38,0.21,0,0.59,0,0.21
181,,Leonardo Campana,0.35,0.08,0,0.73,0,0.38
182,,Jhon Durán,0.48,0.11,0,0.67,0,0.26
183,,Matt Polster,2,1.36,0.04,0.82,0,0.82
184,,Thiago Martins,0.62,0.79,0,3.76,0.03,0.17
185,,Bill Hamid,0,0,0,0.6,0.1,0
186,,Steve Clark,0.03,0,0.06,0.76,0,0.06
187,,Rémi Walter,1.32,0.94,0,0.79,0,0.82
188,,Andrew Gutman,2,0.96,0,1.28,0,0.68
189,,Facundo Quignon,2,0.74,0,1.19,0,1
190,,Júnior Moreno,1.79,1.24,0.03,0.83,0,0.72
