#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
101,,Randall Leal,0.07,0,45.1,2.1,0,0
102,,Juan Sánchez Purata,0.35,0.06,66.67,0.82,0.35,0
103,,Wyatt Omsberg,0.07,0,0,0.71,0.07,0
104,,Alex De John,0,0.2,100,1.6,0,0
105,,Nathan Harriel,0.04,0.04,36.84,0.52,0,0
106,,Francisco Calvo,0.15,0.08,79.17,1.15,0.15,0
107,,Luis Amarilla,0.26,0.21,55.1,2.24,0.03,0
108,,Gabriel Pereira,0.31,0.14,48.98,1.24,0.03,0
109,,Julio Cascante,0.09,0.14,87.5,1,0.09,0
110,,Raúl Ruidíaz,0.5,0.28,50,2.83,0.06,0
111,,Daniel Lovitz,0.03,0.06,68.42,0.38,0,0
112,,Federico Navarro,0.07,0.07,80,0.7,0,0
113,,Jack Price,0,0,80,0.06,0,0
114,,Keaton Parks,0.1,0.1,76.92,1,0,0
115,,Frankie Amaya,0.04,0,82.14,0.68,0,0
116,,Alan Franco,0.03,0,73.33,0.39,0.03,0
117,,Robin Lod,0.19,0.19,47.89,1.97,0,0
118,,Kellyn Acosta,0.09,0.03,61.9,1.06,0,0.41
119,,Oskar Ågren,0,0,0,0.33,0,0
120,,Ján Greguš,0,0,77.78,0.78,0,0
121,,Nathan Cardoso,0.12,0.12,46.88,1.08,0.08,0
122,,Graham Zusi,0.1,0,66.67,0.62,0,0
123,,Jesús Murillo,0.09,0.03,71.43,0.56,0.03,0
124,,Julian Gressel,0.07,0.13,41.18,1.1,0.03,0
125,,Déiber Caicedo,0.06,0.06,57.69,1.19,0,6.25
126,,Alexandre Pato,0.14,0.09,38.89,1.82,0,0
127,,Jonathan Mensah,0.07,0,85.71,0.73,0.07,0
128,,Matt Hedges,0.03,0.03,83.33,0.43,0.03,0
129,,Aaron Herrera,0,0,67.65,0.56,0,0
130,,Michael Bradley,0.09,0.03,65.38,0.44,0.06,0
131,,Robbie Robinson,0.13,0,61.11,1.13,0,0
132,,Andrés Cubas,0.06,0,80,0.61,0,0
133,,Dave Romney,0.09,0.06,100,0.59,0.06,0
134,,Justen Glad,0.11,0.15,100,0.67,0.07,0
135,,Henry Kessler,0.05,0.09,100,0.45,0.05,0
136,,Antônio Carlos,0,0.05,33.33,0.68,0,0
137,,Darlington Nagbe,0.09,0.06,78.95,0.38,0,0
138,,Johnny Russell,0.24,0.09,46.94,1.97,0,0.43
139,,Santiago Sosa,0.05,0,66.67,1.05,0,0
140,,Jamiro Monteiro,0.13,0,57.14,1.16,0.03,0
141,,Dayne St. Clair,0,0,0,0,0,0
142,,Marcelo Silva,0.06,0.09,66.67,0.81,0.03,0
143,,Dániel Sallói,0.24,0.14,45.88,2.48,0,0
144,,Pedro Santos,0.03,0.03,53.66,0.72,0,3.45
145,,Yimmi Chará,0.12,0.15,48.44,1.35,0,0
146,,Eloy Room,0,0,0,0,0,0
147,,Shaq Moore,0,0,71.43,1.17,0,0
148,,Giorgio Chiellini,0,0.08,66.67,0.23,0,0
149,,Andrew Brody,0.06,0.09,49.32,0.46,0,0
150,,Olivier Mbaizo,0,0,58.97,0.27,0,0
151,,Lalas Abubakar,0.13,0,71.43,0.69,0,0
152,,Victor Wanyama,0.03,0.06,69.64,1.06,0.03,0
153,,Jordan Morris,0.24,0.28,50,1.86,0.07,0
154,,João Moutinho,0.07,0,57.14,0.66,0.03,0
155,,Maarten Paes,0,0,100,0,0,0
156,,Daniel Steres,0.11,0,50,0.39,0,0
157,,Daniel Edelman,0.06,0,40,0.41,0,0
158,,Diego Chará,0,0.04,56.25,0.14,0,0
159,,Maxime Chanot,0.04,0,66.67,0.54,0,0
160,,Víctor Vázquez,0.07,0.04,50,0.78,0,0
161,,Robin Jansson,0.05,0,76.47,0.68,0,0
162,,Guzmán Corujo,0.04,0,66.67,0.52,0,0
163,,Damion Lowe,0.03,0.07,58.33,0.38,0.03,0
164,,Adilson Malanda,0,0,75,0.5,0,0
165,,Marlon Hairston,0,0,0,0,0,0
166,,Charles Sapong,0.15,0.18,52.78,1.56,0,0
167,,Alistair Johnston,0.11,0.03,53.57,0.43,0.03,0
168,,Albert Rusnák,0.09,0.06,60.87,1.31,0,0.63
169,,Aljaž Ivačič,0,0,0,0,0,0
170,,Josef Martínez,0.35,0.19,66.67,1.88,0.12,0
171,,Gabriele Corbo,0,0,100,0.29,0,0
172,,Gyasi Zardes,0.3,0.39,64,1.61,0,0
173,,Sean Johnson,0,0,0,0,0,0
174,,Daniel Rios,0.26,0.15,54.17,1.41,0.07,0
175,,Damir Kreilach,0.2,0.2,50,1.8,0,0
176,,Sean Zawadzki,0.2,0,25,0.2,0,0
177,,Douglas Costa,0.14,0,52.54,1.62,0,0.53
178,,Kacper Przybyłko,0.2,0.36,58.62,1.84,0,0
179,,Carlos Teran,0.05,0.05,75,0.55,0.05,0
180,,Kei Kamara,0.26,0.26,47.22,1.65,0.03,0
181,,Leonardo Campana,0.42,0.35,34.62,2.08,0.12,0
182,,Jhon Durán,0.3,0.33,34.48,2.22,0.07,0
183,,Matt Polster,0.07,0.07,64.71,0.61,0,0
184,,Thiago Martins,0,0.03,66.67,0.28,0,0
185,,Bill Hamid,0,0,0,0,0,0
186,,Steve Clark,0,0,0,0,0,0
187,,Rémi Walter,0.09,0,45,0.5,0,0
188,,Andrew Gutman,0.16,0.16,57.14,1.24,0.04,0
189,,Facundo Quignon,0.07,0,91.67,0.44,0.04,0
190,,Júnior Moreno,0.07,0,55.56,0.62,0,0
191,,José Martínez,0,0,56.72,1.03,0,0
192,,Lassi Lappalainen,0.1,0.13,55.29,0.93,0,0
193,,Ranko Veselinović,0.03,0,25,0.32,0,0
194,,Ilie Sánchez,0.03,0,72.73,0.44,0,0
195,,Bernard Kamungo,0,0,100,0,0,0
196,,Harvey Neville,0,0,0,0,0,0
197,,James Pantemis,0,0,0,0,0,0
198,,Joe Willis,0,0,0,0,0,0
199,,Andreu Fontàs,0.07,0,66.67,0.46,0,0
200,,Sean Davis,0.03,0,82.35,0.4,0,0
201,,Nicolás Acevedo,0,0,66.67,0.71,0,0
202,,Steve Birnbaum,0.06,0.03,100,0.72,0.06,0
203,,Mamadou Fall,0.06,0.06,90,0.81,0,0
204,,Rayan Raveloson,0.14,0.18,58.06,1.5,0.05,0
205,,Emiliano Rigoni,0,0.2,71.43,0.9,0,0
206,,Zac MacMath,0,0,100,0.06,0,0
207,,Mark-Anthony Kaye,0.12,0.04,42.86,0.88,0,0
208,,Sebastián Ferreira,0.42,0.39,52.08,2.19,0.06,0
209,,Aimé Mabika,0,0,50,0.13,0,0
210,,Zachary Brault Guillard,0.21,0,15.79,0.32,0,0
211,,Dylan Borrero,0.25,0,50,1.58,0,0
212,,Ismael Tajouri-Shradi,0.33,0.17,63.64,0.67,0,16.67
213,,Alfredo Morales,0,0,64,0.67,0,0
214,,Sergio Córdova,0.32,0.41,49.02,1.79,0.09,0
215,,Yuya Kubo,0.04,0,60.47,0.57,0,0
