Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Th. Bipin Singh,0.32,0.18,33.33,2.68,0.05,0,0.41,0.27,0,0.14,0,0.27,0.05,0.09,24.95,79.42,8.32,44,0,0.18,0,0,0.82,0.09,0,0,40.91,38,0.55,0.5,22
Vishal Kaith,0,0,0,0,0,0,0.04,0.04,0.04,1.38,0.08,0,0,0,23.21,63.38,0.54,41.81,2.83,0.46,0.08,0,0.5,0.29,0.08,0,66.67,70.59,0.21,0.08,24
Apuia,0.18,0,36.36,1.18,0,0,1.94,0.71,0.06,0.82,0,0.29,0,0,35.59,84.63,6.82,76.74,0,0,0,0,1,0.06,0.24,0,53.85,65.38,1.41,0.65,17
Aakash Sangwan,0,0,57.14,0.21,0,0,2.16,1.84,0,1.89,0,0.58,0.37,0.26,37.47,71.91,6.16,44.09,0,0.11,0,0,1.26,0.53,0,0,69.77,64.18,0.37,0.74,19
Rahul Bheke,0,0,62.5,0.35,0,0,1.76,1.71,0,2.24,0,0.35,0,0,46.18,80.13,9.47,50.5,0,0.35,0,0,0.76,0.12,0.06,0,60,63.54,0.12,0.35,17
Gurmeet Singh,0,0,100,0,0,0,0,0.14,0,0.79,0,0,0,0,24.86,48.56,1.07,42,2.79,0.5,0.07,0,0.57,0.07,0.07,0,100,100,0.21,0,14
Rostyn Griffiths,0.06,0,100,0.59,0.06,0,0.94,0.82,0,2.53,0,0.35,0.06,0.06,44.47,90.21,4.59,74.19,0,0.24,0,0,0.94,0.12,0.12,0,69.39,61.96,0.12,0.65,17
Saúl Crespo,0,0.11,75,1.22,0,0,2,1.78,0.06,2.44,0,0.44,0.06,0.11,51,75.93,11.06,49.41,0,0.06,0,0,1.39,0,0.22,0,58.46,57.95,1.17,1.44,18
Naorem Mahesh Singh,0.11,0,48.28,0.74,0,0,2.32,0.26,0,0.53,0,0.32,0.32,0.37,25.53,67.22,6.42,34.62,0,0.16,0,0,1.32,0.32,0.05,0,47.06,58.04,0.89,0.63,19
Borja Herrera,0.18,0.09,35.71,1.45,0,0,1.09,0.86,0,0.55,0,0.41,0.23,0.23,24.41,68.34,6.45,36.67,0,0.14,0,0,0.55,0.09,0.05,0,38,41.96,0.55,0.64,22
Holicharan Narzary,0.16,0,40.74,1.53,0,0,1.11,0.79,0,0.74,0,0.53,0.21,0.32,20.89,68.26,6.47,39.29,0,0.11,0,0,0.32,0.05,0,0,51.61,46.72,0.47,0.53,19
Slavko Damjanović,0.1,0.2,100,0.4,0,0,0.8,1,0,3.9,0,0.1,0,0,34.1,82.99,1.5,40,0,0.4,0,0,0.2,0.1,0.2,0,66.67,60.87,0.2,1,10
Diego Mauricio,0.57,0.19,35,2.62,0,1.59,0.71,0,0,0.29,0,0.1,0.1,0.19,17.38,71.23,4.57,47.37,0,0.05,0,0,1.57,0.05,0.1,0,18.6,33.01,1.1,0.57,21
