#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
99,,Jordan O'Doherty,1.5,0.67,0,0.89,0,0.28
100,,Jessel Carneiro,1,0.72,0,1.11,0,0.33
101,,Marko Lešković,0.79,1.71,0,3.29,0.07,0.36
102,,Issac Vanmalsawma,0.95,0.4,0,0.1,0,0.3
103,,Namgyal Bhutia,1.8,1.6,0,1.2,0,0.4
104,,Mohammad Yasir,0.95,0.55,0,0.3,0,0.8
105,,Ruivah Hormipam,1.4,2.2,0,2.85,0,0.55
106,,Lenny Rodrigues,0.91,0.82,0,0.55,0,0.55
107,,Álvaro Vázquez,0.18,0.18,0,0.12,0,0.06
108,,Anuj Kumar,0,0,0,1.5,0,0
109,,Laldinliana Renthlei,2,1.59,0,2.24,0.06,0.35
110,,Deepak Tangri,2.09,1.09,0,0.45,0,0.27
111,,Vishal Yadav,0,0,0,0.89,0,0.11
112,,Nikhil Poojary,1.86,0.9,0.05,1.9,0,0.62
113,,Rafael Crivellaro,0.7,0.1,0,0.1,0,0.3
114,,Osama Malik,0.87,0.87,0,2.27,0,0.2
115,,Ayush Dev Chhetri,1.3,1.25,0,0.55,0,0.35
116,,Ion Gaztañaga,1.92,0.92,0,1.46,0,0.38
117,,Victor Mongil Adeva,0.44,1,0,1.11,0,0.17
118,,Aaren D'Silva,0.29,0.07,0,0.21,0,0.07
119,,Kiyan Nassiri,0.44,0.13,0,0.25,0,0
120,,Carlos Delgado,1.29,1.9,0,3.52,0,0.33
121,,Ritwik Kumar Das,1,0.61,0,0.06,0,0.56
122,,Rowllin Borges,0.63,0.44,0,0.25,0,0.63
123,,Hernán,0.5,0.75,0,0,0,0
124,,Víctor Rodríguez,0.36,0.21,0,0.07,0,0.5
125,,Fallou Diagne,1.05,1.26,0,3.11,0,0.16
126,,Yumkhaibam Jiteshwor Singh,1.69,1.44,0,0.19,0,0.88
127,,Parag Srivas,0.79,1.05,0,1.89,0,0.53
128,,Jerry Mawihmingthanga,1.1,0.35,0,0.25,0,0.35
129,,Pablo Pérez,0.86,0.36,0.07,0,0,0.5
130,,Vikram Pratap Singh,0.74,0.26,0,0.11,0,0.21
131,,Saviour Gama,1.5,0.5,0,0.75,0,0.25
132,,Vafa Hakhamaneshi,0.89,1.17,0.06,3.83,0,0.44
133,,Makan Winkle Chote,0.8,0.3,0,0.2,0,0.1
134,,Aleksandar Jovanović,0.75,1.06,0,3.19,0,0.44
135,,Raynier Fernandes,0.55,0.65,0,0.4,0,0.55
136,,Joel Chianese,0.6,0.2,0,0.2,0,0.25
137,,Germanpreet Singh,0.8,1.8,0,0,0,0.4
138,,Sylvester Igboun,0,0,0,0,0,0
139,,Michael Soosairaj,0,0,0,0,0,0
140,,Lalruatthara,0.75,1,0,1.5,0,0.75
141,,Ayush Chhikara,0.75,0,0,0.25,0,0
142,,Ajith Kumar,3.47,2.4,0,1.13,0,0.87
143,,Sahil Tavora,1.38,0.52,0,0.62,0,0.24
144,,Charis Kyriakou,1.06,1,0,1.94,0,0.22
145,,Mobashir Rahman,0.92,1.38,0,1,0,1.08
146,,Amrinder Singh,0.14,0.1,0,1.71,0.1,0
147,,V.P. Suhair,1.72,0.61,0,0.61,0,0.61
148,,Narender Gahlot,2.06,1.28,0,2.28,0,0.56
149,,Ishan Pandita,0.35,0.18,0,0.29,0,0
150,,Romain Philippoteaux,0.28,0.72,0,0.17,0,0.11
151,,Udanta Singh Kumam,0.35,0.24,0,0.18,0,0.29
152,,Redeem Tlang,1.56,0.44,0,0.17,0,0.56
153,,Eli Sabiá,1.33,0.8,0,2.27,0,0.2
154,,Jitendra Singh,1.31,1,0,0.62,0,0.77
155,,Parthib Gogoi,0.44,0.56,0,0.33,0,0.5
156,,Nikhil Prabhu,1.2,1.2,0,1,0,0.2
157,,Ayush Adhikari,0.33,0.17,0,0,0,0.17
158,,Suresh Wangjam Singh,1.52,1.38,0,1.05,0,0.67
159,,Rehnesh Paramba,0,0,0,1,0,0
160,,Devendra Dhaku Murgaokar,0.92,0.17,0,0.17,0,0.08
161,,Ricky Lallawmawma,1.6,1,0.05,1.85,0,0.4
162,,Sourav Das,1.57,0.86,0,1.29,0,0.29
163,,Lalthathanga Khawlhring,0.93,0.93,0,0.43,0,0.5
164,,Prasanth Karuthadathkuni,1.53,0.27,0.13,0.27,0,0.53
165,,Jake Jervis,0.8,0,0,0.4,0,0.6
166,,Joseba Beitia,0.8,1,0,0.6,0,0.6
167,,Rahul Kannoly,1.61,1,0,0.22,0,0.44
168,,Manoj Mohammed,2.33,1,0,1,0,0.33
