#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
93,,Vibin Mohanan,0,0,20,90,3.33,70
94,,Bryce Miranda,0.25,0.17,7.75,69.89,2.17,50
95,,Liston Colaco,0.08,0.17,19.83,73.95,5.96,43.33
96,,Kamaljit Singh,0,0,21,43.7,1.59,33.67
97,,Vignesh Dakshinamurthy,0,0,37,80.07,6.94,43.06
98,,Rahim Ali,0.13,0.07,16.13,74.38,4,45.45
99,,Jordan O'Doherty,0.06,0,22.56,85.47,4.78,58.54
100,,Jessel Carneiro,0.11,0,30.83,76.04,7,33.75
101,,Marko Lešković,0,0,44.36,79.71,4.43,43.28
102,,Issac Vanmalsawma,0.15,0.05,19.25,76.1,4.95,50.94
103,,Namgyal Bhutia,0.1,0,31.8,80.5,6.6,50
104,,Mohammad Yasir,0.2,0.2,26.35,71.16,8.2,48.44
105,,Ruivah Hormipam,0,0,45.55,78.59,2.9,43.26
106,,Lenny Rodrigues,0.09,0,27.36,87.38,4.36,56
107,,Álvaro Vázquez,0.18,0.18,11.47,72.82,3.29,80
108,,Anuj Kumar,0,0,17.5,71.43,1,47.37
109,,Laldinliana Renthlei,0,0,27.24,65.44,4.88,31.53
110,,Deepak Tangri,0,0,33.18,80.27,2,40.54
111,,Vishal Yadav,0,0,23.33,49.05,2.67,37.72
112,,Nikhil Poojary,0.05,0.05,33.14,67.67,5.81,25.56
113,,Rafael Crivellaro,0.2,0.2,27.9,70.97,9.1,54.17
114,,Osama Malik,0,0,38.27,75.78,2.07,51.64
115,,Ayush Dev Chhetri,0.1,0,32.2,85.71,3.3,42.31
116,,Ion Gaztañaga,0.15,0.08,37.38,80.86,4.15,50.82
117,,Victor Mongil Adeva,0,0,29.28,84.63,2.5,51.58
118,,Aaren D'Silva,0,0,4.43,72.58,1.64,40
119,,Kiyan Nassiri,0,0,6.13,69.39,2.44,66.67
120,,Carlos Delgado,0,0,40.95,77.21,3.14,36.65
121,,Ritwik Kumar Das,0.11,0,17.28,82.32,7.06,55.56
122,,Rowllin Borges,0,0,24.06,87.79,6.31,68.42
123,,Hernán,0,0,28,83.04,4,57.14
124,,Víctor Rodríguez,0.07,0.07,22.79,82.45,7,63.33
125,,Fallou Diagne,0,0,44.89,81.13,3.32,51.5
126,,Yumkhaibam Jiteshwor Singh,0.06,0.06,30.31,77.94,6.25,55.7
127,,Parag Srivas,0.05,0.05,23.32,68.4,3.26,34.55
128,,Jerry Mawihmingthanga,0,0.1,16.9,67.16,4.85,22.58
129,,Pablo Pérez,0.07,0,10.57,78.38,3.14,71.43
130,,Vikram Pratap Singh,0.05,0,7.32,82.73,3.16,80
131,,Saviour Gama,0,0.13,16.5,68.94,2.13,37.5
132,,Vafa Hakhamaneshi,0,0,37.33,78.57,1.89,55.7
133,,Makan Winkle Chote,0,0.2,7.4,72.97,1.9,40
134,,Aleksandar Jovanović,0,0.06,32.31,81.04,2.63,47.87
135,,Raynier Fernandes,0.05,0.15,24,73.33,7.2,40.91
136,,Joel Chianese,0.05,0,14.95,80.27,5.6,70
137,,Germanpreet Singh,0.2,0.2,16.2,74.07,5.4,53.33
138,,Sylvester Igboun,0,0,13,92.31,4,100
139,,Michael Soosairaj,0,0,6,100,3,0
140,,Lalruatthara,0.25,0,11.25,64.44,3,46.67
141,,Ayush Chhikara,0,0,2.5,90,1.5,0
142,,Ajith Kumar,0,0,28.07,66.98,4.6,33.33
143,,Sahil Tavora,0,0,17.05,81.01,3.05,52.27
144,,Charis Kyriakou,0,0,28,78.17,4.11,48.75
145,,Mobashir Rahman,0,0.08,25.23,73.48,3.69,49.15
146,,Amrinder Singh,0,0.05,32.43,57.86,1.48,34.64
147,,V.P. Suhair,0.11,0.17,19.89,62.01,4.33,29.41
148,,Narender Gahlot,0.06,0,29.67,70.79,3.72,37.18
149,,Ishan Pandita,0,0,5.18,73.86,1.35,25
150,,Romain Philippoteaux,0.11,0.11,19.33,75.86,5.22,33.33
151,,Udanta Singh Kumam,0.18,0.12,7.65,69.23,2.53,25
152,,Redeem Tlang,0,0.11,14.22,74.22,3.61,52.63
153,,Eli Sabiá,0,0,33.87,80.31,2.53,55.93
154,,Jitendra Singh,0.08,0,19.38,79.76,2.92,51.72
155,,Parthib Gogoi,0.11,0.06,9.17,66.67,1.78,22.22
156,,Nikhil Prabhu,0,0,21,82.86,0.2,37.5
157,,Ayush Adhikari,0.17,0,13,92.31,2.5,57.14
158,,Suresh Wangjam Singh,0,0,36,82.54,5.57,39.68
159,,Rehnesh Paramba,0,0,25.27,56.83,2.09,44.81
160,,Devendra Dhaku Murgaokar,0,0.08,7.58,75.82,1.42,57.14
161,,Ricky Lallawmawma,0.05,0.05,30.25,65.79,5.6,29.01
162,,Sourav Das,0,0,20.14,77.3,2.43,55.56
163,,Lalthathanga Khawlhring,0.07,0,20.29,83.1,3.14,51.85
164,,Prasanth Karuthadathkuni,0.07,0.07,12,77.22,3.67,28.57
165,,Jake Jervis,0,0,20,66,4.6,60
166,,Joseba Beitia,0,0,58.6,87.37,8,59.09
167,,Rahul Kannoly,0.06,0.06,21.67,70.51,6.44,20.83
168,,Manoj Mohammed,0,0,32,66.67,6,40.91
169,,Emanuel Lalchhanchhuaha,0,0,12.33,84.68,2,60
170,,Emil Benny,0.13,0.19,19.63,73.57,3.75,60
171,,Abdul Rabeeh,0.17,0.17,6.83,73.98,2.11,0
172,,Harmanjot Singh Khabra,0.14,0.14,36.71,74.32,4.29,33.33
173,,Ashique Kuruniyan,0.06,0.06,21.44,70.21,5.06,39.29
174,,Seriton Fernandes,0.07,0.07,38.8,80.76,4.4,42.42
175,,Chungnunga Lal,0,0,27.26,72.59,1.47,38.97
176,,Jithin MS,0.13,0,16.56,67.92,3.63,27.27
177,,Michael Jakobsen,0,0,42.9,79.72,3.2,60.78
178,,Hitesh Sharma,0.05,0.05,23.58,72.77,4.74,46.94
179,,Sahil Panwar,0,0.06,27.06,66.94,3.61,36.96
180,,Rochharzela,0.07,0,8.29,61.21,1.21,15.38
181,,Matt Derbyshire,0,0,11.75,64.89,1.88,33.33
182,,Denechandra Meitei,0.07,0.07,12.86,72.22,1.5,29.41
183,,Gursimrat Gill,0,0,6,83.33,2,50
184,,P C Rohlupuia,0,0,3,100,1,100
185,,Hardik Bhatt,0,0,39,74.36,7,40
186,,Arshdeep Singh,0,0,25.5,60.78,0.5,28
187,,Syed Suhail Pasha,0,0,5.5,45.45,1,50
188,,Princeton Rebello,0,0,23,92.75,4.67,75
189,,Narayan Das,0,0,19.83,76.47,1.83,52.17
190,,Jockson Das A,0,0,4.33,42.31,0.33,25
191,,Tuhin Das,0,0,8.88,80.28,1.75,40
192,,Seminlen Doungel,0,0,5.4,64.81,1.1,35.71
193,,Rohit Danu,0,0,9.92,75.19,2.69,37.5
194,,Prabhsukhan Gill,0,0,22,50,1.17,33.78
195,,Prabir Das,0.11,0.05,23.79,62.83,3.26,31.4
196,,Pedro Martin,0,0.05,13.1,70.61,3.3,28.57
197,,Samik Mitra,0,0,25.1,58.96,1.2,38.04
198,,Jayesh Rane,0,0,9.67,77.01,2.22,85.71
199,,Lalrinliana Hnamte,0,0,9.54,77.42,1.85,50
200,,Boris Thangjam,0.1,0.05,14.95,67.89,3.9,33.33
201,,Aiban Dohling,0.05,0,40.95,80.08,3.95,40.43
202,,Nishu Kumar,0,0.06,29,74.57,5.25,37.5
203,,Marc Valiente,0.13,0,40,88.75,1.13,48.65
204,,Ninthoinganba Meetei,0,0.08,10.58,74.02,3.42,33.33
205,,Imran Khan,0,0.07,12.29,79.07,3.36,66.67
206,,Sahal Abdul Samad,0.16,0.11,17.11,74.77,5.26,30
207,,Jerry Lalrinzuala,0.05,0.05,25.42,68.53,3.58,30.21
208,,Thongkhosem Haokip,0.07,0,11.27,69.23,2.6,20
209,,Pragyan Sundar Gogoi,0.06,0.06,20.5,75.3,2.94,47.37
210,,Gurmukh Singh,0,0,23,80.43,1,50
211,,Peter Hartley,0,0,38.88,68.49,2.13,46.25
212,,Reagan Singh,0,0,15.88,85.04,3.5,59.09
213,,Fardin Ali Molla,0,0,1.5,73.33,0.5,0
214,,Eliandro,0,0,5.43,68.42,1.14,100
215,,Laldinpuia PC,0,0,13.25,69.81,1.75,62.5
216,,Saurav Mandal,0.08,0.08,6.77,72.73,1.62,62.5
217,,Muhammed Uvais,0,0,17.67,60.38,1,25
218,,Sanjeev Stalin,0,0,30.64,81.01,6.64,34.38
219,,Jobby Justin,0,0,3.2,75,0.6,0
220,,Souvik Chakraborty,0,0,28,80.71,5.8,46.67
221,,Ankit Mukherjee,0,0,22,55.45,2.3,26.39
222,,Arindam Bhattacharya,0,0,25.8,51.94,1.1,33.71
223,,Dheeraj Singh,0,0,28.11,71.16,0.47,45.19
224,,Sajal Bag,0,0,7.6,65.79,1,44.44
225,,Bijoy Varghese,0,0,8,75,1,0
226,,Sumit Rathi,0,0,6,66.67,0,0
227,,Ravi Bamadur Rana,0,0,5,100,2,0
228,,Ricky John Shabong,0,0,3,33.33,0,0
229,,Harmanpreet Singh,0,0,1,0,0,0
230,,Athul Unnikrishnan,0,0,5,80,0,0
231,,Mark Zothanpuia,0,0,11,72.73,2.5,50
232,,Phijam Vikash Singh,0,0,16.75,77.61,3,40
233,,Mohammad Rakip,0,0,14,61.9,1.5,30.77
234,,Moirangthem Thoiba Singh,0.05,0,25.76,67.28,3.86,40.34
235,,Sanson Pereira,0.08,0.08,26.5,78.93,4.42,23.08
236,,Mandar Rao Desai,0,0,25.9,83.4,4.4,47.37
237,,Himanshu Jangra,0,0,5.5,60.61,1.33,50
238,,Aaron Evans,0,0,27.89,79.43,0.63,31.25
239,,Farukh Choudhary,0,0,10.75,68.02,1.94,30.43
240,,Sumeet Passi,0,0.09,11.36,55.2,1.91,33.33
241,,Florentin Pogba,0,0,4.5,77.78,1,0
242,,Mashoor Shereef Thangalakath,0,0,31.5,73.02,0.88,37.7
243,,Aniket Jadhav,0.08,0,6.92,68.67,1.75,100
244,,Debjit Majumder,0,0,19.22,63.58,0.22,35.79
245,,Suvam Sen,0,0,19.67,33.9,1,29.63
246,,Kule Mbombo,0,0,14.83,76.4,3,50
247,,Sheikh Sahil,0,0,22,68.18,1,33.33
248,,Amarjit Kiyam Singh,0,0,8,100,4,100
249,,Lalbiakhlua Jongte,0,0,19,57.89,0,42.86
250,,Gurkirat Singh,0,0,3.44,67.74,1,60
251,,Gaurav Bora,0,0,33.64,69.64,1.43,35.43
252,,Nihal Sudheesh,0,0,6.2,67.74,1.6,50
253,,Danish Farooq Bhat,0,0,12.6,73.02,3,37.5
254,,Ngasepam Tondonba Singh,0,0,24,71.88,2.25,25
255,,Alex Saji,0,0,25.71,71.67,2.43,23.08
256,,Mohammed Asif Khan,0,0,6.5,92.31,0.5,0
257,,Lalchungnunga Chhangte,0,0,7,85.71,2,100
258,,Mohammed Rafique,0,0,15,62.22,1.67,57.14
259,,Hira Mondal,0,0,25,67.33,1.83,28
260,,Gurjinder Kumar,0,0.09,29.18,72.59,3.64,42.31
261,,Mohammad Dhot,0,0,20,80,4,57.14
262,,Nikhil Barla,0,0,21,57.14,1,0
263,,Paul Ramfangzauva,0,0,2.5,100,0,100
264,,Mohamed Irshad,0,0,17.45,72.92,2.27,39.13
265,,Shubham Sarangi,0,0,23.22,64.59,3,43.4
266,,Joe Zoherliana,0,0,23.17,63.67,3.83,38.64
267,,Leon Augustine,0,0,7.2,55.56,1.6,0
268,,Laldanmawia Ralte,0,0,4.5,66.67,0.17,66.67
269,,Rupert Nongrum,0,0,4,75,0,100
270,,Sehnaj Singh,0,0,18,72.22,1,0
271,,Pritamkumar Singh,0,0,17,73.53,2,50
272,,Wahengbam Angousana Luwang,0,0,1,100,0,0
273,,Leander D'Cunha,0,0,0,0,0,0
274,,Akshunna Tyagi,0,0,1,100,1,100
