#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
104,,Mohammad Yasir,0.15,0,43.08,1.45,0.05,0
105,,Ruivah Hormipam,0,0.05,40,0.35,0,0
106,,Lenny Rodrigues,0.09,0,0,0.64,0,0
107,,Álvaro Vázquez,0.06,0.35,57.14,1.29,0,0
108,,Anuj Kumar,0,0,0,0,0,0
109,,Laldinliana Renthlei,0,0,72.73,0.35,0,0
110,,Deepak Tangri,0,0,0,0.45,0,0
111,,Vishal Yadav,0,0,0,0,0,0
112,,Nikhil Poojary,0,0,52.5,0.14,0,0
113,,Rafael Crivellaro,0,0.3,37.04,1.8,0,0
114,,Osama Malik,0,0.07,100,0.6,0,0
115,,Ayush Dev Chhetri,0,0,100,0.1,0,0
116,,Ion Gaztañaga,0,0.08,57.14,1.08,0,0
117,,Victor Mongil Adeva,0,0,0,0.17,0,0
118,,Aaren D'Silva,0.07,0.07,66.67,0.36,0,0
119,,Kiyan Nassiri,0,0,20,0.56,0,0
120,,Carlos Delgado,0,0,66.67,0.62,0,0
121,,Ritwik Kumar Das,0.33,0.11,46.94,1.39,0.11,0
122,,Rowllin Borges,0,0.06,0,0.56,0,0
123,,Hernán,0,0,50,1,0,0
124,,Víctor Rodríguez,0.07,0,41.67,0.64,0,0
125,,Fallou Diagne,0,0,0,0.68,0,0
126,,Yumkhaibam Jiteshwor Singh,0,0.06,28.57,0.5,0,0
127,,Parag Srivas,0,0,55.56,0.58,0,0
128,,Jerry Mawihmingthanga,0.15,0.05,19.05,1.2,0.05,0
129,,Pablo Pérez,0.14,0.14,64.29,1.07,0,0
130,,Vikram Pratap Singh,0.11,0,26.67,0.58,0.05,0
131,,Saviour Gama,0,0,0,0.13,0,0
132,,Vafa Hakhamaneshi,0.06,0,100,0.39,0.06,0
133,,Makan Winkle Chote,0,0,50,0.7,0,0
134,,Aleksandar Jovanović,0,0,100,0.13,0,0
135,,Raynier Fernandes,0,0,62.5,1.25,0,0
136,,Joel Chianese,0.1,0.05,36.36,0.7,0,0
137,,Germanpreet Singh,0,0,0,1.2,0,0
138,,Sylvester Igboun,0,0,75,1,0,0
139,,Michael Soosairaj,0,0,100,0,0,0
140,,Lalruatthara,0,0,100,0,0,0
141,,Ayush Chhikara,0,0,0,1,0,0
142,,Ajith Kumar,0,0,37.5,0.13,0,0
143,,Sahil Tavora,0,0,0,0.48,0,0
144,,Charis Kyriakou,0.06,0,100,0.39,0,0
145,,Mobashir Rahman,0,0,80,0.46,0,0
146,,Amrinder Singh,0,0,0,0,0,0
147,,V.P. Suhair,0.11,0.22,52,1.56,0.11,0
148,,Narender Gahlot,0,0,37.5,0.5,0,0
149,,Ishan Pandita,0.12,0.06,33.33,1.47,0,0
150,,Romain Philippoteaux,0.11,0.06,55.26,1.06,0,2.78
151,,Udanta Singh Kumam,0,0,33.33,0.35,0,0
152,,Redeem Tlang,0.17,0.11,42.11,1,0.06,0
153,,Eli Sabiá,0,0,50,0.53,0,0
154,,Jitendra Singh,0,0,100,0.31,0,0
155,,Parthib Gogoi,0.17,0.06,37.04,1.11,0,0
156,,Nikhil Prabhu,0,0,0,0.4,0,0
157,,Ayush Adhikari,0,0,66.67,0.33,0,0
158,,Suresh Wangjam Singh,0,0,44.44,0.48,0,0
159,,Rehnesh Paramba,0,0,100,0,0,0
160,,Devendra Dhaku Murgaokar,0,0,66.67,0.25,0,0
161,,Ricky Lallawmawma,0,0,76.92,0.1,0,0
162,,Sourav Das,0,0,0,0.29,0,0
163,,Lalthathanga Khawlhring,0,0,30,0.71,0,0
164,,Prasanth Karuthadathkuni,0.07,0.07,31.25,0.67,0,0
165,,Jake Jervis,0.2,0.6,33.33,2.4,0,0
166,,Joseba Beitia,0,0,75,0.4,0,0
167,,Rahul Kannoly,0.11,0.17,43.9,1.33,0,0
168,,Manoj Mohammed,0,0,0,0.67,0,0
169,,Emanuel Lalchhanchhuaha,0,0,75,0.22,0,0
170,,Emil Benny,0,0,53.13,0.69,0,0
171,,Abdul Rabeeh,0,0,27.27,0.28,0,0
172,,Harmanjot Singh Khabra,0.14,0,100,0.43,0.14,0
173,,Ashique Kuruniyan,0,0.06,27.66,1,0,0
174,,Seriton Fernandes,0,0,60,0.13,0,0
175,,Chungnunga Lal,0,0,100,0.26,0,0
176,,Jithin MS,0.06,0.13,60,0.69,0,0
177,,Michael Jakobsen,0,0,0,0.1,0,0
178,,Hitesh Sharma,0.05,0.05,28.57,0.42,0,0
179,,Sahil Panwar,0,0,16.67,0.11,0,0
180,,Rochharzela,0.14,0.07,22.22,0.5,0,0
181,,Matt Derbyshire,0.13,0.25,0,1.5,0.13,0
182,,Denechandra Meitei,0,0,66.67,0,0,0
183,,Gursimrat Gill,0,0,0,0,0,0
184,,P C Rohlupuia,0,0,0,0,0,0
185,,Hardik Bhatt,0,0,0,0,0,0
186,,Arshdeep Singh,0,0,0,0,0,0
187,,Syed Suhail Pasha,0,0,0,0,0,0
188,,Princeton Rebello,0,0,0,0,0,0
189,,Narayan Das,0,0,50,0.17,0,0
190,,Jockson Das A,0,0,50,0.33,0,0
191,,Tuhin Das,0,0,0,0.38,0,0
192,,Seminlen Doungel,0,0,80,0.1,0,0
193,,Rohit Danu,0,0.08,50,0.46,0,0
194,,Prabhsukhan Gill,0,0,0,0,0,0
195,,Prabir Das,0,0,15.38,0.47,0,0
196,,Pedro Martin,0.15,0.2,31.25,0.85,0.05,0
197,,Samik Mitra,0,0,0,0,0,0
198,,Jayesh Rane,0,0,42.86,0.33,0,0
199,,Lalrinliana Hnamte,0,0,66.67,0.23,0,0
200,,Boris Thangjam,0.1,0.25,41.89,1.15,0,0
201,,Aiban Dohling,0.05,0,40,0.26,0,0
202,,Nishu Kumar,0,0.06,81.82,0.56,0,0
203,,Marc Valiente,0,0,0,0.13,0,0
204,,Ninthoinganba Meetei,0,0,38.1,0.75,0,0
205,,Imran Khan,0.07,0,42.86,0.79,0,0
206,,Sahal Abdul Samad,0.16,0.05,37.21,1.63,0,0
207,,Jerry Lalrinzuala,0,0,31.25,0.26,0,0
208,,Thongkhosem Haokip,0.07,0,33.33,0.47,0,0
209,,Pragyan Sundar Gogoi,0,0,46.15,0.88,0,0
210,,Gurmukh Singh,0,0,0,0.1,0,0
211,,Peter Hartley,0.13,0,50,1.25,0,0
212,,Reagan Singh,0,0,50,0.13,0,0
213,,Fardin Ali Molla,0,0,0,0.3,0,0
214,,Eliandro,0,0,50,0.14,0,0
215,,Laldinpuia PC,0,0,0,0,0,0
216,,Saurav Mandal,0,0,50,0.23,0,0
217,,Muhammed Uvais,0,0,100,0.67,0,0
218,,Sanjeev Stalin,0,0,50,0,0,0
219,,Jobby Justin,0,0,0,0.4,0,0
220,,Souvik Chakraborty,0,0,100,0.2,0,0
221,,Ankit Mukherjee,0,0,33.33,0.2,0,0
222,,Arindam Bhattacharya,0,0,0,0,0,0
223,,Dheeraj Singh,0,0,0,0,0,0
224,,Sajal Bag,0.2,0.2,14.29,1.2,0,0
225,,Bijoy Varghese,0,0,0,0,0,0
226,,Sumit Rathi,0,0,0,0,0,0
227,,Ravi Bamadur Rana,0,0,0,0,0,0
228,,Ricky John Shabong,0,0,0,0,0,0
229,,Harmanpreet Singh,0,0,0,0,0,0
230,,Athul Unnikrishnan,0,0,0,0,0,0
231,,Mark Zothanpuia,0,0,0,0,0,0
232,,Phijam Vikash Singh,0,0,0,0.5,0,0
233,,Mohammad Rakip,0,0,50,0.17,0,0
234,,Moirangthem Thoiba Singh,0,0,57.14,0.71,0,0
235,,Sanson Pereira,0,0,66.67,0.33,0,0
236,,Mandar Rao Desai,0,0,20,0.4,0,0
237,,Himanshu Jangra,0,0,28.57,0.5,0,0
238,,Aaron Evans,0.11,0,66.67,0.16,0.05,0
239,,Farukh Choudhary,0,0,40,0.69,0,0
240,,Sumeet Passi,0,0.09,0,0.45,0,0
241,,Florentin Pogba,0,0,0,0,0,0
242,,Mashoor Shereef Thangalakath,0,0,0,0,0,0
243,,Aniket Jadhav,0,0,37.5,0.25,0,0
244,,Debjit Majumder,0,0,0,0,0,0
245,,Suvam Sen,0,0,0,0,0,0
246,,Kule Mbombo,0,0.33,25,1.17,0,0
247,,Sheikh Sahil,0,0,0,0,0,0
248,,Amarjit Kiyam Singh,0,0,0,0,0,0
249,,Lalbiakhlua Jongte,0,0,0,0,0,0
250,,Gurkirat Singh,0,0.11,42.86,0.67,0,0
251,,Gaurav Bora,0,0,0,0.21,0,0
252,,Nihal Sudheesh,0,0.2,40,0.6,0,0
253,,Danish Farooq Bhat,0.07,0.07,16.67,0.67,0,0
254,,Ngasepam Tondonba Singh,0,0,0,0,0,0
255,,Alex Saji,0,0,33.33,0.71,0,0
256,,Mohammed Asif Khan,0,0,0,0,0,0
257,,Lalchungnunga Chhangte,0,0,20,0.5,0,0
258,,Mohammed Rafique,0,0,0,0.33,0,0
259,,Hira Mondal,0,0.17,100,0.67,0,0
260,,Gurjinder Kumar,0,0,50,0.36,0,0
261,,Mohammad Dhot,0,0,0,0,0,0
262,,Nikhil Barla,0,0,0,0,0,0
263,,Paul Ramfangzauva,0,0,0,0,0,0
264,,Mohamed Irshad,0,0,45.45,0.27,0,0
265,,Shubham Sarangi,0,0,57.14,0.44,0,0
266,,Joe Zoherliana,0,0,20,0.08,0,0
267,,Leon Augustine,0,0,16.67,0.4,0,0
268,,Laldanmawia Ralte,0,0.17,0,0.17,0,0
269,,Rupert Nongrum,0,0,0,0,0,0
270,,Sehnaj Singh,0,0,0,0,0,0
271,,Pritamkumar Singh,0,0,0,0,0,0
272,,Wahengbam Angousana Luwang,0,0,0,0,0,0
273,,Leander D'Cunha,0,0,0,0,0,0
274,,Akshunna Tyagi,0,0,0,0,0,0
