#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
96,,Kamaljit Singh,0.06,0,50,62.5,0,0
97,,Vignesh Dakshinamurthy,0.06,0,64.86,57.94,0.13,0.75
98,,Rahim Ali,0.07,0,42.11,39.29,0.53,0.87
99,,Jordan O'Doherty,0.06,0,29.41,55.56,0.44,0.28
100,,Jessel Carneiro,0.06,0,55.81,60.92,0.56,0.11
101,,Marko Lešković,0.21,0,53.33,52.24,0.43,0.79
102,,Issac Vanmalsawma,0.1,0,31.58,51.28,0.6,0.3
103,,Namgyal Bhutia,0,0,11.11,42.59,0.3,0.3
104,,Mohammad Yasir,0.05,0,33.33,39.59,1.2,0.6
105,,Ruivah Hormipam,0.15,0,43.48,50.88,0.4,0.7
106,,Lenny Rodrigues,0.27,0.09,50,48.39,0.27,0.36
107,,Álvaro Vázquez,0.06,0,11.11,51.43,0.59,0.12
108,,Anuj Kumar,0.5,0,100,100,0,0.5
109,,Laldinliana Renthlei,0.18,0,59.38,60.91,0.41,1.12
110,,Deepak Tangri,0.18,0,47.83,52.31,0,1.27
111,,Vishal Yadav,0,0,100,80,0.11,0
112,,Nikhil Poojary,0.1,0,70.83,57.31,1,0.95
113,,Rafael Crivellaro,0,0,36.36,40.63,1.8,0.5
114,,Osama Malik,0.07,0,68.97,70.11,0.47,0.33
115,,Ayush Dev Chhetri,0.05,0,23.08,53.68,0.3,0.55
116,,Ion Gaztañaga,0.46,0,33.33,50,0.77,1.54
117,,Victor Mongil Adeva,0.06,0,62.5,64.86,0.33,0.22
118,,Aaren D'Silva,0.07,0,54.55,53.85,0.21,0.14
119,,Kiyan Nassiri,0.06,0,30,45.24,0.44,0.38
120,,Carlos Delgado,0.05,0,60,59.09,0.48,0.81
121,,Ritwik Kumar Das,0.06,0,40.91,40.99,0.89,0.28
122,,Rowllin Borges,0.13,0,33.33,36.11,0.13,0.31
123,,Hernán,0,0,100,80,1,0
124,,Víctor Rodríguez,0,0,33.33,46.3,0.93,0.07
125,,Fallou Diagne,0.26,0,59.52,55.06,0.21,0.84
126,,Yumkhaibam Jiteshwor Singh,0.13,0,0,39.39,0.5,1.13
127,,Parag Srivas,0.21,0,60,49.46,0.26,0.68
128,,Jerry Mawihmingthanga,0.05,0,20.59,37.98,0.8,0.65
129,,Pablo Pérez,0.14,0,33.33,44.71,0.57,0.43
130,,Vikram Pratap Singh,0.16,0,23.08,40,0.58,0.47
131,,Saviour Gama,0,0,70,70,0.25,0.25
132,,Vafa Hakhamaneshi,0.06,0.06,65.57,57.66,0.44,0.94
133,,Makan Winkle Chote,0,0,50,51.61,0.2,0.2
134,,Aleksandar Jovanović,0,0,63.64,57.14,0.13,0.38
135,,Raynier Fernandes,0.05,0,27.5,30.84,0.3,0.8
136,,Joel Chianese,0.15,0,23.81,37.01,0.85,0.8
137,,Germanpreet Singh,0,0,33.33,47.06,0.6,0.4
138,,Sylvester Igboun,0,0,0,60,0,0
139,,Michael Soosairaj,0,0,0,100,0,0
140,,Lalruatthara,0,0,0,40,0,0.5
141,,Ayush Chhikara,0,0,60,40,0,1
142,,Ajith Kumar,0.27,0.07,36.84,55.19,1.13,1.33
143,,Sahil Tavora,0.14,0,29.17,54.02,0.52,0.57
144,,Charis Kyriakou,0.11,0,69.7,67.57,0.39,0.39
145,,Mobashir Rahman,0.08,0.08,31.25,41.43,0.31,0.92
146,,Amrinder Singh,0.14,0,85.71,91.67,0.1,0
147,,V.P. Suhair,0.44,0,33.33,39.81,1.06,2.17
148,,Narender Gahlot,0.28,0,55.56,56.06,0.5,0.67
149,,Ishan Pandita,0,0,23.53,37.04,0.29,0.24
150,,Romain Philippoteaux,0.06,0,0,44.79,0.94,0.33
151,,Udanta Singh Kumam,0.06,0,20,36.84,0.41,0.24
152,,Redeem Tlang,0.11,0,40.74,44.62,0.61,0.72
153,,Eli Sabiá,0.2,0.07,60.71,58.82,0.13,1
154,,Jitendra Singh,0.15,0,40,53.7,0.46,0.31
155,,Parthib Gogoi,0.11,0,25,32.29,0.33,0.44
156,,Nikhil Prabhu,0.2,0,83.33,80,0.2,0.2
157,,Ayush Adhikari,0,0,0,37.5,0.33,0
158,,Suresh Wangjam Singh,0.24,0,55.56,45.1,0.9,1.81
159,,Rehnesh Paramba,0,0,100,100,0,0
160,,Devendra Dhaku Murgaokar,0,0,30,57.45,0.75,0.42
161,,Ricky Lallawmawma,0.05,0,37.93,52.21,0.3,0.9
162,,Sourav Das,0.14,0,57.14,53.13,0.29,1.14
163,,Lalthathanga Khawlhring,0.07,0,40,36.23,0.21,0.93
164,,Prasanth Karuthadathkuni,0,0,53.33,48.24,0.33,0.6
165,,Jake Jervis,0,0,61.29,51.61,1.4,1.6
166,,Joseba Beitia,0,0,40,50,1.8,0.8
167,,Rahul Kannoly,0.33,0.06,43.86,41.71,0.67,1.61
168,,Manoj Mohammed,0,0,100,71.43,0.33,0.67
169,,Emanuel Lalchhanchhuaha,0,0,22.22,54.72,0.89,0.44
170,,Emil Benny,0,0,100,46.75,0.31,0.5
171,,Abdul Rabeeh,0,0,25,43.64,0.28,0.22
172,,Harmanjot Singh Khabra,0.43,0,40,50,0.14,0.57
173,,Ashique Kuruniyan,0.22,0.06,21.43,42.86,1.5,1.11
174,,Seriton Fernandes,0,0,66.67,58.82,0.4,1
175,,Chungnunga Lal,0.21,0,48.89,48,0.05,0.95
176,,Jithin MS,0,0,35.71,51.28,0.75,0.69
177,,Michael Jakobsen,0.2,0,70.59,68.89,1.3,0.5
178,,Hitesh Sharma,0.11,0,54.84,42.98,0.68,1.21
179,,Sahil Panwar,0.11,0.06,64.29,51.61,0.17,1.22
180,,Rochharzela,0.21,0,0,34.43,0.29,0.71
181,,Matt Derbyshire,0,0,27.5,39.34,1,0.25
182,,Denechandra Meitei,0.07,0,16.67,50,0.36,0.43
183,,Gursimrat Gill,0,0,0,50,1,0
184,,P C Rohlupuia,0,0,0,0,0,0
185,,Hardik Bhatt,0,0,0,20,0,2
186,,Arshdeep Singh,0,0,100,100,0,0
187,,Syed Suhail Pasha,0,0,0,66.67,0,0
188,,Princeton Rebello,0,0,75,46.15,0.33,1
189,,Narayan Das,0.17,0,37.5,47.62,0,0.33
190,,Jockson Das A,0,0,40,60,0.5,0.33
191,,Tuhin Das,0.13,0,33.33,47.06,0.13,0.25
192,,Seminlen Doungel,0.1,0,28.57,51.22,0.4,0.7
193,,Rohit Danu,0,0,25,43.48,0.92,0.54
194,,Prabhsukhan Gill,0.17,0,50,54.55,0.17,0.11
195,,Prabir Das,0.11,0,67.57,48.72,0.37,0.84
196,,Pedro Martin,0.15,0,44.19,35.78,0.55,0.95
197,,Samik Mitra,0.3,0,100,100,0.2,0
198,,Jayesh Rane,0.11,0,62.5,45.45,0.22,0.56
199,,Lalrinliana Hnamte,0.08,0,55.56,52.78,0.23,0.15
200,,Boris Thangjam,0.15,0,29.41,47.01,1.45,0.8
201,,Aiban Dohling,0.11,0,59.57,52.67,0.63,0.32
202,,Nishu Kumar,0.19,0,67.86,52.81,0.25,0.56
203,,Marc Valiente,0.13,0,54.55,47.06,0,0.25
204,,Ninthoinganba Meetei,0,0,33.33,50,0.33,0
205,,Imran Khan,0.07,0,0,38.24,0.43,0.14
206,,Sahal Abdul Samad,0.05,0,34.78,34.78,0.53,0.74
207,,Jerry Lalrinzuala,0.16,0,15.79,51.91,1.11,0.79
208,,Thongkhosem Haokip,0.07,0,29.85,31.48,0.67,0.4
209,,Pragyan Sundar Gogoi,0.25,0,31.82,39.77,0.5,0.94
210,,Gurmukh Singh,0,0,40,44.44,0.1,0.2
