#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
102,,Benoît Badiashile,0.18,0,0,0.45,0.18,0
103,,Junya Ito,0.17,0.17,50,1.2,0.03,0
104,,Emmanuel Agbadou,0,0.03,57.14,0.76,0,0
105,,Adam Ounas,0.05,0.1,54.41,1.24,0,0
106,,Maximiliano Caufriez,0.04,0,45.45,0.54,0,0
107,,Hamari Traore,0.03,0.03,50,0.97,0,0
108,,Montassar Talbi,0.03,0.03,63.64,0.24,0.03,0
109,,Youssouf Ndayishimiye,0.1,0,75,0.8,0,0
110,,Nicolas Pépé,0.32,0.53,50.75,2.58,0,0
111,,Faouzi Ghoulam,0,0,100,0.14,0,0
112,,Baptiste Santamaria,0.08,0,56.25,0.76,0,0
113,,Adrien Truffert,0,0,52.5,0.36,0,0
114,,Malo Gusto,0,0.05,50,0.33,0,0
115,,Ludovic Blas,0.19,0.22,52.9,2.68,0.03,0
116,,Saîf-Eddine Khaoui,0.21,0.18,53.33,1.38,0,0
117,,Adrien Thomasson,0.14,0.11,71.43,1.09,0,0
118,,Angel Gomes,0.06,0.06,66.67,1.56,0,0
119,,Steve Mounié,0.26,0.35,52.63,2.57,0.13,0
120,,Mathias Autret,0.09,0.13,41.67,1.04,0,0
121,,Frédéric Guilbert,0,0.06,48.39,0.67,0,0
122,,Brendan Chardonnet,0,0.03,100,0.53,0,0
123,,Guillermo Maripán,0.12,0.08,20,0.62,0.12,0
124,,Jean-Clair Todibo,0,0.03,77.78,0.41,0,0
125,,Sofiane Diop,0.09,0.17,46,1.3,0.04,0
126,,Alexander Nübel,0,0,0,0,0,0
127,,Vanderson,0.03,0.06,45.76,0.84,0,0
128,,Nordi Mukiele,0,0.05,33.33,0.58,0,0
129,,Lucien Agoumé,0,0.07,50,0.6,0,0
130,,Julien Laporte,0,0,100,0.3,0,0
131,,Marshall Munetsi,0.21,0.32,51.28,2,0.03,0
132,,Leonardo Balerdi,0,0.06,69.23,0.31,0,0
133,,Axel Disasi,0.08,0.05,72.41,0.76,0,0
134,,Alexsandro Ribeiro,0.14,0.05,70,0.81,0.14,0
135,,Breel Embolo,0.38,0.25,47.76,1.28,0.16,0
136,,Laurent Abergel,0,0,62.16,0.45,0,0
137,,Folarin Balogun,0.57,0.7,43.21,3.46,0.05,0
138,,Quentin Merlin,0.04,0,61.11,0.63,0,0
139,,Jubal,0.08,0.08,50,0.51,0.03,0
140,,Achraf Hakimi,0.18,0.11,46.77,0.64,0,0
141,,Mikkel Desler,0.04,0.04,62.79,0.41,0,0
142,,Samuel Gigot,0.08,0.12,50,0.46,0.04,0
143,,Lovro Majer,0.06,0.03,68.29,1.06,0,0
144,,Warmed Omari,0,0.06,100,0.19,0,0
145,,Aaron Ramsey,0.04,0.11,73.68,0.81,0,0
146,,Marco Bizot,0,0,0,0,0,0
147,,Lilian Raolisoa,0.14,0,75,0.43,0,0
148,,Rominigue Kouamé,0.03,0,76.92,0.75,0,0
149,,Muhammed Cham-Saračević,0.18,0.11,54.39,1.39,0,0
150,,Youcef Atal,0.06,0.11,46.34,0.67,0,0
151,,Mateusz Lis,0,0,0,0,0,0
152,,Alidu Seidu,0,0,78.05,0.21,0,0
153,,Joris Chotard,0,0.03,59.09,0.34,0,0
154,,Facundo Medina,0.06,0.09,72.73,0.56,0,0
155,,Xavier Chavalerin,0.12,0,64.29,0.79,0.03,0
156,,Arthur Theate,0.11,0.11,50,0.89,0.06,0
157,,Ross Barkley,0.15,0.19,60,1.41,0,0
158,,Mattéo Guendouzi,0.06,0.09,56,0.76,0.03,0
159,,Neto Borges,0.09,0.12,54.02,0.7,0.06,0
160,,Tiago Djaló,0.08,0.12,45.45,0.6,0.04,0
161,,Yuito Suzuki,0.33,0,75,0.67,0,0
162,,Ruan Potó,0,0,100,0.67,0,0
163,,Jean Claude Billong,0,0,0,0,0,0
164,,Flavius Daniliuc,0,0,0,0,0,0
165,,Bamo Meïté,0.06,0.06,80,0.18,0,0
166,,Elye Wahi,0.58,0.36,43.94,1.91,0.09,0
167,,Sanjin Prcić,0.03,0,73.68,0.97,0,0
168,,Karl Toko Ekambi,0.19,0.25,57.58,1.75,0,0
169,,Krépin Diatta,0.13,0.1,64,1.29,0,0
170,,Thiago Mendes,0.03,0,54.55,0.45,0,1.61
171,,Pedro Chirivella,0,0,57.14,0.62,0,0
172,,Joe Rodon,0.06,0,100,0.44,0.06,0
173,,Rafael Ratão,0.17,0.13,50.67,1.03,0,0
174,,Ruslan Malinovskyi,0.05,0.05,67.5,1.75,0,0
175,,Anthony Rouault,0.05,0.11,37.5,0.51,0,0
176,,Farès Chaïbi,0.14,0.19,36.36,1.75,0,0
177,,Steve Mandanda,0,0,100,0,0,0
178,,Bradley Barcola,0.19,0.23,50.63,1.04,0,0
179,,Lucas Chevalier,0,0,0,0,0,0
180,,Dimitri Liénard,0,0.04,40,0.46,0,0
181,,Han-Noah Massengo,0,0.07,54.84,0.93,0,0
182,,Morgan Sanson,0.06,0.22,47.22,1.78,0,0
183,,Jordan Lotomba,0,0.06,59.38,0.39,0,0
184,,David Pereira da Costa,0.03,0.1,62.79,0.84,0,0
185,,Sinaly Diomandé,0,0.04,66.67,0.42,0,0
186,,Ludovic Ajorque,0.08,0.08,60,1.77,0,0
187,,Anthony Lopes,0,0,0,0,0,0
188,,Rayan Raveloson,0.06,0.06,44.44,0.85,0,0.98
