#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
106,,Maximiliano Caufriez,0,0.27,0,0,0.92,0.04
107,,Hamari Traore,0,0.19,0,0,0.81,0.13
108,,Montassar Talbi,0,0.21,0,0,1.18,0.21
109,,Youssouf Ndayishimiye,0,0.2,0,0,0.6,0
110,,Nicolas Pépé,0,0.16,0,0,0.79,0.11
111,,Faouzi Ghoulam,0,0,0,0,0.86,0.14
112,,Baptiste Santamaria,0,0.24,0,0,0.76,0.08
113,,Adrien Truffert,0,0.11,0,0,0.86,0.04
114,,Malo Gusto,0,0.1,0,0,1.14,0.1
115,,Ludovic Blas,0,0.16,0,0,0.97,0
116,,Saîf-Eddine Khaoui,0,0.03,0,0,0.74,0
117,,Adrien Thomasson,0,0.03,0,0,0.83,0.09
118,,Angel Gomes,0,0.06,0,0,0.92,0.08
119,,Steve Mounié,0,0.22,0,0,0.7,0.09
120,,Mathias Autret,0,0,0,0,1,0.13
121,,Frédéric Guilbert,0,0.11,0,0,1.28,0.11
122,,Brendan Chardonnet,0,0.2,0,0,1.17,0.07
123,,Guillermo Maripán,0,0.19,0,0,1.15,0.08
124,,Jean-Clair Todibo,0,0.26,0,0,0.74,0.12
125,,Sofiane Diop,0,0.04,0,0,0.3,0.17
126,,Alexander Nübel,3.68,0.24,0.13,0,1.42,0.11
127,,Vanderson,0,0.1,0,0,1.13,0
128,,Nordi Mukiele,0,0.26,0,0,0.53,0.05
129,,Lucien Agoumé,0,0,0,0,1.53,0.4
130,,Julien Laporte,0,0.15,0,0,1.2,0.1
131,,Marshall Munetsi,0,0.18,0,0,0.94,0.21
132,,Leonardo Balerdi,0,0.2,0,0,0.74,0.14
133,,Axel Disasi,0,0.24,0,0,1.37,0.11
134,,Alexsandro Ribeiro,0,0.14,0,0,1.05,0.14
135,,Breel Embolo,0,0.16,0,0,0.97,0.03
136,,Laurent Abergel,0,0.14,0,0,1.03,0.17
137,,Folarin Balogun,0,0.14,0,0,0.84,0.16
138,,Quentin Merlin,0,0.08,0,0,1.08,0.08
139,,Jubal,0,0.19,0,0,1.41,0.16
140,,Achraf Hakimi,0,0.29,0,0,0.61,0.07
141,,Mikkel Desler,0,0.19,0,0,1.15,0.15
142,,Samuel Gigot,0,0.12,0,0,0.62,0.15
143,,Lovro Majer,0,0.13,0,0,0.41,0.09
144,,Warmed Omari,0,0.44,0,0,0.69,0.13
145,,Aaron Ramsey,0,0.11,0,0,0.33,0.04
146,,Marco Bizot,3.38,0.22,0.24,0.05,1.35,0.11
147,,Lilian Raolisoa,0,0,0,0,0.57,0
148,,Rominigue Kouamé,0,0.03,0,0,1.59,0.31
149,,Muhammed Cham-Saračević,0,0,0,0,0.82,0.03
150,,Youcef Atal,0,0,0,0,0.22,0.11
151,,Mateusz Lis,3.89,0.11,0.33,0.11,1.56,0.22
152,,Alidu Seidu,0,0.25,0,0,1.14,0.04
153,,Joris Chotard,0,0.17,0,0,1.2,0.06
154,,Facundo Medina,0,0.28,0,0,0.66,0.13
155,,Xavier Chavalerin,0,0.03,0,0,1.44,0.24
156,,Arthur Theate,0,0.29,0,0,0.97,0.11
157,,Ross Barkley,0,0,0,0,0.37,0.15
158,,Mattéo Guendouzi,0,0.12,0,0,0.64,0.09
159,,Neto Borges,0,0.27,0,0,1.27,0.03
160,,Tiago Djaló,0,0.24,0,0,0.88,0.08
161,,Yuito Suzuki,0,0,0,0,0.33,0
162,,Ruan Potó,0,0,0,0,0.33,0.33
163,,Jean Claude Billong,0,0,0,0,0,0
164,,Flavius Daniliuc,0,0,0,0,0.5,0
165,,Bamo Meïté,0,0.29,0,0,0.94,0.35
166,,Elye Wahi,0,0.03,0,0,1.24,0.06
167,,Sanjin Prcić,0,0.03,0,0,1.17,0.1
168,,Karl Toko Ekambi,0,0.06,0,0,0.58,0.11
169,,Krépin Diatta,0,0.03,0,0,1.06,0.1
170,,Thiago Mendes,0,0.1,0,0,0.74,0.06
171,,Pedro Chirivella,0,0.12,0,0,1.04,0.08
172,,Joe Rodon,0,0.25,0,0,1,0.06
173,,Rafael Ratão,0,0,0,0,0.97,0.13
174,,Ruslan Malinovskyi,0,0.05,0,0,0.8,0.05
175,,Anthony Rouault,0,0.22,0,0,1.27,0.22
176,,Farès Chaïbi,0,0.08,0,0,0.69,0.14
177,,Steve Mandanda,2.35,0.35,0.09,0.03,0.85,0.06
178,,Bradley Barcola,0,0.04,0,0,0.69,0
179,,Lucas Chevalier,2.44,0.31,0.09,0.03,0.88,0.09
180,,Dimitri Liénard,0,0.04,0,0,0.82,0.04
181,,Han-Noah Massengo,0,0.21,0,0,0.79,0.14
182,,Morgan Sanson,0,0.11,0,0,1.11,0.11
183,,Jordan Lotomba,0,0.24,0,0,0.61,0.18
184,,David Pereira da Costa,0,0,0,0,0.19,0.06
185,,Sinaly Diomandé,0,0.17,0,0,1.13,0.08
186,,Ludovic Ajorque,0,0,0,0,1.15,0.23
187,,Anthony Lopes,3,0.22,0.22,0,1.13,0.09
188,,Rayan Raveloson,0,0.15,0,0,1.09,0.09
189,,Youssouf Fofana,0,0.25,0,0,1.22,0.11
190,,Eliesse Ben Seghir,0,0,0,0,0.89,0.05
191,,Melvin Bard,0,0.15,0,0,0.76,0.21
192,,Mostafa Mohamed,0,0,0,0,0.89,0.03
193,,Djed Spence,0,0.25,0,0,0.63,0
194,,Jonas Omlin,3.57,0.14,0.29,0.07,1.79,0.07
195,,Vitinha,0,0.08,0,0,0.72,0.06
196,,Christopher Jullien,0,0.3,0,0,1.43,0.07
197,,Mahdi Camara,0,0.1,0,0,0.84,0.06
198,,Cheick Keita,0,0.11,0,0,0.56,0.11
199,,Florent Mollet,0,0.05,0,0,1.05,0.05
200,,Jonathan Bamba,0,0.12,0,0,1.09,0.12
201,,Arnaud Nordin,0,0.08,0,0,1.08,0.06
202,,José Fonte,0,0.26,0,0,0.9,0.06
203,,Thijs Dallinga,0,0.06,0,0,0.92,0.08
204,,Sead Kolašinac,0,0.12,0,0,0.61,0.06
205,,Sacha Delaye,0,0,0,0,0.33,0
206,,André Gomes,0,0.08,0,0,0.69,0.08
207,,Gideon Mensah,0,0.15,0,0,1.54,0.19
208,,Paul Joly,0,0.1,0,0,1.9,0.1
209,,Mateusz Wieteska,0,0.23,0,0,1.31,0.03
210,,Christopher Wooh,0,0.29,0,0,0.79,0.07
211,,Nicolas Pallois,0,0.15,0,0,1.46,0.08
212,,Lilian Brassier,0,0.22,0,0,1.28,0.08
213,,Souleymane Isaak Touré,0,0.13,0,0,0.88,0.13
214,,Mohamed Camara,0,0.21,0,0,1.28,0.1
215,,Kevin Volland,0,0,0,0,0.53,0.18
216,,Julien Le Cardinal,0,0,0,0,0.25,0
217,,Maxime Le Marchand,0,0.15,0,0,1.12,0.08
218,,Mounaim El Idrissy,0,0.09,0,0,1.19,0.25
219,,Matz Sels,3.03,0.16,0.29,0,1.42,0.13
220,,Mama Baldé,0,0,0,0,1.71,0.29
221,,Jean-Charles Castelletto,0,0.28,0,0,1.22,0.06
222,,Quentin Bernard,0,0.14,0,0,1.43,0.29
223,,Ismaily,0,0.26,0,0,0.91,0.09
224,,Andy Delort,0,0,0,0,0.58,0.12
225,,Alexis Claude-Maurice,0,0,0,0,0.27,0.14
226,,Presnel Kimpembe,0,0.18,0,0,0.82,0
227,,Désiré Doué,0,0,0,0,0.5,0.04
228,,Massadio Haïdara,0,0.25,0,0,0.22,0.03
229,,Jean Onana,0,0,0,0,0.33,0.05
230,,Loïc Badé,0,0,0,0,1,0
231,,Antonin Bobichon,0,0,0,0,0,0
232,,Kays Ruiz-Atil,0,0,0,0,1,0
233,,Eli Junior Kroupi,0,0,0,0,0,0
234,,Fallou Fall,0,0,0,0,0,1
235,,Nathan Zeze,0,0,0,0,0,0
236,,Grejohn Kyei,0,0.03,0,0,0.73,0
237,,Habib Diarra,0,0.03,0,0,0.83,0.1
238,,Bafodé Diakité,0,0.24,0,0,0.91,0.09
239,,Antoine Mendy,0,0.09,0,0,0.45,0
240,,Jens Cajuste,0,0,0,0,0.52,0.1
241,,Flavien Tait,0,0.03,0,0,0.63,0.03
242,,Jaouen Hadjam,0,0.08,0,0,0.77,0.08
243,,Andreaw Gravillon,0,0.15,0,0,1.15,0.23
244,,Carlos Soler,0,0,0,0,0.54,0.08
245,,Billal Brahimi,0,0,0,0,0.27,0.04
246,,Hugo Ekitiké,0,0,0,0,0.64,0.08
247,,Logan Costa,0,0.17,0,0,1,0
248,,Rubén Blanco,2.5,0,0,0,0.67,0.33
249,,Kévin Gameiro,0,0,0,0,0.97,0.03
250,,Ismael Doukoure,0,0.14,0,0,1.14,0.07
251,,Vincent Le Goff,0,0.22,0,0,1.22,0.19
252,,Pape Gueye,0,0,0,0,0.21,0.14
253,,Eric Bailly,0,0.06,0,0,0.47,0.12
254,,Gauthier Gallon,3.8,0,0.17,0,1.8,0.37
255,,Thomas Mangani,0,0.04,0,0,1.23,0.15
256,,Maxime Gonalons,0,0,0,0,0.8,0.04
257,,Salis Abdul Samed,0,0.36,0,0,0.61,0.06
258,,Chrislain Matsima,0,0.07,0,0,1,0.07
259,,Reda Belahyane,0,0,0,0,0.5,0
260,,Yahia Fofana,3.27,0.09,0.18,0.09,1.45,0.27
261,,Ibrahima Kone,0,0,0,0,0.43,0.19
262,,Amine Harit,0,0.1,0,0,0.5,0
263,,Cédric Bakambu,0,0,0,0,0.33,0
264,,Jean Lucas,0,0,0,0,0.83,0
265,,Ismael Gharbi,0,0,0,0,0,0
266,,Wout Faes,0,0,0,0,1.67,0.33
267,,Yohann Magnin,0,0.13,0,0,0.92,0
268,,Gedeon Kalulu,0,0.17,0,0,1.17,0.21
269,,Renato Sanches,0,0,0,0,0.35,0.04
270,,Issiaga Sylla,0,0.28,0,0,1,0.09
271,,Myziane Maolida,0,0,0,0,0,0.11
272,,Jeanuel Belocian,0,0.25,0,0,0.25,0.13
273,,Tanguy Zoukrou,0,0,0,0,1.5,0.13
274,,Deiver Machado,0,0.03,0,0,0.61,0.09
275,,Wesley Saïd,0,0,0,0,0.29,0
276,,Aïman Maurer,0,0,0,0,1,0
277,,Juan Bernat,0,0.14,0,0,0.64,0.04
278,,Ronaël Pierre-Gabriel,0,0,0,0,0.93,0.21
279,,Rémy Riou,2.43,0.14,0.57,0,1.14,0
280,,Ignatius Ganago,0,0,0,0,0.88,0.06
281,,Lucas Perrin,0,0.12,0,0,0.92,0.12
282,,Wahbi Khazri,0,0,0,0,1,0.04
283,,Pablo Rosario,0,0.06,0,0,0.68,0.16
284,,Arnaud Kalimuendo,0,0,0,0,0.73,0.07
285,,Yusuf Yazıcı,0,0,0,0,1.5,0.25
286,,Lesley Ugochukwu,0,0.04,0,0,0.58,0.08
287,,Soungoutou Magassa,0,0,0,0,0.5,0
288,,Denys Bain,0,0,0,0,1,0.5
289,,Nuno Da Costa,0,0,0,0,0.85,0.12
290,,Birama Touré,0,0.16,0,0,1.42,0.18
291,,Thomas Delaine,0,0.06,0,0,1.06,0.06
292,,Elbasan Rashani,0,0.03,0,0,0.94,0.03
293,,Zakaria Aboukhlal,0,0,0,0,1,0.22
294,,Timothy Weah,0,0.03,0,0,0.55,0.07
295,,Miha Blažič,0,0.13,0,0,1.63,0.04
296,,Jordan Ferri,0,0.24,0,0,1.38,0.09
297,,Maxime Estève,0,0.17,0,0,1.22,0.04
298,,Faitout Maouassa,0,0.06,0,0,1.06,0.06
299,,Igor Silva,0,0.14,0,0,0.43,0.29
300,,Damien Da Silva,0,0,0,0,0.71,0.14
301,,Moses Simon,0,0.06,0,0,1.03,0.09
302,,Mathias Pereira Lage,0,0,0,0,1,0.04
303,,Calvin Stengs,0,0,0,0,0.75,0
304,,Haris Belkebla,0,0.16,0,0,1.08,0.05
305,,Komnen Andrić,0,0,0,0,0.74,0.03
306,,Takumi Minamino,0,0,0,0,0.5,0
307,,Mehdi Zeffane,0,0,0,0,0.33,0
308,,Kamory Doumbia,0,0,0,0,0.38,0.08
309,,Azzedine Ounahi,0,0.05,0,0,1.36,0.05
310,,Gaëtan Perrin,0,0,0,0,0.65,0.03
311,,Thomas Foket,0,0.38,0,0,0.79,0.25
312,,Hugo Magnetti,0,0.03,0,0,0.88,0.09
313,,Jeffinho,0,0,0,0,0.78,0
314,,Colin Dagba,0,0,0,0,0.57,0.05
315,,Warren Kamanzi,0,0.09,0,0,0.64,0.18
316,,Christophe Herelle,0,0.19,0,0,0.81,0.06
317,,Jeff Reine-Adélaïde,0,0,0,0,0.55,0.1
318,,Khalil Fayad,0,0,0,0,0.63,0
319,,Mitchell Van Bergen,0,0,0,0,0.39,0.14
320,,Jean-Eudes Aholou,0,0,0,0,0.67,0.07
321,,Gauthier Hein,0,0,0,0,0.89,0.11
322,,Jackson Porozo,0,0,0,0,1.5,0.32
323,,Edan Diop,0,0,0,0,0.57,0.14
324,,Jere Uronen,0,0,0,0,0.83,0.33
325,,Leny Yoro,0,0.15,0,0,0.85,0.08
326,,Mathieu Coutadeur,0,0.11,0,0,1.15,0.19
327,,Stredair Appuah,0,0,0,0,0.2,0
328,,Youssouf Koné,0,0.08,0,0,0.85,0.31
329,,Rudy Kohon,0,0,0,0,1,1
330,,Brandon Baiye,0,0,0,0,0.29,0
331,,Leo Leroy,0,0.04,0,0,0.63,0.07
332,,Mohamed Bayo,0,0,0,0,0.3,0
333,,Julian Jeanvier,0,0.09,0,0,1.41,0.18
334,,Yvon Mvogo,3.33,0.14,0.05,0,1.24,0.14
335,,Adil Rami,0,0,0,0,1.35,0.3
336,,Eduard Sobol,0,0,0,0,0.93,0
337,,Jodel Dossou,0,0,0,0,0.33,0
338,,Nicolas Cozza,0,0.06,0,0,1.59,0.12
339,,Ismaël Boura,0,0,0,0,0.22,0
340,,Issa Kaboré,0,0.05,0,0,0.41,0.09
341,,Falaye Sacko,0,0.26,0,0,1.23,0.06
342,,Achraf Dari,0,0.11,0,0,1.56,0.11
343,,Youssouf M'Changama,0,0.04,0,0,0.77,0.12
344,,Bevic Moussiti Oko,0,0,0,0,0.53,0.12
345,,Jérémy Le Douaron,0,0.03,0,0,0.81,0.09
346,,Stephy Mavididi,0,0,0,0,0.92,0
347,,Gerson,0,0,0,0,0.3,0.2
348,,Bingourou Kamara,3,0,0.6,0.2,2,0.2
349,,Vitinha,0,0,0,0,0.5,0.07
350,,Gabriel Gudmundsson,0,0.06,0,0,0.78,0.11
351,,Vincent Marchetti,0,0.16,0,0,1.23,0.26
352,,Alexis Beka Beka,0,0,0,0,0.57,0.07
353,,Brecht Dejaegere,0,0,0,0,0.73,0.23
354,,Samuel Moutoussamy,0,0.17,0,0,1.09,0.03
355,,Nuno Tavares,0,0.13,0,0,0.81,0.19
356,,Abdu Conté,0,0.05,0,0,1.16,0.21
357,,Evann Guessand,0,0,0,0,0.63,0.07
358,,Alexandre Coeff,0,0.14,0,0,1.86,0.14
359,,Thibault De Smet,0,0.41,0,0,0.5,0.14
360,,Lohann Doucet,0,0,0,0,0,0
361,,Johann Lepenant,0,0.1,0,0,0.77,0.03
362,,Abdallah Sima,0,0,0,0,1.15,0.15
363,,Noah Fadiga,0,0.1,0,0,0.95,0.14
364,,Marcus Coco,0,0,0,0,0.27,0
365,,Cédric Hountondji,0,0.11,0,0,1.83,0.19
366,,Ibrahim Salah,0,0,0,0,0.23,0
367,,Dion Lopy,0,0.1,0,0,0.34,0.21
368,,Siriné Doucouré,0,0,0,0,0.08,0
369,,Qazim Laci,0,0,0,0,0.33,0.11
370,,Ousmane Camara,0,0,0,0,0,0
371,,Ibrahima Sissoko,0,0,0,0,0.77,0.04
372,,Houssem Aouar,0,0,0,0,0.38,0
373,,Remy Dugimont,0,0,0,0,0.18,0
374,,Malang Sarr,0,0.08,0,0,0.92,0.15
375,,Florent Ogier,0,0.15,0,0,1.08,0
376,,Łukasz Poręba,0,0,0,0,0.2,0
377,,Maghnes Akliouche,0,0,0,0,0.27,0.09
378,,Arbër Zeneli,0,0,0,0,0.26,0.04
379,,Ahmadou Bamba Dieng,0,0,0,0,0.28,0.12
380,,Lassine Sinayoko,0,0.03,0,0,0.79,0.12
381,,Gaëtan Charbonnier,0,0,0,0,1.33,0.17
382,,Pablo Sarabia,0,0,0,0,0.14,0
383,,Yanis Cimignani,0,0.13,0,0,0.13,0.13
384,,Naatan Skyttä,0,0,0,0,0,0
385,,Gaël Kakuta,0,0,0,0,0,0
386,,Matis Carvalho,2.5,0,0,0,1,0.5
387,,Alexis Tibidi,0,0,0,0,0.67,0
388,,Amine Salama,0,0,0,0,1.04,0.08
389,,Vincent Sierro,0,0,0,0,0.53,0
390,,Moussa Diarra,0,0.09,0,0,0.7,0.17
391,,Matthis Abline,0,0,0,0,0.43,0.03
392,,Théo Le Bris,0,0.04,0,0,0.78,0.07
393,,Yoann Salmier,0,0,0,0,1.75,0.28
394,,Nordine Kandil,0,0,0,0,0.14,0
395,,Adrien Hunou,0,0.03,0,0,1.41,0.15
396,,Gabriel Suazo,0,0.17,0,0,0.94,0.06
397,,Ayman Kari,0,0,0,0,0.4,0
398,,Nathanaël Mbuku,0,0,0,0,0.33,0
399,,Charles Traoré,0,0,0,0,0.42,0.08
400,,Jean-Kevin Duverne,0,0.15,0,0,1.09,0.06
401,,Xeka,0,0,0,0,0.63,0.13
402,,Jérôme Boateng,0,0.13,0,0,0.75,0
403,,Jérémie Bela,0,0,0,0,0.53,0
404,,Denis Genreau,0,0,0,0,0.3,0
405,,Yan Valery,0,0.1,0,0,1.7,0.2
406,,Saël Kumbedi,0,0.1,0,0,0.8,0.05
407,,Henrique,0,0,0,0,0.71,0
408,,Mohamed Youssouf,0,0.1,0,0,1.63,0.27
409,,Renaud Ripart,0,0.04,0,0,0.92,0.15
410,,Kamaldeen Sulemana,0,0,0,0,0.14,0
411,,Waniss Taibi,0,0,0,0,0.45,0
412,,Ibrahim Amadou,0,0,0,0,1,0.29
413,,Romain Hamouma,0,0,0,0,1,0.32
414,,Mattia Viti,0,0,0,0,0.89,0.33
415,,Valère Germain,0,0,0,0,0.39,0.03
416,,Ado Onaiwu,0,0,0,0,0.53,0.09
417,,Gerzino Nyamsi,0,0.05,0,0,1.55,0.15
418,,Timothée Pembélé,0,0,0,0,1.6,0
419,,Jean-Victor Makengo,0,0.27,0,0,0.73,0.2
420,,Arial Mendy,0,0,0,0,0.4,0.2
421,,Fernand Mayembo,0,0.18,0,0,1.36,0.27
422,,Siriki Dembélé,0,0,0,0,0.25,0.08
423,,Arnaud Souquet,0,0,0,0,0.67,0.08
