#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Brice Samba,0.08,0,81.82,84.21,0.16,0
98,,Himad Abdelli,0.1,0,43.9,51.49,1.03,1.47
99,,Sergio Ramos,0.09,0.03,61.8,54.13,0.73,1.09
100,,Mory Diaw,0,0,100,77.78,0.16,0
101,,Stijn Spierings,0.17,0,50,51.57,1.39,1.53
102,,Benoît Badiashile,0.27,0,72.41,60.34,0.36,0.91
103,,Junya Ito,0.09,0.03,52.73,47.67,1.23,0.57
104,,Emmanuel Agbadou,0.17,0.1,62.5,57.54,0.21,1
105,,Adam Ounas,0.1,0,33.33,51.41,1.38,0.71
106,,Maximiliano Caufriez,0.31,0.04,57.14,60.98,1.35,1.12
107,,Hamari Traore,0.16,0,48.53,47.52,0.19,1.06
108,,Montassar Talbi,0,0,65.47,66.92,0.68,0.42
109,,Youssouf Ndayishimiye,0.2,0,45.45,55.56,0.4,0.5
110,,Nicolas Pépé,0.11,0,38.1,44.89,1.79,0.68
111,,Faouzi Ghoulam,0,0,64.29,60.61,0.71,0.57
112,,Baptiste Santamaria,0.08,0,60,56.77,0.8,0.92
113,,Adrien Truffert,0.07,0,56.67,60.17,0.89,0.71
114,,Malo Gusto,0.05,0,34.78,51.65,1.14,0.95
115,,Ludovic Blas,0.16,0,35.85,43.45,1.68,1.59
116,,Saîf-Eddine Khaoui,0.12,0,50,51.52,1.06,0.74
117,,Adrien Thomasson,0.09,0,44.19,43.48,1.09,1.06
118,,Angel Gomes,0.25,0,23.08,45.55,1.36,1.5
119,,Steve Mounié,0.09,0,58.3,51.3,1.09,1.61
120,,Mathias Autret,0,0,27.78,46.59,0.17,0.3
121,,Frédéric Guilbert,0.17,0,54.9,55.33,1.06,1.56
122,,Brendan Chardonnet,0.2,0,68.89,62.17,0.87,1.3
123,,Guillermo Maripán,0.15,0.04,53.93,52.58,0.27,1
124,,Jean-Clair Todibo,0.06,0.06,56.52,64.94,0.44,0.62
125,,Sofiane Diop,0.04,0,63.16,52.73,1.26,0.39
126,,Alexander Nübel,0.05,0,87.5,81.82,0.05,0
127,,Vanderson,0.1,0.03,50,51.83,0.58,1.16
128,,Nordi Mukiele,0,0,67.74,54.96,0.74,0.84
129,,Lucien Agoumé,0.4,0,62,52.44,0.53,2
130,,Julien Laporte,0.05,0,60.38,64.22,0.8,0.5
131,,Marshall Munetsi,0.18,0,54.13,50.29,1.12,1.88
132,,Leonardo Balerdi,0.26,0.03,63.06,57.93,0.6,1.51
133,,Axel Disasi,0.08,0,70.29,59.04,0.32,0.82
134,,Alexsandro Ribeiro,0.19,0,52.46,59.76,0.95,0.86
135,,Breel Embolo,0.09,0,41.46,42.77,1.75,1.56
136,,Laurent Abergel,0.17,0.03,34.78,54.29,1,0.97
137,,Folarin Balogun,0.14,0,19.72,32.56,1.46,1.03
138,,Quentin Merlin,0.08,0,51.61,54.25,0.58,0.5
139,,Jubal,0.19,0,57.58,54.79,0.65,1.03
140,,Achraf Hakimi,0.18,0.07,53.33,48.23,0.68,1.04
141,,Mikkel Desler,0.15,0.04,71.88,62.2,1.19,1.04
142,,Samuel Gigot,0.12,0.08,76.71,63.16,0.54,1.69
143,,Lovro Majer,0.09,0,46.67,45.62,0.94,1.5
144,,Warmed Omari,0.13,0.06,66.07,59.46,0.38,0.5
145,,Aaron Ramsey,0.11,0,33.33,47.22,0.67,0.85
146,,Marco Bizot,0.11,0,83.33,81.82,0.11,0
147,,Lilian Raolisoa,0,0,100,64.29,0.43,0.14
148,,Rominigue Kouamé,0.28,0,50,55.07,1.5,1.63
149,,Muhammed Cham-Saračević,0.05,0,30,44.58,1.05,0.45
150,,Youcef Atal,0.06,0,56.25,60.9,0.83,0.5
151,,Mateusz Lis,0.11,0,100,60,0.22,0.11
152,,Alidu Seidu,0.36,0.04,74.29,67.67,2.5,1.18
153,,Joris Chotard,0.11,0,39.39,49.09,0.54,0.94
154,,Facundo Medina,0.22,0,46.25,46.41,0.56,1.06
155,,Xavier Chavalerin,0.09,0,53.33,53.13,0.35,0.91
156,,Arthur Theate,0.14,0,64.81,57.77,0.37,0.69
157,,Ross Barkley,0.04,0,25,42.34,0.56,0.52
158,,Mattéo Guendouzi,0.09,0,44.23,52.56,1.12,0.76
159,,Neto Borges,0.06,0.06,61.02,60.71,1.39,0.64
160,,Tiago Djaló,0.28,0,47.46,53.59,0.72,0.76
161,,Yuito Suzuki,0,0,100,75,0.67,0.33
162,,Ruan Potó,0,0,0,55.56,0.33,0.67
163,,Jean Claude Billong,0,0,50,50,0,0
164,,Flavius Daniliuc,0,0,100,60,0,1
165,,Bamo Meïté,0.29,0,46.15,51.52,0.71,0.94
166,,Elye Wahi,0.24,0.03,20.41,32.89,1.21,0.97
167,,Sanjin Prcić,0.1,0.03,69.57,61.79,0.66,0.55
168,,Karl Toko Ekambi,0.03,0,36.96,39.15,0.47,0.42
169,,Krépin Diatta,0.1,0,50.62,52.87,0.84,0.65
170,,Thiago Mendes,0.1,0,63.64,60.54,0.77,0.77
171,,Pedro Chirivella,0.04,0,52.94,51.13,0.69,0.77
172,,Joe Rodon,0.13,0.06,59.46,60.8,1.13,0.69
173,,Rafael Ratão,0.07,0,43.48,46.34,1.1,0.93
174,,Ruslan Malinovskyi,0.2,0,37.5,44.51,0.9,1.45
175,,Anthony Rouault,0.05,0.03,57.62,58.84,0.46,0.57
176,,Farès Chaïbi,0.06,0,38.27,36.86,0.58,0.94
177,,Steve Mandanda,0.03,0,87.5,66.67,0.09,0.06
178,,Bradley Barcola,0.12,0,33.33,40.37,0.27,0.92
179,,Lucas Chevalier,0.03,0,100,100,0.16,0
180,,Dimitri Liénard,0.14,0,54.29,53.29,0.54,0.57
181,,Han-Noah Massengo,0.21,0,27.27,54.07,1.64,1.14
182,,Morgan Sanson,0.06,0,51.85,47.42,1.89,1.17
183,,Jordan Lotomba,0.12,0,53.19,59.11,0.94,0.7
184,,David Pereira da Costa,0.06,0,21.43,41.61,0.45,0.45
185,,Sinaly Diomandé,0.08,0.04,69.14,63.11,0.92,0.96
186,,Ludovic Ajorque,0.08,0,60.24,50.77,0.62,1.08
187,,Anthony Lopes,0.06,0.03,100,58.82,0.19,0.06
188,,Rayan Raveloson,0,0,56.86,58.12,1.03,0.65
189,,Youssouf Fofana,0.03,0.06,54.76,50.53,1.08,1.39
190,,Eliesse Ben Seghir,0.05,0,34.62,49.34,1.79,0.89
191,,Melvin Bard,0.18,0,58.93,58.11,0.61,0.91
192,,Mostafa Mohamed,0.03,0,46.34,45.11,0.78,1.19
193,,Djed Spence,0,0,80,60.87,1.13,0.88
194,,Jonas Omlin,0.07,0.07,100,77.78,0.21,0.07
195,,Vitinha,0.08,0,55.56,44.49,0.53,0.86
196,,Christopher Jullien,0.17,0,68.25,59.09,0.2,1.1
197,,Mahdi Camara,0.13,0.03,44.19,59.05,1.03,0.74
198,,Cheick Keita,0.11,0,42.86,54.55,0.78,0.78
199,,Florent Mollet,0.16,0,36,40.63,1.05,0.95
200,,Jonathan Bamba,0.18,0,36.36,41.71,1.74,0.97
201,,Arnaud Nordin,0.11,0,26.25,50.3,2.28,0.58
202,,José Fonte,0.23,0,67.03,58.54,0.29,0.84
203,,Thijs Dallinga,0.11,0,45.24,39.74,0.53,0.97
204,,Sead Kolašinac,0.09,0,50.67,50.48,0.45,1.27
205,,Sacha Delaye,0,0,50,50,0,0.33
206,,André Gomes,0.23,0,60,43.91,0.65,1.88
207,,Gideon Mensah,0.19,0,51.22,54.31,0.69,1.12
208,,Paul Joly,0.2,0,35.29,53.04,0.9,0.7
209,,Mateusz Wieteska,0.2,0.03,65,64.26,0.86,0.83
210,,Christopher Wooh,0.29,0,64.71,60.49,0.71,1.21
211,,Nicolas Pallois,0.08,0.04,58.33,58.79,0.23,0.77
212,,Lilian Brassier,0.14,0,60.4,53.88,0.44,1.17
213,,Souleymane Isaak Touré,0.17,0.04,71.43,62.9,0.54,0.92
214,,Mohamed Camara,0.21,0.03,56,55.8,2,1.55
215,,Kevin Volland,0.06,0,44,40.24,0.76,1.18
216,,Julien Le Cardinal,0,0,56.25,54.29,0.25,0.63
217,,Maxime Le Marchand,0.15,0.04,67.05,61.62,0.35,1.19
218,,Mounaim El Idrissy,0.31,0,37.74,40.59,2.5,2.53
219,,Matz Sels,0.05,0,100,100,0.08,0
220,,Mama Baldé,0.12,0.06,35.83,43.21,1.35,1.12
221,,Jean-Charles Castelletto,0.09,0,64.46,61.57,0.56,0.88
222,,Quentin Bernard,0,0,27.27,40,0.43,0.86
223,,Ismaily,0,0,62.07,54.72,0.96,0.61
224,,Andy Delort,0,0,45.45,43.21,0.5,0.65
225,,Alexis Claude-Maurice,0,0,75,52.48,0.82,0.32
226,,Presnel Kimpembe,0.27,0,61.9,51.25,0.82,2
227,,Désiré Doué,0.19,0,43.48,50.2,1.08,1.42
228,,Massadio Haïdara,0.14,0,71.7,63.16,0.72,0.53
229,,Jean Onana,0.14,0,56.25,60.67,0.48,0.33
230,,Loïc Badé,1,0,50,44.44,1,3
231,,Antonin Bobichon,0,0,0,0,0,0
232,,Kays Ruiz-Atil,1,0,0,55.56,3,2
233,,Eli Junior Kroupi,0,0,0,50,1,0
234,,Fallou Fall,1,0,0,33.33,1,1
235,,Nathan Zeze,0,0,50,83.33,1,0
236,,Grejohn Kyei,0.08,0,42.11,41.43,1.14,1.57
237,,Habib Diarra,0.14,0,32.43,43.46,0.76,0.79
238,,Bafodé Diakité,0.18,0,49.4,48.66,0.39,1.36
239,,Antoine Mendy,0,0,38.89,52.24,0.27,0.82
240,,Jens Cajuste,0.23,0.03,41.94,50.8,0.94,1.06
241,,Flavien Tait,0.07,0,41.18,46.07,0.97,0.83
242,,Jaouen Hadjam,0.08,0,36.84,57.25,0.92,0.77
243,,Andreaw Gravillon,0.23,0,51.85,54.35,1.08,1.38
244,,Carlos Soler,0,0,14.29,44.44,0.54,0.69
245,,Billal Brahimi,0,0,33.33,48.65,0.31,0.12
246,,Hugo Ekitiké,0,0,40,41.18,0.52,0.6
247,,Logan Costa,0,0,62.5,67.86,0.67,0.33
248,,Rubén Blanco,0,0,100,100,0.17,0
249,,Kévin Gameiro,0,0.03,30.77,37.08,0.44,0.44
250,,Ismael Doukoure,0.18,0,44.12,53.85,0.96,1.07
251,,Vincent Le Goff,0.03,0,50.85,59.91,0.51,0.51
252,,Pape Gueye,0.07,0,68.75,56,0.86,0.71
253,,Eric Bailly,0.06,0,50,54.69,0.29,0.59
254,,Gauthier Gallon,0.1,0.03,100,87.5,0.17,0.07
255,,Thomas Mangani,0.15,0.04,45.45,45.39,0.5,0.92
256,,Maxime Gonalons,0.12,0,62.5,55.61,0.88,0.96
257,,Salis Abdul Samed,0.18,0.03,45.16,45.36,1.15,2.15
258,,Chrislain Matsima,0,0,68.97,67.31,0.21,0.29
259,,Reda Belahyane,0,0,100,55.56,0.25,1.25
260,,Yahia Fofana,0.18,0,100,100,0.09,0
