Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Dante,0.03,0.05,61.54,0.62,0,0,1.89,1.27,0.03,3.27,0,0.62,0.11,0.05,71.03,90.14,4.95,54.36,0,0.3,0,0,0.78,0.19,0.16,0,71.57,62.59,0.49,1.03,37
Andrei Girotto,0.03,0.03,33.33,0.75,0,0,3.39,2.03,0.06,4.78,0,1.61,0.08,0.03,48.11,83.03,4.81,54.67,0,0.31,0,0,1.31,0.08,0.19,0,65,58.96,0.94,1.5,36
Jonathan David,0.65,0.51,42.65,2.86,0.03,0,0.65,0.24,0,0.32,0,0.46,0.24,0.11,23.19,82.75,8.14,93.75,0,0.11,0,0,1.03,0.11,0.16,0,20,37.87,1.59,1.11,37
Benjamin André,0.03,0.03,57.58,0.71,0,0,3.76,1.35,0,1.59,0,1.65,0.09,0.03,67.53,84.36,14.12,67.05,0,0.21,0,0,0.94,0.09,0.35,0,59.74,56.19,1.15,1.68,34
Leandro Paredes,0,0,0,0,0,0,0.33,0.33,0,0,0,0,0.33,0.33,23.33,97.14,4.33,100,0,0,0,0,0.33,0,0,0,0,100,0.33,0,3
Donovan Leon,0,0,100,0,0,0,0,0,0,1,0,0,0,0,35.5,42.25,3.5,32.79,4.5,0,0.5,0,1,0,0,0,100,100,0.5,0,2
Jérémy Doku,0.21,0,66.21,0.9,0,0,0.86,0.17,0,0.07,0,0.41,0.21,0.07,17.03,86.44,7.62,77.78,0,0.03,0,0,0.41,0.03,0,0,23.08,59.26,1.24,0.55,29
Yehvann Diouf,0,0,100,0,0,0,0.06,0.03,0,0.71,0.06,0.06,0,0,28,76.38,0.35,49.48,3.45,0.45,0.03,0,0.81,0.19,0.06,0,94.44,90.32,0.32,0,31
Loïs Openda,0.55,0.37,40.43,2.74,0.16,0,0.29,0.05,0,0.16,0,0.29,0.32,0.11,10.61,71.22,3.29,57.14,0,0,0,0,0.45,0.11,0.05,0,36.11,42.06,1.24,1.11,38
Pierre Lees Melou,0.16,0.03,64.71,1.34,0.03,0,3.03,1.63,0.06,1.31,0,2.06,0.19,0.16,44.16,83.93,8.5,66.79,0,0.19,0,0,1.16,0.13,0.31,0.03,64.29,55.09,1.47,1.34,32
Hamza Sakhi,0.04,0,71.43,1.11,0,0,1.63,0.93,0,0.3,0,0.74,0.15,0.07,31.48,86.35,9,76.34,0,0.07,0,0,1.3,0.19,0.04,0,66.67,61.87,0.78,0.48,27
