#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
91,,Vito Mannone,0,0,26.78,71.37,0.17,33.66
92,,Dejan Lovren,0.06,0,64.06,88.15,4.71,52.38
93,,Pau López,0.03,0.06,29.73,76.04,0.97,43.6
94,,Chancel Mbemba,0.03,0,46.19,84.43,8.19,45.52
95,,Jimmy Cabot,0.36,0.09,23,83.4,7.27,56.52
96,,Castello Lukeba,0,0,65.94,90.37,4.88,50
97,,Brice Samba,0.03,0,29.59,72.97,0.84,44.57
98,,Himad Abdelli,0.13,0.07,39.97,85.07,10.3,68.09
99,,Sergio Ramos,0,0.03,75.55,94.83,8.97,78.61
100,,Mory Diaw,0,0,34.89,66.85,1.65,43.42
101,,Stijn Spierings,0.08,0,57,86.11,10.06,62.56
102,,Benoît Badiashile,0.09,0,42.55,86.11,4.82,63.24
103,,Junya Ito,0.34,0.14,25.83,71.35,10.31,39.02
104,,Emmanuel Agbadou,0.17,0.1,51.14,86.04,5.45,56.25
105,,Adam Ounas,0.29,0.05,22.95,79.67,9.62,82.35
106,,Maximiliano Caufriez,0,0,43.08,88.66,4.62,62.14
107,,Hamari Traore,0.16,0.13,51.19,86.96,11.23,51.56
108,,Montassar Talbi,0.05,0.05,51.66,89.1,1.24,37.16
109,,Youssouf Ndayishimiye,0,0,37,90.54,5.6,60.71
110,,Nicolas Pépé,0.11,0,33.63,83.1,10.68,81.25
111,,Faouzi Ghoulam,0.14,0,34.57,80.17,4.57,51.85
112,,Baptiste Santamaria,0,0,52.32,85.47,9.48,69.5
113,,Adrien Truffert,0.11,0.21,40.54,80.79,8.89,35.53
114,,Malo Gusto,0.14,0.05,54.05,85.11,12.9,53.09
115,,Ludovic Blas,0.32,0.14,27.97,85.51,8.49,65.59
116,,Saîf-Eddine Khaoui,0.12,0.09,19.12,73.08,4.97,41.07
117,,Adrien Thomasson,0.29,0.2,30.11,81.5,8.46,56.14
118,,Angel Gomes,0.14,0.17,47.61,87.86,11.06,64.5
119,,Steve Mounié,0,0,19.3,56.31,4.3,27.27
120,,Mathias Autret,0.04,0.09,22.57,81.12,6.35,75.31
121,,Frédéric Guilbert,0,0.06,36.39,76.64,6,39.39
122,,Brendan Chardonnet,0,0,43.53,80.78,3.77,48.84
123,,Guillermo Maripán,0,0,44.62,87.5,2.81,61.24
124,,Jean-Clair Todibo,0,0,63.85,88.85,4.74,43.93
125,,Sofiane Diop,0.09,0.17,29.43,81.98,8.65,74.29
126,,Alexander Nübel,0,0,24.68,69.4,0.55,47.95
127,,Vanderson,0.19,0.13,35.19,77.91,8.58,49.63
128,,Nordi Mukiele,0.21,0.16,31.68,88.37,4.37,54.55
129,,Lucien Agoumé,0.07,0.07,48.67,83.7,9,55.07
130,,Julien Laporte,0,0,39.75,85.41,2.9,48
131,,Marshall Munetsi,0.09,0.09,25.32,75.26,5.71,43.9
132,,Leonardo Balerdi,0,0.03,46.94,84.11,4.83,52.4
133,,Axel Disasi,0.05,0.08,50.47,83.79,7.37,52.42
134,,Alexsandro Ribeiro,0,0,60.14,90.82,4.19,54.64
135,,Breel Embolo,0.28,0.06,13.59,70.11,4.75,80
136,,Laurent Abergel,0.07,0.03,50.79,88.73,7.72,58.93
137,,Folarin Balogun,0.22,0.05,14.84,72.5,4.59,64.71
138,,Quentin Merlin,0.29,0.08,37.33,77.9,7.46,46.27
139,,Jubal,0.03,0.03,36.19,81.85,2.35,53.56
140,,Achraf Hakimi,0.18,0.11,49.82,90.18,15.54,68.42
141,,Mikkel Desler,0.19,0.07,48.78,86.18,11.44,45
142,,Samuel Gigot,0.04,0.08,43.12,87.33,4.42,37.97
143,,Lovro Majer,0.16,0.16,27.97,82.12,9.38,53.13
144,,Warmed Omari,0,0,61.31,92.86,3.5,73.75
145,,Aaron Ramsey,0.11,0.04,37.7,87.82,9.37,71.58
146,,Marco Bizot,0,0,25.19,68.24,0.7,43.85
147,,Lilian Raolisoa,0.29,0,13.86,87.63,3.86,55.56
148,,Rominigue Kouamé,0.09,0.03,43.56,89.1,8.13,80
149,,Muhammed Cham-Saračević,0.08,0.11,25,83.05,6.89,65.52
150,,Youcef Atal,0.17,0,22.39,83.62,5.11,56.76
151,,Mateusz Lis,0,0,30.22,63.24,1.11,33.57
152,,Alidu Seidu,0.07,0,43.71,86.76,3.79,45.99
153,,Joris Chotard,0.17,0.17,30.06,81.27,4.09,57.14
154,,Facundo Medina,0.09,0.13,76.81,90.76,11.31,54.8
155,,Xavier Chavalerin,0.09,0.06,30,83.73,4.74,53.66
156,,Arthur Theate,0.03,0,73.03,89.59,8.17,53.56
157,,Ross Barkley,0.11,0.07,16.48,83.6,4.44,67.74
158,,Mattéo Guendouzi,0.18,0.12,37.33,87.91,12.03,73.27
159,,Neto Borges,0.12,0.03,34.94,79.44,7.58,36.99
160,,Tiago Djaló,0,0,62.88,93.07,3.68,64.71
161,,Yuito Suzuki,0,0,4.33,84.62,2,100
162,,Ruan Potó,0,0,4.67,92.86,1,0
163,,Jean Claude Billong,0,0,33,100,0,100
164,,Flavius Daniliuc,0,0,25,92,4,0
165,,Bamo Meïté,0,0,54.94,89.51,1.82,30.16
166,,Elye Wahi,0.21,0.15,12.61,70.67,3.3,66.67
167,,Sanjin Prcić,0.03,0.03,35.38,86.06,7.38,68.09
168,,Karl Toko Ekambi,0.14,0.11,23.78,79.44,7.67,74.36
169,,Krépin Diatta,0.19,0.06,22.35,79.37,9.35,48
170,,Thiago Mendes,0,0.03,53.32,86.99,8.61,49.5
171,,Pedro Chirivella,0.15,0.04,51.5,86.56,11.35,61.93
172,,Joe Rodon,0,0,65.56,90.09,3,52.38
173,,Rafael Ratão,0.37,0.13,24.23,77.72,7.97,67.65
174,,Ruslan Malinovskyi,0.2,0.05,24.7,79.76,9.6,68.75
175,,Anthony Rouault,0.03,0,55.38,87.46,3.51,50.19
176,,Farès Chaïbi,0.19,0.14,26.14,76.51,7.17,53.75
177,,Steve Mandanda,0.03,0.03,30.82,71.95,0.74,43.75
178,,Bradley Barcola,0.38,0.31,16.88,72.44,6.08,41.67
179,,Lucas Chevalier,0.03,0,27.66,74.24,0.78,33.43
180,,Dimitri Liénard,0,0,27.11,78.52,5.14,51.26
181,,Han-Noah Massengo,0,0,31.71,86.04,7,68.18
182,,Morgan Sanson,0.28,0.11,32.06,81.8,9.11,52.73
183,,Jordan Lotomba,0,0.06,34.67,85.23,6.76,42.22
184,,David Pereira da Costa,0.19,0.1,22.58,86,8.71,70.83
185,,Sinaly Diomandé,0,0,58.83,85.55,6.33,47.15
186,,Ludovic Ajorque,0.15,0,19.38,70.63,4.38,77.78
187,,Anthony Lopes,0,0,27.72,74.3,0.47,40.8
188,,Rayan Raveloson,0.03,0.03,28.85,83.38,4.76,59.48
189,,Youssouf Fofana,0.17,0.06,47.69,82.47,10.81,61.04
190,,Eliesse Ben Seghir,0.11,0.05,22.47,79.63,7.37,64.29
191,,Melvin Bard,0.03,0,37.27,82.36,6.36,54.29
192,,Mostafa Mohamed,0.08,0.06,9.44,62.65,2.42,46.15
193,,Djed Spence,0,0,33.5,88.81,7.13,33.33
194,,Jonas Omlin,0,0,24.14,65.09,0.64,35.59
195,,Vitinha,0.08,0.08,53.44,92.41,13.44,78.33
196,,Christopher Jullien,0.07,0.07,35.33,83.11,1.43,56.43
197,,Mahdi Camara,0,0,21.81,84.17,4.39,51.85
198,,Cheick Keita,0,0,33.44,87.38,2.11,45.45
199,,Florent Mollet,0.11,0.11,25.32,87.32,6.42,68
200,,Jonathan Bamba,0.26,0.21,37.71,83.78,13.38,62
201,,Arnaud Nordin,0.17,0.08,16.56,78.02,4.75,69.23
202,,José Fonte,0,0,63.52,90.25,5.1,56.67
203,,Thijs Dallinga,0.11,0.03,13.89,65,3.36,75
204,,Sead Kolašinac,0.03,0.03,38.3,86.31,7.61,48.15
205,,Sacha Delaye,0,0,4,50,0,0
206,,André Gomes,0.08,0.08,50.5,89.19,10.58,63.73
207,,Gideon Mensah,0.12,0,44.23,79.57,8.35,45.14
208,,Paul Joly,0,0,53.4,81.09,10,55.1
209,,Mateusz Wieteska,0.03,0.03,45.77,82.83,2.86,39.68
210,,Christopher Wooh,0.07,0,44.14,92.39,1.86,50
211,,Nicolas Pallois,0,0,44.46,83.82,3.92,47.47
212,,Lilian Brassier,0.08,0,41.47,78.3,4.17,46.02
213,,Souleymane Isaak Touré,0,0,34,87.25,2.79,55.56
214,,Mohamed Camara,0.17,0.1,43.83,87.65,7.62,70
215,,Kevin Volland,0.12,0.12,11.18,58.42,3.24,46.67
216,,Julien Le Cardinal,0.13,0,11.5,78.26,2.88,71.43
217,,Maxime Le Marchand,0.04,0,45.35,79.9,4.04,42.33
218,,Mounaim El Idrissy,0.03,0,18.63,69.13,4.53,73.33
219,,Matz Sels,0.03,0,22.11,60.12,0.79,37.31
220,,Mama Baldé,0.06,0.09,16.71,68.13,4.24,66.67
221,,Jean-Charles Castelletto,0,0,41.47,82.82,4.19,43.48
222,,Quentin Bernard,0.29,0.14,49,81.92,9.14,46.67
223,,Ismaily,0.13,0.04,42.52,80.98,10.09,28.95
224,,Andy Delort,0.12,0.04,12.73,61.93,3.23,54.17
225,,Alexis Claude-Maurice,0.09,0.14,11.64,85.94,3.32,40
226,,Presnel Kimpembe,0,0,43.82,93.98,5.45,66.67
227,,Désiré Doué,0.04,0.04,16.19,81.24,4.88,82.14
228,,Massadio Haïdara,0.08,0.03,24.61,87.13,4.39,58.33
229,,Jean Onana,0,0,22.43,87.05,3.38,58.06
230,,Loïc Badé,0,1,59,88.14,2,25
231,,Antonin Bobichon,0.33,0,6,66.67,3.33,100
232,,Kays Ruiz-Atil,0,0,29,89.66,3,0
233,,Eli Junior Kroupi,0,0,4,100,0,0
234,,Fallou Fall,0,0,13,92.31,1,100
235,,Nathan Zeze,0,0,26,69.23,1,33.33
236,,Grejohn Kyei,0.11,0.08,13.92,72.62,3.03,73.08
237,,Habib Diarra,0.21,0.07,20.41,80.57,5.28,43.9
238,,Bafodé Diakité,0.03,0,51.09,89.8,9.27,54.55
239,,Antoine Mendy,0,0.09,24.73,83.82,3.18,21.43
240,,Jens Cajuste,0.03,0.03,23.48,82.83,5.52,63.01
241,,Flavien Tait,0.17,0.07,35.77,86.49,9.5,71.72
242,,Jaouen Hadjam,0,0.08,28.92,81.12,5.46,48.15
243,,Andreaw Gravillon,0.08,0,29.77,75.97,3.46,42.86
244,,Carlos Soler,0.08,0.08,23.54,87.42,6.73,68.42
245,,Billal Brahimi,0.08,0.08,11.54,83,3.77,55.56
246,,Hugo Ekitiké,0.12,0.16,13.12,82.62,4.72,66.67
247,,Logan Costa,0,0,38.17,84.28,3.67,60
248,,Rubén Blanco,0,0,29.17,77.14,0.17,31.58
249,,Kévin Gameiro,0.18,0,21.24,80.47,6.88,50
250,,Ismael Doukoure,0.04,0.04,37.32,83.25,5.14,50
251,,Vincent Le Goff,0,0,47.03,83.85,7.84,31.21
252,,Pape Gueye,0.07,0.07,22.14,84.84,4.21,57.69
253,,Eric Bailly,0,0,15.88,84.44,1.35,63.89
254,,Gauthier Gallon,0,0,26.8,61.07,0.73,31.14
255,,Thomas Mangani,0.04,0.04,31.69,73.67,5.42,56.08
