#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
99,,Sergio Ramos,1.03,1.03,0,2.82,0,0.64
100,,Mory Diaw,0,0.05,0,0.54,0.03,0.11
101,,Stijn Spierings,2.64,1.47,0.03,1.19,0,1.61
102,,Benoît Badiashile,0.91,1.55,0,3.55,0,0.45
103,,Junya Ito,1.14,0.23,0,0.09,0.03,1.14
104,,Emmanuel Agbadou,2.45,1.1,0.03,3.59,0,0.79
105,,Adam Ounas,0.95,0.33,0,0.14,0,0.24
106,,Maximiliano Caufriez,1.54,1.31,0,2.38,0,0.31
107,,Hamari Traore,1.55,1.23,0.06,1.9,0,0.77
108,,Montassar Talbi,1.39,1.05,0,4.84,0.03,0.34
109,,Youssouf Ndayishimiye,1.3,1.2,0,2,0.1,0.5
110,,Nicolas Pépé,1.32,0.16,0,0.05,0,0.74
111,,Faouzi Ghoulam,0.43,0.57,0,1.71,0,0.29
112,,Baptiste Santamaria,1.64,0.84,0,0.88,0,0.8
113,,Adrien Truffert,2.21,0.79,0,1.61,0,0.54
114,,Malo Gusto,2,1.33,0,0.71,0,1.05
115,,Ludovic Blas,1.27,0.51,0,0.16,0,0.86
116,,Saîf-Eddine Khaoui,1.38,0.97,0.03,0.24,0,0.94
117,,Adrien Thomasson,1.23,0.2,0,0.46,0,1.54
118,,Angel Gomes,1.14,0.36,0,0.31,0,0.86
119,,Steve Mounié,0.57,0.13,0,0.87,0,0.39
120,,Mathias Autret,0.96,0.52,0,0.43,0,0.39
121,,Frédéric Guilbert,2.61,2.39,0.06,1.72,0,1
122,,Brendan Chardonnet,1.5,2.1,0.03,2.83,0,0.6
123,,Guillermo Maripán,1.77,1.46,0.12,3.23,0,0.62
124,,Jean-Clair Todibo,2.21,1.21,0.06,3.09,0.03,0.44
125,,Sofiane Diop,1,0.74,0,0.13,0,0.57
126,,Alexander Nübel,0,0.03,0,0.37,0.05,0.03
127,,Vanderson,2.71,1.55,0,1.03,0.03,1
128,,Nordi Mukiele,1.63,0.74,0,0.79,0,0.53
129,,Lucien Agoumé,2.8,1.8,0,1.33,0,1.07
130,,Julien Laporte,1.1,0.9,0,5.3,0.05,0.3
131,,Marshall Munetsi,1.71,0.76,0,1.15,0,0.82
132,,Leonardo Balerdi,1.63,1.8,0.03,2.54,0.03,0.37
133,,Axel Disasi,0.79,1.47,0,2.87,0,0.37
134,,Alexsandro Ribeiro,1.52,1.19,0,2.67,0.05,0.43
135,,Breel Embolo,0.47,0.16,0.03,0.38,0,0.16
136,,Laurent Abergel,3.17,1.17,0,1.21,0,1.83
137,,Folarin Balogun,0.24,0.08,0,0.38,0,0.49
138,,Quentin Merlin,1.29,1,0,1.04,0,0.83
139,,Jubal,1.11,1.43,0,5.14,0,0.51
140,,Achraf Hakimi,1.93,0.57,0,0.54,0,1
141,,Mikkel Desler,2.63,1.33,0,1.67,0,0.89
142,,Samuel Gigot,1.77,1.73,0.04,3.12,0,0.12
143,,Lovro Majer,1.06,0.66,0,0.13,0,0.66
144,,Warmed Omari,1.25,1.06,0,2.69,0.06,0.88
145,,Aaron Ramsey,1.74,0.63,0,0.63,0,0.85
146,,Marco Bizot,0,0,0,1,0.11,0.03
147,,Lilian Raolisoa,1.57,0.43,0,0.71,0,0.43
148,,Rominigue Kouamé,1.38,1.53,0,1.44,0,0.75
149,,Muhammed Cham-Saračević,0.79,0.18,0.03,0.13,0,0.58
150,,Youcef Atal,2.11,0.78,0,0.67,0,0.5
151,,Mateusz Lis,0,0,0,0.78,0,0.11
152,,Alidu Seidu,1.86,1.86,0.04,1.68,0,0.71
153,,Joris Chotard,1.83,1.14,0,1.03,0,1.09
154,,Facundo Medina,0.97,0.81,0,1.75,0,0.69
155,,Xavier Chavalerin,2.41,1.21,0,0.56,0,1.29
156,,Arthur Theate,0.83,0.86,0.03,3.17,0.06,0.37
157,,Ross Barkley,0.59,0.3,0,0.19,0,0.22
158,,Mattéo Guendouzi,1.18,0.64,0,0.55,0,0.73
159,,Neto Borges,2.27,1.24,0.03,1.52,0,0.85
160,,Tiago Djaló,1.24,0.92,0.04,2.12,0.04,0.28
161,,Yuito Suzuki,0,0,0,0,0,0
162,,Ruan Potó,0.67,0.67,0,0,0,0
163,,Jean Claude Billong,0,1,0,0,0,0
164,,Flavius Daniliuc,1,0,0,0.5,0,0
165,,Bamo Meïté,1.06,0.94,0,4.06,0,0.53
166,,Elye Wahi,0.27,0.09,0,0.09,0,0.27
167,,Sanjin Prcić,0.93,0.86,0,0.72,0,0.41
168,,Karl Toko Ekambi,0.33,0.5,0,0.25,0,0.47
169,,Krépin Diatta,0.97,0.55,0,0.35,0,0.61
170,,Thiago Mendes,1.55,1.52,0.03,1.61,0.1,0.32
171,,Pedro Chirivella,1.27,0.77,0,0.23,0,1.04
172,,Joe Rodon,0.69,0.56,0,3.38,0.06,0.38
173,,Rafael Ratão,1.73,0.7,0,0.17,0,1.53
174,,Ruslan Malinovskyi,1.05,0.15,0,0.45,0,0.8
175,,Anthony Rouault,1.78,1.51,0,3.38,0.05,0.76
176,,Farès Chaïbi,0.86,0.53,0,0.81,0,0.92
177,,Steve Mandanda,0,0,0.06,0.35,0.06,0.06
178,,Bradley Barcola,0.96,0.73,0,0.35,0,1.19
179,,Lucas Chevalier,0.06,0.06,0,0.38,0.06,0
180,,Dimitri Liénard,1.64,0.57,0,0.82,0,0.82
181,,Han-Noah Massengo,1.93,1,0,0.43,0,0.64
182,,Morgan Sanson,2,1.22,0,0.33,0,2.17
183,,Jordan Lotomba,1.97,0.97,0.03,1.36,0,0.52
184,,David Pereira da Costa,0.42,0.35,0,0.1,0,0.39
185,,Sinaly Diomandé,1.75,2.04,0.04,2.88,0,0.75
186,,Ludovic Ajorque,0.38,0.15,0,0.54,0,0.46
187,,Anthony Lopes,0.03,0.09,0.06,0.56,0,0.09
188,,Rayan Raveloson,1.15,1.15,0,1.88,0.03,0.29
189,,Youssouf Fofana,2.25,1.56,0,0.89,0.03,1
190,,Eliesse Ben Seghir,0.95,0.21,0,0,0,0.42
191,,Melvin Bard,2.91,1.94,0.03,1,0,0.91
192,,Mostafa Mohamed,0.5,0.28,0,0.86,0,0.31
193,,Djed Spence,1.75,0.5,0,1.38,0,0.88
194,,Jonas Omlin,0.07,0,0,0.86,0.07,0
195,,Vitinha,1.61,0.69,0,0.36,0,1.56
196,,Christopher Jullien,1.53,1.43,0.07,3.67,0,0.77
197,,Mahdi Camara,2,1.29,0,0.48,0,0.58
198,,Cheick Keita,1.33,0.56,0,2.67,0,0.56
199,,Florent Mollet,0.74,0.53,0,0.47,0,0.89
200,,Jonathan Bamba,1.09,0.65,0.03,0.35,0,0.91
201,,Arnaud Nordin,0.72,0.39,0,0.17,0,0.44
202,,José Fonte,0.74,0.77,0.03,3.52,0.03,0.35
203,,Thijs Dallinga,0.22,0.08,0,0.56,0,0.33
204,,Sead Kolašinac,1.58,1.3,0,1.06,0,0.39
205,,Sacha Delaye,0.33,0,0,0,0,0
206,,André Gomes,1.42,0.35,0,0.62,0,1.31
207,,Gideon Mensah,3.08,1.46,0.04,1.5,0,1.27
208,,Paul Joly,3.3,2.4,0,2,0,1.6
209,,Mateusz Wieteska,1.17,1.6,0.03,2.63,0.06,0.4
210,,Christopher Wooh,1.14,0.43,0,3.5,0,0.21
211,,Nicolas Pallois,2.65,1.15,0.04,4.88,0.04,1.08
212,,Lilian Brassier,1.17,1.47,0,3.36,0,0.25
213,,Souleymane Isaak Touré,1.33,1.04,0.04,2.38,0,0.21
214,,Mohamed Camara,2.86,0.93,0,0.45,0,1.52
215,,Kevin Volland,0.47,0.12,0,0,0,0.35
216,,Julien Le Cardinal,0.75,0.25,0,0.5,0,0.25
217,,Maxime Le Marchand,1.5,1.42,0.08,2.73,0,0.46
218,,Mounaim El Idrissy,1,0.41,0,0.63,0,0.81
219,,Matz Sels,0.11,0.11,0,0.92,0,0
220,,Mama Baldé,1.35,0.29,0,0.38,0,0.44
221,,Jean-Charles Castelletto,1.34,1.81,0.06,2.69,0,0.44
222,,Quentin Bernard,1.29,2.14,0,2.29,0,1.14
223,,Ismaily,1.78,0.91,0,1.43,0,0.65
224,,Andy Delort,0.27,0.04,0,0.35,0,0.19
225,,Alexis Claude-Maurice,0.77,0.18,0,0.09,0,0.45
226,,Presnel Kimpembe,1.55,1.18,0.09,0.82,0,0.36
227,,Désiré Doué,1.42,0.5,0,0.08,0,0.73
228,,Massadio Haïdara,0.67,1,0.03,0.94,0,0.33
229,,Jean Onana,1.33,0.86,0,0.95,0,0.57
230,,Loïc Badé,1,1,0,3,0,0
231,,Antonin Bobichon,0,0,0,0,0,0
232,,Kays Ruiz-Atil,1,3,0,0,0,1
233,,Eli Junior Kroupi,0,1,0,0,0,1
234,,Fallou Fall,0,0,0,4,0,1
235,,Nathan Zeze,3,0,0,1,0,0
236,,Grejohn Kyei,0.43,0.16,0,0.59,0,0.24
237,,Habib Diarra,0.83,0.38,0,0.45,0,0.48
238,,Bafodé Diakité,1.64,0.52,0,1.58,0,0.76
239,,Antoine Mendy,2,0.18,0,0.82,0,0.55
240,,Jens Cajuste,1.48,0.58,0,0.71,0,0.74
241,,Flavien Tait,1,0.67,0,0.33,0,0.77
242,,Jaouen Hadjam,2.08,0.92,0,0.62,0,0.69
243,,Andreaw Gravillon,1.23,1.62,0,2.46,0,0.38
244,,Carlos Soler,0.77,0.15,0,0.19,0,0.35
245,,Billal Brahimi,0.31,0.15,0,0,0,0.23
246,,Hugo Ekitiké,0.48,0.36,0,0.12,0,0.32
247,,Logan Costa,1.5,0.67,0,1.83,0,0.5
248,,Rubén Blanco,0,0,0,0.17,0,0
249,,Kévin Gameiro,0.59,0.26,0,0,0,0.59
250,,Ismael Doukoure,1.71,0.96,0,1.86,0,0.5
251,,Vincent Le Goff,2.03,1.11,0,2.43,0,0.46
252,,Pape Gueye,1.29,0.64,0,0.14,0,0.57
253,,Eric Bailly,0.76,0.71,0,1.06,0,0
254,,Gauthier Gallon,0.07,0.07,0.03,1.17,0,0.07
255,,Thomas Mangani,1.23,0.92,0,0.77,0,1.19
256,,Maxime Gonalons,2.08,0.8,0,0.28,0.04,1.2
257,,Salis Abdul Samed,1.39,1.09,0,0.67,0,0.7
258,,Chrislain Matsima,0.79,0.79,0,1.64,0,0.21
259,,Reda Belahyane,2,0.5,0,0,0,0.5
260,,Yahia Fofana,0,0.09,0,0.64,0.09,0
261,,Ibrahima Kone,0.65,0.11,0,0.49,0,0.16
262,,Amine Harit,0.6,0.4,0,0.5,0,0.5
263,,Cédric Bakambu,0.67,0,0,0,0,0
264,,Jean Lucas,1.5,0.67,0,0.33,0,1
265,,Ismael Gharbi,0,0.5,0,0,0,0.33
266,,Wout Faes,0.33,2.33,0,6.33,0,0.33
267,,Yohann Magnin,2.34,0.66,0.08,1.03,0,1.37
268,,Gedeon Kalulu,2.21,0.97,0,2.41,0.03,0.62
269,,Renato Sanches,0.35,0.39,0,0.17,0,0.39
270,,Issiaga Sylla,1.75,2.19,0,1.84,0,1.09
271,,Myziane Maolida,0.89,0.22,0,0,0,0.78
272,,Jeanuel Belocian,1.25,0.75,0,1.13,0,0.5
273,,Tanguy Zoukrou,1.75,0.25,0.13,2.88,0,0.5
274,,Deiver Machado,1.36,0.64,0,0.7,0,0.39
275,,Wesley Saïd,0.19,0.05,0,0.1,0,0.19
276,,Aïman Maurer,0.2,0.3,0,0.3,0,0.9
277,,Juan Bernat,1.14,0.32,0,0.71,0.04,0.64
278,,Ronaël Pierre-Gabriel,1.79,0.64,0,1.5,0,0.14
279,,Rémy Riou,0.14,0,0,0.43,0,0
280,,Ignatius Ganago,0.28,0.06,0,0.41,0,0.09
281,,Lucas Perrin,1.69,1.38,0.04,1.73,0,0.92
282,,Wahbi Khazri,0.96,0.33,0,0.7,0,0.7
283,,Pablo Rosario,1.48,0.74,0,0.94,0,0.52
284,,Arnaud Kalimuendo,0.5,0.07,0,0.3,0,0.5
285,,Yusuf Yazıcı,0,0,0,0.25,0,0
286,,Lesley Ugochukwu,1.38,0.81,0,0.62,0,0.31
287,,Soungoutou Magassa,2,0.5,0,0.5,0,1
288,,Denys Bain,2,1,0,2,0,0.5
289,,Nuno Da Costa,1.36,0.61,0,0.39,0,1.06
290,,Birama Touré,2.11,1.76,0.03,1.24,0,1.58
291,,Thomas Delaine,1.65,0.94,0.12,0.47,0,0.76
292,,Elbasan Rashani,1.22,0.66,0,0.5,0,0.81
293,,Zakaria Aboukhlal,0.89,0.59,0,0.54,0,0.84
294,,Timothy Weah,0.83,0.79,0,0.52,0,0.45
295,,Miha Blažič,0.33,0.92,0.04,3.21,0,0.33
296,,Jordan Ferri,1.62,0.76,0.06,0.59,0,1.74
297,,Maxime Estève,1.04,1.48,0,3.74,0,0.22
298,,Faitout Maouassa,1.58,0.61,0,0.52,0,0.7
299,,Igor Silva,2.57,0.71,0,2.14,0,1.29
300,,Damien Da Silva,1.14,0.71,0,1.57,0,0
301,,Moses Simon,0.53,0.32,0,0.03,0,0.24
302,,Mathias Pereira Lage,0.83,0.58,0,0.46,0,0.75
303,,Calvin Stengs,0.5,0,0,0,0,0.25
304,,Haris Belkebla,2.16,1.34,0,0.45,0.03,1.13
305,,Komnen Andrić,0.38,0.24,0.03,0.35,0,0.38
306,,Takumi Minamino,0.83,0.33,0,0.17,0,1.56
307,,Mehdi Zeffane,0.67,1.22,0,0.56,0,0.94
308,,Kamory Doumbia,1.19,0.5,0,0.12,0,0.96
309,,Azzedine Ounahi,0.95,0.68,0,0.18,0,0.55
310,,Gaëtan Perrin,0.46,0.27,0,0.22,0,0.59
311,,Thomas Foket,1.46,1.38,0,0.92,0,1.21
312,,Hugo Magnetti,1.31,0.78,0,0.38,0,1.22
313,,Jeffinho,1.89,0.11,0,0,0,1
