#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
106,,Sean Kelly,0.07,0.07,57.14,0.6,0,0
107,,Nicky Devlin,0.05,0.08,52,0.55,0,0
108,,Graeme Shinnie,0.15,0,52.63,0.38,0.08,0
109,,Ross Laidlaw,0,0,100,0,0,0
110,,Liam Gordon,0.06,0.03,83.33,0.59,0.03,0
111,,James Sands,0,0,0,0.29,0,0
112,,Tomoki Iwata,0,0,100,0.38,0,0
113,,James Hill,0,0,83.33,0.5,0,0
114,,Luís Henriques de Barros Lopes,0.43,0.19,44.44,1.59,0.14,0.9
115,,Andy Halliday,0.11,0.04,54.55,0.71,0.07,0
116,,Zander Clark,0,0,0,0,0,0
117,,Stephen Kingsley,0,0.05,50,0.62,0,0
118,,Hyun-gyu Oh,0.38,0.31,42.86,1.88,0.13,0
119,,Christian Doidge,0.09,0.13,40,1.44,0.03,0
120,,Josh Campbell,0.22,0.08,42.31,1.25,0.06,0
121,,Ash Taylor,0.13,0.16,80,0.91,0.06,0
122,,Jamie Murphy,0.13,0,60,0.83,0,0
123,,George Harmon,0.07,0.1,75,0.57,0.03,0
124,,Joseph Efford,0.11,0,41.18,1.33,0,0
125,,Chris Kane,0.5,0,0,0.5,0,0
126,,Kemar Roofe,0.33,0,0,1.33,0,0
127,,Yuki Kobayashi,0,0.17,66.67,0.17,0,0
128,,Christopher Cadden,0.03,0.03,47.83,0.84,0,0
129,,Liam Kelly,0,0,100,0,0,0
130,,Callum Slattery,0.14,0,43.9,1,0,1.72
131,,Alex Cochrane,0.06,0.06,46.43,0.5,0,0
132,,Connor Barron,0.06,0,44.44,0.41,0,0
133,,Glen Kamara,0.05,0,42.86,0.14,0,0
134,,Adam Devine,0,0,100,0,0,0
135,,Scott McMann,0,0,48.28,0.23,0,0
136,,Daizen Maeda,0.23,0.31,41.27,1.11,0.06,0
137,,Ali Crawford,0.13,0,100,0.69,0,0
138,,Joe Shaughnessy,0.05,0,50,0.55,0,0
139,,Cameron Devlin,0.03,0,55.56,0.83,0,0
140,,Joe Hart,0,0,0,0,0,0
141,,Eamonn Brophy,0.15,0.1,27.27,2,0,0
