#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Bojan Miovski,0.16,0,28.27,31.41,0.7,1
98,,Giorgos Giakoumakis,0.11,0,55.56,39.13,0.42,1
99,,Tom Parkes,0,0,66.67,72.22,0.25,0
100,,Rıdvan Yılmaz,0.11,0,40,56.82,0.78,0.33
101,,Stephen Kelly,0.06,0,39.39,41.98,0.45,0.84
102,,Calum Butcher,0.15,0,56.52,51.85,0.54,1.15
103,,Craig Sibbald,0.2,0,47.83,58.55,0.77,0.94
104,,Dante Polvara,0,0,60,64.29,1,0.33
105,,Mark Birighitti,0.08,0,100,90.91,0.15,0.04
106,,Sean Kelly,0.23,0,62.71,57.85,0.43,0.83
107,,Nicky Devlin,0.21,0,64.36,62.22,0.84,0.66
108,,Graeme Shinnie,0.15,0.15,44.68,52.97,2.31,1.92
109,,Ross Laidlaw,0.05,0,100,95.45,0.26,0
110,,Liam Gordon,0.22,0,66.53,63.69,0.69,1.13
111,,James Sands,0.18,0,67.24,66.67,0.88,0.53
112,,Tomoki Iwata,0,0,42.86,58.06,0.23,0.15
113,,James Hill,0.21,0,62.67,63.57,0.93,1.07
114,,Luís Henriques de Barros Lopes,0.16,0,40.71,40.36,1.51,0.86
115,,Andy Halliday,0.07,0,54.39,60.56,0.96,0.5
116,,Zander Clark,0,0,100,80,0.1,0.05
117,,Stephen Kingsley,0.19,0,62.5,60.26,0.67,0.43
118,,Hyun-gyu Oh,0.13,0,40.91,38.81,0.5,0.5
119,,Christian Doidge,0.13,0,47.99,46.04,0.69,1.25
120,,Josh Campbell,0.25,0,47.06,47.5,1.17,0.83
121,,Ash Taylor,0.19,0.03,73.02,66.79,0.44,1.09
122,,Jamie Murphy,0.04,0,27.27,50.35,1.21,0.17
123,,George Harmon,0.03,0,37.1,51.96,0.57,0.67
124,,Joseph Efford,0.11,0,28.57,34.85,0.56,1.11
125,,Chris Kane,0,0,66.67,75,0.5,0
126,,Kemar Roofe,0,0,33.33,33.33,0.33,0
127,,Yuki Kobayashi,0,0,36.11,36.73,0.17,0.83
128,,Christopher Cadden,0.14,0,57.41,51.34,0.68,0.59
129,,Liam Kelly,0.05,0,75,80,0.05,0.03
130,,Callum Slattery,0.41,0.03,50,51.6,2,1.76
131,,Alex Cochrane,0.03,0.09,49.43,57.09,1.18,0.76
132,,Connor Barron,0.12,0,35,56.32,0.65,0.76
133,,Glen Kamara,0.05,0,35.9,47.12,0.91,0.5
134,,Adam Devine,0,0,45.45,55,0,0.17
135,,Scott McMann,0.2,0,56.99,61.89,1.37,0.93
136,,Daizen Maeda,0.06,0.03,27.59,39.68,0.8,1.06
137,,Ali Crawford,0.06,0,25,44.83,0.25,0.25
138,,Joe Shaughnessy,0.05,0,59.72,60,0.27,0.18
139,,Cameron Devlin,0.17,0.03,48.89,52.57,1.6,1.53
140,,Joe Hart,0,0,85.71,72.73,0.05,0
141,,Eamonn Brophy,0,0,35.48,29.17,0.3,0.5
