#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
104,,Lander Olaetxea,0,0.23,0,0,0.87,0.13
105,,Vicente Iborra,0,0.44,0,0,0.39,0.08
106,,Javier Ontiveros,0,0,0,0,0.48,0.12
107,,Alvaro Mantilla,0,0.21,0,0,0.43,0
108,,Giorgi Makaridze,3.29,0.29,0.29,0.14,1,0.29
109,,Alberto del Moral,0,0.32,0,0,1.03,0.16
110,,Nikola Šipčić,0,0.27,0,0,0.53,0.13
111,,Iker Undabarrena,0,0.12,0,0,0.73,0.09
112,,Pêpê,0,0.12,0,0,0.82,0.12
113,,Pablo Martínez,0,0.19,0,0,0.41,0.04
114,,Álex Gallar,0,0,0,0,0.74,0.05
115,,Kenneth Omeruo,0,0.18,0,0,0.82,0.14
116,,Carlos Neva,0,0.33,0,0,0.48,0.11
117,,Juergen Elitim,0,0.1,0,0,0.52,0.03
118,,Pejiño,0,0.03,0,0,0.39,0.06
119,,Juan Berrocal,0,0.45,0,0,0.61,0.06
120,,Tomeu Nadal,2.71,0.29,0.18,0,0.94,0.06
121,,Mamadou Fall,0,0.28,0,0,0.8,0.24
122,,Carlo Adriano García,0,0.2,0,0,0.94,0.17
123,,Aitor Sanz,0,0.08,0,0,0.68,0.14
124,,Daniel Rebollo,1.5,0.5,0.5,0,1,0
125,,Seydouba Cisse,0,0.12,0,0,0.67,0.03
126,,Waldo Rubio Marín,0,0.06,0,0,0.48,0.06
127,,Miguel Atienza,0,0.28,0,0,0.48,0.1
128,,Pol Moreno,0,0.33,0,0,0.55,0.12
129,,Ruben Bover Izquierdo,0,0.04,0,0,0.39,0
130,,Sergio Bermejo,0,0.06,0,0,0.45,0.09
131,,Adrià Vilanova,0,0.19,0,0,0.63,0.07
132,,Dani Raba,0,0,0,0,0.45,0.06
133,,Riki Rodríguez,0,0.11,0,0,0.89,0.14
134,,Víctor Díaz,0,0.21,0,0,0.48,0.1
135,,Andrei Rațiu,0,0.37,0,0,0.74,0.08
136,,Sergio Postigo,0,0.38,0,0,0.48,0.05
137,,Lluís López,0,0.29,0,0,0.71,0.16
138,,Óscar Pinchi,0,0.08,0,0,0.66,0.16
139,,Asier Riesgo,2.06,0.39,0.12,0.03,0.79,0.12
140,,Lucas Ahijado,0,0.35,0,0,0.68,0.1
141,,Alberto Escassi,0,0.18,0,0,0.65,0.03
142,,Aitor Córdoba Querejeta,0,0.46,0,0,0.68,0.1
143,,Patrick Sequeira,3.5,0.25,0,0,1,0.5
144,,Joan Femenías,1.88,0.38,0.13,0,0.75,0.13
145,,Bruno Pirri,0,0.13,0,0,0.63,0
146,,Nahuel Tenaglia,0,0.32,0,0,0.62,0.09
147,,Koba Koindredi,0,0,0,0,0.5,0.11
148,,Kiko Olivas,0,0.28,0,0,1,0.12
149,,Grego Sierra,0,0.32,0,0,0.52,0.04
150,,Mustapha Bundu,0,0,0,0,0.25,0.07
151,,Borja Sánchez,0,0,0,0,0.33,0
152,,Shkodran Mustafi,0,0,0,0,0.33,0
153,,Álvaro García,0,0.17,0,0,0.83,0.17
154,,Diego Altube,2.25,0.25,0.08,0,0.92,0.17
155,,Rubén,0,0.31,0,0,0.71,0.2
156,,Cristian Gutiérrez,0,0.15,0,0,0.54,0.12
157,,Miguel Loureiro,0,0.3,0,0,1.1,0.1
158,,Germán Valera,0,0.03,0,0,0.5,0.05
159,,Carlos Pomares Rayo,0,0,0,0,0.6,0
160,,Ramón Terrats,0,0.2,0,0,0.6,0.2
161,,Nikola Maraš,0,0.4,0,0,0.7,0.05
162,,Sidnei,0,0.16,0,0,0.42,0.05
163,,Alberto Rodríguez,0,0.28,0,0,1.08,0.11
164,,Martín Pascual,0,0.24,0,0,1.18,0.18
165,,Sergio González,0,0.3,0,0,0.76,0.12
166,,Saúl García,0,0.21,0,0,0.54,0.18
167,,Óscar Melendo,0,0.03,0,0,0.37,0.09
168,,André Ferreira,1.36,0.45,0.09,0.09,0.55,0.27
169,,Jon Bautista,0,0,0,0,0.63,0.08
170,,Rubén Castro,0,0.05,0,0,0.61,0.07
171,,Pablo Íñiguez,0,0.37,0,0,0.89,0
172,,Pablo Insua,0,0.22,0,0,0.83,0.14
173,,Juanfran,0,0.11,0,0,0.89,0.06
174,,Christos Albanis,0,0,0,0,0.32,0.06
175,,Jorge Sáenz,0,0.3,0,0,0.76,0.14
176,,Giovanni Zarfino,0,0.15,0,0,0.52,0.07
177,,Alejandro Barbudo Barbu,0,0.27,0,0,0.97,0.17
178,,Aleksandar Sedlar,0,0.33,0,0,0.5,0.2
179,,Toni Moya,0,0.05,0,0,0.28,0.05
180,,Jérémy Blasco,0,0.38,0,0,0.62,0.07
181,,Oriol Rey,0,0.15,0,0,0.95,0.2
182,,Higinio Marín,0,0.11,0,0,0.83,0.11
183,,Bernabé Barragán,2.53,0.27,0.27,0,1.03,0.1
184,,Damián Musto,0,0.14,0,0,0.72,0.11
185,,José Amo,0,0.29,0,0,0.85,0.21
186,,Fabio González,0,0.19,0,0,0.32,0.03
187,,Juande Rivas,0,0.21,0,0,0.86,0.11
188,,Matos,0,0.07,0,0,0.79,0.14
189,,Flavien Boyomo,0,0.19,0,0,0.89,0.05
190,,Sinan Bakış,0,0.09,0,0,0.52,0.03
191,,Soufiane Chakla,0,0.31,0,0,0.77,0.38
192,,Abdelkabir Abqar,0,0.34,0,0,0.54,0.11
193,,Kento Hashimoto,0,0.15,0,0,0.39,0.09
194,,Jorge Pulido,0,0.3,0,0,0.76,0.08
195,,Borja Bastón,0,0.3,0,0,0.52,0.03
196,,Toni Datković,0,0.31,0,0,1.03,0.13
197,,Marc Pubill,0,0.29,0,0,0.25,0.08
198,,Óscar Clemente,0,0.03,0,0,0.35,0.03
199,,Álex Millán,0,0,0,0,0.7,0.2
200,,Nikolaos Michelis,0,0.13,0,0,0.94,0.38
201,,Jimmy Suárez,0,0.26,0,0,0.43,0
202,,Diego Pampín,0,0.26,0,0,0.65,0.1
203,,Gianni Cassaro,3.13,0.25,0.25,0.13,1.25,0.38
204,,Rubén Pulido,0,0.31,0,0,0.69,0.19
205,,Giuliano Simeone,0,0.17,0,0,0.61,0.14
206,,Jorge Pombo,0,0,0,0,0.5,0.19
207,,Borja Gonzalez Tejada,0,0.13,0,0,0.42,0
208,,Sergio Álvarez,0,0.32,0,0,0.65,0.08
209,,Alberto Moleiro,0,0.08,0,0,0.38,0.08
210,,Gustavo Blanco,0,0.03,0,0,0.17,0.03
211,,Frederico Venâncio,0,0.31,0,0,0.69,0.14
212,,Viti Rozada,0,0.14,0,0,0.59,0.1
213,,Manu Vallejo,0,0,0,0,0.5,0.19
214,,Son,0,0.24,0,0,0.56,0.12
215,,Daniel Ojeda,0,0.08,0,0,0.76,0.16
216,,Juanlu Sánchez,0,0.14,0,0,0.81,0.19
217,,Dauda Mohammed,0,0,0,0,0.48,0.07
218,,Jorge Miramón,0,0.25,0,0,0.85,0.13
219,,Álex Pastor,0,0.24,0,0,0.38,0
