#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
101,,Luca Zidane,0,0,0.03,0.29,0.03,0
102,,Salva Sevilla,0.78,0.44,0,0.5,0.03,0.56
103,,Jordi Pola,1.14,1.29,0,2.86,0,0
104,,Lander Olaetxea,2.18,1.23,0.03,2.41,0,1
105,,Vicente Iborra,1.36,0.86,0.06,1.92,0,0.94
106,,Javier Ontiveros,1.32,0.2,0,0.2,0,0.72
107,,Alvaro Mantilla,1.14,0.86,0,3.79,0,0.43
108,,Giorgi Makaridze,0,0,0.14,0.57,0,0.29
109,,Alberto del Moral,1.84,1.62,0.03,1.73,0,1.19
110,,Nikola Šipčić,1.1,1.03,0,3.43,0,0.3
111,,Iker Undabarrena,1.97,1.61,0,1.06,0.03,0.85
112,,Pêpê,1.53,0.47,0,0.71,0,0.82
113,,Pablo Martínez,1.04,0.67,0,0.7,0,0.52
114,,Álex Gallar,0.74,0.32,0,0.05,0,0.53
115,,Kenneth Omeruo,0.91,1.09,0,4,0,0.32
116,,Carlos Neva,0.96,0.85,0,2.07,0,0.26
117,,Juergen Elitim,1.55,0.9,0,0.34,0,1
118,,Pejiño,1.09,0.27,0,0.18,0,0.64
119,,Juan Berrocal,0.94,1.03,0.03,2.7,0,0.24
120,,Tomeu Nadal,0,0,0,0.59,0,0
121,,Mamadou Fall,0.96,1.32,0,4.16,0,0.4
122,,Carlo Adriano García,2.09,1.09,0,0.63,0,0.94
123,,Aitor Sanz,2.68,1.32,0,0.68,0.05,1.32
124,,Daniel Rebollo,0,0,0,3,0,0
125,,Seydouba Cisse,1.76,0.55,0,0.36,0,1.12
126,,Waldo Rubio Marín,0.77,0.39,0,0.29,0,0.84
127,,Miguel Atienza,1.95,1.5,0,2.05,0,1.05
128,,Pol Moreno,1.48,1,0,3.03,0,0.42
129,,Ruben Bover Izquierdo,0.82,0.25,0,0.39,0,0.68
130,,Sergio Bermejo,1,0.94,0,0.24,0,0.7
131,,Adrià Vilanova,0.48,0.26,0,1.44,0,0.15
132,,Dani Raba,0.87,0.23,0,0.39,0,0.77
133,,Riki Rodríguez,1.7,0.97,0.03,0.81,0,0.84
134,,Víctor Díaz,1.52,1.24,0,2.72,0,0.52
135,,Andrei Rațiu,1.82,0.89,0,2.13,0,0.82
136,,Sergio Postigo,0.67,1.05,0,2.95,0.05,0.1
137,,Lluís López,1.42,0.84,0.03,3.13,0,0.16
138,,Óscar Pinchi,1.29,0.39,0,0.16,0,0.68
139,,Asier Riesgo,0.03,0,0,0.48,0,0
140,,Lucas Ahijado,2.63,0.85,0,1.68,0,0.78
141,,Alberto Escassi,1.26,1.12,0.03,2.26,0,0.41
142,,Aitor Córdoba Querejeta,1.2,1.12,0.02,4.44,0.02,0.29
143,,Patrick Sequeira,0,0,0,0.25,0,0
144,,Joan Femenías,0,0,0,0.63,0,0
145,,Bruno Pirri,1.25,0.5,0,4.25,0,0.5
146,,Nahuel Tenaglia,1.82,1.26,0,2.06,0,0.65
147,,Koba Koindredi,0.94,0.39,0,0.39,0,0.22
148,,Kiko Olivas,0.96,1.52,0,2.76,0.04,0.52
149,,Grego Sierra,1.28,1.16,0,3.04,0,0.2
150,,Mustapha Bundu,0.46,0.18,0,0.29,0,0.32
151,,Borja Sánchez,1.33,0.46,0,0.04,0,0.71
152,,Shkodran Mustafi,0,0.67,0,0.33,0,0.33
153,,Álvaro García,2,2.67,0,1.83,0,0.67
154,,Diego Altube,0,0,0,1,0,0.08
155,,Rubén,1.23,1.26,0,3.77,0.03,0.26
156,,Cristian Gutiérrez,1.92,0.62,0,1.08,0,0.65
157,,Miguel Loureiro,2.63,1.68,0.05,2.78,0,0.73
158,,Germán Valera,0.97,0.45,0,0.08,0,0.13
159,,Carlos Pomares Rayo,1.2,0.47,0,2.2,0,0.07
160,,Ramón Terrats,1.6,0.6,0,1.4,0,1.4
161,,Nikola Maraš,1.05,0.55,0.1,3.7,0,0.25
162,,Sidnei,0.89,0.53,0,2.32,0,0.26
163,,Alberto Rodríguez,0.83,0.89,0.03,4.83,0.03,0.22
164,,Martín Pascual,1.06,1.03,0,5.03,0.03,0.18
165,,Sergio González,0.94,0.67,0.03,3.15,0,0.3
166,,Saúl García,1.46,1,0,1.32,0,0.54
167,,Óscar Melendo,0.8,0.43,0,0.2,0,0.66
168,,André Ferreira,0,0,0,1,0,0
169,,Jon Bautista,0.92,0.08,0,0.47,0,0.26
170,,Rubén Castro,0.07,0.22,0,0.05,0,0.32
171,,Pablo Íñiguez,1.05,1,0.11,2.16,0,0.26
172,,Pablo Insua,1.42,1.03,0,3.03,0,0.58
173,,Juanfran,1.22,0.94,0.06,1.56,0,0.33
174,,Christos Albanis,0.77,0.19,0,0.13,0,0.74
175,,Jorge Sáenz,0.73,0.86,0,4.51,0.03,0.38
176,,Giovanni Zarfino,2.04,0.93,0,1.07,0,0.7
177,,Alejandro Barbudo Barbu,1.27,0.9,0,3.23,0,0.47
178,,Aleksandar Sedlar,1.3,1.03,0,3,0,0.37
179,,Toni Moya,0.82,0.59,0,0.41,0,0.51
180,,Jérémy Blasco,1.28,0.76,0.03,3.9,0,0.45
181,,Oriol Rey,1.95,0.56,0,0.49,0.02,0.78
182,,Higinio Marín,0.81,0.14,0,0.81,0,0.28
183,,Bernabé Barragán,0,0,0,0.97,0,0
184,,Damián Musto,1.64,1.44,0.03,1.44,0,0.61
185,,José Amo,0.85,1.15,0.09,3.56,0.03,0.26
186,,Fabio González,1.06,0.65,0,0.48,0,0.81
187,,Juande Rivas,1.57,1.11,0,3.46,0,0.46
188,,Matos,2.43,0.86,0.04,1.46,0,0.82
189,,Flavien Boyomo,1.49,1.03,0.03,2.59,0,0.22
190,,Sinan Bakış,0.3,0.12,0,0.64,0,0.12
191,,Soufiane Chakla,1.15,1.08,0,4,0.08,0.23
192,,Abdelkabir Abqar,1.2,1.23,0,2.83,0,0.26
193,,Kento Hashimoto,1.91,1.06,0.03,0.97,0,0.52
194,,Jorge Pulido,0.57,0.97,0.03,5,0,0.19
195,,Borja Bastón,0.55,0.27,0,0.88,0,0.33
196,,Toni Datković,1.26,1.21,0,3.38,0,0.26
197,,Marc Pubill,1.58,0.54,0,1.33,0,0.88
198,,Óscar Clemente,0.61,0.48,0,0.23,0,0.32
199,,Álex Millán,0.4,0.05,0,0.5,0,0.4
200,,Nikolaos Michelis,1.5,1.38,0,4.31,0,0.25
201,,Jimmy Suárez,1.57,1,0,0.74,0,0.43
202,,Diego Pampín,0.81,0.42,0,0.77,0,0.35
203,,Gianni Cassaro,0,0,0.13,0.75,0.13,0
204,,Rubén Pulido,1.13,0.56,0.06,4.19,0,0.13
205,,Giuliano Simeone,0.53,0.33,0,0.14,0,0.61
206,,Jorge Pombo,0.66,0.13,0,0.34,0,0.38
207,,Borja Gonzalez Tejada,0.67,0.63,0.04,1.42,0,0.42
208,,Sergio Álvarez,2.46,0.84,0,1.7,0,0.97
209,,Alberto Moleiro,0.68,0.25,0,0.18,0,0.9
210,,Gustavo Blanco,0.48,0.17,0,0.79,0,0.1
211,,Frederico Venâncio,0.83,0.97,0.03,3.1,0,0.24
212,,Viti Rozada,1.86,0.55,0,0.31,0,0.76
213,,Manu Vallejo,0.63,0.19,0,0.31,0,0.94
214,,Son,1.26,0.91,0,1.53,0.03,0.82
215,,Daniel Ojeda,0.81,0.59,0,0.16,0,0.78
216,,Juanlu Sánchez,2.7,0.92,0.03,0.84,0.03,1.43
217,,Dauda Mohammed,1.07,0.11,0,0.3,0,0.3
218,,Jorge Miramón,1.98,1.13,0,1.2,0.03,0.78
219,,Álex Pastor,0.81,0.67,0,1.81,0,0.33
220,,Rodri Tarín,0.65,1.22,0.04,3.65,0,0.17
221,,Idrissa Thiam,0.58,0.17,0,0,0,0
222,,Jesús Owono,0,0,0,1,0,0
223,,Luis Perea,3,1,1,2,0,0
224,,Dalisson de Almeida,2,0,0,0,0,0
225,,Ibrahim Janis Covi,0,2,0,3,0,0
226,,Oier Luengo Redondo,0.91,2,0,3.09,0,0.36
227,,Sergio Tejera,0.42,0.83,0,0.25,0,0.08
228,,Cristian Salvador,2.36,1.54,0.04,0.93,0,1.11
229,,Juan Soriano,0.02,0,0,0.71,0.02,0.07
230,,Juan Carlos,1.47,0.37,0,0.21,0,1.05
231,,Iván Romero,1.65,0.35,0,0.41,0,0.79
232,,Aritz Aldasoro,2.38,1.09,0,1.09,0,1.18
233,,Juanpe,1.48,0.83,0,1.52,0,0.87
234,,Borja Valle,1.03,0.28,0,0.26,0,0.67
235,,Valentín Vada,0.7,0.14,0,0.14,0,0.41
236,,Gaku Shibasaki,1.07,0.63,0,0.6,0,0.57
237,,Cristian Glauder,1.31,1.03,0.03,3.31,0,0.41
238,,Carlos Benavídez,1.86,1.21,0,1.07,0,0.52
239,,Fernando Niño,0.74,0.13,0,1.08,0,0.49
240,,Adrián Castellano,1.71,0.82,0,2,0,0.94
241,,Jorge Molina,0.24,0.04,0,0.44,0,0.04
242,,Mohammed Djetei,0.97,1.03,0.06,4.45,0,0.19
243,,Josema,1.16,0.92,0,1.68,0,0.4
244,,Miquel Parera,0.03,0,0,0.57,0,0
245,,Mohamed Bouldini,0.64,0.08,0,0.72,0,0.44
246,,Sergio González,1.22,0.85,0.11,2.96,0,0.52
247,,Carlos Ruiz,1.15,0.31,0,2.08,0,0.38
248,,Manu Molina,1.08,0.52,0,1.04,0,0.68
249,,Álex Pérez,0.83,0.83,0,4.17,0,0
250,,Jairo Izquierdo,1.03,0.63,0.05,0.47,0,0.89
251,,Raúl Navas,0.93,0.93,0,2.81,0,0.59
252,,Florian Miguel,1.43,1.11,0.03,2.97,0,0.49
253,,Germán Sánchez,0.76,0.67,0,4.38,0.05,0.29
254,,Ramón Enríquez,0.95,0.6,0,0.35,0,0.5
255,,Roko Baturina,0.21,0,0,0.5,0,0.29
256,,Sebas Moyano,0.8,0.63,0,0.46,0,0.78
257,,Tiago Geralnik,0.54,0.38,0,0.15,0,0.85
258,,Jandro Orellana,1.04,0.19,0,0.46,0,0.58
259,,Alberto Perea,0.57,0.14,0,0.05,0,0.95
260,,Álvaro Lemos,1.04,0.63,0,0.92,0,0.5
261,,Beñat Prados,1.72,1.33,0.03,1.69,0.03,0.59
262,,Diego Sanchez,1.9,1,0,1.4,0,0.45
263,,Yeray Cabanzon,0.73,0.09,0,0.18,0,0.82
264,,Kevin Omoruyi,0.64,0.18,0,0.82,0,0.09
265,,Víctor Meseguer,1.3,0.61,0,0.57,0,0.65
266,,Yann Bodiger,1.81,1.25,0,0.69,0,1.03
267,,Esteban Burgos,0.65,0.9,0.03,5.13,0,0.26
268,,Juan Otero,0.9,0.59,0,0.39,0,0.39
269,,Maikel Mesa,0.78,0.65,0.03,0.95,0,0.46
270,,Yayo,1.33,1,0,0.33,0,0
271,,Kike Salas,0.86,0.43,0.14,2.57,0,0.43
272,,Ramón Juan,0,0,0,0.22,0,0
273,,Enrique Clemente,1.29,0.5,0,0.86,0,0.21
274,,Álvaro Jiménez,0.58,0.31,0,0.19,0,0.85
275,,Armando Sadiku,0.19,0.1,0,0.32,0,0.23
276,,Lago Júnior,1.12,0.12,0,0.59,0,0.35
277,,Oscar Sielva,0.65,0.39,0,1.35,0,0.52
278,,Alejandro Francés,1.04,1.09,0.04,2.52,0,0.26
279,,Álex Corredera,1.28,0.96,0,0.64,0.04,0.96
280,,Miguel San Román,0,0,0,1.4,0.2,0
281,,Naim García,0.94,0.39,0,0.39,0,0.26
282,,Adrián Diéguez,1.8,0.87,0,1.83,0,0.8
283,,Francho Serrano,1.19,0.72,0,0.75,0,0.72
284,,Rubén Rochina,1.13,0.13,0,0.25,0,0.5
285,,Asier Villalibre,0.25,0,0,0.38,0,0.13
286,,Sergi Enrich,0.62,0.06,0,0.26,0,0.56
287,,Isak Jansson,0.81,0.3,0,0.19,0,0.41
288,,Alfonso Herrero,0,0,0,0.64,0.03,0.03
289,,Cristian Herrera,0.46,0.29,0,0.23,0,0.37
290,,Quini,1.87,0.9,0.03,1.19,0,0.55
291,,Jonathan Varane,2.06,1.35,0,0.65,0,0.53
292,,Adrià Altimira,1.08,0.67,0.06,0.72,0.03,0.5
293,,Mikel Rico,1.08,0.89,0,0.57,0,0.78
294,,Manu Barreiro,0.22,0.16,0,1.16,0,0.22
295,,Issa Fomba,0.5,0,0,0,0,0.17
296,,Vasyl Kravets,2,1,0,0.5,0,0.5
297,,Omenuke Mfulu,1.57,1.77,0,0.83,0,1
298,,Xavi Torres,0.73,0.85,0.09,2.24,0,0.42
299,,Moha Moukhliss,0.67,0.33,0,0,0,0.33
300,,Pol Lozano,1.07,1.14,0,0.36,0,0.64
301,,Jon Guridi,1.39,0.5,0.03,0.68,0,0.95
302,,Julio Alonso,2,0.83,0,1.42,0.03,0.94
303,,Ekain Zenitagoia,0.85,0.26,0,0.41,0,0.56
304,,Ivan Calero,1.97,0.82,0.05,1.21,0,1.21
305,,Álex Bermejo Escribano,1,0.27,0,0.38,0,0.54
306,,Gaspar Campos,0.73,0.3,0,0,0,0.53
307,,Andoni López,0.78,1.11,0,1.67,0,0.89
308,,Bryan Zaragoza,0.26,0.09,0,0.06,0,0.38
309,,Juanma García,0.62,0.45,0,0.21,0,0.86
310,,David Ferreiro,0.19,0.5,0,0.06,0,0.38
311,,Mamadou Sylla,0.16,0.05,0,0.26,0,0.11
312,,Aleix Febas,2.32,0.46,0,0.29,0,1.24
313,,Víctor Camarasa,0.64,1.09,0,0.27,0,0.91
314,,Riza Durmisi,1.18,0.45,0,1.09,0,0.27
315,,Javi Vázquez,0.94,1,0,1.38,0,0.47
316,,Íñigo Sáinz-Maza,2.89,1.26,0,0.51,0,1.49
317,,Marvin Park,1.21,0.46,0,0.38,0.04,0.42
318,,Moises Delgado,1.47,0.76,0,1.56,0,0.65
319,,Abel Bretones,2.36,0.67,0.03,1.49,0,0.85
320,,Marc Vidal,0.17,0,0,0.83,0,0
321,,Yan Eteki,1.2,0.9,0,0.3,0,0.2
322,,Papakouli Diop,1.04,0.85,0,0.42,0,0.65
323,,Njegoš Petrović,1.38,0.42,0,0.15,0,0.5
324,,Eugeni Valderrama,0.57,0.33,0,0.48,0,0.29
325,,Alfredo Ortuño,0.35,0.03,0,0.38,0,0.19
326,,Juan Fernández,0.9,1.33,0.05,3.81,0,0.29
327,,Javier Avilés,0.74,0.42,0,0.16,0,0.63
328,,Cristian Rivera,1.33,0.71,0,1,0.04,0.46
329,,Anderson Arroyo,1.06,1,0,1,0,0.24
330,,Alfred N'Diaye,1.41,0.77,0,1.14,0,0.55
331,,Allan Nyom,1.06,0.75,0,1.69,0,0.33
332,,José León,0.68,0.39,0,3.04,0,0.21
333,,Jesús Areso,0.86,0.51,0.03,1.24,0,0.46
334,,Marcelo Saracchi,1.24,0.8,0,0.88,0,0.8
335,,Marc Cardona,0.75,0.25,0,0.28,0,0.58
336,,Yuri,0.14,0.11,0,0.22,0,0.14
337,,Hugo Rama,1.21,0.35,0,0.32,0,0.68
338,,Iker Álvarez,0.04,0,0.04,0.57,0.04,0.04
339,,Guille Rosas,2.57,0.63,0,1.31,0.03,1.03
340,,Hugo Perez,0.67,0.83,0,3.67,0,0.17
341,,Miguel Muñoz Mora,0.87,0.36,0,0.23,0,0.72
342,,Marcos Paulo,0.92,0.31,0.08,0.15,0,0.85
343,,Joaquín Muñoz,1.05,0.27,0,0.18,0,0.64
344,,Jacobo González,0.63,0.33,0.03,0.33,0,0.57
345,,Marti Vila Garcia,1.39,0.72,0.06,1.22,0,0.33
346,,Alex Calvo,0.36,0.45,0,0.27,0,0.18
347,,Unai Bustinza,2,1.6,0,2.2,0,0.5
348,,Matheus Aiás,0.44,0.18,0,0.26,0,0.18
349,,Dani Fernández,1.54,0.6,0.03,1.89,0,0.66
350,,Erick Cabaco,0.73,0.8,0,2.8,0,0.33
351,,Samuel Obeng,0.41,0.15,0,0.69,0,0.26
352,,José Ángel Carrillo,0.05,0.05,0,0.52,0,0.24
353,,Antonio Puertas,0.8,0.2,0,0.37,0,0.71
354,,Jorge de Frutos,1.36,0.41,0,0.38,0,0.69
355,,Antonio Pacheco,1.06,0.15,0,0.18,0,0.42
356,,Jovanny Bolívar,0.14,0,0,0,0,0
357,,Benito Ramírez,0.64,0.14,0,0.14,0,0.07
358,,Carlos Isaac,0.56,0.69,0.06,1.13,0,0.44
359,,Pau Casadesús,2.25,0.25,0,1.5,0,0
360,,Enzo Lombardo,0.5,0.4,0,0.1,0,0.5
