#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
97,,Dani Tasende,0.16,0,46.27,54.92,1.13,0.71
98,,Iván Gil,0.07,0,25,45.04,0.78,0.3
99,,Antonio Sivera,0.07,0,100,76.92,0.07,0.05
100,,José Campaña,0.19,0,50,48.55,0.9,0.57
101,,Luca Zidane,0.1,0,100,91.67,0,0.03
102,,Salva Sevilla,0.33,0,52.94,50.98,0.64,0.67
103,,Jordi Pola,0,0,76.19,78.79,0.29,0.29
104,,Lander Olaetxea,0.26,0,58.94,56.02,1.05,1.51
105,,Vicente Iborra,0.19,0,58.52,55.49,1.03,1.06
106,,Javier Ontiveros,0.16,0,52.63,55.11,1.44,0.84
107,,Alvaro Mantilla,0.29,0,45.16,55.71,0.57,0.43
108,,Giorgi Makaridze,0.14,0,100,66.67,0.29,0.14
109,,Alberto del Moral,0.16,0.05,52.59,55.84,1.68,1.27
110,,Nikola Šipčić,0.27,0,64.04,60.12,0.27,0.8
111,,Iker Undabarrena,0.21,0,60,57.61,1.58,1.39
112,,Pêpê,0.24,0,33.33,52.88,0.71,1.06
113,,Pablo Martínez,0.11,0.04,40.63,45.75,0.48,0.93
114,,Álex Gallar,0,0,28.57,48.57,0.95,0.42
115,,Kenneth Omeruo,0.14,0,57.35,58.97,0.32,0.55
116,,Carlos Neva,0.07,0,33.33,48.99,0.78,0.19
117,,Juergen Elitim,0.28,0.03,25,49,1.52,1.21
118,,Pejiño,0.09,0,33.33,49.85,1.33,0.7
119,,Juan Berrocal,0.33,0,61.83,56.82,0.33,1.12
120,,Tomeu Nadal,0,0,100,100,0.06,0
121,,Mamadou Fall,0.24,0.04,59.32,56.45,0.32,0.64
122,,Carlo Adriano García,0.2,0,46.38,51.06,0.6,1.06
123,,Aitor Sanz,0.41,0.03,60,54.23,0.73,1.62
124,,Daniel Rebollo,0,0,100,100,0,0
125,,Seydouba Cisse,0.27,0,45.28,51.66,1.18,1.12
126,,Waldo Rubio Marín,0.19,0,40.63,36.76,0.13,0.74
127,,Miguel Atienza,0.28,0,61.07,54.42,0.78,1.25
128,,Pol Moreno,0.06,0,52.46,56.81,0.18,0.52
129,,Ruben Bover Izquierdo,0.11,0,38.89,50,0.96,0.57
130,,Sergio Bermejo,0.09,0,40.48,44.14,1.52,1.42
131,,Adrià Vilanova,0.04,0,54.84,53.85,0.37,0.59
132,,Dani Raba,0.32,0,34.15,46.22,2.35,1.65
133,,Riki Rodríguez,0.27,0.03,35.29,50.18,1.16,1.11
134,,Víctor Díaz,0.21,0,48.1,55.35,0.17,0.45
135,,Andrei Rațiu,0.13,0,60.61,54.6,0.53,0.71
136,,Sergio Postigo,0.29,0,46.88,50,0.33,0.86
137,,Lluís López,0.26,0,53.01,54.89,0.23,1.16
138,,Óscar Pinchi,0.11,0,39.19,45.29,1.58,1.39
139,,Asier Riesgo,0.03,0,85.71,91.67,0.15,0
140,,Lucas Ahijado,0.15,0,40.74,53.04,0.5,1
141,,Alberto Escassi,0.26,0,57.72,57.14,0.76,1.18
142,,Aitor Córdoba Querejeta,0.2,0,56.64,55.68,0.22,0.98
143,,Patrick Sequeira,0.5,0,0,100,0.5,0
144,,Joan Femenías,0,0,0,0,0,0
145,,Bruno Pirri,0.38,0,84.62,63.04,0.88,1.13
146,,Nahuel Tenaglia,0.24,0,59.49,55.96,0.88,1.21
