#,Team,Name,Appearances
227,,Sergio Tejera,12
228,,Cristian Salvador,28
229,,Juan Soriano,42
230,,Juan Carlos,38
231,,Iván Romero,34
232,,Aritz Aldasoro,34
233,,Juanpe,23
234,,Borja Valle,39
235,,Valentín Vada,37
236,,Gaku Shibasaki,30
237,,Cristian Glauder,29
238,,Carlos Benavídez,29
239,,Fernando Niño,39
240,,Adrián Castellano,17
241,,Jorge Molina,25
242,,Mohammed Djetei,31
243,,Josema,25
244,,Miquel Parera,37
245,,Mohamed Bouldini,36
246,,Sergio González,27
247,,Carlos Ruiz,13
248,,Manu Molina,25
249,,Álex Pérez,6
250,,Jairo Izquierdo,38
251,,Raúl Navas,27
252,,Florian Miguel,37
253,,Germán Sánchez,21
254,,Ramón Enríquez,20
255,,Roko Baturina,14
256,,Sebas Moyano,41
257,,Tiago Geralnik,13
258,,Jandro Orellana,26
259,,Alberto Perea,21
260,,Álvaro Lemos,24
261,,Beñat Prados,39
262,,Diego Sanchez,20
263,,Yeray Cabanzon,11
264,,Kevin Omoruyi,11
265,,Víctor Meseguer,23
266,,Yann Bodiger,32
267,,Esteban Burgos,31
268,,Juan Otero,41
269,,Maikel Mesa,37
270,,Yayo,3
271,,Kike Salas,7
272,,Ramón Juan,9
273,,Enrique Clemente,14
274,,Álvaro Jiménez,26
275,,Armando Sadiku,31
276,,Lago Júnior,17
277,,Oscar Sielva,23
278,,Alejandro Francés,23
279,,Álex Corredera,25
280,,Miguel San Román,5
281,,Naim García,31
282,,Adrián Diéguez,30
283,,Francho Serrano,36
284,,Rubén Rochina,8
285,,Asier Villalibre,16
286,,Sergi Enrich,34
287,,Isak Jansson,27
288,,Alfonso Herrero,33
289,,Cristian Herrera,35
290,,Quini,31
291,,Jonathan Varane,17
292,,Adrià Altimira,36
293,,Mikel Rico,37
294,,Manu Barreiro,32
295,,Issa Fomba,6
296,,Vasyl Kravets,2
297,,Omenuke Mfulu,30
298,,Xavi Torres,33
299,,Moha Moukhliss,9
300,,Pol Lozano,14
301,,Jon Guridi,38
302,,Julio Alonso,36
303,,Ekain Zenitagoia,39
304,,Ivan Calero,39
305,,Álex Bermejo Escribano,37
306,,Gaspar Campos,30
307,,Andoni López,18
308,,Bryan Zaragoza,34
309,,Juanma García,29
310,,David Ferreiro,16
311,,Mamadou Sylla,19
312,,Aleix Febas,41
313,,Víctor Camarasa,11
314,,Riza Durmisi,11
315,,Javi Vázquez,34
316,,Íñigo Sáinz-Maza,35
317,,Marvin Park,24
318,,Moises Delgado,34
319,,Abel Bretones,39
320,,Marc Vidal,6
321,,Yan Eteki,10
322,,Papakouli Diop,26
323,,Njegoš Petrović,26
324,,Eugeni Valderrama,21
