#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
109,,Alberto del Moral,0.03,0.05,70,0.38,0,0
110,,Nikola Šipčić,0.03,0.1,75,0.7,0.03,0
111,,Iker Undabarrena,0,0,55.56,0.15,0,0
112,,Pêpê,0,0,70,0.47,0,0
113,,Pablo Martínez,0.07,0,57.14,1.19,0,0
114,,Álex Gallar,0.05,0,53.13,1,0,0
115,,Kenneth Omeruo,0.05,0.09,100,0.32,0.05,0
116,,Carlos Neva,0.07,0,28.57,0.44,0,0
117,,Juergen Elitim,0.07,0.03,64.86,0.93,0,0.99
118,,Pejiño,0.18,0.03,54.49,2.33,0,0
119,,Juan Berrocal,0.03,0,66.67,0.21,0.03,0
120,,Tomeu Nadal,0,0,0,0,0,0
121,,Mamadou Fall,0.12,0.08,50,0.44,0.12,0
122,,Carlo Adriano García,0.09,0.03,54.55,0.8,0,0
123,,Aitor Sanz,0.03,0,67.74,0.32,0,0
124,,Daniel Rebollo,0,0,0,0,0,0
125,,Seydouba Cisse,0.12,0.03,67.31,0.79,0.03,0
126,,Waldo Rubio Marín,0.19,0.1,50,2.19,0,0
127,,Miguel Atienza,0.03,0,70,0.33,0.03,0
128,,Pol Moreno,0,0.03,50,0.39,0,0
129,,Ruben Bover Izquierdo,0.14,0,63.33,0.86,0,0.89
130,,Sergio Bermejo,0.15,0.06,54.02,1.52,0,0
131,,Adrià Vilanova,0,0.07,75,0.44,0,0
132,,Dani Raba,0.13,0.06,48.15,1.23,0,0
133,,Riki Rodríguez,0.03,0,57.58,0.78,0,0
134,,Víctor Díaz,0.03,0,50,0.52,0.03,0
135,,Andrei Rațiu,0.05,0.03,57.63,0.47,0.03,0
136,,Sergio Postigo,0,0.05,100,0.24,0,0
137,,Lluís López,0.03,0.06,85.71,0.39,0.03,0
138,,Óscar Pinchi,0.16,0.13,45.05,1.66,0,0
139,,Asier Riesgo,0,0,0,0,0,0
140,,Lucas Ahijado,0,0,61.64,0.43,0,0
141,,Alberto Escassi,0.06,0.03,62.5,0.56,0.03,0
142,,Aitor Córdoba Querejeta,0,0,88.89,0.12,0,0
143,,Patrick Sequeira,0,0,0,0,0,0
144,,Joan Femenías,0,0,0,0,0,0
145,,Bruno Pirri,0,0,50,0.38,0,0
146,,Nahuel Tenaglia,0.09,0.12,43.24,1,0.06,0
147,,Koba Koindredi,0.06,0,54.29,0.67,0,0
148,,Kiko Olivas,0.04,0.08,91.67,0.32,0,0
149,,Grego Sierra,0.04,0,80,0.36,0,0
150,,Mustapha Bundu,0.11,0.07,56.1,0.64,0,0
151,,Borja Sánchez,0.04,0.04,52.94,0.58,0,0
152,,Shkodran Mustafi,0.33,0.33,0,0.67,0.33,0
153,,Álvaro García,0,0,0,0.17,0,0
154,,Diego Altube,0,0,0,0,0,0
155,,Rubén,0,0.03,81.82,0.4,0,0
156,,Cristian Gutiérrez,0.08,0,36.17,0.38,0,0
157,,Miguel Loureiro,0.03,0,43.48,0.33,0,0
158,,Germán Valera,0.05,0.11,52.42,1.16,0,0
159,,Carlos Pomares Rayo,0,0,28.57,0.27,0,0
160,,Ramón Terrats,0,0,50,0.8,0,0
161,,Nikola Maraš,0,0.1,0,0.4,0,0
162,,Sidnei,0.05,0,33.33,0.32,0,0
163,,Alberto Rodríguez,0.08,0.06,71.43,0.72,0.08,0
164,,Martín Pascual,0,0.06,0,0.68,0,0
165,,Sergio González,0.03,0.09,83.33,0.64,0.03,0
166,,Saúl García,0.04,0,57.14,0.36,0,0
167,,Óscar Melendo,0.03,0.03,60.53,0.31,0,0
168,,André Ferreira,0,0,0,0,0,0
169,,Jon Bautista,0.16,0.16,60.98,1.45,0.03,0
170,,Rubén Castro,0.24,0.37,32.43,2.34,0.02,0
171,,Pablo Íñiguez,0.11,0.05,50,0.21,0,0
172,,Pablo Insua,0.06,0.03,100,0.33,0.03,0
173,,Juanfran,0,0,50,0.5,0,0
174,,Christos Albanis,0.13,0.03,45.16,1.13,0,0
175,,Jorge Sáenz,0,0.08,80,0.51,0,0
176,,Giovanni Zarfino,0.11,0.22,45,1.63,0,0
177,,Alejandro Barbudo Barbu,0.1,0.07,64.29,0.4,0.03,0
178,,Aleksandar Sedlar,0,0.03,80,0.43,0,0
