#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
108,,Ben McCormack,0.05,0.09,44.44,0.59,0,0
109,,Hayden Muller,0.03,0,53.85,0.3,0.03,0
110,,Ronan Finn,0.06,0,25,0.35,0,0
111,,Andriy Kravchuk,0,0,80,0.78,0,0
112,,Danny Mullen,0.25,0.08,50,1.58,0.17,0
113,,Evan Caffrey,0.06,0.06,63.64,0.83,0,0.31
114,,Nathan Shepperd,0,0,0,0,0,0
115,,Declan McDaid,0.13,0.03,53.85,1,0.03,0
116,,John Ross Wilson,0.07,0,62.5,0.41,0,0
117,,Daniel Kelly,0.3,0.11,30.77,1,0.04,0
118,,Mark Doyle,0.22,0.13,46.15,1.22,0.06,0
119,,Johan Brannefalk,0,0,54.55,0.44,0,0
120,,Jay Benn,0,0,0,0,0,0
121,,Sam Todd,0,0,0,0.4,0,0
122,,Ronan Boyce,0.06,0.06,40,0.42,0.03,0
123,,James Talbot,0,0,0,0,0,0
124,,Ryan O'Kane,0.09,0.06,64.58,0.85,0,0
125,,Tyreke Wilson,0,0.03,38.89,0.55,0,0
126,,Sean Gannon,0,0,75,0.4,0,0
127,,Kyle Robinson,0.14,0.07,42.86,0.82,0,0
128,,Joe O'Brien Whitmarsh,0.17,0.09,50,0.87,0.04,0
129,,Conor Carty,0.15,0.06,70.59,1.09,0.03,0
130,,Elicha Ahui,0.05,0,53.57,0.35,0,0
131,,Sadou Diallo,0,0,73.08,0.63,0,0
132,,Ryan Graydon,0.09,0.04,46.75,0.83,0,0
133,,John Martin,0.19,0.13,47.83,1.13,0.06,3.13
134,,Jamie McGonigle,0.21,0.08,25,1.83,0.04,0
135,,Kian Leavy,0.1,0,70.27,0.4,0,0
136,,Johannes Yli-Kokko,0.11,0.04,55.56,0.82,0,0
137,,Robert McCourt,0,0,80,0.31,0,0
138,,Robbie Benson,0.07,0.07,50,0.71,0.07,0
139,,James Corcoran,0,0,0,0,0,0
140,,Jad Hakiki,0,0,61.54,0.76,0,0
141,,Paddy Kirk,0.07,0,64.29,0.7,0,0
142,,Sam Durrant,0.2,0.2,40,0.7,0,0
143,,Simon Power,0.2,0.2,0,2.2,0,0
144,,Shane Griffin,0.08,0.04,77.78,0.15,0,0
145,,Cian Coleman,0,0.06,80,0.74,0,0
146,,Reece Hutchinson,0.04,0,57.5,0.5,0,0
147,,Niall Morahan,0.03,0,47.06,0.45,0,0
148,,James Akintunde,0.05,0.05,59.26,0.84,0,0
149,,Anto Breslin,0,0,69.57,0.08,0,0
150,,Adam O'Reilly,0.04,0.04,62.07,0.75,0,0
151,,Stefan Radosavljević,0.16,0.06,41.18,0.81,0,0
152,,Rokas Stanulevicius,0,0,60,1.2,0,0
153,,Conor Kane,0,0,58.33,0.27,0,0
154,,Cameron Elliott,0.04,0.22,33.33,0.91,0,0
155,,Pedro Martelo,0.08,0.17,50,1.92,0,0
156,,Mark Dignam,0.09,0,71.43,0.82,0,0
157,,Ciaran Behan,0.07,0,58.54,0.93,0,0.42
158,,Johnny Kenny,0.17,0.2,71.43,2.1,0.03,0
159,,Shane Farrell,0,0.09,50,0.39,0,0
160,,Tom Lonergan,0.13,0.1,33.33,0.9,0.03,0
161,,Naj Razi,0,0,50,0.33,0,0
162,,Oran Crowe,0,0,0,0.67,0,0
163,,Jamie Egan,0.2,0,0,0.4,0,0
164,,John O'Sullivan,0.05,0,50,0.63,0,0
165,,Mason Melia,0.2,0.1,60,0.3,0,0
166,,Ola Williams,0,0,100,0.36,0,0
167,,Colin McCabe,0,0,100,0,0,0
168,,Sean Kavanagh,0,0,45.45,0.44,0,0
169,,Adam Murphy,0.03,0.03,55,0.38,0,0
170,,Andrew Wogan,0,0,100,0,0,0
171,,Lukas Browning Lagerfeldt,0.04,0,66.67,0.74,0,0
172,,Gregory Sloggett,0,0.04,76.92,0.74,0,0
173,,Dean Williams,0.19,0.06,0,0.44,0,0
174,,Kevin Custovic,0.08,0,66.67,0.46,0.04,0
