#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
95,,Darragh Leahy,0.21,0.17,40.33,71.07,8.04,36.09
96,,Louie Annesley,0,0,46.5,74.65,4.14,36.72
97,,Liam Burt,0.06,0.06,11.31,70.72,4.44,53.33
98,,William Fitzgerald,0.14,0.11,25.96,79.78,8.32,53.57
99,,Euclides Cabral,0,0,22.4,81.25,4.2,50
100,,Bartlomiej Kukułowicz,0,0.11,42.78,75.58,8.33,56.25
101,,Justin Ferizaj,0,0,5.25,76.19,2.75,0
102,,Nando Pijnaker,0,0,46.53,72.33,4.19,46.59
103,,Luke McNicholas,0,0,33.46,61.15,2.04,37.55
104,,Gary Deegan,0,0,40.85,80.63,7.5,49.38
105,,Cameron Dummigan,0,0.06,35.06,79.14,5.88,48.98
106,,Darragh Nugent,0,0,13.53,78.6,2.95,25
107,,Barry Coffey,0.04,0,21.57,70.7,3,42.25
108,,Ben McCormack,0.18,0.18,12.45,74.45,3.45,48.15
109,,Hayden Muller,0.03,0.03,38.3,75.79,4.94,46.32
110,,Ronan Finn,0.12,0.06,17.71,80.4,5.59,35
111,,Andriy Kravchuk,0.11,0,30.89,79.14,5.89,38.71
112,,Danny Mullen,0,0.08,9.92,65.55,3.25,20
113,,Evan Caffrey,0,0.06,24.11,76.96,5.36,40
114,,Nathan Shepperd,0,0,34.39,55.65,2.31,38.75
115,,Declan McDaid,0.13,0.13,11.84,76.57,4.06,36.67
116,,John Ross Wilson,0.04,0.04,28.07,70.98,4.26,34.25
117,,Daniel Kelly,0.04,0.07,14.67,75.76,4.04,58.06
118,,Mark Doyle,0.03,0,13.22,65.96,2.94,43.75
119,,Johan Brannefalk,0.13,0.13,31.09,64.82,7.03,36.32
120,,Jay Benn,0,0,29.5,70.34,7.25,45.28
121,,Sam Todd,0,0,13.2,81.82,1.8,62.5
122,,Ronan Boyce,0.03,0,27.06,74.73,5.32,34.78
123,,James Talbot,0,0,26.06,59.7,1.97,30.48
124,,Ryan O'Kane,0.09,0,10.47,75.28,3.21,53.33
125,,Tyreke Wilson,0.03,0.09,33.12,78.32,6.52,45.16
126,,Sean Gannon,0,0,17.8,72.47,3,28.57
127,,Kyle Robinson,0.07,0,6.14,58.72,1.61,55.56
128,,Joe O'Brien Whitmarsh,0.04,0.04,12.17,68.21,2.61,44.74
129,,Conor Carty,0.12,0.03,7.41,68.65,2.53,33.33
130,,Elicha Ahui,0.05,0,28.15,54.17,4.9,25.4
131,,Sadou Diallo,0,0,45.57,85.08,9.2,69.54
132,,Ryan Graydon,0.17,0.17,17.22,64.9,5.7,26.09
133,,John Martin,0.03,0,11.63,64.25,3.75,45.45
134,,Jamie McGonigle,0.04,0,8.67,69.23,2.5,80
135,,Kian Leavy,0.1,0,17.8,82.02,5.55,53.57
136,,Johannes Yli-Kokko,0,0,21,81.97,5.18,44.68
137,,Robert McCourt,0.23,0.23,23.23,70.86,3.77,41.86
138,,Robbie Benson,0,0,23.07,81.73,6.21,68.18
139,,James Corcoran,0,0,29.1,42.61,2.05,29.03
140,,Jad Hakiki,0.05,0.1,11.81,82.26,3.19,38.46
141,,Paddy Kirk,0.03,0.03,36.83,68.33,6.6,44.62
142,,Sam Durrant,0,0,10,78,4,50
143,,Simon Power,0,0,10.2,74.51,4.6,100
144,,Shane Griffin,0,0,44.38,80.33,5.12,46.41
145,,Cian Coleman,0.03,0.03,33.19,70.07,1.77,37.8
146,,Reece Hutchinson,0.11,0.07,39.18,74.57,8.57,46.82
