#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
92,,Marco Varnier,0.13,0,37.47,86.83,2.2,60.67
93,,Enrico Alfonso,0,0,26.49,76.05,0.8,50.23
94,,Federico Ricci,0.18,0.18,13.91,73.86,5.91,45
95,,Cas Odenthal,0.03,0.03,43.03,80.71,3.73,43.23
96,,Mato Jajalo,0.29,0,41.57,77.32,9.29,35.9
97,,Cristian Dell'Orco,0,0,30.05,71.63,3.52,42.22
98,,Ettore Gliozzi,0.09,0.09,12.19,62.56,3.28,33.33
99,,Fabio Maistro,0.16,0.06,24.97,86.11,9.16,64.63
100,,Mattia Maita,0.09,0.06,41.72,84.49,10.44,61.54
101,,Manolo Portanova,0.08,0.08,11.83,66.9,3.67,40
102,,Leo Štulac,0.18,0.18,33,80.17,6.64,44.23
103,,Morten Frendrup,0.03,0,38.16,83.64,8.19,51.28
104,,Olimpiu Moruțan,0.23,0.23,20.06,73.79,8.17,51.16
105,,Antonio Pergreffi,0.06,0.03,34.74,78.37,1.97,40.32
106,,Giacomo Calò,0.13,0,25.92,73.79,3.33,40.27
107,,Gabriele Angella,0.12,0.06,30.71,68.39,3.24,46
108,,Paolo Bartolomei,0.09,0.09,26.25,66.67,6.81,42.79
109,,Pasquale Schiattarella,0.14,0.04,45.25,82.95,10.25,57.69
110,,Filippo Falco,0.07,0,27.14,87.63,12.21,64.29
111,,Luca Ceppitelli,0.05,0,55.36,85.47,3.45,53.98
112,,Raffaele Pucino,0.09,0.09,36.26,82.4,6.76,53.67
113,,Stefano Gori,0.03,0,23.28,48.72,1.19,32.91
114,,Riccardo Gagno,0,0,29.32,58.62,1.78,38.71
115,,Riccardo Gagliolo,0,0,52.63,79.42,3.83,46.3
116,,Žan Majer,0.1,0.1,36.68,83.11,7.84,65.82
117,,Leonardo Pavoletti,0.04,0,13,64.88,3.61,72.73
118,,Andrea Cistana,0,0,46.71,81.86,4.41,50.75
119,,Filippo Scaglia,0.12,0,44.62,81.47,2.65,53.4
