#,Team,Name,Appearances
219,,Kristjan Matošević,10
220,,Francesco Zampano,33
221,,Lorenzo Dickmann,36
222,,Ionuț Nedelcearu,36
223,,Davide Adorni,32
224,,Stefan Ilsanker,16
225,,Jesse Joronen,34
226,,Stefano Moreo,36
227,,Florian Ayé,37
228,,Daniele Casiraghi,32
229,,Giuseppe Ambrosino,19
230,,Tommaso D'Orazio,31
231,,Petko Hristov,11
232,,Niccolò Zanellato,28
233,,Caleb Ekuban,14
234,,César Falletti,32
235,,Simone Canestrelli,17
236,,Ben Lhassine Kone,19
237,,Aleandro Rosi,15
238,,Alessandro Selvini,1
239,,Alexis Ferrante,1
240,,Federico Santander,3
241,,Mauro Zárate,3
242,,Bruno Bertinato,3
243,,Sebastien De Maio,10
244,,Idrissa Touré,29
245,,Valerio Mastrantonio,25
246,,Woyo Coulibaly,18
247,,Alberto Paleari,33
248,,Giuseppe Sibilli,32
249,,Michael Venturi,17
250,,Luca Fiordilino,30
251,,Christos Kourfalidis,21
252,,Adrian Benedyczak,32
253,,Michele Marconi,8
254,,Gennaro Tutino,35
255,,Domenico Frare,28
256,,Mirco Antenucci,32
257,,Edoardo Corvi,5
258,,Giacomo Olzer,14
259,,Gaetano Masucci,23
260,,Leonardo Mancuso,32
261,,Elias Cobbaut,9
262,,Michaël Cuisance,13
263,,Mikael Ellertsson,16
264,,Giacomo Ricci,20
265,,Pietro Martino,28
266,,Matthieu Huard,26
267,,Federico Dionisi,33
268,,Davide Diaw,29
269,,Samuele Damiani,27
270,,Giannis Fetfatzidis,13
271,,Ridgeciano Haps,24
272,,Marcin Listkowski,12
273,,Vincenzo Garofalo,3
274,,Lorenzo Crisetig,29
275,,Claudio Gomes,26
276,,Francesco Lisi,26
277,,Davide Bettella,19
278,,Mauro Coppolaro,17
279,,Mattia Viviani,21
280,,Emanuele Ndoj,28
281,,Raffaele Celia,28
282,,Pedro Mendes,30
283,,Alessandro Di Pardo,16
284,,Tommaso Cassandro,18
285,,Matteo Arena,18
286,,Alexander Jallow,21
287,,Alessandro Celli,23
288,,Abdoulaye Touré,3
289,,Federico Pace,4
290,,Franco Zuculini,4
291,,Simone Romagnoli,6
292,,Daniele Donnarumma,20
293,,Mirko Antonucci,37
294,,Aurélien Scheidler,19
295,,Karlo Lulić,20
296,,Žan Žužek,15
297,,Vassilis Zagaritis,13
298,,Michele Camporese,26
299,,Alessandro Tripaldelli,22
300,,Marco Brescianini,37
301,,Eddie Salcedo,23
302,,Lorenzo Andrenacci,22
303,,Nicolas Galazzi,27
304,,Daam Foulon,31
305,,Giuseppe Rossi,5
306,,Rigoberto Rivas,38
307,,Jakub Łabojko,30
308,,Luca Vido,25
309,,Luca Moro,34
310,,Marco Capuano,11
311,,Adrian Rus,16
312,,Valentin Mihăilă,15
313,,Matteo Stoppa,3
314,,Gabriele Piccinini,3
315,,Marco Modolo,10
316,,Francesco Forte,34
317,,Francesco Gelli,10
318,,Luca Valzania,21
319,,Idriz Voca,33
320,,Luigi Canotto,37
321,,Zito Luvumbo,36
322,,Ignacio Lores Varela,28
323,,Gianluca Busio,28
324,,Matteo Tramoni,32
325,,Giacomo Beretta,12
326,,Moutir Chajia,12
327,,Mamadou Coulibaly,28
328,,Hamza El Kaouakibi,13
329,,Christian D'Urso,36
330,,Edoardo Soleri,29
331,,Tommaso Milanese,10
332,,Gianmarco Cangiano,6
333,,Mattia Proietti,16
334,,Luca Belardinelli,27
335,,Nermin Karić,33
336,,Niccolò Corrado,35
337,,Filippo Berra,19
338,,Marius Marin,33
339,,Enrico Celeghin,7
340,,Samuel Di Carmine,29
341,,Simon Sohm,27
342,,Alessandro Salvi,21
343,,Joaquín Larrivey,33
344,,Nik Prelec,12
345,,Salvatore Molina,13
346,,Giuseppe Mastinu,26
347,,Stanko Jurić,30
348,,Marco Curto,34
349,,Andrea Papetti,20
350,,Mario Gargiulo,24
351,,Tommaso Silvestri,29
352,,Alessandro Gabrielloni,29
353,,Jacopo Segre,34
354,,Raúl Asencio,17
355,,Edoardo Masciangelo,19
356,,Luca Lipani,2
357,,Anthony Fontana,1
358,,Fabio Parravicini,1
359,,Dario Sits,2
360,,Elvis Kabashi,2
361,,Noam Baumann,2
362,,Luca Maniero,2
363,,Christian Capone,4
364,,Mauro Vigorito,4
365,,Kevin Vinetot,6
366,,Nicholas Bonfanti,30
367,,Edoardo Duca,21
368,,Georgi Tunjov,23
369,,Luca Magnino,36
370,,Gianluigi Buffon,17
371,,Marco Olivieri,25
372,,Luca Lezzerini,16
373,,Federico Proia,22
374,,Dennis Johnsen,33
375,,Claud Adjapong,24
376,,Massimiliano Mangraviti,29
377,,Emanuele Cicerelli,29
378,,Gabriele Gori,34
379,,John Björkengren,17
380,,Federico Giraudo,28
381,,Miloš Bočić,12
382,,Giuseppe Di Serio,27
383,,Hjörtur Hermannsson,27
384,,David Strelec,15
385,,Simone Panada,10
386,,Giovanni Fabbian,36
387,,Giuseppe Aurelio,9
388,,Andrea Beghetto,9
389,,Christian Kouan,31
390,,Filippo De Col,36
391,,Alessandro Lombardi,4
392,,Tom Van De Looi,32
393,,Andrea D'Errico,10
394,,Enrico Guarna,12
395,,Vittorio Parigini,27
396,,Ange-Yoan Bonny,24
397,,Alessandro De Vitis,15
398,,Silvan Hefti,26
399,,Mirko Eramo,26
400,,Domen Črnigoj,18
401,,Andrea Schiavone,15
402,,Riccardo Improta,35
403,,Daniele Liotti,29
404,,Davide Marsura,23
405,,Riccardo Ciervo,19
406,,Frédéric Veseli,21
407,,Soufiane Bidaoui,19
408,,Ahmad Benali,25
409,,George Pușcaș,25
410,,Antonio Mazzotta,20
411,,Marco Pompetti,17
412,,Dario Šarić,29
413,,Maximilian Ullmann,5
414,,Gian Filippo Felicioli,6
415,,Dario Del Fabro,10
416,,Tomás Esteves,23
417,,Luca Ghiringhelli,13
418,,Aldo Florenzi,21
419,,Ilias Koutsoupias,19
420,,Filippo Sgarbi,34
421,,Andrea Poli,11
422,,Alan Matturro,2
423,,Vittorio Agostinelli,2
424,,Marin Šverko,4
425,,Damiano Cancellieri,6
426,,Alessandro Circati,14
427,,Marco Nasti,25
428,,Botond Balogh,15
429,,Andrea Cagnano,13
430,,Aljaž Struna,14
431,,Roberto Inglese,24
432,,Maxime Leverbe,18
433,,Danilo Quaranta,18
434,,Marco Armellino,28
435,,Raúl Moro,12
436,,Roberto Floriano,12
437,,Flavio Bianchi,34
438,,Nunzio Lella,18
439,,Aaron Connolly,5
440,,Diego Falcinelli,33
441,,Simone Ghidotti,18
442,,Leonardo Capezzi,13
443,,Andrea Rispoli,30
444,,Karlo Butić,13
445,,Antonino La Gumina,27
446,,Emil Kornvig,14
447,,Alin Toșca,16
448,,Simone Mazzocchi,33
449,,Fabio Ponsi,25
450,,Stefano Sturaro,18
451,,Davide Agazzi,28
452,,Vincenzo Millico,15
453,,Lisandru Tramoni,5
454,,Paulo Azzi,31
455,,Giuseppe Carriero,33
456,,Gabriele Capanni,17
457,,Stipe Vulikić,6
458,,Mladen Devetak,6
459,,Francesco Donati,20
460,,Álex Blanco,29
461,,Marko Rog,21
462,,Nicola Bellomo,25
463,,Luca Zanimacchia,16
464,,Mirko Carretta,19
465,,Bruno Martella,20
466,,Alfredo Donnarumma,21
467,,Romeo Giovannini,22
468,,Fran Karačić,22
469,,Giuseppe Loiacono,13
470,,Christian Pastina,16
471,,Paolo Faragò,17
472,,Facundo Zabala,1
473,,Federico Accornero,1
474,,Alessandro Arioli,1
475,,Demba Thiam,2
476,,Kalifa Kujabi,2
477,,Harvey St Clair,2
478,,Warren Bondo,3
479,,Lennart Czyborra,3
480,,Manuel Scavone,3
481,,Pablo Galdames,4
482,,Federico Ravaglia,4
483,,Thomas Battistella,4
484,,Lorenzo Carfora,8
485,,Paolo Gozzi Iweru,12
486,,Luka Bogdan,13
487,,Simone Rabbi,23
488,,Alessio Buttaro,17
489,,Mattia Finotto,29
490,,Antonio Candela,29
491,,Davide Merola,14
492,,Christophe Lungoyi,27
493,,Emanuele Terranova,20
494,,Ádám Nagy,34
495,,Stefano Pettinari,25
496,,Adryan,8
497,,Mamadou Tounkara,15
498,,Gabriel Lunetta,12
499,,Emanuele Zuelli,5
500,,Simon Graves Jensen,5
501,,Marino Defendi,20
502,,Roko Jureškin,10
503,,Alessandro Murgia,18
504,,Ivan Delić,13
505,,Jérémie Broh,30
506,,Andrea Magrassi,26
507,,Franco Carboni,12
508,,Edoardo Iannoni,28
509,,Alessandro Fiordaliso,15
510,,Güven Yalçın,22
511,,Ilario Monterisi,11
512,,Andrija Novakovich,35
513,,Massimo Zilli,29
514,,Andrey Gălăbinov,4
515,,Alberto Pomini,3
516,,Patrick Amiamo Nuamah,6
517,,Ciro Panico,9
518,,Enrico Brignola,20
519,,Alessandro Mattioli,14
520,,Fabrizio Paghera,12
521,,Andrea Oliveri,8
522,,Giuseppe Bellusci,18
523,,Jacopo Da Riva,20
524,,Andrea Vallocchia,11
525,,Antoine Hainaut,13
526,,Krzysztof Kubica,14
