#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
99,,Fabio Maistro,0.63,0.22,0,0.31,0,0.66
100,,Mattia Maita,2.81,0.66,0,0.88,0.06,1.19
101,,Manolo Portanova,1.5,0.5,0,0.33,0,0.33
102,,Leo Štulac,0.55,0.27,0,0.82,0,0.27
103,,Morten Frendrup,2.86,1.3,0,0.62,0,1.14
104,,Olimpiu Moruțan,0.71,0.31,0.03,0.14,0,1.09
105,,Antonio Pergreffi,1,1.81,0.03,4.26,0,0.32
106,,Giacomo Calò,0.71,0.88,0,0.79,0.04,0.71
107,,Gabriele Angella,0.65,1.47,0,3.47,0.06,0.24
108,,Paolo Bartolomei,0.69,0.91,0,0.75,0,0.5
109,,Pasquale Schiattarella,1.46,0.96,0,1.43,0,0.64
110,,Filippo Falco,0.43,0,0,0,0,0.14
111,,Luca Ceppitelli,1.41,1.77,0.05,4.18,0.05,0.41
112,,Raffaele Pucino,1.24,1.03,0.03,1.79,0,0.24
113,,Stefano Gori,0,0,0,0.59,0.03,0.03
114,,Riccardo Gagno,0.05,0.03,0.05,0.7,0.03,0.08
115,,Riccardo Gagliolo,1.23,1.1,0.07,4.2,0,0.57
116,,Žan Majer,1.74,0.87,0,0.71,0,0.94
117,,Leonardo Pavoletti,0.13,0.04,0,0.43,0,0.17
118,,Andrea Cistana,1.12,1.41,0,2.88,0,0.47
119,,Filippo Scaglia,0.88,1.15,0,5.38,0.04,0.19
120,,Sauli Väisänen,1.04,1.11,0.04,4.96,0.04,0.15
121,,Matteo Cotali,1.52,1.48,0,1.41,0,0.41
122,,Manuel Marras,3.13,0.93,0,0.93,0,2.13
123,,Elio Capradossi,1.5,1.31,0,2.63,0.06,0.19
124,,Fabian Tait,1.65,1.41,0,2.21,0,1.12
125,,Milan Badelj,1.5,1.85,0,1.42,0,1.23
126,,Alessandro Deiola,0.92,0.62,0,1,0,0.62
127,,Santiago Visentin,1.23,1.08,0,3.92,0,0.31
128,,Francesco Di Mariano,1.11,0.41,0,0.15,0,0.52
129,,Filip Jagiełło,0.71,0.15,0,0.32,0,0.38
130,,Pietro Ceccaroni,1.2,0.95,0.05,3.5,0,0.3
131,,Yordan Osorio,0.89,1.32,0,3.57,0.04,0.29
132,,Tommaso Arrigoni,1.07,0.33,0.03,0.77,0,0.47
133,,Valerio Di Cesare,0.62,1.35,0,2.71,0,0.09
134,,Valerio Verre,1.5,0.29,0,0.43,0,1.14
135,,Alessio Re,0.5,0,0,0,0,0
136,,Romano Perticone,1.48,1.22,0,3.91,0,0.13
137,,Mirko Pigliacelli,0.03,0.05,0,0.61,0.05,0
138,,Matteo Rover,1.19,0.72,0,0.83,0,0.67
139,,Nicola Pavan,1.31,1.26,0,1.89,0,0.4
140,,Luca Strizzolo,0.5,0.22,0,0.5,0,0.22
141,,Ivan Marconi,1.24,1.34,0,3.14,0,0.34
142,,Alessio Vita,1.63,1.09,0,0.91,0,1.43
143,,Luca Garritano,1.09,0.29,0,0.26,0,0.71
144,,Fabrizio Caligara,2.24,1.21,0,1.09,0,1.27
145,,Nahitan Nández,1.58,0.48,0.03,0.55,0,1.18
146,,Nícolas,0.11,0,0,0.46,0,0
147,,Lautaro Valenti,1.58,1.46,0,3.04,0.04,0.58
148,,Edoardo Goldaniga,0.78,1.83,0,3.39,0,0.44
149,,Gastón Pereiro,0.22,0,0,0.22,0,0.11
150,,Adrian Šemper,0,0.13,0,0.25,0,0
151,,Matteo Solini,1.63,0.75,0,4.38,0,0.25
152,,Dennis Man,0.54,0.18,0,0.18,0,0.64
153,,Christian Dalle Mura,1.11,1.52,0,2.56,0,0.15
154,,Amato Ciciretti,0.69,0.31,0.08,0.08,0,0.62
155,,Lorenco Šimić,0.88,2.31,0.12,3.38,0,0.27
156,,Tanner Tessmann,1.66,0.69,0.06,1.53,0,0.69
157,,Jayden Oosterwolde,2.44,1.33,0,1.11,0,0.28
158,,Patrick Cutrone,0.57,0.37,0,0.31,0,0.34
159,,Niccolò Pierozzi,2,1.47,0.06,2,0,0.59
160,,Simone Santoro,2.09,0.97,0,1.21,0,1.15
161,,Mario Sampirisi,0.89,0.79,0,1.54,0,0.36
162,,Adam Obert,0.69,0.83,0.03,2.48,0,0.38
163,,Kamil Glik,0.78,1.28,0,4.5,0,0.39
164,,Przemysław Wiśniewski,1.47,1.63,0.05,3.37,0,0.42
165,,Lucas Da Cunha,1,0.21,0,0.21,0,1
166,,Arturo Calabresi,2.12,1.12,0.04,2.19,0,0.5
167,,Samuele Mulattieri,0.41,0.1,0,0.21,0,0.17
168,,Gabriele Zappa,1.76,1.14,0.07,1.62,0,0.9
169,,Leonardo Benedetti,1.42,0.94,0,1,0,0.58
170,,Pietro Beruatto,1.71,0.97,0,2.21,0,0.47
171,,Federico Melchiorri,0.61,0.17,0,0.44,0,0.22
172,,Gianluca Frabotta,1.23,1.18,0.09,1.68,0,0.68
173,,Jacopo Furlan,0,0,0,0.5,0.17,0.17
174,,Jaime Báez,0.29,0.24,0,0.35,0,0.29
175,,Jérémy Ménez,1,0.09,0,0.18,0,0.36
176,,Salvatore Elia,1,1.1,0,0.5,0,0.8
177,,Michele Rigione,1,1.04,0.15,3.7,0.04,0.15
178,,Salim Diakite,1.56,1.56,0,1.75,0,0.34
179,,Francesco Renzetti,1.72,0.56,0,1,0,0.22
180,,Cesc Fàbregas,1,0.24,0.06,0.35,0,0.65
181,,Alessio Iovine,1,0.61,0,0.67,0,0.44
182,,Nicholas Ioannou,1.28,0.78,0,1.78,0,0.38
183,,Stefano Sabelli,1.57,0.97,0.07,1.27,0,0.9
184,,Marcel Büchel,0.75,1.54,0,1.36,0,0.64
185,,Magnus Kofod Andersen,1.15,0.5,0,0.65,0,0.46
186,,Giuseppe Caso,0.14,0.03,0,0.11,0,0.2
187,,Aleš Matějů,1.73,1.21,0,2.64,0.03,0.55
188,,Thiago Cionek,1.23,1.55,0.06,2.94,0,0.45
189,,Denis Cheryshev,0.61,0.22,0,0.09,0,0.52
190,,Drissa Camara,1.05,0.23,0,0.23,0,0.32
191,,Cristian Ansaldi,1.29,0.43,0,0.67,0,0.57
192,,Antonio Caracciolo,1.73,1.73,0.18,5.09,0,0.45
193,,Shady Oukhadda,1.52,0.66,0,2.03,0.03,0.34
194,,Nahuel Estévez,0.78,0.94,0.03,1.42,0,0.72
195,,Marcus Rohdén,1.03,0.61,0,0.91,0,0.7
196,,Simone Colombi,0,0,0,0.81,0,0.04
197,,Anthony Partipilo,0.89,0.44,0,0.75,0,0.61
198,,Leandro Chichizola,0,0,0,0.71,0.06,0.12
199,,Patryk Peda,1.62,1.67,0,2.38,0,0.52
200,,Nicolo Contiliano,1.13,0.63,0,1.38,0,1
201,,Antoine Makoumbou,1.19,0.86,0.06,0.78,0,0.44
202,,Alessandro Bellemo,2.32,1,0.06,1.87,0,1.26
203,,Daniele Baselli,1.44,0.61,0,0.78,0,0.67
204,,Andrés Tello,1.18,0.61,0,0.64,0.04,1.32
