#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
105,,Takumi Kamijima,0,0.29,0,0,1.13,0.21
106,,Kei Koizumi,0,0.3,0,0,1.2,0.1
107,,Taisei Miyashiro,0,0,0,0,0.86,0.09
108,,Dawhan,0,0.15,0,0,0.78,0.04
109,,Hotaru Yamaguchi,0,0.3,0,0,1.06,0.15
110,,Masaya Tashiro,0,0.33,0,0,1.33,0
111,,Takashi Usami,0,0.43,0,0,0.43,0
112,,Arthur Caíke,0,0.03,0,0,0.76,0.21
113,,Akito Fukuta,0,0.18,0,0,1.12,0.06
114,,Ronaldo,0,0.05,0,0,0.84,0.05
115,,Koji Toriumi,0,0.26,0,0,0.84,0.11
116,,Léo Ceará,0,0.06,0,0,0.65,0.03
117,,Juanma Delgado,0,0.03,0,0,0.39,0.1
118,,Yuki Yamamoto,0,0.25,0,0,0.5,0.06
119,,Yuichi Maruyama,0,0.4,0,0,0.64,0.2
120,,Yoshinori Suzuki,0,0.21,0,0,1.3,0.24
121,,Paulinho Bóia,0,0,0,0,0.33,0
122,,Shunta Tanaka,0,0.31,0,0,1.16,0.25
123,,Makito Ito,0,0.15,0,0,1.36,0.24
124,,Yuto Yamada,0,0,0,0,0.11,0
125,,Ataru Esaka,0,0.17,0,0,0.8,0.1
126,,Hiromu Mitsumaru,0,0.35,0,0,0.9,0.23
127,,Taiyo Koga,0,0.31,0,0,1.13,0.22
128,,Daiya Maekawa,2.61,0.33,0.06,0,1.06,0.17
129,,Kosuke Onose,0,0.12,0,0,1.08,0.12
130,,Yugo Tatsuta,0,0.15,0,0,1.19,0.27
131,,Gun-hee Kim,0,0,0,0,0.88,0
132,,Tomoaki Makino,0,0.13,0,0,0.81,0.06
133,,Marcos Júnior,0,0,0,0,0.61,0
134,,Yasuhito Endo,0,0.03,0,0,1.23,0.19
135,,Kota Watanabe,0,0.21,0,0,0.63,0
136,,Riku Matsuda,0,0.27,0,0,0.91,0.09
137,,Yusuke Maruhashi,0,0.2,0,0,0.8,0.2
